symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTAS,2000-01-03 00:00:00+00:00,52.16,53.0,50.81,53.0,468467,26.1985650359,26.6204744421,25.5204963472,26.6204744421,702700,0.0,1.0
CTAS,2000-01-04 00:00:00+00:00,50.13,52.69,49.25,52.0,583467,25.1789506374,26.4647697803,24.7369503071,26.1182013394,875200,0.0,1.0
CTAS,2000-01-05 00:00:00+00:00,51.0,51.63,49.75,50.38,691800,25.6159282368,25.9323602914,24.9880868584,25.3045189131,1037700,0.0,1.0
CTAS,2000-01-06 00:00:00+00:00,50.97,52.0,49.88,50.06,811200,25.6008600437,26.1182013394,25.0533823617,25.1437915202,1216800,0.0,1.0
CTAS,2000-01-07 00:00:00+00:00,53.53,54.13,50.5,50.94,686600,26.8866791865,27.1880430481,25.3647916854,25.5857918506,1029900,0.0,1.0
CTAS,2000-01-10 00:00:00+00:00,54.75,55.5,53.63,54.0,623200,27.4994523718,27.8761571988,26.9369064968,27.1227475448,934800,0.0,1.0
CTAS,2000-01-11 00:00:00+00:00,51.56,54.19,51.19,54.19,826667,25.8972011743,27.2181794343,25.7113601263,27.2181794343,1240000,0.0,1.0
CTAS,2000-01-12 00:00:00+00:00,50.13,51.38,50.13,51.25,1036200,25.1789506374,25.8067920158,25.1789506374,25.7414965124,1554300,0.0,1.0
CTAS,2000-01-13 00:00:00+00:00,54.31,54.38,50.0,50.0,635467,27.2784522066,27.3136113238,25.1136551341,25.1136551341,953200,0.0,1.0
CTAS,2000-01-14 00:00:00+00:00,54.56,55.63,53.5,54.5,682400,27.4040204823,27.9414527022,26.8716109935,27.3738840961,1023600,0.0,1.0
CTAS,2000-01-18 00:00:00+00:00,55.31,55.63,53.38,53.81,620667,27.7807253093,27.9414527022,26.8113382211,27.0273156553,931000,0.0,1.0
CTAS,2000-01-19 00:00:00+00:00,52.0,55.5,51.56,55.5,461067,26.1182013394,27.8761571988,25.8972011743,27.8761571988,691600,0.0,1.0
CTAS,2000-01-20 00:00:00+00:00,51.25,52.63,51.0,52.44,821600,25.7414965124,26.4346333941,25.6159282368,26.3392015046,1232400,0.0,1.0
CTAS,2000-01-21 00:00:00+00:00,49.25,51.0,48.88,50.75,1024200,24.7369503071,25.6159282368,24.5511092591,25.4903599611,1536300,0.0,1.0
CTAS,2000-01-24 00:00:00+00:00,49.06,49.75,49.0,49.19,711400,24.6415184175,24.9880868584,24.6113820314,24.7068139209,1067100,0.0,1.0
CTAS,2000-01-25 00:00:00+00:00,47.25,48.69,44.95,48.69,1545600,23.7324041017,24.4556773696,22.5771759655,24.4556773696,2318400,0.0,1.0
CTAS,2000-01-26 00:00:00+00:00,47.69,48.63,47.06,47.25,663400,23.9534042669,24.4255409834,23.6369722122,23.7324041017,995100,0.0,1.0
CTAS,2000-01-27 00:00:00+00:00,47.56,48.75,47.0,47.75,528800,23.8881087635,24.4858137557,23.606835826,23.983540653,793200,0.0,1.0
CTAS,2000-01-28 00:00:00+00:00,44.88,48.0,44.63,46.94,1373400,22.5420168483,24.1091089287,22.4164485727,23.5766994399,2060100,0.0,1.0
CTAS,2000-01-31 00:00:00+00:00,46.84,47.13,45.19,45.38,946667,23.5264721296,23.6721313294,22.6977215102,22.7931533997,1420000,0.0,1.0
CTAS,2000-02-01 00:00:00+00:00,46.5,47.38,45.97,47.09,504867,23.3556992747,23.797699605,23.0894945303,23.6520404053,757300,0.0,1.0
CTAS,2000-02-02 00:00:00+00:00,48.0,48.06,46.08,46.81,827267,24.2497453975,24.2800575792,23.2797555816,23.6485537928,1240900,0.28,1.0
CTAS,2000-02-03 00:00:00+00:00,48.69,49.56,47.06,47.75,670867,24.5983354875,25.0378621229,23.7748545501,24.1234446402,1006300,0.0,1.0
CTAS,2000-02-04 00:00:00+00:00,49.38,50.17,48.25,48.5,538400,24.9469255776,25.3460359706,24.3760461547,24.502346912,807600,0.0,1.0
CTAS,2000-02-07 00:00:00+00:00,45.38,49.63,45.0,49.38,794000,22.9261134612,25.0732263349,22.7341363101,24.9469255776,1191000,0.0,1.0
CTAS,2000-02-08 00:00:00+00:00,43.63,46.75,41.0,46.63,1721467,22.0420081602,23.6182416111,20.7133241937,23.5576172476,2582200,0.0,1.0
CTAS,2000-02-09 00:00:00+00:00,42.56,43.56,41.5,43.5,3019200,21.5014409191,22.0066439482,20.9659257082,21.9763317664,4528800,0.0,1.0
CTAS,2000-02-10 00:00:00+00:00,40.25,42.13,39.75,42.13,2061600,20.3344219218,21.2842036166,20.0818204073,21.2842036166,3092400,0.0,1.0
CTAS,2000-02-11 00:00:00+00:00,38.81,40.38,38.5,40.31,1881867,19.6069295599,20.4000983156,19.4503166209,20.3647341036,2822800,0.0,1.0
CTAS,2000-02-14 00:00:00+00:00,39.84,40.75,38.25,39.19,1366867,20.1272886799,20.5870234364,19.3240158636,19.798906711,2050300,0.0,1.0
CTAS,2000-02-15 00:00:00+00:00,40.75,41.25,38.44,39.0,1154600,20.5870234364,20.8396249509,19.4200044391,19.7029181354,1731900,0.0,1.0
CTAS,2000-02-16 00:00:00+00:00,39.44,40.5,39.25,40.38,582800,19.9252074682,20.4607226791,19.8292188927,20.4000983156,874200,0.0,1.0
