symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTRA,2000-01-03 00:00:00+00:00,14.81,16.06,14.62,16.06,108867,0.9581098209,1.0389766188,0.9458180676,1.0389766188,1306403,0.0,1.0
CTRA,2000-01-04 00:00:00+00:00,14.38,14.69,14.31,14.69,27867,0.9302916425,0.9503466083,0.9257631018,0.9503466083,334403,0.0,1.0
CTRA,2000-01-05 00:00:00+00:00,14.63,14.63,14.25,14.25,30267,0.946465002,0.946465002,0.9218814955,0.9218814955,363203,0.0,1.0
CTRA,2000-01-06 00:00:00+00:00,14.94,15.25,14.5,14.56,44867,0.9665199679,0.9865749338,0.938054855,0.9419364613,538403,0.0,1.0
CTRA,2000-01-07 00:00:00+00:00,15.56,15.56,14.94,14.94,32400,1.0066298996,1.0066298996,0.9665199679,0.9665199679,388799,0.0,1.0
CTRA,2000-01-10 00:00:00+00:00,15.0,15.88,15.0,15.69,63867,0.9704015742,1.0273317999,0.9704015742,1.0150400466,766403,0.0,1.0
CTRA,2000-01-11 00:00:00+00:00,14.44,14.94,14.44,14.94,60267,0.9341732487,0.9665199679,0.9341732487,0.9665199679,723203,0.0,1.0
CTRA,2000-01-12 00:00:00+00:00,14.19,14.44,14.19,14.44,45600,0.9179998892,0.9341732487,0.9179998892,0.9341732487,547199,0.0,1.0
CTRA,2000-01-13 00:00:00+00:00,14.25,14.25,14.06,14.25,161667,0.9218814955,0.9218814955,0.9095897422,0.9218814955,1940003,0.0,1.0
CTRA,2000-01-14 00:00:00+00:00,14.5,14.5,14.19,14.25,91667,0.938054855,0.938054855,0.9179998892,0.9218814955,1100003,0.0,1.0
CTRA,2000-01-18 00:00:00+00:00,15.25,15.5,14.5,14.5,163067,0.9865749338,1.0027482933,0.938054855,0.938054855,1956803,0.0,1.0
CTRA,2000-01-19 00:00:00+00:00,15.19,15.5,15.06,15.31,223600,0.9826933275,1.0027482933,0.9742831805,0.9904565401,2683198,0.0,1.0
CTRA,2000-01-20 00:00:00+00:00,15.25,15.25,15.0,15.13,124467,0.9865749338,0.9865749338,0.9704015742,0.9788117212,1493603,0.0,1.0
CTRA,2000-01-21 00:00:00+00:00,15.31,15.69,15.0,15.0,110067,0.9904565401,1.0150400466,0.9704015742,0.9704015742,1320803,0.0,1.0
CTRA,2000-01-24 00:00:00+00:00,14.75,15.38,14.75,15.31,73867,0.9542282146,0.9949850807,0.9542282146,0.9904565401,886403,0.0,1.0
CTRA,2000-01-25 00:00:00+00:00,14.75,14.88,14.63,14.75,37867,0.9542282146,0.9626383616,0.946465002,0.9542282146,454403,0.0,1.0
CTRA,2000-01-26 00:00:00+00:00,15.75,16.69,14.88,14.88,153267,1.0189216529,1.0797334849,0.9626383616,0.9626383616,1839203,0.0,1.0
CTRA,2000-01-27 00:00:00+00:00,15.06,15.81,15.0,15.75,65667,0.9742831805,1.0228032592,0.9704015742,1.0189216529,788003,0.0,1.0
CTRA,2000-01-28 00:00:00+00:00,15.0,15.19,14.88,15.0,65000,0.9704015742,0.9826933275,0.9626383616,0.9704015742,779999,0.0,1.0
CTRA,2000-01-31 00:00:00+00:00,14.75,15.0,14.38,14.94,42267,0.9542282146,0.9704015742,0.9302916425,0.9665199679,507203,0.0,1.0
CTRA,2000-02-01 00:00:00+00:00,15.31,15.38,14.88,14.88,56867,0.9904565401,0.9949850807,0.9626383616,0.9626383616,682403,0.0,1.0
CTRA,2000-02-02 00:00:00+00:00,15.31,15.44,15.06,15.38,29800,0.9904565401,0.998866687,0.9742831805,0.9949850807,357599,0.0,1.0
CTRA,2000-02-03 00:00:00+00:00,15.75,15.94,15.44,15.44,72467,1.0189216529,1.0312134062,0.998866687,0.998866687,869603,0.0,1.0
CTRA,2000-02-04 00:00:00+00:00,15.69,15.88,15.69,15.69,111067,1.0150400466,1.0273317999,1.0150400466,1.0150400466,1332803,0.0,1.0
CTRA,2000-02-07 00:00:00+00:00,15.69,15.81,15.5,15.69,26667,1.0150400466,1.0228032592,1.0027482933,1.0150400466,320003,0.0,1.0
CTRA,2000-02-08 00:00:00+00:00,15.38,15.69,15.31,15.44,50200,0.9949850807,1.0150400466,0.9904565401,0.998866687,602399,0.0,1.0
CTRA,2000-02-09 00:00:00+00:00,15.19,15.44,15.19,15.25,23467,0.985281065,1.001497014,0.985281065,0.9891728928,281603,0.04,1.0
CTRA,2000-02-10 00:00:00+00:00,15.56,15.56,14.88,15.19,84067,1.0092806696,1.0092806696,0.9651732882,0.985281065,1008803,0.0,1.0
CTRA,2000-02-11 00:00:00+00:00,15.25,15.56,15.25,15.56,26400,0.9891728928,1.0092806696,0.9891728928,1.0092806696,316799,0.0,1.0
CTRA,2000-02-14 00:00:00+00:00,15.13,15.38,15.06,15.31,51067,0.9813892372,0.9976051863,0.9768487715,0.9930647205,612803,0.0,1.0
CTRA,2000-02-15 00:00:00+00:00,15.19,15.38,15.0,15.19,153467,0.985281065,0.9976051863,0.9729569437,0.985281065,1841603,0.0,1.0
CTRA,2000-02-16 00:00:00+00:00,15.19,15.25,15.0,15.25,137067,0.985281065,0.9891728928,0.9729569437,0.9891728928,1644803,0.0,1.0
CTRA,2000-02-17 00:00:00+00:00,14.88,15.19,14.75,15.13,74667,0.9651732882,0.985281065,0.9567409946,0.9813892372,896003,0.0,1.0
CTRA,2000-02-18 00:00:00+00:00,14.5,14.88,14.5,14.88,46800,0.9405250456,0.9651732882,0.9405250456,0.9651732882,561599,0.0,1.0
CTRA,2000-02-22 00:00:00+00:00,14.31,14.63,14.13,14.5,113400,0.9282009243,0.9489573391,0.916525441,0.9405250456,1360799,0.0,1.0
CTRA,2000-02-23 00:00:00+00:00,14.19,14.31,14.06,14.31,32000,0.9204172687,0.9282009243,0.9119849752,0.9282009243,383999,0.0,1.0
CTRA,2000-02-24 00:00:00+00:00,14.44,14.75,14.13,14.13,30000,0.9366332178,0.9567409946,0.916525441,0.916525441,359999,0.0,1.0
