symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CVS,2000-01-03 00:00:00+00:00,37.81,40.19,36.94,40.0,3251500,13.422140271,14.26701448,13.1132996987,14.199566539,6503000,0.0,1.0
CVS,2000-01-04 00:00:00+00:00,37.5,38.19,36.88,37.5,2833500,13.3120936303,13.5570361531,13.0920003489,13.3120936303,5667000,0.0,1.0
CVS,2000-01-05 00:00:00+00:00,39.75,39.94,37.56,37.63,2847000,14.1108192481,14.1782671892,13.3333929801,13.3582422215,5694000,0.0,1.0
CVS,2000-01-06 00:00:00+00:00,36.75,39.38,36.19,39.38,3601600,13.0458517577,13.9794732576,12.8470578261,13.9794732576,7203200,0.0,1.0
CVS,2000-01-07 00:00:00+00:00,37.63,37.75,35.31,37.0,3483500,13.3582422215,13.4008409212,12.5346673623,13.1345990486,6967000,0.0,1.0
CVS,2000-01-10 00:00:00+00:00,37.56,39.94,36.38,39.38,4393200,13.3333929801,14.1782671892,12.9145057672,13.9794732576,8786400,0.0,1.0
CVS,2000-01-11 00:00:00+00:00,37.69,38.88,37.44,37.63,3254200,13.3795415713,13.8019786759,13.2907942805,13.3582422215,6508400,0.0,1.0
CVS,2000-01-12 00:00:00+00:00,37.63,38.06,36.63,37.75,2311900,13.3582422215,13.5108875618,13.0032530581,13.4008409212,4623800,0.0,1.0
CVS,2000-01-13 00:00:00+00:00,36.88,37.69,36.56,37.63,2561500,13.0920003489,13.3795415713,12.9784038166,13.3582422215,5123000,0.0,1.0
CVS,2000-01-14 00:00:00+00:00,35.88,36.81,34.63,36.81,6575100,12.7370111855,13.0671511075,12.2932747311,13.0671511075,13150200,0.0,1.0
CVS,2000-01-18 00:00:00+00:00,36.0,36.44,35.38,35.63,2743500,12.7796098851,12.935805117,12.5595166037,12.6482638946,5487000,0.0,1.0
CVS,2000-01-19 00:00:00+00:00,35.81,36.25,35.44,35.94,2135400,12.712161944,12.8683571759,12.5808159535,12.7583105353,4270800,0.0,1.0
CVS,2000-01-20 00:00:00+00:00,33.72,35.56,32.63,35.5,4566000,11.9908239638,12.6451275253,11.6032202236,12.6237915396,9132000,0.058,1.0
CVS,2000-01-21 00:00:00+00:00,34.5,34.94,33.69,34.0,3956800,12.2681917779,12.4246556731,11.980155971,12.0903918971,7913600,0.0,1.0
CVS,2000-01-24 00:00:00+00:00,34.44,35.19,34.06,34.75,3458800,12.2468557922,12.5135556135,12.1117278828,12.3570917184,6917600,0.0,1.0
CVS,2000-01-25 00:00:00+00:00,34.0,34.94,33.94,34.5,1723500,12.0903918971,12.4246556731,12.0690559114,12.2681917779,3447000,0.0,1.0
CVS,2000-01-26 00:00:00+00:00,34.06,34.88,33.69,34.19,1706100,12.1117278828,12.4033196874,11.980155971,12.1579558518,3412200,0.0,1.0
CVS,2000-01-27 00:00:00+00:00,33.44,34.5,33.0,34.5,1392700,11.8912560306,12.2681917779,11.7347921354,12.2681917779,2785400,0.0,1.0
CVS,2000-01-28 00:00:00+00:00,34.81,35.75,33.19,33.63,2217200,12.3784277041,12.71269148,11.8023560901,11.9588199853,4434400,0.0,1.0
CVS,2000-01-31 00:00:00+00:00,34.94,35.0,34.31,34.88,1682400,12.4246556731,12.4459916588,12.2006278232,12.4033196874,3364800,0.0,1.0
CVS,2000-02-01 00:00:00+00:00,35.06,35.06,34.06,34.81,1696700,12.4673276445,12.4673276445,12.1117278828,12.3784277041,3393400,0.0,1.0
CVS,2000-02-02 00:00:00+00:00,36.75,37.63,35.31,35.5,3690000,13.0682912417,13.381219032,12.5562275849,12.6237915396,7380000,0.0,1.0
CVS,2000-02-03 00:00:00+00:00,37.75,38.94,36.44,36.94,2287100,13.4238910034,13.8470547198,12.9580553156,13.1358551964,4574200,0.0,1.0
CVS,2000-02-04 00:00:00+00:00,36.5,37.5,36.31,37.5,2581100,12.9793913013,13.334991063,12.9118273466,13.334991063,5162200,0.0,1.0
CVS,2000-02-07 00:00:00+00:00,36.44,37.56,36.13,37.56,2418300,12.9580553156,13.3563270487,12.8478193895,13.3563270487,4836600,0.0,1.0
CVS,2000-02-08 00:00:00+00:00,40.0,40.88,37.5,39.0,7800100,14.2239904672,14.5369182575,13.334991063,13.8683907055,15600200,0.0,1.0
CVS,2000-02-09 00:00:00+00:00,39.0,40.0,38.81,40.0,4088800,13.8683907055,14.2239904672,13.8008267508,14.2239904672,8177600,0.0,1.0
CVS,2000-02-10 00:00:00+00:00,40.63,41.5,40.0,40.75,4961600,14.448018317,14.7573901097,14.2239904672,14.4906902884,9923200,0.0,1.0
CVS,2000-02-11 00:00:00+00:00,39.63,40.69,39.56,40.69,2421600,14.0924185554,14.4693543027,14.067526572,14.4693543027,4843200,0.0,1.0
