symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
D,2000-01-03 00:00:00+00:00,38.13,39.0,38.06,39.0,1036700,7.4720156274,7.6425022153,7.4582983158,7.6425022153,2073400,0.0,1.0
D,2000-01-04 00:00:00+00:00,39.06,39.13,37.75,38.13,1665400,7.654259911,7.6679772227,7.3975502212,7.4720156274,3330800,0.0,1.0
D,2000-01-05 00:00:00+00:00,40.38,40.69,39.5,39.5,3203300,7.9129292168,7.9736773113,7.7404830129,7.7404830129,6406600,0.0,1.0
D,2000-01-06 00:00:00+00:00,40.56,41.13,40.31,40.63,2416800,7.9482023039,8.0599004132,7.8992119051,7.9619196156,4833600,0.0,1.0
D,2000-01-07 00:00:00+00:00,40.56,40.94,40.38,40.5,1667600,7.9482023039,8.0226677101,7.9129292168,7.9364446082,3335200,0.0,1.0
D,2000-01-10 00:00:00+00:00,40.56,41.0,40.5,41.0,1306200,7.9482023039,8.0344254058,7.9364446082,8.0344254058,2612400,0.0,1.0
D,2000-01-11 00:00:00+00:00,40.69,40.94,40.38,40.5,1188300,7.9736773113,8.0226677101,7.9129292168,7.9364446082,2376600,0.0,1.0
D,2000-01-12 00:00:00+00:00,41.0,41.63,40.69,40.69,1765000,8.0344254058,8.1578812109,7.9736773113,7.9736773113,3530000,0.0,1.0
D,2000-01-13 00:00:00+00:00,41.56,41.63,41.0,41.0,2410000,8.1441638992,8.1578812109,8.0344254058,8.0344254058,4820000,0.0,1.0
D,2000-01-14 00:00:00+00:00,41.63,41.75,41.38,41.69,1970400,8.1578812109,8.1813966023,8.108890812,8.1696389066,3940800,0.0,1.0
D,2000-01-18 00:00:00+00:00,41.56,41.75,41.25,41.63,1155400,8.1441638992,8.1813966023,8.0834158047,8.1578812109,2310800,0.0,1.0
D,2000-01-19 00:00:00+00:00,42.25,42.5,41.75,41.94,1889900,8.2793773999,8.3283677987,8.1813966023,8.2186293054,3779800,0.0,1.0
