symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DAL,2007-05-03 00:00:00+00:00,20.72,21.95,20.55,21.75,8052800,18.4091184463,19.5019377363,18.2580783818,19.3242435428,8052800,0.0,1.0
DAL,2007-05-04 00:00:00+00:00,20.98,21.35,20.7,21.05,5437300,18.6401208978,18.9688551558,18.3913490269,18.7023138655,5437300,0.0,1.0
DAL,2007-05-07 00:00:00+00:00,20.36,21.29,20.2,21.2,2646300,18.089268898,18.9155468977,17.9471135432,18.8355845106,2646300,0.0,1.0
DAL,2007-05-08 00:00:00+00:00,19.63,20.0,19.3,20.0,4166100,17.4406850917,17.7694193497,17.1474896724,17.7694193497,4166100,0.0,1.0
DAL,2007-05-09 00:00:00+00:00,19.79,20.2,19.63,19.75,7541100,17.5828404465,17.9471135432,17.4406850917,17.5473016078,7541100,0.0,1.0
DAL,2007-05-10 00:00:00+00:00,19.7,19.99,19.55,19.79,3170600,17.5028780594,17.76053464,17.3696074143,17.5828404465,3170600,0.0,1.0
DAL,2007-05-11 00:00:00+00:00,19.3,19.8,19.11,19.71,3539400,17.1474896724,17.5917251562,16.9786801886,17.5117627691,3539400,0.0,1.0
DAL,2007-05-14 00:00:00+00:00,18.89,19.39,18.75,19.15,1924800,16.7832165758,17.2274520595,16.6588306403,17.0142190273,1924800,0.0,1.0
DAL,2007-05-15 00:00:00+00:00,18.2,18.85,18.15,18.66,3438700,16.1701716082,16.7476777371,16.1257480598,16.5788682532,3438700,0.0,1.0
DAL,2007-05-16 00:00:00+00:00,18.34,18.48,18.02,18.06,2607600,16.2945575436,16.4189434791,16.010246834,16.0457856727,2607600,0.0,1.0
DAL,2007-05-17 00:00:00+00:00,19.02,19.75,18.67,18.75,8979000,16.8987178015,17.5473016078,16.5877529629,16.6588306403,8979000,0.0,1.0
DAL,2007-05-18 00:00:00+00:00,19.31,19.49,18.54,19.25,6562200,17.1563743821,17.3162991563,16.4722517371,17.1030661241,6562200,0.0,1.0
DAL,2007-05-21 00:00:00+00:00,19.0,19.34,19.0,19.2,2077700,16.8809483822,17.1830285111,16.8809483822,17.0586425757,2077700,0.0,1.0
DAL,2007-05-22 00:00:00+00:00,19.48,19.53,19.0,19.1,4014700,17.3074144466,17.3518379949,16.8809483822,16.9697954789,4014700,0.0,1.0
DAL,2007-05-23 00:00:00+00:00,19.21,19.7,19.1,19.5,2387100,17.0675272854,17.5028780594,16.9697954789,17.3251838659,2387100,0.0,1.0
DAL,2007-05-24 00:00:00+00:00,19.02,19.33,18.85,19.21,2362000,16.8987178015,17.1741438015,16.7476777371,17.0675272854,2362000,0.0,1.0
DAL,2007-05-25 00:00:00+00:00,18.76,19.05,18.69,19.02,895000,16.66771535,16.9253719306,16.6055223823,16.8987178015,895000,0.0,1.0
DAL,2007-05-29 00:00:00+00:00,19.09,19.2,18.85,18.91,2918800,16.9609107693,17.0586425757,16.7476777371,16.8009859951,2918800,0.0,1.0
DAL,2007-05-30 00:00:00+00:00,18.98,19.15,18.81,19.05,2829300,16.8631789628,17.0142190273,16.7121388984,16.9253719306,2829300,0.0,1.0
DAL,2007-05-31 00:00:00+00:00,19.05,19.28,19.03,19.15,3435200,16.9253719306,17.1297202531,16.9076025112,17.0142190273,3435200,0.0,1.0
DAL,2007-06-01 00:00:00+00:00,19.55,19.8,19.05,19.1,2299400,17.3696074143,17.5917251562,16.9253719306,16.9697954789,2299400,0.0,1.0
DAL,2007-06-04 00:00:00+00:00,18.84,19.05,18.69,18.73,5692700,16.7387930274,16.9253719306,16.6055223823,16.641061221,5692700,0.0,1.0
DAL,2007-06-05 00:00:00+00:00,18.95,19.04,18.73,18.85,4510000,16.8365248338,16.9164872209,16.641061221,16.7476777371,4510000,0.0,1.0
DAL,2007-06-06 00:00:00+00:00,18.93,18.93,18.65,18.7,2595300,16.8187554145,16.8187554145,16.5699835436,16.6144070919,2595300,0.0,1.0
DAL,2007-06-07 00:00:00+00:00,18.48,18.85,18.15,18.77,3062100,16.4189434791,16.7476777371,16.1257480598,16.6766000597,3062100,0.0,1.0
DAL,2007-06-08 00:00:00+00:00,18.83,18.83,18.2,18.2,2124100,16.7299083177,16.7299083177,16.1701716082,16.1701716082,2124100,0.0,1.0
DAL,2007-06-11 00:00:00+00:00,18.38,18.82,18.22,18.55,1870000,16.3300963823,16.721023608,16.1879410275,16.4811364468,1870000,0.0,1.0
DAL,2007-06-12 00:00:00+00:00,18.4,18.71,18.02,18.03,8636200,16.3478658017,16.6232918016,16.010246834,16.0191315437,8636200,0.0,1.0
DAL,2007-06-13 00:00:00+00:00,18.64,18.7,18.36,18.48,3110200,16.5610988339,16.6144070919,16.312326963,16.4189434791,3110200,0.0,1.0
DAL,2007-06-14 00:00:00+00:00,18.9,19.01,18.425,18.5,8069700,16.7921012854,16.8898330919,16.3700775759,16.4367128984,8069700,0.0,1.0
DAL,2007-06-15 00:00:00+00:00,18.88,19.14,18.45,18.89,3418900,16.7743318661,17.0053343176,16.3922893501,16.7832165758,3418900,0.0,1.0
DAL,2007-06-18 00:00:00+00:00,18.54,18.9,18.5,18.65,1339900,16.4722517371,16.7921012854,16.4367128984,16.5699835436,1339900,0.0,1.0
DAL,2007-06-19 00:00:00+00:00,18.87,19.08,18.55,18.59,3113000,16.7654471564,16.9520260596,16.4811364468,16.5166752855,3113000,0.0,1.0
DAL,2007-06-20 00:00:00+00:00,19.36,19.49,18.82,19.0,4031500,17.2007979305,17.3162991563,16.721023608,16.8809483822,4031500,0.0,1.0
DAL,2007-06-21 00:00:00+00:00,19.51,19.6,19.02,19.2,3985700,17.3340685756,17.4140309627,16.8987178015,17.0586425757,3985700,0.0,1.0
DAL,2007-06-22 00:00:00+00:00,19.75,19.85,19.37,19.5,11822000,17.5473016078,17.6361487045,17.2096826402,17.3251838659,11822000,0.0,1.0
DAL,2007-06-25 00:00:00+00:00,19.43,19.74,19.11,19.69,1974400,17.2629908982,17.5384168981,16.9786801886,17.4939933497,1974400,0.0,1.0
DAL,2007-06-26 00:00:00+00:00,19.49,19.66,19.27,19.5,2237000,17.3162991563,17.4673392207,17.1208355434,17.3251838659,2237000,0.0,1.0
DAL,2007-06-27 00:00:00+00:00,19.42,19.59,19.13,19.4,2216000,17.2541061885,17.405146253,16.996449608,17.2363367692,2216000,0.0,1.0
DAL,2007-06-28 00:00:00+00:00,19.67,19.89,19.6225,19.75,2547200,17.4762239304,17.6716875432,17.4340215594,17.5473016078,2547200,0.0,1.0
DAL,2007-06-29 00:00:00+00:00,19.7,19.83,19.51,19.55,2022200,17.5028780594,17.6183792852,17.3340685756,17.3696074143,2022200,0.0,1.0
DAL,2007-07-02 00:00:00+00:00,19.58,19.76,19.53,19.57,1831600,17.3962615433,17.5561863175,17.3518379949,17.3873768336,1831600,0.0,1.0
