symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DD,2000-01-03 00:00:00+00:00,65.0,66.5,65.0,66.0,2792000,64.7450564275,66.2391731143,64.7450564275,65.7411342187,1383901,0.0,1.0
DD,2000-01-04 00:00:00+00:00,65.0,66.0,64.5,64.5,2673700,64.7450564275,65.7411342187,64.2470175319,64.2470175319,1325263,0.0,1.0
DD,2000-01-05 00:00:00+00:00,67.81,68.38,65.94,65.94,4741400,67.5440350208,68.1117993617,65.6813695512,65.6813695512,2350153,0.0,1.0
DD,2000-01-06 00:00:00+00:00,71.5,72.75,67.25,67.56,6612500,71.2195620703,72.4646593092,66.9862314577,67.295015573,3277595,0.0,1.0
DD,2000-01-07 00:00:00+00:00,71.63,73.94,70.69,72.25,5250900,71.3490521831,73.6499918808,70.4127390594,71.9666204136,2602695,0.0,1.0
DD,2000-01-10 00:00:00+00:00,70.0,70.75,69.31,69.56,2930400,69.7254453835,70.4725037269,69.0381517075,69.2871711553,1452501,0.0,1.0
DD,2000-01-11 00:00:00+00:00,68.75,70.44,68.75,69.31,2424300,68.4803481445,70.1637196116,68.4803481445,69.0381517075,1201644,0.0,1.0
DD,2000-01-12 00:00:00+00:00,69.06,70.0,68.5,68.5,2324000,68.7891322597,69.7254453835,68.2313286967,68.2313286967,1151929,0.0,1.0
DD,2000-01-13 00:00:00+00:00,68.5,69.69,68.38,69.44,1829200,68.2313286967,69.4166612682,68.1117993617,69.1676418204,906673,0.0,1.0
DD,2000-01-14 00:00:00+00:00,67.39,68.88,67.25,68.75,2183100,67.1256823484,68.6098382573,66.9862314577,68.4803481445,1082089,0.0,1.0
DD,2000-01-18 00:00:00+00:00,65.5,66.56,65.31,66.38,3034200,65.2430953231,66.2989377818,65.0538405428,66.1196437793,1503951,0.0,1.0
DD,2000-01-19 00:00:00+00:00,64.63,66.63,64.38,65.63,2486900,64.3765076448,66.3686632271,64.127488197,65.372585436,1232673,0.0,1.0
DD,2000-01-20 00:00:00+00:00,64.0,64.81,62.5,64.75,2458900,63.7489786363,64.5558016472,62.2548619495,64.4960369797,1218794,0.0,1.0
DD,2000-01-21 00:00:00+00:00,63.25,65.25,63.06,64.63,2665200,63.0019202929,64.9940758753,62.8126655126,64.3765076448,1321050,0.0,1.0
