symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DFS,2007-06-14 00:00:00+00:00,28.75,30.5,28.0,28.0,3279100,22.1399728387,23.4876233593,21.5624083299,21.5624083299,3279100,0.0,1.0
DFS,2007-06-15 00:00:00+00:00,29.08,29.8,28.88,29.5,790100,22.3941012226,22.9485631511,22.2400840202,22.7175373475,790100,0.0,1.0
DFS,2007-06-18 00:00:00+00:00,29.93,30.2,29.3,29.32,1591000,23.0486743326,23.2565975558,22.5635201452,22.5789218654,1591000,0.0,1.0
DFS,2007-06-19 00:00:00+00:00,29.7,30.3,29.6,30.0,1585100,22.8715545499,23.333606157,22.7945459487,23.1025803534,1585100,0.0,1.0
DFS,2007-06-20 00:00:00+00:00,29.81,30.1,29.57,30.04,855900,22.9562640112,23.1795889546,22.7714433684,23.1333837939,855900,0.0,1.0
DFS,2007-06-21 00:00:00+00:00,31.21,31.95,29.61,30.06,842700,24.0343844277,24.6042480764,22.8022468088,23.1487855141,842700,0.0,1.0
DFS,2007-06-22 00:00:00+00:00,31.7,32.17,31.0,31.5,1490700,24.4117265735,24.773666999,23.8726663652,24.2577093711,1490700,0.0,1.0
DFS,2007-06-25 00:00:00+00:00,31.3,32.0,31.01,31.5,490000,24.1036921688,24.642752377,23.8803672253,24.2577093711,490000,0.0,1.0
DFS,2007-06-26 00:00:00+00:00,30.41,31.65,30.25,31.3,853900,23.4183156183,24.3732222729,23.2951018564,24.1036921688,853900,0.0,1.0
DFS,2007-06-27 00:00:00+00:00,29.58,30.8,29.57,30.6,1127300,22.7791442285,23.7186491629,22.7714433684,23.5646319605,1127300,0.0,1.0
DFS,2007-06-28 00:00:00+00:00,29.5,29.9,29.16,29.88,488900,22.7175373475,23.0255717523,22.4557081035,23.010170032,488900,0.0,1.0
DFS,2007-06-29 00:00:00+00:00,28.5,30.3,27.93,29.99,3085200,21.9474513358,23.333606157,21.5085023091,23.0948794933,3085200,0.0,1.0
DFS,2007-07-02 00:00:00+00:00,27.5,29.15,27.2,28.55,10999000,21.177365324,22.4480072434,20.9463395205,21.9859556364,10999000,0.0,1.0
DFS,2007-07-03 00:00:00+00:00,26.67,27.5,26.15,27.5,8600100,20.5381939342,21.177365324,20.1377492081,21.177365324,8600100,0.0,1.0
DFS,2007-07-05 00:00:00+00:00,25.93,26.92,25.74,26.25,8422000,19.9683302855,20.7307154372,19.8220139433,20.2147578093,8422000,0.0,1.0
DFS,2007-07-06 00:00:00+00:00,25.64,25.86,25.21,25.64,7211800,19.7450053421,19.9144242647,19.413868357,19.7450053421,7211800,0.0,1.0
