symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DG,2009-11-13 00:00:00+00:00,22.73,23.1,21.75,22.0,22079100,20.9289567092,21.2696392425,20.0266083777,20.2567992786,22079100,0.0,1.0
DG,2009-11-16 00:00:00+00:00,23.1,23.1,22.13,22.9,2080000,21.2696392425,21.2696392425,20.376498547,21.0854865218,2080000,0.0,1.0
DG,2009-11-17 00:00:00+00:00,23.04,23.17,22.5,23.03,1328000,21.2143934263,21.3340926947,20.7171810804,21.2051857902,1328000,0.0,1.0
DG,2009-11-18 00:00:00+00:00,22.55,23.02,22.5,23.0,918300,20.7632192605,21.1959781542,20.7171810804,21.1775628821,918300,0.0,1.0
DG,2009-11-19 00:00:00+00:00,22.87,23.14,22.27,22.27,1031500,21.0578636137,21.3064697866,20.5054054515,20.5054054515,1031500,0.0,1.0
DG,2009-11-20 00:00:00+00:00,23.21,23.33,22.5,22.5,1080900,21.3709232389,21.4814148713,20.7171810804,20.7171810804,1080900,0.0,1.0
DG,2009-11-23 00:00:00+00:00,23.4,23.98,23.18,23.7,741100,21.5458683236,22.0799112136,21.3433003308,21.8220974046,741100,0.0,1.0
DG,2009-11-24 00:00:00+00:00,23.5,23.65,23.25,23.6,633100,21.6379446839,21.7760592245,21.407753783,21.7300210443,633100,0.0,1.0
DG,2009-11-25 00:00:00+00:00,23.74,23.8,22.99,23.0,362600,21.8589279488,21.914173765,21.1683552461,21.1775628821,362600,0.0,1.0
DG,2009-11-27 00:00:00+00:00,23.15,23.3,22.74,22.74,141400,21.3156774227,21.4537919632,20.9381643452,20.9381643452,141400,0.0,1.0
DG,2009-11-30 00:00:00+00:00,23.0,23.12,22.62,23.12,853000,21.1775628821,21.2880545146,20.8276727128,21.2880545146,853000,0.0,1.0
DG,2009-12-01 00:00:00+00:00,23.31,23.57,23.0,23.44,803500,21.4629995992,21.7023981362,21.1775628821,21.5826988677,803500,0.0,1.0
DG,2009-12-02 00:00:00+00:00,23.6,23.75,23.25,23.29,571300,21.7300210443,21.8681355848,21.407753783,21.4445843272,571300,0.0,1.0
DG,2009-12-03 00:00:00+00:00,23.31,23.82,23.0,23.82,410000,21.4629995992,21.9325890371,21.1775628821,21.9325890371,410000,0.0,1.0
DG,2009-12-04 00:00:00+00:00,23.85,23.98,23.3,23.47,318100,21.9602119452,22.0799112136,21.4537919632,21.6103217758,318100,0.0,1.0
DG,2009-12-07 00:00:00+00:00,23.63,23.77,23.28,23.77,271500,21.7576439524,21.8865508569,21.4353766911,21.8865508569,271500,0.0,1.0
DG,2009-12-08 00:00:00+00:00,23.63,23.75,23.0,23.5,652900,21.7576439524,21.8681355848,21.1775628821,21.6379446839,652900,0.0,1.0
DG,2009-12-09 00:00:00+00:00,24.0,24.12,23.5,23.63,609400,22.0983264857,22.2088181181,21.6379446839,21.7576439524,609400,0.0,1.0
DG,2009-12-10 00:00:00+00:00,23.7,24.77,23.39,24.77,848400,21.8220974046,22.8073144605,21.5366606875,22.8073144605,848400,0.0,1.0
DG,2009-12-11 00:00:00+00:00,23.34,23.74,23.113,23.6,600300,21.4906225074,21.8589279488,21.2816091693,21.7300210443,600300,0.0,1.0
DG,2009-12-14 00:00:00+00:00,22.8,23.33,22.75,23.29,489100,20.9934101614,21.4814148713,20.9473719812,21.4445843272,489100,0.0,1.0
DG,2009-12-15 00:00:00+00:00,22.69,22.89,22.52,22.8,700100,20.892126165,21.0762788857,20.7355963524,20.9934101614,700100,0.0,1.0
DG,2009-12-16 00:00:00+00:00,22.73,23.05,22.55,22.84,585400,20.9289567092,21.2236010623,20.7632192605,21.0302407056,585400,0.0,1.0
DG,2009-12-17 00:00:00+00:00,22.44,22.75,22.08,22.75,634000,20.6619352641,20.9473719812,20.3304603669,20.9473719812,634000,0.0,1.0
DG,2009-12-18 00:00:00+00:00,22.57,22.61,22.11,22.61,2105100,20.7816345326,20.8184650767,20.358083275,20.8184650767,2105100,0.0,1.0
DG,2009-12-21 00:00:00+00:00,22.6,22.61,22.17,22.5,536400,20.8092574407,20.8184650767,20.4133290912,20.7171810804,536400,0.0,1.0
DG,2009-12-22 00:00:00+00:00,22.4,22.61,22.3,22.58,766100,20.62510472,20.8184650767,20.5330283596,20.7908421686,766100,0.0,1.0
