symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DGX,2000-01-03 00:00:00+00:00,30.0,30.94,29.75,30.81,98700,5.6768454854,5.8547199773,5.6295384397,5.8301203136,394800,0.0,1.0
DGX,2000-01-04 00:00:00+00:00,29.94,30.06,29.63,29.81,231100,5.6654917945,5.6881991764,5.6068310578,5.6408921307,924400,0.0,1.0
DGX,2000-01-05 00:00:00+00:00,29.69,30.0,29.5,30.0,156000,5.6181847488,5.6768454854,5.582231394,5.6768454854,624000,0.0,1.0
DGX,2000-01-06 00:00:00+00:00,29.81,29.81,29.13,29.56,112600,5.6408921307,5.6408921307,5.5122169664,5.593585085,450400,0.0,1.0
DGX,2000-01-07 00:00:00+00:00,31.0,31.06,29.69,29.81,402100,5.8660736683,5.8774273593,5.6181847488,5.6408921307,1608400,0.0,1.0
DGX,2000-01-10 00:00:00+00:00,31.56,32.44,31.06,31.06,155200,5.9720414507,6.1385622516,5.8774273593,5.8774273593,620800,0.0,1.0
DGX,2000-01-11 00:00:00+00:00,31.5,31.88,31.19,31.38,143900,5.9606877597,6.0325944692,5.902027023,5.9379803778,575600,0.0,1.0
DGX,2000-01-12 00:00:00+00:00,31.38,31.44,31.0,31.44,169200,5.9379803778,5.9493340687,5.8660736683,5.9493340687,676800,0.0,1.0
DGX,2000-01-13 00:00:00+00:00,32.56,32.81,31.56,31.56,175000,6.1612696335,6.2085766793,5.9720414507,5.9720414507,700000,0.0,1.0
DGX,2000-01-14 00:00:00+00:00,31.13,32.63,31.13,32.63,61200,5.8906733321,6.1745156063,5.8906733321,6.1745156063,244800,0.0,1.0
DGX,2000-01-18 00:00:00+00:00,31.69,31.75,30.94,31.0,121300,5.9966411145,6.0079948054,5.8547199773,5.8660736683,485200,0.0,1.0
DGX,2000-01-19 00:00:00+00:00,31.5,32.0,31.5,31.56,185400,5.9606877597,6.0553018511,5.9606877597,5.9720414507,741600,0.0,1.0
DGX,2000-01-20 00:00:00+00:00,31.69,31.75,31.44,31.69,83000,5.9966411145,6.0079948054,5.9493340687,5.9966411145,332000,0.0,1.0
DGX,2000-01-21 00:00:00+00:00,31.69,31.81,31.38,31.38,240000,5.9966411145,6.0193484964,5.9379803778,5.9379803778,960000,0.0,1.0
DGX,2000-01-24 00:00:00+00:00,31.75,31.88,31.63,31.63,92800,6.0079948054,6.0325944692,5.9852874235,5.9852874235,371200,0.0,1.0
DGX,2000-01-25 00:00:00+00:00,32.06,32.31,31.63,31.75,410800,6.0666555421,6.1139625878,5.9852874235,6.0079948054,1643200,0.0,1.0
DGX,2000-01-26 00:00:00+00:00,36.0,36.88,32.06,32.06,395500,6.8122145825,6.9787353834,6.0666555421,6.0666555421,1582000,0.0,1.0
DGX,2000-01-27 00:00:00+00:00,33.0,36.38,33.0,36.06,348000,6.244530034,6.884121292,6.244530034,6.8235682735,1392000,0.0,1.0
DGX,2000-01-28 00:00:00+00:00,33.63,34.44,33.25,33.25,269500,6.3637437892,6.5170186173,6.2918370797,6.2918370797,1078000,0.0,1.0
DGX,2000-01-31 00:00:00+00:00,34.0,34.13,33.81,33.81,150000,6.4337582168,6.4583578806,6.3978048621,6.3978048621,600000,0.0,1.0
DGX,2000-02-01 00:00:00+00:00,33.5,34.0,33.19,34.0,53500,6.3391441254,6.4337582168,6.2804833887,6.4337582168,214000,0.0,1.0
DGX,2000-02-02 00:00:00+00:00,33.56,34.12,33.38,33.62,114000,6.3504978164,6.4564655988,6.3164367435,6.3618515074,456000,0.0,1.0
DGX,2000-02-03 00:00:00+00:00,34.44,34.88,33.94,34.0,124200,6.5170186173,6.6002790177,6.4224045259,6.4337582168,496800,0.0,1.0
DGX,2000-02-04 00:00:00+00:00,35.19,35.63,34.5,34.5,115500,6.6589397544,6.7422001549,6.5283723083,6.5283723083,462000,0.0,1.0
DGX,2000-02-07 00:00:00+00:00,35.44,35.56,35.06,35.06,191900,6.7062468001,6.7289541821,6.6343400907,6.6343400907,767600,0.0,1.0
DGX,2000-02-08 00:00:00+00:00,35.75,35.75,35.44,35.44,108600,6.7649075368,6.7649075368,6.7062468001,6.7062468001,434400,0.0,1.0
DGX,2000-02-09 00:00:00+00:00,36.13,36.56,35.5,36.0,221600,6.8368142463,6.9181823649,6.7176004911,6.8122145825,886400,0.0,1.0
DGX,2000-02-10 00:00:00+00:00,36.38,36.63,36.19,36.5,98600,6.884121292,6.9314283377,6.8481679373,6.906828674,394400,0.0,1.0
DGX,2000-02-11 00:00:00+00:00,35.31,36.44,35.31,36.44,84200,6.6816471364,6.895474983,6.6816471364,6.895474983,336800,0.0,1.0
DGX,2000-02-14 00:00:00+00:00,34.63,35.13,34.44,35.13,53600,6.552971972,6.6475860635,6.5170186173,6.6475860635,214400,0.0,1.0
DGX,2000-02-15 00:00:00+00:00,34.88,35.0,34.69,34.75,142500,6.6002790177,6.6229863997,6.564325663,6.575679354,570000,0.0,1.0
DGX,2000-02-16 00:00:00+00:00,35.19,35.19,34.91,34.94,328800,6.6589397544,6.6589397544,6.6059558632,6.6116327087,1315200,0.0,1.0
DGX,2000-02-17 00:00:00+00:00,35.31,36.25,35.31,35.44,214400,6.6816471364,6.8595216282,6.6816471364,6.7062468001,857600,0.0,1.0
DGX,2000-02-18 00:00:00+00:00,34.56,35.44,34.5,35.44,46800,6.5397259992,6.7062468001,6.5283723083,6.7062468001,187200,0.0,1.0
DGX,2000-02-22 00:00:00+00:00,35.25,35.25,34.38,34.56,51100,6.6702934454,6.6702934454,6.5056649263,6.5397259992,204400,0.0,1.0
DGX,2000-02-23 00:00:00+00:00,35.5,35.56,35.19,35.19,221600,6.7176004911,6.7289541821,6.6589397544,6.6589397544,886400,0.0,1.0
DGX,2000-02-24 00:00:00+00:00,35.06,35.88,35.06,35.38,93100,6.6343400907,6.7895072006,6.6343400907,6.6948931092,372400,0.0,1.0
DGX,2000-02-25 00:00:00+00:00,35.0,35.31,34.75,34.94,227600,6.6229863997,6.6816471364,6.575679354,6.6116327087,910400,0.0,1.0
DGX,2000-02-28 00:00:00+00:00,34.13,35.06,34.06,35.06,57000,6.4583578806,6.6343400907,6.4451119078,6.6343400907,228000,0.0,1.0
DGX,2000-02-29 00:00:00+00:00,34.31,34.31,33.75,34.19,94800,6.4924189535,6.4924189535,6.3864511711,6.4697115716,379200,0.0,1.0
DGX,2000-03-01 00:00:00+00:00,35.88,36.31,34.38,34.5,110300,6.7895072006,6.8708753192,6.5056649263,6.5283723083,441200,0.0,1.0
DGX,2000-03-02 00:00:00+00:00,36.0,36.19,35.63,36.13,60400,6.8122145825,6.8481679373,6.7422001549,6.8368142463,241600,0.0,1.0
DGX,2000-03-03 00:00:00+00:00,36.88,36.88,36.13,36.13,238000,6.9787353834,6.9787353834,6.8368142463,6.8368142463,952000,0.0,1.0
DGX,2000-03-06 00:00:00+00:00,38.56,40.38,38.5,38.5,244100,7.2966387306,7.6410340234,7.2852850397,7.2852850397,976400,0.0,1.0
DGX,2000-03-07 00:00:00+00:00,36.88,39.13,36.06,39.13,206100,6.9787353834,7.4044987949,6.8235682735,7.4044987949,824400,0.0,1.0
DGX,2000-03-08 00:00:00+00:00,37.19,37.75,36.88,36.88,177500,7.0373961201,7.1433639025,6.9787353834,6.9787353834,710000,0.0,1.0
DGX,2000-03-09 00:00:00+00:00,37.56,37.63,37.06,37.06,127500,7.1074105478,7.1206565206,7.0127964564,7.0127964564,510000,0.0,1.0
DGX,2000-03-10 00:00:00+00:00,36.81,37.5,36.75,37.5,74800,6.9654894106,7.0960568568,6.9541357197,7.0960568568,299200,0.0,1.0
DGX,2000-03-13 00:00:00+00:00,36.69,36.88,36.5,36.75,49100,6.9427820287,6.9787353834,6.906828674,6.9541357197,196400,0.0,1.0
DGX,2000-03-14 00:00:00+00:00,35.75,37.38,35.75,36.63,195000,6.7649075368,7.0733494749,6.7649075368,6.9314283377,780000,0.0,1.0
DGX,2000-03-15 00:00:00+00:00,36.19,36.5,34.5,35.75,71700,6.8481679373,6.906828674,6.5283723083,6.7649075368,286800,0.0,1.0
DGX,2000-03-16 00:00:00+00:00,39.25,39.25,36.44,36.44,69400,7.4272061768,7.4272061768,6.895474983,6.895474983,277600,0.0,1.0
DGX,2000-03-17 00:00:00+00:00,39.69,39.88,39.25,39.25,109700,7.5104665772,7.546419932,7.4272061768,7.4272061768,438800,0.0,1.0
DGX,2000-03-20 00:00:00+00:00,38.0,40.0,37.38,39.56,142300,7.1906709482,7.5691273139,7.0733494749,7.4858669135,569200,0.0,1.0
DGX,2000-03-21 00:00:00+00:00,35.75,37.25,35.0,37.25,108300,6.7649075368,7.0487498111,6.6229863997,7.0487498111,433200,0.0,1.0
DGX,2000-03-22 00:00:00+00:00,37.06,37.44,35.69,35.69,158500,7.0127964564,7.0847031658,6.7535538459,6.7535538459,634000,0.0,1.0
DGX,2000-03-23 00:00:00+00:00,36.75,37.88,36.75,37.06,203700,6.9541357197,7.1679635663,6.9541357197,7.0127964564,814800,0.0,1.0
DGX,2000-03-24 00:00:00+00:00,35.81,36.81,35.75,36.62,63200,6.7762612278,6.9654894106,6.7649075368,6.9295360559,252800,0.0,1.0
DGX,2000-03-27 00:00:00+00:00,35.44,36.0,35.44,36.0,58300,6.7062468001,6.8122145825,6.7062468001,6.8122145825,233200,0.0,1.0
DGX,2000-03-28 00:00:00+00:00,37.69,38.63,35.63,35.88,315300,7.1320102116,7.3098847034,6.7422001549,6.7895072006,1261200,0.0,1.0
DGX,2000-03-29 00:00:00+00:00,37.0,37.81,36.5,37.69,103600,7.0014427654,7.1547175935,6.906828674,7.1320102116,414400,0.0,1.0
DGX,2000-03-30 00:00:00+00:00,36.94,37.0,36.44,36.5,147000,6.9900890744,7.0014427654,6.895474983,6.906828674,588000,0.0,1.0
DGX,2000-03-31 00:00:00+00:00,39.75,39.75,36.88,37.0,150000,7.5218202682,7.5218202682,6.9787353834,7.0014427654,600000,0.0,1.0
DGX,2000-04-03 00:00:00+00:00,39.81,41.25,39.5,40.0,113600,7.5331739592,7.8056625425,7.4745132225,7.5691273139,454400,0.0,1.0
DGX,2000-04-04 00:00:00+00:00,38.38,39.75,37.0,39.75,201700,7.2625776577,7.5218202682,7.0014427654,7.5218202682,806800,0.0,1.0
DGX,2000-04-05 00:00:00+00:00,40.13,40.25,37.63,38.38,532000,7.5937269777,7.6164343596,7.1206565206,7.2625776577,2128000,0.0,1.0
DGX,2000-04-06 00:00:00+00:00,41.44,42.5,39.88,40.13,284100,7.8416158972,8.0421977711,7.546419932,7.5937269777,1136400,0.0,1.0
DGX,2000-04-07 00:00:00+00:00,42.0,42.5,41.44,41.44,259400,7.9475836796,8.0421977711,7.8416158972,7.8416158972,1037600,0.0,1.0
DGX,2000-04-10 00:00:00+00:00,41.5,42.88,41.25,42.0,84800,7.8529695882,8.1141044805,7.8056625425,7.9475836796,339200,0.0,1.0
DGX,2000-04-11 00:00:00+00:00,41.94,42.0,41.25,41.5,97400,7.9362299887,7.9475836796,7.8056625425,7.8529695882,389600,0.0,1.0
DGX,2000-04-12 00:00:00+00:00,42.13,42.75,41.69,41.75,273300,7.9721833434,8.0895048168,7.8889229429,7.9002766339,1093200,0.0,1.0
DGX,2000-04-13 00:00:00+00:00,42.69,43.0,42.13,42.13,172100,8.0781511258,8.1368118625,7.9721833434,7.9721833434,688400,0.0,1.0
DGX,2000-04-14 00:00:00+00:00,44.5,45.25,43.5,43.5,485100,8.4206541367,8.5625752739,8.2314259539,8.2314259539,1940400,0.0,1.0
DGX,2000-04-17 00:00:00+00:00,50.25,53.25,44.56,44.56,624600,9.5087161881,10.0764007367,8.4320078277,8.4320078277,2498400,0.0,1.0
DGX,2000-04-18 00:00:00+00:00,56.0,56.69,51.25,51.25,807200,10.5967782395,10.7273456857,9.697944371,9.697944371,3228800,0.0,1.0
DGX,2000-04-19 00:00:00+00:00,55.06,56.94,53.0,55.75,611800,10.4189037476,10.7746527314,10.029093691,10.5494711938,2447200,0.0,1.0
DGX,2000-04-20 00:00:00+00:00,53.63,55.38,51.5,55.13,332100,10.1483074462,10.4794567661,9.7452514167,10.4321497204,1328400,0.0,1.0
DGX,2000-04-24 00:00:00+00:00,53.75,55.44,53.13,53.5,416900,10.1710148281,10.4908104571,10.0536933547,10.1237077824,1667600,0.0,1.0
DGX,2000-04-25 00:00:00+00:00,57.25,57.5,54.75,54.75,578600,10.8333134681,10.8806205138,10.3602430109,10.3602430109,2314400,0.0,1.0
DGX,2000-04-26 00:00:00+00:00,59.0,60.69,56.38,57.0,453700,11.164462788,11.4842584171,10.668684949,10.7860064224,1814800,0.0,1.0
DGX,2000-04-27 00:00:00+00:00,59.0,59.63,57.75,59.0,324000,11.164462788,11.2836765432,10.9279275595,11.164462788,1296000,0.0,1.0
DGX,2000-04-28 00:00:00+00:00,58.19,58.75,55.75,58.5,302700,11.0111879599,11.1171557423,10.5494711938,11.0698486966,1210800,0.0,1.0
DGX,2000-05-01 00:00:00+00:00,59.06,59.75,57.94,57.94,267500,11.175816479,11.3063839252,10.9638809142,10.9638809142,1070000,0.0,1.0
DGX,2000-05-02 00:00:00+00:00,58.25,60.75,57.88,59.0,448300,11.0225416509,11.495612108,10.9525272233,11.164462788,1793200,0.0,1.0
