symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DHI,2000-01-03 00:00:00+00:00,13.25,13.81,13.12,13.81,280000,2.9296288529,3.0534471289,2.9008853245,3.0534471289,932399,0.0,1.0
DHI,2000-01-04 00:00:00+00:00,12.75,13.38,12.25,13.38,189467,2.8190768207,2.9583723812,2.7085247885,2.9583723812,630925,0.0,1.0
DHI,2000-01-05 00:00:00+00:00,12.94,13.0,12.69,12.81,167233,2.8610865929,2.8743528368,2.8058105768,2.8323430645,556885,0.0,1.0
DHI,2000-01-06 00:00:00+00:00,12.25,12.88,12.25,12.88,827767,2.7085247885,2.847820349,2.7085247885,2.847820349,2756463,0.0,1.0
DHI,2000-01-07 00:00:00+00:00,12.69,12.88,12.31,12.38,228167,2.8058105768,2.847820349,2.7217910324,2.7372683169,759796,0.0,1.0
DHI,2000-01-10 00:00:00+00:00,12.94,12.94,12.44,12.69,193867,2.8610865929,2.8610865929,2.7505345607,2.8058105768,645577,0.0,1.0
DHI,2000-01-11 00:00:00+00:00,12.13,12.94,12.06,12.94,976167,2.6819923008,2.8610865929,2.6665150163,2.8610865929,3250635,0.0,1.0
DHI,2000-01-12 00:00:00+00:00,12.0,12.25,11.94,12.13,403367,2.6532487724,2.7085247885,2.6399825285,2.6819923008,1343211,0.0,1.0
DHI,2000-01-13 00:00:00+00:00,12.13,12.31,11.94,12.25,394033,2.6819923008,2.7217910324,2.6399825285,2.7085247885,1312129,0.0,1.0
DHI,2000-01-14 00:00:00+00:00,12.69,12.69,11.88,12.19,324000,2.8058105768,2.8058105768,2.6267162847,2.6952585446,1078919,0.0,1.0
DHI,2000-01-18 00:00:00+00:00,12.06,12.19,11.88,12.13,294400,2.6665150163,2.6952585446,2.6267162847,2.6819923008,980351,0.0,1.0
DHI,2000-01-19 00:00:00+00:00,11.75,12.25,11.63,12.25,260967,2.5979727563,2.7085247885,2.5714402686,2.7085247885,869020,0.0,1.0
DHI,2000-01-20 00:00:00+00:00,11.75,11.88,11.38,11.88,417867,2.5979727563,2.6267162847,2.5161642525,2.6267162847,1391496,0.0,1.0
DHI,2000-01-21 00:00:00+00:00,11.63,11.75,11.31,11.75,377200,2.5714402686,2.5979727563,2.500686968,2.5979727563,1256075,0.0,1.0
DHI,2000-01-24 00:00:00+00:00,11.63,12.13,11.5,12.06,594400,2.5714402686,2.6819923008,2.5426967402,2.6665150163,1979351,0.0,1.0
DHI,2000-01-25 00:00:00+00:00,11.0,11.75,10.88,11.75,355200,2.432144708,2.5979727563,2.4056122203,2.5979727563,1182815,0.0,1.0
DHI,2000-01-26 00:00:00+00:00,11.19,11.5,11.13,11.13,389200,2.4741544803,2.5426967402,2.4608882364,2.4608882364,1296035,0.0,1.0
DHI,2000-01-27 00:00:00+00:00,11.31,11.63,11.25,11.25,373633,2.500686968,2.5714402686,2.4874207241,2.4874207241,1244197,0.0,1.0
DHI,2000-01-28 00:00:00+00:00,11.13,11.38,11.13,11.25,354833,2.4608882364,2.5161642525,2.4608882364,2.4874207241,1181593,0.0,1.0
DHI,2000-01-31 00:00:00+00:00,11.63,12.0,11.38,12.0,492033,2.5714402686,2.6532487724,2.5161642525,2.6532487724,1638469,0.0,1.0
DHI,2000-02-01 00:00:00+00:00,11.44,11.69,11.31,11.69,342800,2.5294304964,2.5847065124,2.500686968,2.5847065124,1141523,0.0,1.0
DHI,2000-02-02 00:00:00+00:00,11.63,11.88,11.44,11.88,500567,2.5714402686,2.6267162847,2.5294304964,2.6267162847,1666887,0.0,1.0
DHI,2000-02-03 00:00:00+00:00,12.19,12.44,11.69,11.69,705467,2.7025549788,2.7579806346,2.5917036671,2.5917036671,2349204,0.033,1.0
DHI,2000-02-04 00:00:00+00:00,12.13,12.63,12.06,12.63,298433,2.6892528214,2.800104133,2.6737336377,2.800104133,993781,0.0,1.0
DHI,2000-02-07 00:00:00+00:00,12.31,12.38,12.13,12.38,333633,2.7291592936,2.7446784772,2.6892528214,2.7446784772,1110997,0.0,1.0
DHI,2000-02-08 00:00:00+00:00,12.38,12.75,12.25,12.31,420433,2.7446784772,2.8267084478,2.7158571362,2.7291592936,1400041,0.0,1.0
DHI,2000-02-09 00:00:00+00:00,12.44,13.0,12.38,12.94,255233,2.7579806346,2.8821341037,2.7446784772,2.8688319463,849925,0.0,1.0
DHI,2000-02-10 00:00:00+00:00,12.38,13.31,12.31,13.31,576433,2.7446784772,2.9508619169,2.7291592936,2.9508619169,1919521,0.0,1.0
DHI,2000-02-11 00:00:00+00:00,12.06,12.38,11.88,12.38,226833,2.6737336377,2.7446784772,2.6338271655,2.7446784772,755353,0.0,1.0
DHI,2000-02-14 00:00:00+00:00,12.44,12.63,12.06,12.06,291233,2.7579806346,2.800104133,2.6737336377,2.6737336377,969805,0.0,1.0
DHI,2000-02-15 00:00:00+00:00,12.44,12.63,12.25,12.5,365233,2.7579806346,2.800104133,2.7158571362,2.771282792,1216225,0.0,1.0
DHI,2000-02-16 00:00:00+00:00,11.69,12.5,11.69,12.5,351200,2.5917036671,2.771282792,2.5917036671,2.771282792,1169495,0.0,1.0
DHI,2000-02-17 00:00:00+00:00,11.88,12.44,11.88,12.19,356833,2.6338271655,2.7579806346,2.6338271655,2.7025549788,1188253,0.0,1.0
DHI,2000-02-18 00:00:00+00:00,11.87,11.94,11.12,11.69,584033,2.6316101393,2.6471293229,2.4653331718,2.5917036671,1944829,0.0,1.0
