symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DHR,2000-01-03 00:00:00+00:00,46.5,48.13,46.25,48.0,279500,8.2863608005,8.5768289318,8.2418104736,8.5536627618,1462438,0.0,1.0
DHR,2000-01-04 00:00:00+00:00,44.81,46.81,44.5,46.75,459600,7.9852005907,8.3416032058,7.9299581854,8.3309111274,2404782,0.0,1.0
DHR,2000-01-05 00:00:00+00:00,46.06,46.25,44.38,45.25,541100,8.2079522252,8.2418104736,7.9085740285,8.0636091661,2831218,0.0,1.0
DHR,2000-01-06 00:00:00+00:00,45.81,46.88,43.75,44.81,242800,8.1634018983,8.3540772973,7.7963072048,7.9852005907,1270411,0.0,1.0
DHR,2000-01-07 00:00:00+00:00,46.19,46.5,45.75,46.0,332000,8.2311183951,8.2863608005,8.1527098198,8.1972601467,1737136,0.0,1.0
DHR,2000-01-10 00:00:00+00:00,47.13,47.13,46.38,46.44,491400,8.3986276242,8.3986276242,8.2649766436,8.275668722,2571171,0.0,1.0
DHR,2000-01-11 00:00:00+00:00,45.94,47.25,45.81,47.0,354000,8.1865680683,8.4200117811,8.1634018983,8.3754614542,1852247,0.0,1.0
DHR,2000-01-12 00:00:00+00:00,44.69,45.81,44.31,45.75,243000,7.9638164338,8.1634018983,7.896099937,8.1527098198,1271458,0.0,1.0
DHR,2000-01-13 00:00:00+00:00,45.38,45.75,45.06,45.06,577100,8.086775336,8.1527098198,8.0297509176,8.0297509176,3019582,0.0,1.0
DHR,2000-01-14 00:00:00+00:00,45.38,45.5,44.31,45.25,331200,8.086775336,8.1081594929,7.896099937,8.0636091661,1732950,0.0,1.0
DHR,2000-01-18 00:00:00+00:00,44.13,44.88,43.88,44.88,373800,7.8640237016,7.9976746823,7.8194733747,7.9976746823,1955848,0.0,1.0
DHR,2000-01-19 00:00:00+00:00,43.63,44.25,43.25,43.88,548700,7.7749230478,7.8854078585,7.707206551,7.8194733747,2870984,0.0,1.0
DHR,2000-01-20 00:00:00+00:00,42.69,43.63,42.31,43.56,224100,7.6074138188,7.7749230478,7.5396973219,7.7624489563,1172567,0.0,1.0
DHR,2000-01-21 00:00:00+00:00,41.19,42.69,40.5,42.69,839600,7.3401118575,7.6074138188,7.2171529553,7.6074138188,4393071,0.0,1.0
DHR,2000-01-24 00:00:00+00:00,38.0,41.0,37.94,41.0,850800,6.7716496864,7.306253609,6.760957608,7.306253609,4451673,0.0,1.0
DHR,2000-01-25 00:00:00+00:00,40.31,40.5,38.25,38.25,721100,7.1832947068,7.2171529553,6.8162000133,6.8162000133,3773039,0.0,1.0
DHR,2000-01-26 00:00:00+00:00,41.5,41.88,40.19,40.31,437700,7.3953542628,7.4630707597,7.1619105499,7.1832947068,2290194,0.0,1.0
