symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DLR,2004-10-29 00:00:00+00:00,12.0,12.01,12.0,12.0,5951800,5.7212346805,5.726002376,5.7212346805,5.7212346805,5951800,0.0,1.0
DLR,2004-11-01 00:00:00+00:00,12.0,12.01,12.0,12.0,764400,5.7212346805,5.726002376,5.7212346805,5.7212346805,764400,0.0,1.0
DLR,2004-11-02 00:00:00+00:00,12.0,12.01,12.0,12.0,950100,5.7212346805,5.726002376,5.7212346805,5.7212346805,950100,0.0,1.0
DLR,2004-11-03 00:00:00+00:00,12.15,12.2,12.01,12.02,433600,5.792750114,5.8165885918,5.726002376,5.7307700716,433600,0.0,1.0
DLR,2004-11-04 00:00:00+00:00,12.06,12.18,12.05,12.18,311200,5.7498408539,5.8070532007,5.7450731583,5.8070532007,311200,0.0,1.0
DLR,2004-11-05 00:00:00+00:00,12.08,12.1,12.0,12.05,391800,5.759376245,5.7689116362,5.7212346805,5.7450731583,391800,0.0,1.0
DLR,2004-11-08 00:00:00+00:00,12.01,12.13,12.0,12.13,91100,5.726002376,5.7832147229,5.7212346805,5.7832147229,91100,0.0,1.0
DLR,2004-11-09 00:00:00+00:00,12.01,12.06,12.0,12.0,97600,5.726002376,5.7498408539,5.7212346805,5.7212346805,97600,0.0,1.0
DLR,2004-11-10 00:00:00+00:00,12.01,12.04,12.0,12.0,177500,5.726002376,5.7403054627,5.7212346805,5.7212346805,177500,0.0,1.0
DLR,2004-11-11 00:00:00+00:00,12.02,12.02,12.0,12.0,92700,5.7307700716,5.7307700716,5.7212346805,5.7212346805,92700,0.0,1.0
DLR,2004-11-12 00:00:00+00:00,12.29,12.38,12.01,12.01,354900,5.8594978519,5.902407112,5.726002376,5.726002376,354900,0.0,1.0
DLR,2004-11-15 00:00:00+00:00,12.39,12.45,12.2,12.32,268100,5.9071748076,5.935780981,5.8165885918,5.8738009386,268100,0.0,1.0
DLR,2004-11-16 00:00:00+00:00,12.5,12.65,12.31,12.49,252500,5.9596194588,6.0311348923,5.8690332431,5.9548517633,252500,0.0,1.0
DLR,2004-11-17 00:00:00+00:00,12.51,12.6,12.35,12.55,425000,5.9643871544,6.0072964145,5.8881040253,5.9834579367,425000,0.0,1.0
DLR,2004-11-18 00:00:00+00:00,12.72,12.74,12.5,12.5,179700,6.0645087613,6.0740441524,5.9596194588,5.9596194588,179700,0.0,1.0
DLR,2004-11-19 00:00:00+00:00,12.71,12.74,12.5,12.72,202600,6.0597410657,6.0740441524,5.9596194588,6.0645087613,202600,0.0,1.0
DLR,2004-11-22 00:00:00+00:00,12.63,12.73,12.51,12.61,105200,6.0215995012,6.0692764569,5.9643871544,6.0120641101,105200,0.0,1.0
DLR,2004-11-23 00:00:00+00:00,12.8,12.95,12.52,12.55,204200,6.1026503258,6.1741657594,5.96915485,5.9834579367,204200,0.0,1.0
DLR,2004-11-24 00:00:00+00:00,12.79,12.95,12.7,12.75,141700,6.0978826303,6.1741657594,6.0549733702,6.078811848,141700,0.0,1.0
DLR,2004-11-26 00:00:00+00:00,12.65,12.78,12.4,12.4,42900,6.0311348923,6.0931149347,5.9119425032,5.9119425032,42900,0.0,1.0
DLR,2004-11-29 00:00:00+00:00,12.68,12.75,12.55,12.65,174200,6.045437979,6.078811848,5.9834579367,6.0311348923,174200,0.0,1.0
DLR,2004-11-30 00:00:00+00:00,12.76,12.85,12.65,12.66,148800,6.0835795436,6.1264888037,6.0311348923,6.0359025879,148800,0.0,1.0
DLR,2004-12-01 00:00:00+00:00,13.15,13.17,12.66,12.66,162500,6.2695196707,6.2790550618,6.0359025879,6.0359025879,162500,0.0,1.0
DLR,2004-12-02 00:00:00+00:00,12.95,13.07,12.78,13.05,212800,6.1741657594,6.2313781062,6.0931149347,6.221842715,212800,0.0,1.0
DLR,2004-12-03 00:00:00+00:00,13.15,13.2,12.9,12.9,138300,6.2695196707,6.2933581485,6.1503272815,6.1503272815,138300,0.0,1.0
DLR,2004-12-06 00:00:00+00:00,13.12,13.19,13.05,13.16,126600,6.255216584,6.288590453,6.221842715,6.2742873663,126600,0.0,1.0
DLR,2004-12-07 00:00:00+00:00,13.0,13.2,13.0,13.06,116200,6.1980042372,6.2933581485,6.1980042372,6.2266104106,116200,0.0,1.0
DLR,2004-12-08 00:00:00+00:00,12.86,13.0,12.7,12.8,112300,6.1312564992,6.1980042372,6.0549733702,6.1026503258,112300,0.0,1.0
DLR,2004-12-09 00:00:00+00:00,12.85,12.95,12.5,12.86,139200,6.1264888037,6.1741657594,5.9596194588,6.1312564992,139200,0.0,1.0
DLR,2004-12-10 00:00:00+00:00,12.97,13.05,12.55,12.75,186000,6.1837011505,6.221842715,5.9834579367,6.078811848,186000,0.0,1.0
DLR,2004-12-13 00:00:00+00:00,12.91,13.04,12.7,12.87,215700,6.1550949771,6.2170750195,6.0549733702,6.1360241948,215700,0.0,1.0
DLR,2004-12-14 00:00:00+00:00,12.9,13.1,12.79,12.81,169400,6.1503272815,6.2456811929,6.0978826303,6.1074180214,169400,0.0,1.0
DLR,2004-12-15 00:00:00+00:00,13.05,13.14,12.89,13.0,200300,6.221842715,6.2647519751,6.1455595859,6.1980042372,200300,0.0,1.0
DLR,2004-12-16 00:00:00+00:00,13.05,13.09,12.93,13.03,230000,6.221842715,6.2409134973,6.1646303682,6.2123073239,230000,0.0,1.0
DLR,2004-12-17 00:00:00+00:00,13.4,13.55,12.94,13.05,887700,6.3887120599,6.4602274934,6.1693980638,6.221842715,887700,0.0,1.0
DLR,2004-12-20 00:00:00+00:00,13.34,13.5,13.0,13.5,222800,6.3601058865,6.4363890155,6.1980042372,6.4363890155,222800,0.0,1.0
DLR,2004-12-21 00:00:00+00:00,13.45,13.5,13.29,13.4,82700,6.4125505377,6.4363890155,6.3362674086,6.3887120599,82700,0.0,1.0
DLR,2004-12-22 00:00:00+00:00,13.7,13.7,13.21,13.4,194000,6.5317429269,6.5317429269,6.2981258441,6.3887120599,194000,0.0,1.0
DLR,2004-12-23 00:00:00+00:00,13.94,14.1,13.65,13.7,107900,6.6461676205,6.7224507496,6.507904449,6.5317429269,107900,0.0,1.0
DLR,2004-12-27 00:00:00+00:00,13.6,14.04,13.52,14.0,112500,6.4840659712,6.6938445762,6.4459244067,6.6747737939,112500,0.0,1.0
DLR,2004-12-28 00:00:00+00:00,13.53,13.77,13.47,13.68,111100,6.4506921022,6.5651167959,6.4220859288,6.5222075357,111100,0.0,1.0
DLR,2004-12-29 00:00:00+00:00,13.28,13.47,12.95,12.95,109400,6.4060273766,6.4976798767,6.2468414554,6.2468414554,109400,0.156318,1.0
DLR,2004-12-30 00:00:00+00:00,13.3,13.57,13.2,13.33,48900,6.4156750082,6.5459180347,6.3674368503,6.4301464556,48900,0.0,1.0
