symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DLTR,2000-01-03 00:00:00+00:00,47.88,48.88,47.5,48.31,474267,10.64000532,10.8622276533,10.5555608333,10.7355609233,2134200,0.0,1.0
DLTR,2000-01-04 00:00:00+00:00,48.81,49.25,47.88,47.88,412044,10.84667209,10.9444499167,10.64000532,10.64000532,1854197,0.0,1.0
DLTR,2000-01-05 00:00:00+00:00,48.75,48.88,48.0,48.5,409378,10.83333875,10.8622276533,10.666672,10.7777831667,1842200,0.0,1.0
DLTR,2000-01-06 00:00:00+00:00,49.75,52.0,48.5,49.0,981244,11.0555610833,11.5555613333,10.7777831667,10.8888943333,4415595,0.0,1.0
DLTR,2000-01-07 00:00:00+00:00,51.56,51.88,49.25,49.63,689867,11.4577835067,11.5288946533,10.9444499167,11.0288944033,3104399,0.0,1.0
DLTR,2000-01-10 00:00:00+00:00,53.5,53.5,50.5,51.88,592400,11.8888948333,11.8888948333,11.2222278333,11.5288946533,2665798,0.0,1.0
DLTR,2000-01-11 00:00:00+00:00,51.5,53.0,50.88,53.0,507600,11.4444501667,11.7777836667,11.30667232,11.7777836667,2284198,0.0,1.0
DLTR,2000-01-12 00:00:00+00:00,50.56,51.56,49.44,51.5,529067,11.2355611733,11.4577835067,10.98667216,11.4444501667,2380800,0.0,1.0
DLTR,2000-01-13 00:00:00+00:00,52.13,52.5,50.47,50.5,594444,11.5844502367,11.6666725,11.2155611633,11.2222278333,2674996,0.0,1.0
DLTR,2000-01-14 00:00:00+00:00,53.44,54.13,52.0,52.0,989600,11.8755614933,12.0288949033,11.5555613333,11.5555613333,4453197,0.0,1.0
DLTR,2000-01-18 00:00:00+00:00,53.44,54.5,53.0,53.25,754267,11.8755614933,12.1111171667,11.7777836667,11.83333925,3394199,0.0,1.0
DLTR,2000-01-19 00:00:00+00:00,52.25,53.81,52.13,53.31,287378,11.6111169167,11.9577837567,11.5844502367,11.84667259,1293200,0.0,1.0
DLTR,2000-01-20 00:00:00+00:00,49.25,52.81,48.63,52.5,921644,10.9444499167,11.7355614233,10.80667207,11.6666725,4147395,0.0,1.0
DLTR,2000-01-21 00:00:00+00:00,47.94,49.5,46.88,49.5,506044,10.65333866,11.0000055,10.4177829867,11.0000055,2277196,0.0,1.0
DLTR,2000-01-24 00:00:00+00:00,45.56,47.63,44.75,47.5,1049200,10.1244495067,10.5844497367,9.9444494167,10.5555608333,4721397,0.0,1.0
DLTR,2000-01-25 00:00:00+00:00,46.69,46.75,43.63,46.0,546267,10.3755607433,10.3888940833,9.6955604033,10.2222273333,2458200,0.0,1.0
