symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DOV,2000-01-03 00:00:00+00:00,43.88,44.94,43.63,44.75,589900,19.0812496411,19.5421914054,18.9725369608,19.4595697684,730296,0.0,1.0
DOV,2000-01-04 00:00:00+00:00,43.06,44.0,42.94,43.88,326500,18.7246720498,19.1334317276,18.6724899633,19.0812496411,404206,0.0,1.0
DOV,2000-01-05 00:00:00+00:00,43.31,43.69,42.94,42.94,751900,18.8333847301,18.9986280041,18.6724899633,18.6724899633,930852,0.0,1.0
DOV,2000-01-06 00:00:00+00:00,43.44,44.25,43.0,43.0,802500,18.8899153238,19.2421444079,18.6985810065,18.6985810065,993494,0.0,1.0
DOV,2000-01-07 00:00:00+00:00,44.63,44.75,43.31,43.5,1407300,19.4073876819,19.4595697684,18.8333847301,18.9160063671,1742237,0.0,1.0
DOV,2000-01-10 00:00:00+00:00,45.56,45.81,44.75,44.75,709500,19.8117988525,19.9205115328,19.4595697684,19.4595697684,878360,0.0,1.0
DOV,2000-01-11 00:00:00+00:00,45.75,46.56,45.13,45.44,535900,19.8944204895,20.2466495736,19.6248130424,19.759616766,663444,0.0,1.0
DOV,2000-01-12 00:00:00+00:00,46.19,46.5,45.5,45.75,337700,20.0857548068,20.2205585303,19.7857078092,19.8944204895,418072,0.0,1.0
DOV,2000-01-13 00:00:00+00:00,45.69,46.44,45.69,46.19,380900,19.8683294462,20.1944674871,19.8683294462,20.0857548068,471554,0.0,1.0
DOV,2000-01-14 00:00:00+00:00,45.31,45.94,45.13,45.44,784300,19.7030861722,19.9770421265,19.6248130424,19.759616766,970963,0.0,1.0
DOV,2000-01-18 00:00:00+00:00,45.75,46.13,45.25,45.44,1255900,19.8944204895,20.0596637635,19.676995129,19.759616766,1554804,0.0,1.0
DOV,2000-01-19 00:00:00+00:00,45.81,46.31,45.69,45.88,1241800,19.9205115328,20.1379368933,19.8683294462,19.9509510832,1537348,0.0,1.0
DOV,2000-01-20 00:00:00+00:00,44.75,47.0,44.69,46.5,1280500,19.4595697684,20.4379838909,19.4334787252,20.2205585303,1585258,0.0,1.0
DOV,2000-01-21 00:00:00+00:00,44.38,45.31,43.88,45.25,670500,19.2986750016,19.7030861722,19.0812496411,19.676995129,830078,0.0,1.0
DOV,2000-01-24 00:00:00+00:00,43.31,44.88,42.88,44.5,665600,18.8333847301,19.5161003622,18.64639892,19.3508570882,824012,0.0,1.0
DOV,2000-01-25 00:00:00+00:00,43.31,43.69,42.0,43.19,854900,18.8333847301,18.9986280041,18.2637302854,18.7812026435,1058366,0.0,1.0
DOV,2000-01-26 00:00:00+00:00,42.88,43.63,42.25,43.44,662900,18.64639892,18.9725369608,18.3724429657,18.8899153238,820670,0.0,1.0
DOV,2000-01-27 00:00:00+00:00,42.06,43.19,41.81,43.13,497400,18.2898213287,18.7812026435,18.1811086484,18.7551116003,615781,0.0,1.0
DOV,2000-01-28 00:00:00+00:00,41.0,42.19,40.88,42.13,718100,17.8288795644,18.3463519225,17.7766974778,18.3202608792,889007,0.0,1.0
DOV,2000-01-31 00:00:00+00:00,40.31,41.0,39.88,41.0,963800,17.5288325668,17.8288795644,17.3418467568,17.8288795644,1193184,0.0,1.0
DOV,2000-02-01 00:00:00+00:00,40.63,40.88,39.88,40.31,605600,17.6679847976,17.7766974778,17.3418467568,17.5288325668,749732,0.0,1.0
DOV,2000-02-02 00:00:00+00:00,40.69,41.19,40.56,40.75,809800,17.6940758408,17.9115012014,17.6375452471,17.7201668841,1002532,0.0,1.0
DOV,2000-02-03 00:00:00+00:00,40.69,40.88,40.19,40.63,544700,17.6940758408,17.7766974778,17.4766504803,17.6679847976,674338,0.0,1.0
DOV,2000-02-04 00:00:00+00:00,40.69,41.25,40.13,40.56,1669500,17.6940758408,17.9375922446,17.450559437,17.6375452471,2066840,0.0,1.0
DOV,2000-02-07 00:00:00+00:00,40.81,41.19,40.38,40.75,873300,17.7462579274,17.9115012014,17.5592721173,17.7201668841,1081145,0.0,1.0
DOV,2000-02-08 00:00:00+00:00,40.06,40.81,40.0,40.81,897900,17.4201198866,17.7462579274,17.3940288433,17.7462579274,1111600,0.0,1.0
DOV,2000-02-09 00:00:00+00:00,39.38,40.38,38.63,40.19,1074600,17.1244213962,17.5592721173,16.7982833554,17.4766504803,1330354,0.0,1.0
DOV,2000-02-10 00:00:00+00:00,39.19,39.38,39.0,39.38,528000,17.0417997592,17.1244213962,16.9591781222,17.1244213962,653664,0.0,1.0
DOV,2000-02-11 00:00:00+00:00,38.44,39.19,38.0,39.19,745600,16.7156617184,17.0417997592,16.5243274011,17.0417997592,923052,0.0,1.0
DOV,2000-02-14 00:00:00+00:00,38.63,39.38,38.5,39.0,486500,16.7982833554,17.1244213962,16.7417527617,16.9591781222,602287,0.0,1.0
DOV,2000-02-15 00:00:00+00:00,38.94,39.19,38.25,38.81,714800,16.9330870789,17.0417997592,16.6330400814,16.8765564852,884922,0.0,1.0
DOV,2000-02-16 00:00:00+00:00,38.94,39.44,38.38,39.0,442500,16.9330870789,17.1505124395,16.6895706751,16.9591781222,547815,0.0,1.0
DOV,2000-02-17 00:00:00+00:00,38.75,39.13,38.31,39.0,524500,16.8504654419,17.0157087159,16.6591311247,16.9591781222,649331,0.0,1.0
DOV,2000-02-18 00:00:00+00:00,37.94,38.25,37.56,38.0,648700,16.4982363579,16.6330400814,16.3329930838,16.5243274011,803090,0.0,1.0
DOV,2000-02-22 00:00:00+00:00,38.5,39.19,38.0,38.0,410500,16.7417527617,17.0417997592,16.5243274011,16.5243274011,508198,0.0,1.0
DOV,2000-02-23 00:00:00+00:00,38.44,39.19,37.75,38.31,554600,16.7156617184,17.0417997592,16.4156147209,16.6591311247,686594,0.0,1.0
DOV,2000-02-24 00:00:00+00:00,38.0,38.19,36.56,38.19,759600,16.5243274011,16.6069490381,15.8981423628,16.6069490381,940384,0.0,1.0
DOV,2000-02-25 00:00:00+00:00,37.13,38.25,36.63,37.81,844700,16.1960151067,16.684556365,15.9779163307,16.4926294421,1045738,0.115,1.0
DOV,2000-02-28 00:00:00+00:00,37.31,38.25,37.13,37.69,865500,16.2745306661,16.684556365,16.1960151067,16.4402857358,1071489,0.0,1.0
DOV,2000-02-29 00:00:00+00:00,38.56,38.56,36.06,37.06,949100,16.8197776061,16.8197776061,15.729283726,16.1654812781,1174985,0.0,1.0
DOV,2000-03-01 00:00:00+00:00,38.25,38.56,37.44,38.56,802100,16.684556365,16.8197776061,16.3312363478,16.8197776061,992999,0.0,1.0
