symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DRI,2000-01-03 00:00:00+00:00,17.31,18.06,17.25,18.0,269200,6.1313450827,6.3970012822,6.1100925868,6.3757487862,403800,0.0,1.0
DRI,2000-01-04 00:00:00+00:00,17.19,17.56,17.0,17.31,185667,6.0888400908,6.2198971492,6.0215405203,6.1313450827,278500,0.0,1.0
DRI,2000-01-05 00:00:00+00:00,17.81,18.06,17.06,17.06,266400,6.3084492157,6.3970012822,6.0427930163,6.0427930163,399600,0.0,1.0
DRI,2000-01-06 00:00:00+00:00,17.63,18.19,17.63,17.69,133200,6.2446917278,6.4430483567,6.2446917278,6.2659442238,199800,0.0,1.0
DRI,2000-01-07 00:00:00+00:00,17.38,18.25,17.38,17.75,446600,6.1561396614,6.4643008527,6.1561396614,6.2871967197,669900,0.0,1.0
DRI,2000-01-10 00:00:00+00:00,17.5,17.69,17.31,17.31,190800,6.1986446533,6.2659442238,6.1313450827,6.1313450827,286200,0.0,1.0
DRI,2000-01-11 00:00:00+00:00,18.19,18.31,17.5,17.5,278267,6.4430483567,6.4855533486,6.1986446533,6.1986446533,417400,0.0,1.0
DRI,2000-01-12 00:00:00+00:00,17.56,18.19,17.38,18.13,774867,6.2198971492,6.4430483567,6.1561396614,6.4217958608,1162300,0.0,1.0
DRI,2000-01-13 00:00:00+00:00,18.63,18.75,17.63,17.75,647600,6.5988999937,6.6414049856,6.2446917278,6.2871967197,971400,0.0,1.0
DRI,2000-01-14 00:00:00+00:00,18.88,19.0,18.63,18.63,237267,6.6874520602,6.7299570521,6.5988999937,6.5988999937,355900,0.0,1.0
DRI,2000-01-18 00:00:00+00:00,18.63,19.0,18.38,18.75,274667,6.5988999937,6.7299570521,6.5103479273,6.6414049856,412000,0.0,1.0
DRI,2000-01-19 00:00:00+00:00,18.31,18.69,18.13,18.63,554867,6.4855533486,6.6201524897,6.4217958608,6.5988999937,832300,0.0,1.0
