symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DTE,2000-01-03 00:00:00+00:00,30.06,31.38,29.88,31.38,572300,9.575285577,9.9957571991,9.5179485376,9.9957571991,672452,0.0,1.0
DTE,2000-01-04 00:00:00+00:00,30.13,30.13,29.56,29.56,561200,9.5975833145,9.5975833145,9.4160160232,9.4160160232,659410,0.0,1.0
DTE,2000-01-05 00:00:00+00:00,31.19,31.44,30.31,30.31,378200,9.9352347687,10.0148695456,9.6549203539,9.6549203539,444385,0.0,1.0
DTE,2000-01-06 00:00:00+00:00,30.94,31.38,30.69,31.0,288500,9.8555999918,9.9957571991,9.7759652148,9.8747123382,338987,0.0,1.0
DTE,2000-01-07 00:00:00+00:00,31.25,31.25,30.88,31.0,567300,9.9543471151,9.9543471151,9.8364876453,9.8747123382,666577,0.0,1.0
DTE,2000-01-10 00:00:00+00:00,31.44,32.13,31.31,31.94,632800,10.0148695456,10.2346615299,9.9734594616,10.1741390994,743540,0.0,1.0
DTE,2000-01-11 00:00:00+00:00,31.44,31.44,31.0,31.31,359700,10.0148695456,10.0148695456,9.8747123382,9.9734594616,422647,0.0,1.0
DTE,2000-01-12 00:00:00+00:00,31.56,31.94,31.25,31.31,1021700,10.0530942385,10.1741390994,9.9543471151,9.9734594616,1200497,0.0,1.0
DTE,2000-01-13 00:00:00+00:00,31.5,31.75,31.19,31.69,321400,10.0339818921,10.113616669,9.9352347687,10.0945043225,377645,0.0,1.0
DTE,2000-01-14 00:00:00+00:00,31.19,31.75,31.0,31.56,409900,9.9352347687,10.113616669,9.8747123382,10.0530942385,481632,0.0,1.0
DTE,2000-01-18 00:00:00+00:00,30.81,31.31,30.5,31.19,251200,9.8141899078,9.9734594616,9.7154427844,9.9352347687,295160,0.0,1.0
DTE,2000-01-19 00:00:00+00:00,31.88,32.13,30.88,31.0,581500,10.155026753,10.2346615299,9.8364876453,9.8747123382,683262,0.0,1.0
DTE,2000-01-20 00:00:00+00:00,33.88,34.06,31.88,32.0,985800,10.7921049684,10.8494420077,10.155026753,10.1932514459,1158315,0.0,1.0
DTE,2000-01-21 00:00:00+00:00,37.19,37.5,33.88,34.75,1231300,11.8464694148,11.9452165382,10.7921049684,11.069233992,1446777,0.0,1.0
DTE,2000-01-24 00:00:00+00:00,37.56,41.31,37.38,39.0,1822600,11.9643288846,13.1588505385,11.9069918453,12.4230251997,2141555,0.0,1.0
DTE,2000-01-25 00:00:00+00:00,35.75,38.0,35.25,37.63,773400,11.3877730997,12.104486092,11.2285035459,11.9866266222,908745,0.0,1.0
DTE,2000-01-26 00:00:00+00:00,35.88,35.88,35.38,35.81,443300,11.4291831837,11.4291831837,11.2699136299,11.4068854462,520877,0.0,1.0
DTE,2000-01-27 00:00:00+00:00,35.0,35.75,34.5,35.75,963600,11.148868769,11.3877730997,10.9895992151,11.3877730997,1132230,0.0,1.0
DTE,2000-01-28 00:00:00+00:00,33.25,34.69,33.25,34.5,394300,10.5914253305,11.0501216456,10.5914253305,10.9895992151,463302,0.0,1.0
DTE,2000-01-31 00:00:00+00:00,34.75,35.0,33.38,33.63,906000,11.069233992,11.148868769,10.6328354145,10.7124701914,1064550,0.0,1.0
DTE,2000-02-01 00:00:00+00:00,34.75,35.31,34.69,34.88,637000,11.069233992,11.2476158923,11.0501216456,11.110644076,748475,0.0,1.0
DTE,2000-02-02 00:00:00+00:00,33.69,34.56,33.62,34.44,386000,10.7315825379,11.0087115616,10.7092848004,10.9704868687,453550,0.0,1.0
DTE,2000-02-03 00:00:00+00:00,34.25,34.56,33.69,33.69,623600,10.9099644382,11.0087115616,10.7315825379,10.7315825379,732730,0.0,1.0
DTE,2000-02-04 00:00:00+00:00,33.25,34.38,33.13,34.31,546600,10.5914253305,10.9513745222,10.5532006376,10.9290767847,642255,0.0,1.0
DTE,2000-02-07 00:00:00+00:00,33.0,33.25,32.63,33.25,372800,10.5117905536,10.5914253305,10.3939310837,10.5914253305,438040,0.0,1.0
DTE,2000-02-08 00:00:00+00:00,33.0,33.25,32.94,33.19,580600,10.5117905536,10.5914253305,10.4926782071,10.5723129841,682205,0.0,1.0
DTE,2000-02-09 00:00:00+00:00,32.38,33.38,32.38,33.0,521800,10.3142963068,10.6328354145,10.3142963068,10.5117905536,613115,0.0,1.0
DTE,2000-02-10 00:00:00+00:00,32.19,32.69,31.88,32.63,662500,10.2537738764,10.4130434302,10.155026753,10.3939310837,778437,0.0,1.0
DTE,2000-02-11 00:00:00+00:00,32.5,32.69,32.19,32.19,327200,10.3525209997,10.4130434302,10.2537738764,10.2537738764,384460,0.0,1.0
DTE,2000-02-14 00:00:00+00:00,32.69,33.38,32.44,32.75,509800,10.4130434302,10.6328354145,10.3334086533,10.4321557767,599015,0.0,1.0
DTE,2000-02-15 00:00:00+00:00,33.0,33.25,32.63,32.81,517600,10.5117905536,10.5914253305,10.3939310837,10.4512681231,608180,0.0,1.0
DTE,2000-02-16 00:00:00+00:00,32.56,33.25,32.5,33.06,377800,10.3716333462,10.5914253305,10.3525209997,10.5309029001,443915,0.0,1.0
DTE,2000-02-17 00:00:00+00:00,32.5,33.19,32.38,33.0,475400,10.3525209997,10.5723129841,10.3142963068,10.5117905536,558595,0.0,1.0
