symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DVA,2000-01-03 00:00:00+00:00,6.88,6.94,6.5,6.75,342467,2.2933333333,2.3133333333,2.1666666667,2.25,1027401,0.0,1.0
DVA,2000-01-04 00:00:00+00:00,6.75,6.81,6.38,6.75,172800,2.25,2.27,2.1266666667,2.25,518400,0.0,1.0
DVA,2000-01-05 00:00:00+00:00,6.19,6.62,6.19,6.62,600000,2.0633333333,2.2066666667,2.0633333333,2.2066666667,1800000,0.0,1.0
DVA,2000-01-06 00:00:00+00:00,6.0,6.19,5.87,6.13,853200,2.0,2.0633333333,1.9566666667,2.0433333333,2559600,0.0,1.0
DVA,2000-01-07 00:00:00+00:00,6.62,6.62,5.94,6.0,717667,2.2066666667,2.2066666667,1.98,2.0,2153001,0.0,1.0
DVA,2000-01-10 00:00:00+00:00,6.75,7.06,6.75,7.0,404267,2.25,2.3533333333,2.25,2.3333333333,1212801,0.0,1.0
DVA,2000-01-11 00:00:00+00:00,6.69,7.0,6.62,6.69,261000,2.23,2.3333333333,2.2066666667,2.23,783000,0.0,1.0
DVA,2000-01-12 00:00:00+00:00,6.62,7.0,6.56,6.81,257400,2.2066666667,2.3333333333,2.1866666667,2.27,772200,0.0,1.0
DVA,2000-01-13 00:00:00+00:00,6.94,6.94,6.69,6.69,536067,2.3133333333,2.3133333333,2.23,2.23,1608201,0.0,1.0
DVA,2000-01-14 00:00:00+00:00,7.19,7.63,7.06,7.06,789867,2.3966666667,2.5433333333,2.3533333333,2.3533333333,2369601,0.0,1.0
DVA,2000-01-18 00:00:00+00:00,7.19,7.5,6.81,7.0,321067,2.3966666667,2.5,2.27,2.3333333333,963201,0.0,1.0
DVA,2000-01-19 00:00:00+00:00,4.88,6.62,4.75,6.62,3521867,1.6266666667,2.2066666667,1.5833333333,2.2066666667,10565601,0.0,1.0
DVA,2000-01-20 00:00:00+00:00,5.31,5.38,4.88,4.94,1926200,1.77,1.7933333333,1.6266666667,1.6466666667,5778600,0.0,1.0
DVA,2000-01-21 00:00:00+00:00,5.75,5.87,5.31,5.38,2028200,1.9166666667,1.9566666667,1.77,1.7933333333,6084600,0.0,1.0
DVA,2000-01-24 00:00:00+00:00,5.0,5.75,5.0,5.69,1192067,1.6666666667,1.9166666667,1.6666666667,1.8966666667,3576201,0.0,1.0
DVA,2000-01-25 00:00:00+00:00,4.94,5.38,4.94,5.12,617800,1.6466666667,1.7933333333,1.6466666667,1.7066666667,1853400,0.0,1.0
DVA,2000-01-26 00:00:00+00:00,4.94,5.25,4.94,5.0,515400,1.6466666667,1.75,1.6466666667,1.6666666667,1546200,0.0,1.0
DVA,2000-01-27 00:00:00+00:00,4.75,5.0,4.69,5.0,664600,1.5833333333,1.6666666667,1.5633333333,1.6666666667,1993800,0.0,1.0
