symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DVN,2000-01-03 00:00:00+00:00,32.38,33.5,32.06,33.12,358800,10.8599290939,11.2355659248,10.7526042851,11.1081177143,717600,0.0,1.0
DVN,2000-01-04 00:00:00+00:00,31.69,32.69,31.38,32.69,740100,10.6285099748,10.9639000024,10.5245390663,10.9639000024,1480200,0.0,1.0
DVN,2000-01-05 00:00:00+00:00,31.81,32.0,31.5,31.88,427000,10.6687567782,10.7324808834,10.5647858696,10.6922340801,854000,0.0,1.0
DVN,2000-01-06 00:00:00+00:00,33.88,34.5,31.75,31.88,260500,11.3630141353,11.5709559524,10.6486333765,10.6922340801,521000,0.0,1.0
DVN,2000-01-07 00:00:00+00:00,34.06,35.25,33.75,34.0,272600,11.4233843403,11.8224984731,11.3194134317,11.4032609386,545200,0.0,1.0
DVN,2000-01-10 00:00:00+00:00,33.63,34.25,32.94,34.13,190900,11.2791666284,11.4871084455,11.0477475093,11.4468616422,381800,0.0,1.0
DVN,2000-01-11 00:00:00+00:00,34.13,34.19,33.38,33.63,270200,11.4468616422,11.4669850439,11.1953191215,11.2791666284,540400,0.0,1.0
DVN,2000-01-12 00:00:00+00:00,33.63,34.0,33.5,34.0,185400,11.2791666284,11.4032609386,11.2355659248,11.4032609386,370800,0.0,1.0
DVN,2000-01-13 00:00:00+00:00,34.38,34.56,33.75,33.81,403700,11.5307091491,11.5910793541,11.3194134317,11.3395368334,807400,0.0,1.0
DVN,2000-01-14 00:00:00+00:00,34.56,34.75,33.5,34.38,357200,11.5910793541,11.6548034593,11.2355659248,11.5307091491,714400,0.0,1.0
DVN,2000-01-18 00:00:00+00:00,37.38,37.38,34.56,34.56,482300,12.5368792319,12.5368792319,11.5910793541,11.5910793541,964600,0.0,1.0
DVN,2000-01-19 00:00:00+00:00,38.38,38.5,37.38,37.38,546900,12.8722692595,12.9125160628,12.5368792319,12.5368792319,1093800,0.0,1.0
DVN,2000-01-20 00:00:00+00:00,38.94,39.75,38.13,38.13,595700,13.060087675,13.3317535973,12.7884217526,12.7884217526,1191400,0.0,1.0
DVN,2000-01-21 00:00:00+00:00,41.31,41.75,39.5,39.5,593600,13.8549620404,14.0025336526,13.2479060904,13.2479060904,1187200,0.0,1.0
DVN,2000-01-24 00:00:00+00:00,40.25,42.06,39.25,41.5,1011000,13.4994486111,14.1065045611,13.1640585835,13.9186861457,2022000,0.0,1.0
DVN,2000-01-25 00:00:00+00:00,39.25,40.06,39.13,40.0,297800,13.1640585835,13.4357245059,13.1238117802,13.4156011042,595600,0.0,1.0
