symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EBAY,2000-01-03 00:00:00+00:00,141.3,141.8,123.0,130.1,6112800,7.1057579775,7.1309022025,6.1854793435,6.5425273381,114613395,0.0,1.0
EBAY,2000-01-04 00:00:00+00:00,127.3,140.1,127.0,135.5,4225400,6.4017196783,7.0454118376,6.3866331433,6.8140849679,79225140,0.0,1.0
EBAY,2000-01-05 00:00:00+00:00,135.0,137.0,120.3,121.3,5518300,6.7889407429,6.8895176428,6.0497005287,6.0999889786,103466676,0.0,1.0
EBAY,2000-01-06 00:00:00+00:00,134.9,147.4,130.4,133.9,5518400,6.7839118979,7.4125175222,6.5576138731,6.7336234479,103468551,0.0,1.0
EBAY,2000-01-07 00:00:00+00:00,134.8,138.8,129.2,134.0,2696800,6.7788830529,6.9800368527,6.4972677332,6.7386522929,50564292,0.0,1.0
EBAY,2000-01-10 00:00:00+00:00,142.3,145.8,140.0,141.0,3132000,7.1560464275,7.3320560023,7.0403829926,7.0906714426,58724177,0.0,1.0
EBAY,2000-01-11 00:00:00+00:00,139.2,145.0,134.5,142.0,2833000,7.0001522327,7.2918252424,6.7637965179,7.1409598925,53118006,0.0,1.0
EBAY,2000-01-12 00:00:00+00:00,130.4,139.1,129.6,137.6,2675100,6.5576138731,6.9951233877,6.5173831132,6.9196907127,50157422,0.0,1.0
EBAY,2000-01-13 00:00:00+00:00,137.8,138.4,132.0,133.5,2410800,6.9297484027,6.9599214727,6.638075393,6.713508068,45201867,0.0,1.0
EBAY,2000-01-14 00:00:00+00:00,133.8,143.9,132.6,140.1,2917800,6.7285946029,7.2365079474,6.668248463,7.0454118376,54707984,0.0,1.0
EBAY,2000-01-18 00:00:00+00:00,139.5,140.3,131.1,131.1,2261300,7.0152387676,7.0554695276,6.5928157881,6.5928157881,42398781,0.0,1.0
EBAY,2000-01-19 00:00:00+00:00,143.8,144.5,137.0,139.1,2259000,7.2314791024,7.2666810174,6.8895176428,6.9951233877,42355656,0.0,1.0
EBAY,2000-01-20 00:00:00+00:00,154.9,155.7,143.9,144.9,5209300,7.7896808968,7.8299116568,7.2365079474,7.2867963974,97673007,0.0,1.0
EBAY,2000-01-21 00:00:00+00:00,150.5,158.8,149.1,153.3,2858500,7.5684117171,7.9858058516,7.4980078871,7.7092193769,53596124,0.0,1.0
EBAY,2000-01-24 00:00:00+00:00,136.4,151.0,133.4,150.9,3427700,6.8593445728,7.593555942,6.708479223,7.588527097,64268475,0.0,1.0
EBAY,2000-01-25 00:00:00+00:00,137.5,145.0,133.8,139.1,4542400,6.9146618677,7.2918252424,6.7285946029,6.9951233877,85168807,0.0,1.0
EBAY,2000-01-26 00:00:00+00:00,153.6,157.7,142.0,146.1,9942900,7.7243059119,7.9304885567,7.1409598925,7.3471425373,186426764,0.0,1.0
