symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ECL,2000-01-03 00:00:00+00:00,37.69,39.0,37.5,39.0,291000,14.3822781851,14.8821663364,14.3097753234,14.8821663364,582000,0.0,1.0
ECL,2000-01-04 00:00:00+00:00,36.69,37.94,36.0,37.63,431600,14.0006841765,14.4776766872,13.7373843105,14.3593825446,863200,0.0,1.0
ECL,2000-01-05 00:00:00+00:00,37.56,37.81,36.75,37.25,306800,14.332670964,14.4280694661,14.023579817,14.2143768213,613600,0.0,1.0
ECL,2000-01-06 00:00:00+00:00,39.81,39.88,37.38,37.5,446800,15.1912574834,15.217969064,14.2639840424,14.3097753234,893600,0.0,1.0
ECL,2000-01-07 00:00:00+00:00,39.81,40.75,39.19,39.81,450000,15.1912574834,15.5499558515,14.954669198,15.1912574834,900000,0.0,1.0
ECL,2000-01-10 00:00:00+00:00,40.63,40.69,39.63,40.0,424300,15.5041645704,15.527060211,15.1225705618,15.263760345,848600,0.0,1.0
ECL,2000-01-11 00:00:00+00:00,40.19,40.44,39.88,40.38,259000,15.3362632066,15.4316617088,15.217969064,15.4087660683,518000,0.0,1.0
ECL,2000-01-12 00:00:00+00:00,39.44,39.81,38.75,39.0,388900,15.0500677002,15.1912574834,14.7867678342,14.8821663364,777800,0.0,1.0
ECL,2000-01-13 00:00:00+00:00,39.13,39.88,39.06,39.44,246100,14.9317735575,15.217969064,14.9050619769,15.0500677002,492200,0.0,1.0
ECL,2000-01-14 00:00:00+00:00,39.44,39.5,38.88,39.13,213600,15.0500677002,15.0729633407,14.8363750554,14.9317735575,427200,0.0,1.0
ECL,2000-01-18 00:00:00+00:00,38.44,39.25,38.31,39.19,284800,14.6684736916,14.9775648385,14.6188664704,14.954669198,569600,0.0,1.0
ECL,2000-01-19 00:00:00+00:00,37.94,38.81,37.75,38.63,403600,14.4776766872,14.8096634747,14.4051738256,14.7409765532,807200,0.0,1.0
ECL,2000-01-20 00:00:00+00:00,37.81,38.19,37.5,38.06,342100,14.4280694661,14.5730751894,14.3097753234,14.5234679683,684200,0.0,1.0
ECL,2000-01-21 00:00:00+00:00,37.06,38.0,37.0,38.0,311900,14.1418739597,14.5005723278,14.1189783191,14.5005723278,623800,0.0,1.0
ECL,2000-01-24 00:00:00+00:00,36.38,37.25,36.0,37.13,208700,13.8823900338,14.2143768213,13.7373843105,14.1685855403,417400,0.0,1.0
ECL,2000-01-25 00:00:00+00:00,35.63,37.5,35.19,36.63,364600,13.5961945273,14.3097753234,13.4282931635,13.9777885359,729200,0.0,1.0
ECL,2000-01-26 00:00:00+00:00,36.19,36.75,35.31,35.81,400900,13.8098871721,14.023579817,13.4740844446,13.6648814489,801800,0.0,1.0
ECL,2000-01-27 00:00:00+00:00,36.06,36.69,35.5,35.94,177300,13.760279951,14.0006841765,13.5465873062,13.71448867,354600,0.0,1.0
ECL,2000-01-28 00:00:00+00:00,34.5,35.81,33.75,35.81,362100,13.1649932976,13.6648814489,12.8787977911,13.6648814489,724200,0.0,1.0
ECL,2000-01-31 00:00:00+00:00,35.19,35.56,34.81,35.0,250100,13.4282931635,13.5694829467,13.2832874402,13.3557903019,500200,0.0,1.0
ECL,2000-02-01 00:00:00+00:00,35.06,35.25,34.63,35.0,137000,13.3786859424,13.451188804,13.2146005187,13.3557903019,274000,0.0,1.0
ECL,2000-02-02 00:00:00+00:00,34.06,35.19,34.0,35.19,345200,12.9970919338,13.4282931635,12.9741962933,13.4282931635,690400,0.0,1.0
ECL,2000-02-03 00:00:00+00:00,34.75,35.19,34.0,34.31,313400,13.2603917997,13.4282931635,12.9741962933,13.0924904359,626800,0.0,1.0
ECL,2000-02-04 00:00:00+00:00,35.13,35.75,34.5,35.13,377300,13.405397523,13.6419858084,13.1649932976,13.405397523,754600,0.0,1.0
ECL,2000-02-07 00:00:00+00:00,34.94,35.38,34.5,34.88,327900,13.3328946614,13.5007960252,13.1649932976,13.3099990208,655800,0.0,1.0
ECL,2000-02-08 00:00:00+00:00,34.19,34.88,33.88,34.88,347700,13.0466991549,13.3099990208,12.9284050122,13.3099990208,695400,0.0,1.0
ECL,2000-02-09 00:00:00+00:00,33.06,34.13,32.81,34.13,305900,12.6154979252,13.0238035144,12.520099423,13.0238035144,611800,0.0,1.0
ECL,2000-02-10 00:00:00+00:00,33.13,33.5,32.63,32.81,220500,12.6422095058,12.7833992889,12.4514125014,12.520099423,441000,0.0,1.0
ECL,2000-02-11 00:00:00+00:00,32.5,33.5,32.31,33.38,183300,12.4018052803,12.7833992889,12.3293024187,12.7376080079,366600,0.0,1.0
ECL,2000-02-14 00:00:00+00:00,32.5,32.88,32.19,32.63,151000,12.4018052803,12.5468110036,12.2835111376,12.4514125014,302000,0.0,1.0
ECL,2000-02-15 00:00:00+00:00,33.38,33.38,32.25,32.5,341700,12.7376080079,12.7376080079,12.3064067782,12.4018052803,683400,0.0,1.0
ECL,2000-02-16 00:00:00+00:00,32.63,33.63,32.5,33.25,204000,12.4514125014,12.8330065101,12.4018052803,12.6880007868,408000,0.0,1.0
ECL,2000-02-17 00:00:00+00:00,32.69,32.88,32.38,32.88,196500,12.474308142,12.5468110036,12.3560139993,12.5468110036,393000,0.0,1.0
ECL,2000-02-18 00:00:00+00:00,31.06,32.69,30.25,32.44,424500,11.8523099079,12.474308142,11.5432187609,12.3789096398,849000,0.0,1.0
ECL,2000-02-22 00:00:00+00:00,31.69,32.19,31.0,32.0,313000,12.0927141333,12.2835111376,11.8294142674,12.211008276,626000,0.0,1.0
ECL,2000-02-23 00:00:00+00:00,31.13,31.88,30.75,31.63,250500,11.8790214885,12.165216995,11.7340157652,12.0698184928,501000,0.0,1.0
ECL,2000-02-24 00:00:00+00:00,29.13,31.06,28.38,31.0,562200,11.1158334713,11.8523099079,10.8296379648,11.8294142674,1124400,0.0,1.0
ECL,2000-02-25 00:00:00+00:00,29.13,30.06,29.06,29.38,278900,11.1158334713,11.4707158993,11.0891218907,11.2112319734,557800,0.0,1.0
ECL,2000-02-28 00:00:00+00:00,28.63,29.81,28.0,29.38,360300,10.9250364669,11.3753173971,10.6846322415,11.2112319734,720600,0.0,1.0
ECL,2000-02-29 00:00:00+00:00,28.25,28.94,28.13,28.75,325900,10.7800307437,11.0433306096,10.7342394626,10.970827748,651800,0.0,1.0
ECL,2000-03-01 00:00:00+00:00,28.88,29.25,28.5,28.75,355200,11.0204349691,11.1616247523,10.8754292458,10.970827748,710400,0.0,1.0
ECL,2000-03-02 00:00:00+00:00,28.75,29.25,28.56,28.81,359400,10.970827748,11.1616247523,10.8983248863,10.9937233885,718800,0.0,1.0
ECL,2000-03-03 00:00:00+00:00,30.69,31.0,28.63,28.75,563400,11.7111201247,11.8294142674,10.9250364669,10.970827748,1126800,0.0,1.0
