symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EIX,2000-01-03 00:00:00+00:00,25.06,25.56,24.81,25.5,755000,12.7877319524,13.0428742499,12.6601608036,13.0122571742,755000,0.27,1.0
EIX,2000-01-04 00:00:00+00:00,25.31,25.63,24.88,24.88,715400,12.9153031011,13.0785941716,12.6958807253,12.6958807253,715400,0.0,1.0
EIX,2000-01-05 00:00:00+00:00,27.0,27.5,25.81,25.94,1330000,13.7776840668,14.0328263643,13.1704453987,13.236782396,1330000,0.0,1.0
EIX,2000-01-06 00:00:00+00:00,26.88,26.88,26.13,26.69,1210100,13.7164499154,13.7164499154,13.3337364691,13.6194958423,1210100,0.0,1.0
EIX,2000-01-07 00:00:00+00:00,28.0,28.0,27.0,27.0,2816800,14.2879686619,14.2879686619,13.7776840668,13.7776840668,2816800,0.0,1.0
EIX,2000-01-10 00:00:00+00:00,28.0,28.06,27.63,27.94,912200,14.2879686619,14.3185857376,14.0991633617,14.2573515862,912200,0.0,1.0
EIX,2000-01-11 00:00:00+00:00,27.94,28.06,27.75,28.0,960100,14.2573515862,14.3185857376,14.1603975131,14.2879686619,960100,0.0,1.0
EIX,2000-01-12 00:00:00+00:00,27.94,28.19,27.81,27.81,618300,14.2573515862,14.3849227349,14.1910145888,14.1910145888,618300,0.0,1.0
EIX,2000-01-13 00:00:00+00:00,27.75,28.0,27.69,27.81,848500,14.1603975131,14.2879686619,14.1297804374,14.1910145888,848500,0.0,1.0
EIX,2000-01-14 00:00:00+00:00,27.5,27.63,27.25,27.5,712800,14.0328263643,14.0991633617,13.9052552156,14.0328263643,712800,0.0,1.0
EIX,2000-01-18 00:00:00+00:00,27.0,27.5,26.75,27.25,1032700,13.7776840668,14.0328263643,13.650112918,13.9052552156,1032700,0.0,1.0
EIX,2000-01-19 00:00:00+00:00,27.25,27.38,26.56,26.56,1014000,13.9052552156,13.9715922129,13.553158845,13.553158845,1014000,0.0,1.0
