symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EL,2000-01-03 00:00:00+00:00,49.56,51.25,48.56,50.44,809500,18.5021398805,19.1330643437,18.1288117957,18.8306685951,1699949,0.0,1.0
EL,2000-01-04 00:00:00+00:00,48.69,49.25,48.5,49.25,483000,18.1773444467,18.3864081742,18.1064121106,18.3864081742,1014299,0.0,1.0
EL,2000-01-05 00:00:00+00:00,47.44,48.63,47.25,48.5,476100,17.7106843408,18.1549447617,17.6397520047,18.1064121106,999809,0.0,1.0
EL,2000-01-06 00:00:00+00:00,48.44,48.56,46.94,47.0,462700,18.0840124256,18.1288117957,17.5240202984,17.5464199835,971669,0.0,1.0
EL,2000-01-07 00:00:00+00:00,50.13,50.19,48.5,48.69,381900,18.7149368888,18.7373365739,18.1064121106,18.1773444467,801989,0.0,1.0
EL,2000-01-10 00:00:00+00:00,51.75,51.88,50.63,51.25,378600,19.3197283861,19.3682610371,18.9016009312,19.1330643437,795059,0.0,1.0
EL,2000-01-11 00:00:00+00:00,50.44,51.19,49.13,51.0,546100,18.8306685951,19.1106646586,18.341608804,19.0397323225,1146809,0.0,1.0
EL,2000-01-12 00:00:00+00:00,50.19,51.13,49.38,50.44,595200,18.7373365739,19.0882649735,18.4349408252,18.8306685951,1249919,0.0,1.0
EL,2000-01-13 00:00:00+00:00,50.38,50.94,49.75,50.19,433400,18.80826891,19.0173326374,18.5730722166,18.7373365739,910139,0.0,1.0
EL,2000-01-14 00:00:00+00:00,52.69,52.69,50.38,50.38,711300,19.6706567858,19.6706567858,18.80826891,18.80826891,1493729,0.0,1.0
EL,2000-01-18 00:00:00+00:00,53.19,54.0,51.63,52.0,782200,19.8573208281,20.1597165768,19.2749290159,19.4130604073,1642619,0.0,1.0
EL,2000-01-19 00:00:00+00:00,53.69,54.0,52.13,53.19,446500,20.0439848705,20.1597165768,19.4615930583,19.8573208281,937649,0.0,1.0
EL,2000-01-20 00:00:00+00:00,53.69,54.13,53.06,53.75,522100,20.0439848705,20.2082492278,19.8087881771,20.0663845556,1096409,0.0,1.0
EL,2000-01-21 00:00:00+00:00,53.5,55.5,52.88,53.44,579800,19.9730525344,20.7197087039,19.7415891219,19.9506528493,1217579,0.0,1.0
EL,2000-01-24 00:00:00+00:00,54.0,55.88,53.56,54.13,841300,20.1597165768,20.8615733761,19.9954522195,20.2082492278,1766729,0.0,1.0
EL,2000-01-25 00:00:00+00:00,54.13,55.38,53.19,54.25,398200,20.2082492278,20.6749093338,19.8573208281,20.253048598,836219,0.0,1.0
