symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EMR,2000-01-03 00:00:00+00:00,57.56,57.56,56.63,56.88,1123400,15.0844243134,15.0844243134,14.8407044626,14.9062205515,2246800,0.0,1.0
EMR,2000-01-04 00:00:00+00:00,56.88,57.56,56.81,57.5,854100,14.9062205515,15.0844243134,14.8878760466,15.0687004521,1708200,0.0,1.0
EMR,2000-01-05 00:00:00+00:00,58.06,58.25,56.81,56.88,1095100,15.2154564913,15.2652487188,14.8878760466,14.9062205515,2190200,0.0,1.0
EMR,2000-01-06 00:00:00+00:00,59.56,60.0,57.38,57.5,1296600,15.6085530248,15.7238613413,15.0372527294,15.0687004521,2593200,0.0,1.0
EMR,2000-01-07 00:00:00+00:00,62.25,62.69,59.75,60.5,1331600,16.3135061416,16.4288144581,15.6583452524,15.8548935191,2663200,0.0,1.0
EMR,2000-01-10 00:00:00+00:00,59.0,62.06,58.63,62.0,1278500,15.4617969856,16.263713914,15.364833174,16.2479900527,2557000,0.0,1.0
EMR,2000-01-11 00:00:00+00:00,58.88,60.0,58.63,58.75,947500,15.4303492629,15.7238613413,15.364833174,15.3962808967,1895000,0.0,1.0
EMR,2000-01-12 00:00:00+00:00,59.69,60.38,59.0,59.06,680600,15.642621391,15.8234457964,15.4617969856,15.4775208469,1361200,0.0,1.0
EMR,2000-01-13 00:00:00+00:00,61.5,62.19,59.75,59.94,1065900,16.1169578748,16.2977822802,15.6583452524,15.7081374799,2131800,0.0,1.0
EMR,2000-01-14 00:00:00+00:00,60.94,61.75,60.88,61.38,1343800,15.9702018356,16.1824739637,15.9544779743,16.0855101521,2687600,0.0,1.0
EMR,2000-01-18 00:00:00+00:00,60.19,60.75,59.38,60.69,1050800,15.7736535689,15.9204096081,15.5613814408,15.9046857467,2101600,0.0,1.0
EMR,2000-01-19 00:00:00+00:00,61.69,62.38,60.38,60.44,1161800,16.1667501024,16.3475745078,15.8234457964,15.8391696578,2323600,0.0,1.0
EMR,2000-01-20 00:00:00+00:00,60.44,62.38,60.31,61.88,1172500,15.8391696578,16.3475745078,15.8051012916,16.21654233,2345000,0.0,1.0
EMR,2000-01-21 00:00:00+00:00,60.06,60.56,59.63,59.75,1234300,15.7395852026,15.8706173805,15.6268975297,15.6583452524,2468600,0.0,1.0
EMR,2000-01-24 00:00:00+00:00,58.13,60.31,57.75,60.31,1251900,15.2338009962,15.8051012916,15.134216541,15.8051012916,2503800,0.0,1.0
EMR,2000-01-25 00:00:00+00:00,57.19,58.0,57.13,57.63,958700,14.9874605018,15.1997326299,14.9717366405,15.1027688183,1917400,0.0,1.0
EMR,2000-01-26 00:00:00+00:00,56.5,57.5,55.81,57.44,1277500,14.8066360964,15.0687004521,14.625811691,15.0529765907,2555000,0.0,1.0
EMR,2000-01-27 00:00:00+00:00,55.69,57.5,55.25,56.5,1328500,14.5943639683,15.0687004521,14.4790556518,14.8066360964,2657000,0.0,1.0
EMR,2000-01-28 00:00:00+00:00,56.0,57.0,55.25,55.63,1634000,14.6756039185,14.9376682742,14.4790556518,14.5786401069,3268000,0.0,1.0
EMR,2000-01-31 00:00:00+00:00,55.06,56.06,55.06,55.5,997100,14.4292634242,14.6913277799,14.4292634242,14.5445717407,1994200,0.0,1.0
EMR,2000-02-01 00:00:00+00:00,54.63,55.44,54.38,55.13,1176500,14.3165757512,14.5288478793,14.2510596623,14.4476079291,2353000,0.0,1.0
EMR,2000-02-02 00:00:00+00:00,53.5,54.94,53.5,54.88,1823800,14.0204430293,14.3978157015,14.0204430293,14.3820918402,3647600,0.0,1.0
EMR,2000-02-03 00:00:00+00:00,54.13,55.44,52.63,52.63,1564900,14.1855435734,14.5288478793,13.7924470399,13.7924470399,3129800,0.0,1.0
EMR,2000-02-04 00:00:00+00:00,51.75,53.75,51.44,53.25,2395800,13.5618304069,14.0859591182,13.4805904566,13.9549269404,4791600,0.0,1.0
EMR,2000-02-07 00:00:00+00:00,49.94,51.06,49.31,50.25,2126900,13.0874939231,13.3810060014,12.922393379,13.1687338733,4253800,0.0,1.0
EMR,2000-02-08 00:00:00+00:00,49.88,50.88,49.56,50.0,2127500,13.0717700617,13.3338344174,12.9879094679,13.1032177844,4255000,0.0,1.0
EMR,2000-02-09 00:00:00+00:00,48.0,49.81,47.94,49.63,1615000,12.579089073,13.0534255568,12.5633652117,13.0062539728,3230000,0.0,1.0
EMR,2000-02-10 00:00:00+00:00,46.69,48.44,46.06,48.06,2082600,12.2357847671,12.6943973895,12.070684223,12.5948129344,4165200,0.0,1.0
EMR,2000-02-11 00:00:00+00:00,46.38,47.44,46.19,46.94,1693000,12.1545448168,12.4323330338,12.1047525892,12.301300856,3386000,0.0,1.0
EMR,2000-02-14 00:00:00+00:00,46.38,46.75,45.69,46.63,1228500,12.1545448168,12.2515086284,11.9737204114,12.2200609057,2457000,0.0,1.0
EMR,2000-02-15 00:00:00+00:00,47.88,48.44,45.75,46.13,2253500,12.5476413503,12.6943973895,11.9894442727,12.0890287279,4507000,0.0,1.0
EMR,2000-02-16 00:00:00+00:00,48.88,49.31,47.13,47.69,1480000,12.9035247454,13.0170377495,12.441553217,12.5893841061,2960000,0.358,1.0
EMR,2000-02-17 00:00:00+00:00,49.38,49.56,48.5,49.5,2082800,13.0355166106,13.0830336821,12.8032109278,13.0671946583,4165600,0.0,1.0
EMR,2000-02-18 00:00:00+00:00,50.0,51.13,49.06,49.44,1929500,13.1991865235,13.4974881389,12.9510418169,13.0513556344,3859000,0.0,1.0
EMR,2000-02-22 00:00:00+00:00,49.63,50.63,49.06,49.25,1466300,13.1015125432,13.3654962737,12.9510418169,13.0011987256,2932600,0.0,1.0
EMR,2000-02-23 00:00:00+00:00,48.56,49.69,48.38,49.5,1555900,12.8190499516,13.1173515671,12.7715328801,13.0671946583,3111800,0.0,1.0
EMR,2000-02-24 00:00:00+00:00,48.44,49.25,47.5,48.5,1332600,12.787371904,13.0011987256,12.5392271973,12.8032109278,2665200,0.0,1.0
EMR,2000-02-25 00:00:00+00:00,47.63,50.06,47.56,50.0,1348400,12.5735450823,13.2150255473,12.5550662212,13.1991865235,2696800,0.0,1.0
EMR,2000-02-28 00:00:00+00:00,46.5,48.0,46.5,47.63,1353000,12.2752434669,12.6712190626,12.2752434669,12.5735450823,2706000,0.0,1.0
EMR,2000-02-29 00:00:00+00:00,45.56,46.94,45.31,46.5,1924400,12.0270987602,12.3913963083,11.9611028276,12.2752434669,3848800,0.0,1.0
