symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EOG,2000-01-03 00:00:00+00:00,15.5,17.38,15.0,17.19,992800,2.9145277189,3.2680317261,2.8205106957,3.2323052573,3971200,0.0,1.0
EOG,2000-01-04 00:00:00+00:00,15.5,15.63,14.75,15.0,1350700,2.9145277189,2.9389721449,2.7735021841,2.8205106957,5402800,0.0,1.0
EOG,2000-01-05 00:00:00+00:00,15.13,15.5,15.06,15.25,899500,2.8449551217,2.9145277189,2.8317927385,2.8675192073,3598000,0.0,1.0
EOG,2000-01-06 00:00:00+00:00,16.31,16.5,14.94,15.06,989000,3.0668352965,3.1025617653,2.8092286529,2.8317927385,3956000,0.0,1.0
EOG,2000-01-07 00:00:00+00:00,16.13,16.75,15.94,16.5,689100,3.0329891681,3.1495702769,2.9972626993,3.1025617653,2756400,0.0,1.0
EOG,2000-01-10 00:00:00+00:00,16.25,16.25,15.63,15.88,499700,3.0555532537,3.0555532537,2.9389721449,2.9859806565,1998800,0.0,1.0
EOG,2000-01-11 00:00:00+00:00,16.38,16.63,16.0,16.0,697100,3.0799976797,3.1270061913,3.0085447421,3.0085447421,2788400,0.0,1.0
EOG,2000-01-12 00:00:00+00:00,16.38,16.56,16.06,16.31,519800,3.0856387011,3.1195468187,3.0253576032,3.0724522109,2079200,0.03,1.0
EOG,2000-01-13 00:00:00+00:00,16.69,16.94,16.44,16.5,1074100,3.1440360147,3.1911306225,3.096941407,3.1082441128,4296400,0.0,1.0
EOG,2000-01-14 00:00:00+00:00,17.0,17.13,16.56,16.94,1274800,3.2024333284,3.2269225244,3.1195468187,3.1911306225,5099200,0.0,1.0
EOG,2000-01-18 00:00:00+00:00,17.06,17.94,16.69,17.25,926700,3.2137360342,3.3795090536,3.1440360147,3.2495279362,3706800,0.0,1.0
EOG,2000-01-19 00:00:00+00:00,17.13,17.81,17.13,17.31,415600,3.2269225244,3.3550198576,3.2269225244,3.260830642,1662400,0.0,1.0
EOG,2000-01-20 00:00:00+00:00,16.75,17.13,16.0,17.06,1060200,3.1553387206,3.2269225244,3.0140548973,3.2137360342,4240800,0.0,1.0
EOG,2000-01-21 00:00:00+00:00,16.25,17.31,16.13,16.94,1940000,3.0611495051,3.260830642,3.0385440933,3.1911306225,7760000,0.0,1.0
EOG,2000-01-24 00:00:00+00:00,15.88,16.19,15.44,16.0,1364600,2.9914494856,3.0498467992,2.9085629759,3.0140548973,5458400,0.0,1.0
EOG,2000-01-25 00:00:00+00:00,15.63,16.19,15.56,15.88,1333000,2.9443548778,3.0498467992,2.9311683876,2.9914494856,5332000,0.0,1.0
EOG,2000-01-26 00:00:00+00:00,15.81,16.25,15.69,15.69,1141600,2.9782629954,3.0611495051,2.9556575837,2.9556575837,4566400,0.0,1.0
EOG,2000-01-27 00:00:00+00:00,15.44,16.13,15.25,15.88,651300,2.9085629759,3.0385440933,2.872771074,2.9914494856,2605200,0.0,1.0
EOG,2000-01-28 00:00:00+00:00,15.25,15.69,15.19,15.44,574500,2.872771074,2.9556575837,2.8614683681,2.9085629759,2298000,0.0,1.0
EOG,2000-01-31 00:00:00+00:00,15.88,15.94,15.06,15.5,770700,2.9914494856,3.0027521914,2.8369791721,2.9198656818,3082800,0.0,1.0
EOG,2000-02-01 00:00:00+00:00,16.0,16.19,15.63,15.75,691000,3.0140548973,3.0498467992,2.9443548778,2.9669602895,2764000,0.0,1.0
EOG,2000-02-02 00:00:00+00:00,16.5,16.69,16.25,16.25,1025300,3.1082441128,3.1440360147,3.0611495051,3.0611495051,4101200,0.0,1.0
EOG,2000-02-03 00:00:00+00:00,16.13,16.81,16.13,16.63,854800,3.0385440933,3.1666414265,3.0385440933,3.1327333089,3419200,0.0,1.0
EOG,2000-02-04 00:00:00+00:00,15.69,16.56,15.25,16.06,647300,2.9556575837,3.1195468187,2.872771074,3.0253576032,2589200,0.0,1.0
EOG,2000-02-07 00:00:00+00:00,15.56,16.13,15.44,15.94,780200,2.9311683876,3.0385440933,2.9085629759,3.0027521914,3120800,0.0,1.0
EOG,2000-02-08 00:00:00+00:00,15.5,15.88,15.31,15.69,590400,2.9198656818,2.9914494856,2.8840737799,2.9556575837,2361600,0.0,1.0
EOG,2000-02-09 00:00:00+00:00,15.06,15.88,14.88,15.63,946600,2.8369791721,2.9914494856,2.8030710545,2.9443548778,3786400,0.0,1.0
EOG,2000-02-10 00:00:00+00:00,15.88,15.88,15.06,15.06,909200,2.9914494856,2.9914494856,2.8369791721,2.8369791721,3636800,0.0,1.0
EOG,2000-02-11 00:00:00+00:00,15.63,15.94,15.25,15.94,760900,2.9443548778,3.0027521914,2.872771074,3.0027521914,3043600,0.0,1.0
EOG,2000-02-14 00:00:00+00:00,15.75,15.88,15.31,15.63,516800,2.9669602895,2.9914494856,2.8840737799,2.9443548778,2067200,0.0,1.0
EOG,2000-02-15 00:00:00+00:00,16.25,16.5,15.69,15.75,669900,3.0611495051,3.1082441128,2.9556575837,2.9669602895,2679600,0.0,1.0
EOG,2000-02-16 00:00:00+00:00,16.0,16.56,16.0,16.38,616900,3.0140548973,3.1195468187,3.0140548973,3.0856387011,2467600,0.0,1.0
EOG,2000-02-17 00:00:00+00:00,16.19,16.19,15.88,16.06,1147700,3.0498467992,3.0498467992,2.9914494856,3.0253576032,4590800,0.0,1.0
EOG,2000-02-18 00:00:00+00:00,15.69,16.25,15.69,16.19,698800,2.9556575837,3.0611495051,2.9556575837,3.0498467992,2795200,0.0,1.0
EOG,2000-02-22 00:00:00+00:00,15.5,15.81,15.19,15.63,338600,2.9198656818,2.9782629954,2.8614683681,2.9443548778,1354400,0.0,1.0
EOG,2000-02-23 00:00:00+00:00,14.75,15.75,14.69,15.38,707400,2.7785818585,2.9669602895,2.7672791526,2.89726027,2829600,0.0,1.0
