symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EPAM,2012-02-08 00:00:00+00:00,14.0,15.05,13.25,13.75,3336200,14.0,15.05,13.25,13.75,3336200,0.0,1.0
EPAM,2012-02-09 00:00:00+00:00,13.91,14.22,13.75,14.17,580500,13.91,14.22,13.75,14.17,580500,0.0,1.0
EPAM,2012-02-10 00:00:00+00:00,13.96,14.03,13.77,14.0,336300,13.96,14.03,13.77,14.0,336300,0.0,1.0
EPAM,2012-02-13 00:00:00+00:00,13.65,14.42,13.63,13.91,175900,13.65,14.42,13.63,13.91,175900,0.0,1.0
EPAM,2012-02-14 00:00:00+00:00,13.44,13.79,13.3,13.6,122200,13.44,13.79,13.3,13.6,122200,0.0,1.0
EPAM,2012-02-15 00:00:00+00:00,13.4,14.07,13.3,13.5,175000,13.4,14.07,13.3,13.5,175000,0.0,1.0
EPAM,2012-02-16 00:00:00+00:00,13.54,13.7,13.4,13.4,71200,13.54,13.7,13.4,13.4,71200,0.0,1.0
EPAM,2012-02-17 00:00:00+00:00,13.58,13.99,13.5,13.61,142800,13.58,13.99,13.5,13.61,142800,0.0,1.0
EPAM,2012-02-21 00:00:00+00:00,13.71,14.34,13.56,13.61,248700,13.71,14.34,13.56,13.61,248700,0.0,1.0
EPAM,2012-02-22 00:00:00+00:00,13.96,14.22,13.75,13.99,274900,13.96,14.22,13.75,13.99,274900,0.0,1.0
EPAM,2012-02-23 00:00:00+00:00,13.94,14.0,13.843,13.97,82500,13.94,14.0,13.843,13.97,82500,0.0,1.0
EPAM,2012-02-24 00:00:00+00:00,13.71,13.93,13.55,13.93,120000,13.71,13.93,13.55,13.93,120000,0.0,1.0
EPAM,2012-02-27 00:00:00+00:00,13.66,13.84,13.63,13.65,235300,13.66,13.84,13.63,13.65,235300,0.0,1.0
EPAM,2012-02-28 00:00:00+00:00,13.83,13.84,13.75,13.75,68000,13.83,13.84,13.75,13.75,68000,0.0,1.0
EPAM,2012-02-29 00:00:00+00:00,14.13,14.15,13.85,13.88,68100,14.13,14.15,13.85,13.88,68100,0.0,1.0
EPAM,2012-03-01 00:00:00+00:00,15.0,15.3494,14.1,14.15,610100,15.0,15.3494,14.1,14.15,610100,0.0,1.0
EPAM,2012-03-02 00:00:00+00:00,15.14,15.7,14.97,15.07,237700,15.14,15.7,14.97,15.07,237700,0.0,1.0
EPAM,2012-03-05 00:00:00+00:00,15.09,15.15,14.78,15.07,184900,15.09,15.15,14.78,15.07,184900,0.0,1.0
EPAM,2012-03-06 00:00:00+00:00,15.0,15.27,14.84,14.98,130600,15.0,15.27,14.84,14.98,130600,0.0,1.0
EPAM,2012-03-07 00:00:00+00:00,15.23,15.34,15.04,15.04,110100,15.23,15.34,15.04,15.04,110100,0.0,1.0
EPAM,2012-03-08 00:00:00+00:00,15.23,15.53,14.45,14.54,120600,15.23,15.53,14.45,14.54,120600,0.0,1.0
EPAM,2012-03-09 00:00:00+00:00,15.32,15.59,15.08,15.18,166200,15.32,15.59,15.08,15.18,166200,0.0,1.0
EPAM,2012-03-12 00:00:00+00:00,15.14,15.4,14.95,14.95,91300,15.14,15.4,14.95,14.95,91300,0.0,1.0
EPAM,2012-03-13 00:00:00+00:00,15.78,16.48,15.07,15.14,316600,15.78,16.48,15.07,15.14,316600,0.0,1.0
EPAM,2012-03-14 00:00:00+00:00,16.2,16.35,15.67,15.67,160300,16.2,16.35,15.67,15.67,160300,0.0,1.0
EPAM,2012-03-15 00:00:00+00:00,17.0,17.13,16.18,16.18,228800,17.0,17.13,16.18,16.18,228800,0.0,1.0
EPAM,2012-03-16 00:00:00+00:00,16.8,17.26,16.2,16.91,326100,16.8,17.26,16.2,16.91,326100,0.0,1.0
EPAM,2012-03-19 00:00:00+00:00,17.41,17.92,16.9,17.12,297800,17.41,17.92,16.9,17.12,297800,0.0,1.0
EPAM,2012-03-20 00:00:00+00:00,17.41,17.5,16.9,17.44,96800,17.41,17.5,16.9,17.44,96800,0.0,1.0
