symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EQIX,2000-08-11 00:00:00+00:00,13.12,14.0,12.0,12.75,25360000,332.3375055991,354.6284358527,303.9672307309,322.9651826516,792500,0.0,1.0
EQIX,2000-08-14 00:00:00+00:00,12.0,13.12,12.0,13.09,2566400,303.9672307309,332.3375055991,303.9672307309,331.5775875223,80200,0.0,1.0
EQIX,2000-08-15 00:00:00+00:00,12.12,12.38,12.0,12.16,1548800,307.0069030382,313.592859704,303.9672307309,308.0201271406,48400,0.0,1.0
EQIX,2000-08-16 00:00:00+00:00,12.38,13.06,12.06,12.06,1347200,313.592859704,330.8176694455,305.4870668845,305.4870668845,42100,0.0,1.0
EQIX,2000-08-17 00:00:00+00:00,12.0,12.5,11.94,12.25,1510400,303.9672307309,316.6325320113,302.4473945772,310.2998813711,47200,0.0,1.0
EQIX,2000-08-18 00:00:00+00:00,14.31,14.38,12.38,12.53,1932800,362.4809226466,364.2540648258,313.592859704,317.3924500882,60400,0.0,1.0
EQIX,2000-08-21 00:00:00+00:00,15.19,16.25,13.94,15.06,2128000,384.7718529002,411.6222916147,353.108599699,381.4788745673,66500,0.0,1.0
EQIX,2000-08-22 00:00:00+00:00,13.5,15.69,13.5,15.38,1081600,341.9631345722,397.4371541806,341.9631345722,389.5846673868,33800,0.0,1.0
EQIX,2000-08-23 00:00:00+00:00,13.0,13.75,12.75,13.56,572800,329.2978332918,348.2957852125,322.9651826516,343.4829707259,17900,0.0,1.0
EQIX,2000-08-24 00:00:00+00:00,12.06,13.06,12.06,12.94,588800,305.4870668845,330.8176694455,305.4870668845,327.7779971381,18400,0.0,1.0
EQIX,2000-08-25 00:00:00+00:00,12.88,12.94,12.12,12.56,643200,326.2581609845,327.7779971381,307.0069030382,318.152368165,20100,0.0,1.0
EQIX,2000-08-28 00:00:00+00:00,13.12,13.55,12.5,13.41,620800,332.3375055991,343.2296647003,316.6325320113,339.6833803418,19400,0.0,1.0
EQIX,2000-08-29 00:00:00+00:00,13.38,13.5,12.62,13.44,726400,338.9234622649,341.9631345722,319.6722043187,340.4432984186,22700,0.0,1.0
EQIX,2000-08-30 00:00:00+00:00,14.19,14.69,13.25,13.34,633600,359.4412503393,372.1065516197,335.630483932,337.9102381625,19800,0.0,1.0
EQIX,2000-08-31 00:00:00+00:00,16.19,16.5,14.88,15.06,2793600,410.1024554611,417.954942255,376.9193661063,381.4788745673,87300,0.0,1.0
EQIX,2000-09-01 00:00:00+00:00,15.75,16.25,15.0,16.12,886400,398.9569903343,411.6222916147,379.9590384136,408.3293132818,27700,0.0,1.0
EQIX,2000-09-05 00:00:00+00:00,15.56,16.25,15.5,15.81,736000,394.1441758477,411.6222916147,392.6243396941,400.4768264879,23000,0.0,1.0
EQIX,2000-09-06 00:00:00+00:00,15.5,16.25,15.25,16.12,656000,392.6243396941,411.6222916147,386.2916890538,408.3293132818,20500,0.0,1.0
EQIX,2000-09-07 00:00:00+00:00,14.38,16.0,13.38,16.0,764800,364.2540648258,405.2896409745,338.9234622649,405.2896409745,23900,0.0,1.0
EQIX,2000-09-08 00:00:00+00:00,14.0,14.5,13.75,14.27,508800,354.6284358527,367.2937371332,348.2957852125,361.4676985441,15900,0.0,1.0
EQIX,2000-09-11 00:00:00+00:00,13.88,14.0,13.5,13.81,1104000,351.5887635454,354.6284358527,341.9631345722,349.8156213661,34500,0.0,1.0
EQIX,2000-09-12 00:00:00+00:00,13.0,13.81,12.88,13.59,1081600,329.2978332918,349.8156213661,326.2581609845,344.2428888027,33800,0.0,1.0
EQIX,2000-09-13 00:00:00+00:00,12.5,13.12,12.38,12.75,329600,316.6325320113,332.3375055991,313.592859704,322.9651826516,10300,0.0,1.0
EQIX,2000-09-14 00:00:00+00:00,12.69,13.88,12.5,13.88,259200,321.4453464979,351.5887635454,316.6325320113,351.5887635454,8100,0.0,1.0
EQIX,2000-09-15 00:00:00+00:00,12.56,13.0,12.5,12.56,115200,318.152368165,329.2978332918,316.6325320113,318.152368165,3600,0.0,1.0
EQIX,2000-09-18 00:00:00+00:00,12.06,13.25,11.94,13.12,595200,305.4870668845,335.630483932,302.4473945772,332.3375055991,18600,0.0,1.0
EQIX,2000-09-19 00:00:00+00:00,11.25,13.12,10.75,13.09,1536000,284.9692788102,332.3375055991,272.3039775298,331.5775875223,48000,0.0,1.0
EQIX,2000-09-20 00:00:00+00:00,10.38,11.56,9.75,11.5,771200,262.9316545822,292.8217656041,246.9733749688,291.3019294504,24100,0.0,1.0
EQIX,2000-09-21 00:00:00+00:00,10.62,10.75,10.19,10.31,806400,269.0109991968,272.3039775298,258.1188400956,261.158512403,25200,0.0,1.0
EQIX,2000-09-22 00:00:00+00:00,10.56,10.81,9.44,9.59,268800,267.4911630432,273.8238136834,239.120888175,242.9204785591,8400,0.0,1.0
EQIX,2000-09-25 00:00:00+00:00,9.44,10.81,9.38,10.62,672000,239.120888175,273.8238136834,237.6010520213,269.0109991968,21000,0.0,1.0
EQIX,2000-09-26 00:00:00+00:00,9.25,9.94,9.0,9.88,627200,234.3080736884,251.7861894554,227.9754230482,250.2663533018,19600,0.0,1.0
