symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EQT,2000-01-03 00:00:00+00:00,33.56,34.56,32.56,34.5,234600,3.2996236814,3.397943815,3.2013035479,3.392044607,1723840,0.0,1.0
EQT,2000-01-04 00:00:00+00:00,34.69,35.31,33.44,33.44,304900,3.4107254323,3.4716839151,3.2878252654,3.2878252654,2240405,0.0,1.0
EQT,2000-01-05 00:00:00+00:00,35.56,35.56,34.88,35.0,289400,3.4962639485,3.4962639485,3.4294062577,3.4412046737,2126511,0.0,1.0
EQT,2000-01-06 00:00:00+00:00,36.13,36.5,35.38,35.56,186200,3.5523064246,3.588684874,3.4785663245,3.4962639485,1368197,0.0,1.0
EQT,2000-01-07 00:00:00+00:00,36.69,37.06,36.13,36.13,65400,3.6073656994,3.6437441488,3.5523064246,3.5523064246,480559,0.0,1.0
EQT,2000-01-10 00:00:00+00:00,35.63,36.94,35.63,36.75,59700,3.5031463578,3.6319457328,3.5031463578,3.6132649074,438675,0.0,1.0
EQT,2000-01-11 00:00:00+00:00,35.19,36.0,35.19,35.5,59400,3.4598854991,3.5395248073,3.4598854991,3.4903647405,436471,0.0,1.0
EQT,2000-01-12 00:00:00+00:00,35.13,35.25,34.88,35.13,37000,3.4539862911,3.4657847071,3.4294062577,3.4539862911,271876,0.0,1.0
EQT,2000-01-13 00:00:00+00:00,35.56,35.63,34.75,35.06,151200,3.4962639485,3.5031463578,3.4166246403,3.4471038817,1111017,0.0,1.0
EQT,2000-01-14 00:00:00+00:00,35.44,35.63,35.06,35.44,86900,3.4844655325,3.5031463578,3.4471038817,3.4844655325,638541,0.0,1.0
EQT,2000-01-18 00:00:00+00:00,35.63,35.69,35.38,35.56,36900,3.5031463578,3.5090455659,3.4785663245,3.4962639485,271141,0.0,1.0
EQT,2000-01-19 00:00:00+00:00,35.75,35.75,35.0,35.63,77800,3.5149447739,3.5149447739,3.4412046737,3.5031463578,571674,0.0,1.0
EQT,2000-01-20 00:00:00+00:00,35.5,35.75,35.13,35.75,91000,3.4903647405,3.5149447739,3.4539862911,3.5149447739,668668,0.0,1.0
EQT,2000-01-21 00:00:00+00:00,36.25,36.5,35.44,35.44,134700,3.5641048406,3.588684874,3.4844655325,3.4844655325,989775,0.0,1.0
EQT,2000-01-24 00:00:00+00:00,35.81,36.63,35.56,36.5,50800,3.5208439819,3.6014664914,3.4962639485,3.588684874,373278,0.0,1.0
EQT,2000-01-25 00:00:00+00:00,34.63,36.0,34.5,35.75,62800,3.4048262243,3.5395248073,3.392044607,3.5149447739,461454,0.0,1.0
EQT,2000-01-26 00:00:00+00:00,35.19,35.19,34.75,34.81,76300,3.4598854991,3.4598854991,3.4166246403,3.4225238483,560652,0.0,1.0
EQT,2000-01-27 00:00:00+00:00,35.0,35.19,34.81,35.06,59400,3.4412046737,3.4598854991,3.4225238483,3.4471038817,436471,0.0,1.0
EQT,2000-01-28 00:00:00+00:00,35.13,35.25,34.75,34.88,80800,3.4539862911,3.4657847071,3.4166246403,3.4294062577,593718,0.0,1.0
EQT,2000-01-31 00:00:00+00:00,34.5,35.38,34.5,35.25,64100,3.392044607,3.4785663245,3.392044607,3.4657847071,471006,0.0,1.0
EQT,2000-02-01 00:00:00+00:00,34.56,34.56,34.0,34.31,50000,3.397943815,3.397943815,3.3428845402,3.3733637816,367400,0.0,1.0
EQT,2000-02-02 00:00:00+00:00,34.88,35.19,34.38,34.38,76900,3.4294062577,3.4598854991,3.3802461909,3.3802461909,565061,0.0,1.0
EQT,2000-02-03 00:00:00+00:00,34.88,35.38,34.75,34.75,45900,3.4294062577,3.4785663245,3.4166246403,3.4166246403,337273,0.0,1.0
EQT,2000-02-04 00:00:00+00:00,34.38,34.94,34.06,34.94,36200,3.3802461909,3.4353054657,3.3487837482,3.4353054657,265997,0.0,1.0
EQT,2000-02-07 00:00:00+00:00,33.88,34.63,33.75,34.44,25900,3.3310861242,3.4048262243,3.3183045068,3.3861453989,190313,0.0,1.0
EQT,2000-02-08 00:00:00+00:00,33.56,33.94,33.38,33.88,40300,3.2996236814,3.3369853322,3.2819260574,3.3310861242,296124,0.0,1.0
EQT,2000-02-09 00:00:00+00:00,32.94,33.56,32.75,33.38,98100,3.267669638,3.3291740453,3.2488215132,3.3113179271,720838,0.295,1.0
EQT,2000-02-10 00:00:00+00:00,34.13,34.31,32.88,33.19,68100,3.3857184197,3.403574538,3.2617175986,3.2924698023,500398,0.0,1.0
EQT,2000-02-11 00:00:00+00:00,32.94,34.25,32.94,33.94,54600,3.267669638,3.3976224986,3.267669638,3.3668702949,401200,0.0,1.0
EQT,2000-02-14 00:00:00+00:00,33.56,33.88,32.25,33.0,114900,3.3291740453,3.3609182555,3.1992211848,3.2736216774,844285,0.0,1.0
EQT,2000-02-15 00:00:00+00:00,34.5,34.69,33.63,33.63,36400,3.4224226628,3.4412707876,3.3361180913,3.3361180913,267467,0.0,1.0
EQT,2000-02-16 00:00:00+00:00,34.56,34.75,33.81,34.25,87300,3.4283747022,3.447222827,3.3539742095,3.3976224986,641480,0.0,1.0
EQT,2000-02-17 00:00:00+00:00,35.69,35.75,34.38,34.38,118900,3.5404714445,3.5464234839,3.410518584,3.410518584,873677,0.0,1.0
EQT,2000-02-18 00:00:00+00:00,34.94,35.69,34.75,35.69,56900,3.4660709518,3.5404714445,3.447222827,3.5404714445,418101,0.0,1.0
EQT,2000-02-22 00:00:00+00:00,34.5,35.19,34.0,35.0,83600,3.4224226628,3.490871116,3.3728223343,3.4720229912,614292,0.0,1.0
EQT,2000-02-23 00:00:00+00:00,34.13,34.38,34.0,34.38,85500,3.3857184197,3.410518584,3.3728223343,3.410518584,628254,0.0,1.0
EQT,2000-02-24 00:00:00+00:00,34.63,35.0,34.06,34.06,57500,3.4353187482,3.4720229912,3.3787743737,3.3787743737,422510,0.0,1.0
EQT,2000-02-25 00:00:00+00:00,33.69,34.69,33.5,34.63,47000,3.3420701307,3.4412707876,3.3232220059,3.4353187482,345356,0.0,1.0
EQT,2000-02-28 00:00:00+00:00,34.56,34.88,33.19,33.69,60400,3.4283747022,3.4601189124,3.2924698023,3.3420701307,443819,0.0,1.0
EQT,2000-02-29 00:00:00+00:00,37.75,37.88,36.25,36.25,210700,3.7448247977,3.7577208831,3.5960238123,3.5960238123,1548223,0.0,1.0
EQT,2000-03-01 00:00:00+00:00,36.31,38.5,35.81,37.81,262200,3.6019758518,3.8192252904,3.5523755233,3.7507768371,1926645,0.0,1.0
EQT,2000-03-02 00:00:00+00:00,37.19,37.25,36.19,36.19,93100,3.6892724298,3.6952244692,3.5900717729,3.5900717729,684098,0.0,1.0
EQT,2000-03-03 00:00:00+00:00,37.5,37.81,37.06,37.06,79100,3.7200246335,3.7507768371,3.6763763444,3.6763763444,581226,0.0,1.0
