symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ES,2000-01-03 00:00:00+00:00,20.69,20.69,20.44,20.5,276400,10.2802249276,10.2802249276,10.1560076133,10.1858197687,276400,0.0,1.0
ES,2000-01-04 00:00:00+00:00,20.69,20.88,20.38,20.5,291500,10.2802249276,10.3746300864,10.1261954579,10.1858197687,291500,0.0,1.0
ES,2000-01-05 00:00:00+00:00,20.94,21.0,20.56,20.56,284400,10.4044422418,10.4342543972,10.2156319241,10.2156319241,284400,0.0,1.0
ES,2000-01-06 00:00:00+00:00,21.06,21.31,20.56,20.56,130000,10.4640665526,10.5882838669,10.2156319241,10.2156319241,130000,0.0,1.0
ES,2000-01-07 00:00:00+00:00,21.25,21.25,20.81,20.94,85700,10.5584717115,10.5584717115,10.3398492384,10.4044422418,85700,0.0,1.0
ES,2000-01-10 00:00:00+00:00,21.06,21.31,20.75,21.13,151400,10.4640665526,10.5882838669,10.310037083,10.4988474006,151400,0.0,1.0
ES,2000-01-11 00:00:00+00:00,21.0,21.13,21.0,21.06,299700,10.4342543972,10.4988474006,10.4342543972,10.4640665526,299700,0.0,1.0
ES,2000-01-12 00:00:00+00:00,21.13,21.13,20.94,21.0,412000,10.4988474006,10.4988474006,10.4044422418,10.4342543972,412000,0.0,1.0
ES,2000-01-13 00:00:00+00:00,20.94,21.13,20.63,21.06,547700,10.4044422418,10.4988474006,10.2504127721,10.4640665526,547700,0.0,1.0
ES,2000-01-14 00:00:00+00:00,20.63,21.0,20.63,20.94,239400,10.2504127721,10.4342543972,10.2504127721,10.4044422418,239400,0.0,1.0
ES,2000-01-18 00:00:00+00:00,20.13,20.63,20.0,20.63,169600,10.0019781436,10.2504127721,9.9373851402,10.2504127721,169600,0.0,1.0
ES,2000-01-19 00:00:00+00:00,20.13,20.63,20.06,20.13,302300,10.0019781436,10.2504127721,9.9671972956,10.0019781436,302300,0.0,1.0
ES,2000-01-20 00:00:00+00:00,20.63,20.63,20.31,20.31,211700,10.2504127721,10.2504127721,10.0914146099,10.0914146099,211700,0.0,1.0
ES,2000-01-21 00:00:00+00:00,20.56,20.63,20.38,20.63,158200,10.2156319241,10.2504127721,10.1261954579,10.2504127721,158200,0.0,1.0
ES,2000-01-24 00:00:00+00:00,19.75,20.44,19.56,20.38,957100,9.813167826,10.1560076133,9.7187626671,10.1261954579,957100,0.0,1.0
ES,2000-01-25 00:00:00+00:00,19.88,20.0,19.63,19.88,1354700,9.8777608294,9.9373851402,9.7535435151,9.8777608294,1354700,0.0,1.0
ES,2000-01-26 00:00:00+00:00,20.25,20.31,20.0,20.13,618400,10.0616024545,10.0914146099,9.9373851402,10.0019781436,618400,0.0,1.0
ES,2000-01-27 00:00:00+00:00,20.56,20.63,20.25,20.25,407300,10.2156319241,10.2504127721,10.0616024545,10.0616024545,407300,0.0,1.0
