symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ESS,2000-01-03 00:00:00+00:00,33.31,33.88,33.19,33.88,12200,14.0666277584,14.3073355885,14.0159524257,14.3073355885,12200,0.0,1.0
ESS,2000-01-04 00:00:00+00:00,32.94,33.38,32.63,33.19,62700,13.910378816,14.0961883691,13.7794675399,14.0159524257,62700,0.0,1.0
ESS,2000-01-05 00:00:00+00:00,32.75,33.0,32.63,32.69,96900,13.8301428726,13.9357164823,13.7794675399,13.8048052063,96900,0.0,1.0
ESS,2000-01-06 00:00:00+00:00,33.13,33.25,32.56,32.81,72500,13.9906147594,14.041290092,13.7499069292,13.8554805389,72500,0.0,1.0
ESS,2000-01-07 00:00:00+00:00,34.25,34.5,33.13,33.13,39400,14.4635845309,14.5691581406,13.9906147594,13.9906147594,39400,0.0,1.0
ESS,2000-01-10 00:00:00+00:00,34.06,34.38,33.75,34.38,23300,14.3833485875,14.5184828079,14.2524373115,14.5184828079,23300,0.0,1.0
ESS,2000-01-11 00:00:00+00:00,33.69,34.19,33.69,33.81,46400,14.2270996451,14.4382468646,14.2270996451,14.2777749778,46400,0.0,1.0
ESS,2000-01-12 00:00:00+00:00,33.63,33.94,33.63,33.94,43500,14.2017619788,14.3326732548,14.2017619788,14.3326732548,43500,0.0,1.0
ESS,2000-01-13 00:00:00+00:00,34.0,34.0,33.56,33.63,14300,14.3580109212,14.3580109212,14.1722013681,14.2017619788,14300,0.0,1.0
ESS,2000-01-14 00:00:00+00:00,33.88,34.06,33.69,34.06,10100,14.3073355885,14.3833485875,14.2270996451,14.3833485875,10100,0.0,1.0
ESS,2000-01-18 00:00:00+00:00,33.75,33.81,33.38,33.81,27600,14.2524373115,14.2777749778,14.0961883691,14.2777749778,27600,0.0,1.0
ESS,2000-01-19 00:00:00+00:00,34.13,34.25,34.0,34.0,57900,14.4129091982,14.4635845309,14.3580109212,14.3580109212,57900,0.0,1.0
ESS,2000-01-20 00:00:00+00:00,34.31,34.31,34.13,34.19,18400,14.4889221972,14.4889221972,14.4129091982,14.4382468646,18400,0.0,1.0
ESS,2000-01-21 00:00:00+00:00,34.06,34.19,34.0,34.13,12700,14.3833485875,14.4382468646,14.3580109212,14.4129091982,12700,0.0,1.0
ESS,2000-01-24 00:00:00+00:00,34.0,34.13,33.75,33.94,36900,14.3580109212,14.4129091982,14.2524373115,14.3326732548,36900,0.0,1.0
ESS,2000-01-25 00:00:00+00:00,34.19,34.25,34.0,34.0,26000,14.4382468646,14.4635845309,14.3580109212,14.3580109212,26000,0.0,1.0
ESS,2000-01-26 00:00:00+00:00,34.13,34.25,34.06,34.06,11200,14.4129091982,14.4635845309,14.3833485875,14.3833485875,11200,0.0,1.0
ESS,2000-01-27 00:00:00+00:00,34.38,34.5,33.88,34.13,19800,14.5184828079,14.5691581406,14.3073355885,14.4129091982,19800,0.0,1.0
ESS,2000-01-28 00:00:00+00:00,33.94,34.5,33.94,34.25,19300,14.3326732548,14.5691581406,14.3326732548,14.4635845309,19300,0.0,1.0
ESS,2000-01-31 00:00:00+00:00,34.0,34.0,33.88,34.0,66300,14.3580109212,14.3580109212,14.3073355885,14.3580109212,66300,0.0,1.0
ESS,2000-02-01 00:00:00+00:00,34.63,34.63,34.0,34.0,30500,14.6240564177,14.6240564177,14.3580109212,14.3580109212,30500,0.0,1.0
