symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETN,2000-01-03 00:00:00+00:00,71.38,73.5,71.31,72.38,484300,9.6059409865,9.8912393178,9.5965207585,9.7405156711,1937200,0.0,1.0
ETN,2000-01-04 00:00:00+00:00,68.94,71.44,68.13,71.13,362600,9.277578756,9.6140154675,9.1685732615,9.5722973153,1450400,0.0,1.0
ETN,2000-01-05 00:00:00+00:00,69.06,69.25,67.75,68.94,324500,9.2937277182,9.3192969083,9.1174348814,9.277578756,1298000,0.0,1.0
ETN,2000-01-06 00:00:00+00:00,70.94,71.0,67.5,69.25,555200,9.5467281252,9.5548026063,9.0837912102,9.3192969083,2220800,0.0,1.0
ETN,2000-01-07 00:00:00+00:00,73.13,73.69,70.88,71.0,354500,9.8414466845,9.9168085079,9.5386536442,9.5548026063,1418000,0.0,1.0
ETN,2000-01-10 00:00:00+00:00,71.25,73.5,71.19,73.0,518900,9.5884462775,9.8912393178,9.5803717964,9.8239519755,2075600,0.0,1.0
ETN,2000-01-11 00:00:00+00:00,71.38,72.88,71.31,71.5,382700,9.6059409865,9.8078030134,9.5965207585,9.6220899486,1530800,0.0,1.0
ETN,2000-01-12 00:00:00+00:00,71.19,72.88,70.81,71.38,586800,9.5803717964,9.8078030134,9.5292334162,9.6059409865,2347200,0.0,1.0
ETN,2000-01-13 00:00:00+00:00,71.31,72.0,71.06,71.5,419800,9.5965207585,9.6893772909,9.5628770874,9.6220899486,1679200,0.0,1.0
ETN,2000-01-14 00:00:00+00:00,71.31,72.44,71.06,71.06,391000,9.5965207585,9.7485901521,9.5628770874,9.5628770874,1564000,0.0,1.0
ETN,2000-01-18 00:00:00+00:00,72.94,73.38,71.06,71.06,522100,9.8158774944,9.8750903557,9.5628770874,9.5628770874,2088400,0.0,1.0
ETN,2000-01-19 00:00:00+00:00,72.25,72.69,71.94,72.31,1065600,9.7230209621,9.7822338233,9.6813028098,9.7310954431,4262400,0.0,1.0
ETN,2000-01-20 00:00:00+00:00,71.31,72.44,70.5,72.19,648700,9.5965207585,9.7485901521,9.487515264,9.714946481,2594800,0.0,1.0
ETN,2000-01-21 00:00:00+00:00,67.06,69.19,66.81,69.0,949500,9.024578349,9.3112224272,8.9909346779,9.2856532371,3798000,0.0,1.0
ETN,2000-01-24 00:00:00+00:00,72.75,73.38,69.06,69.13,1301600,9.7903083044,9.8750903557,9.2937277182,9.3031479461,5206400,0.0,1.0
ETN,2000-01-25 00:00:00+00:00,70.31,73.31,69.63,73.31,1179700,9.4619460739,9.8656701277,9.3704352884,9.8656701277,4718800,0.0,1.0
