symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETR,2000-01-03 00:00:00+00:00,25.25,25.75,25.0,25.75,784700,10.3222412334,10.5266420499,10.2200408251,10.5266420499,784700,0.0,1.0
ETR,2000-01-04 00:00:00+00:00,25.31,25.63,25.0,25.19,454900,10.3467693314,10.4775858539,10.2200408251,10.2977131354,454900,0.0,1.0
ETR,2000-01-05 00:00:00+00:00,26.44,26.75,25.5,25.5,1252600,10.8087151767,10.9354436829,10.4244416416,10.4244416416,1252600,0.0,1.0
ETR,2000-01-06 00:00:00+00:00,25.88,26.31,25.81,26.31,638600,10.5797862622,10.7555709644,10.5511701479,10.7555709644,638600,0.0,1.0
ETR,2000-01-07 00:00:00+00:00,25.88,26.13,25.81,25.88,1220300,10.5797862622,10.6819866704,10.5511701479,10.5797862622,1220300,0.0,1.0
ETR,2000-01-10 00:00:00+00:00,25.75,26.25,25.69,26.06,609400,10.5266420499,10.7310428664,10.5021139519,10.6533705561,609400,0.0,1.0
ETR,2000-01-11 00:00:00+00:00,25.94,26.13,25.69,25.69,507600,10.6043143602,10.6819866704,10.5021139519,10.5021139519,507600,0.0,1.0
ETR,2000-01-12 00:00:00+00:00,25.81,26.13,25.69,25.81,575300,10.5511701479,10.6819866704,10.5021139519,10.5511701479,575300,0.0,1.0
ETR,2000-01-13 00:00:00+00:00,25.31,25.88,25.31,25.69,769100,10.3467693314,10.5797862622,10.3467693314,10.5021139519,769100,0.0,1.0
ETR,2000-01-14 00:00:00+00:00,25.25,25.63,25.19,25.5,780300,10.3222412334,10.4775858539,10.2977131354,10.4244416416,780300,0.0,1.0
ETR,2000-01-18 00:00:00+00:00,24.56,25.0,24.5,25.0,600900,10.0401681066,10.2200408251,10.0156400086,10.2200408251,600900,0.0,1.0
ETR,2000-01-19 00:00:00+00:00,24.25,24.56,24.13,24.38,2150500,9.9134396004,10.0401681066,9.8643834044,9.9665838127,2150500,0.0,1.0
ETR,2000-01-20 00:00:00+00:00,23.94,24.5,23.75,24.5,956100,9.7867110942,10.0156400086,9.7090387839,10.0156400086,956100,0.0,1.0
ETR,2000-01-21 00:00:00+00:00,24.19,24.38,23.94,24.0,922400,9.8889115024,9.9665838127,9.7867110942,9.8112391921,922400,0.0,1.0
ETR,2000-01-24 00:00:00+00:00,23.0,24.44,23.0,24.13,1222900,9.4024375591,9.9911119107,9.4024375591,9.8643834044,1222900,0.0,1.0
ETR,2000-01-25 00:00:00+00:00,22.25,23.13,22.25,23.0,1263100,9.0958363344,9.4555817714,9.0958363344,9.4024375591,1263100,0.0,1.0
ETR,2000-01-26 00:00:00+00:00,22.19,22.5,22.13,22.31,749800,9.0713082364,9.1980367426,9.0467801384,9.1203644324,749800,0.0,1.0
ETR,2000-01-27 00:00:00+00:00,23.0,23.0,22.19,22.25,1089500,9.4024375591,9.4024375591,9.0713082364,9.0958363344,1089500,0.0,1.0
ETR,2000-01-28 00:00:00+00:00,23.63,24.0,22.69,22.75,1337600,9.6599825879,9.8112391921,9.2757090529,9.3002371509,1337600,0.0,1.0
ETR,2000-01-31 00:00:00+00:00,24.94,25.0,23.63,23.63,1183800,10.1955127272,10.2200408251,9.6599825879,9.6599825879,1183800,0.0,1.0
ETR,2000-02-01 00:00:00+00:00,25.5,25.75,25.0,25.0,1118500,10.4244416416,10.5266420499,10.2200408251,10.2200408251,1118500,0.0,1.0
ETR,2000-02-02 00:00:00+00:00,24.94,25.5,24.75,25.31,849100,10.1955127272,10.4244416416,10.1178404169,10.3467693314,849100,0.0,1.0
ETR,2000-02-03 00:00:00+00:00,25.44,25.69,25.0,25.06,584600,10.3999135437,10.5021139519,10.2200408251,10.2445689231,584600,0.0,1.0
ETR,2000-02-04 00:00:00+00:00,24.94,25.56,24.88,25.56,621900,10.1955127272,10.4489697396,10.1709846292,10.4489697396,621900,0.0,1.0
ETR,2000-02-07 00:00:00+00:00,24.63,25.13,24.63,24.94,537500,10.0687842209,10.2731850374,10.0687842209,10.1955127272,537500,0.0,1.0
ETR,2000-02-08 00:00:00+00:00,24.63,25.0,24.63,24.63,431200,10.0687842209,10.2200408251,10.0687842209,10.0687842209,431200,0.0,1.0
ETR,2000-02-09 00:00:00+00:00,23.88,24.69,23.81,24.63,787600,9.7621829962,10.0933123189,9.7335668819,10.0687842209,787600,0.0,1.0
ETR,2000-02-10 00:00:00+00:00,23.38,24.25,23.38,23.88,800700,9.5577821797,9.9134396004,9.5577821797,9.7621829962,800700,0.0,1.0
ETR,2000-02-11 00:00:00+00:00,23.13,23.38,23.0,23.13,2214600,9.5782222613,9.6817482261,9.5243887596,9.5782222613,2214600,0.3,1.0
ETR,2000-02-14 00:00:00+00:00,23.5,23.81,23.0,23.0,531100,9.7314406892,9.8598128855,9.5243887596,9.5243887596,531100,0.0,1.0
ETR,2000-02-15 00:00:00+00:00,22.81,23.44,22.75,23.38,899600,9.4457090264,9.7065944576,9.4208627949,9.6817482261,899600,0.0,1.0
ETR,2000-02-16 00:00:00+00:00,22.38,22.81,22.25,22.75,765900,9.267644367,9.4457090264,9.2138108653,9.4208627949,765900,0.0,1.0
ETR,2000-02-17 00:00:00+00:00,21.94,22.69,21.94,22.38,593300,9.085438669,9.3960165633,9.085438669,9.267644367,593300,0.0,1.0
ETR,2000-02-18 00:00:00+00:00,21.44,22.19,21.38,22.19,1356100,8.8783867394,9.1889646338,8.8535405079,9.1889646338,1356100,0.0,1.0
ETR,2000-02-22 00:00:00+00:00,21.63,22.0,21.56,21.63,1026700,8.9570664726,9.1102849005,8.9280792025,8.9570664726,1026700,0.0,1.0
ETR,2000-02-23 00:00:00+00:00,21.31,21.69,21.25,21.5,985700,8.8245532377,8.9819127042,8.7997070062,8.903232971,985700,0.0,1.0
ETR,2000-02-24 00:00:00+00:00,20.38,21.31,20.0,21.19,951100,8.4394366488,8.8245532377,8.2820771823,8.7748607746,951100,0.0,1.0
ETR,2000-02-25 00:00:00+00:00,20.25,20.94,20.25,20.5,695800,8.3856031471,8.6713348099,8.3856031471,8.4891291118,695800,0.0,1.0
ETR,2000-02-28 00:00:00+00:00,20.88,20.94,19.75,19.75,756600,8.6464885783,8.6713348099,8.1785512175,8.1785512175,756600,0.0,1.0
ETR,2000-02-29 00:00:00+00:00,20.25,20.88,20.02,20.75,986900,8.3856031471,8.6464885783,8.2903592595,8.5926550766,986900,0.0,1.0
ETR,2000-03-01 00:00:00+00:00,20.38,20.44,20.06,20.44,1107500,8.4394366488,8.4642828803,8.3069234138,8.4642828803,1107500,0.0,1.0
ETR,2000-03-02 00:00:00+00:00,20.44,20.5,20.31,20.44,597900,8.4642828803,8.4891291118,8.4104493786,8.4642828803,597900,0.0,1.0
ETR,2000-03-03 00:00:00+00:00,20.38,20.56,20.38,20.5,601200,8.4394366488,8.5139753434,8.4394366488,8.4891291118,601200,0.0,1.0
ETR,2000-03-06 00:00:00+00:00,16.69,19.5,15.94,19.38,1874800,6.9113934086,8.0750252527,6.6008155143,8.0253327896,1874800,0.0,1.0
ETR,2000-03-07 00:00:00+00:00,17.31,18.25,17.25,17.25,3353000,7.1681378013,7.5573954288,7.1432915697,7.1432915697,3353000,0.0,1.0
ETR,2000-03-08 00:00:00+00:00,17.31,17.44,16.81,17.31,2388000,7.1681378013,7.221971303,6.9610858717,7.1681378013,2388000,0.0,1.0
ETR,2000-03-09 00:00:00+00:00,17.81,18.0,17.13,17.25,1177100,7.3751897308,7.4538694641,7.0935991066,7.1432915697,1177100,0.0,1.0
ETR,2000-03-10 00:00:00+00:00,17.94,18.31,17.81,17.81,753400,7.4290232325,7.5822416604,7.3751897308,7.3751897308,753400,0.0,1.0
ETR,2000-03-13 00:00:00+00:00,18.25,18.38,18.0,18.0,731600,7.5573954288,7.6112289305,7.4538694641,7.4538694641,731600,0.0,1.0
ETR,2000-03-14 00:00:00+00:00,17.56,18.19,17.13,18.06,522800,7.2716637661,7.5325491973,7.0935991066,7.4787156956,522800,0.0,1.0
ETR,2000-03-15 00:00:00+00:00,18.38,18.88,17.5,17.5,1231000,7.6112289305,7.8182808601,7.2468175345,7.2468175345,1231000,0.0,1.0
ETR,2000-03-16 00:00:00+00:00,19.38,19.56,18.75,18.75,1175400,8.0253327896,8.0998714843,7.7644473584,7.7644473584,1175400,0.0,1.0
ETR,2000-03-17 00:00:00+00:00,19.5,19.56,19.13,19.38,1186500,8.0750252527,8.0998714843,7.9218068249,8.0253327896,1186500,0.0,1.0
ETR,2000-03-20 00:00:00+00:00,19.94,20.19,19.31,19.31,1144700,8.2572309507,8.3607569155,7.9963455195,7.9963455195,1144700,0.0,1.0
ETR,2000-03-21 00:00:00+00:00,19.88,19.94,19.5,19.88,689400,8.2323847192,8.2572309507,8.0750252527,8.2323847192,689400,0.0,1.0
ETR,2000-03-22 00:00:00+00:00,19.25,19.63,19.13,19.63,794800,7.971499288,8.1288587544,7.9218068249,8.1288587544,794800,0.0,1.0
ETR,2000-03-23 00:00:00+00:00,19.69,19.69,18.81,19.25,605500,8.153704986,8.153704986,7.7892935899,7.971499288,605500,0.0,1.0
ETR,2000-03-24 00:00:00+00:00,19.88,19.88,19.38,19.44,469100,8.2323847192,8.2323847192,8.0253327896,8.0501790212,469100,0.0,1.0
ETR,2000-03-27 00:00:00+00:00,20.0,20.31,19.81,19.81,465100,8.2820771823,8.4104493786,8.2033974491,8.2033974491,465100,0.0,1.0
ETR,2000-03-28 00:00:00+00:00,20.0,20.13,19.69,19.75,960100,8.2820771823,8.335910684,8.153704986,8.1785512175,960100,0.0,1.0
ETR,2000-03-29 00:00:00+00:00,20.38,20.63,20.0,20.0,750700,8.4394366488,8.5429626135,8.2820771823,8.2820771823,750700,0.0,1.0
ETR,2000-03-30 00:00:00+00:00,19.69,20.44,19.69,20.13,984400,8.153704986,8.4642828803,8.153704986,8.335910684,984400,0.0,1.0
ETR,2000-03-31 00:00:00+00:00,20.19,20.38,19.38,19.69,791700,8.3607569155,8.4394366488,8.0253327896,8.153704986,791700,0.0,1.0
ETR,2000-04-03 00:00:00+00:00,20.13,20.63,19.94,20.25,506800,8.335910684,8.5429626135,8.2572309507,8.3856031471,506800,0.0,1.0
ETR,2000-04-04 00:00:00+00:00,20.69,20.94,20.25,20.25,580300,8.5678088451,8.6713348099,8.3856031471,8.3856031471,580300,0.0,1.0
ETR,2000-04-05 00:00:00+00:00,21.63,22.75,20.81,20.94,1104500,8.9570664726,9.4208627949,8.6175013082,8.6713348099,1104500,0.0,1.0
ETR,2000-04-06 00:00:00+00:00,20.69,21.56,20.5,21.31,718600,8.5678088451,8.9280792025,8.4891291118,8.8245532377,718600,0.0,1.0
ETR,2000-04-07 00:00:00+00:00,20.5,20.88,20.13,20.13,1010400,8.4891291118,8.6464885783,8.335910684,8.335910684,1010400,0.0,1.0
ETR,2000-04-10 00:00:00+00:00,21.13,21.31,20.44,20.44,468900,8.7500145431,8.8245532377,8.4642828803,8.4642828803,468900,0.0,1.0
ETR,2000-04-11 00:00:00+00:00,21.94,21.94,21.19,21.19,1108700,9.085438669,9.085438669,8.7748607746,8.7748607746,1108700,0.0,1.0
ETR,2000-04-12 00:00:00+00:00,22.31,22.75,22.13,22.13,1203100,9.2386570968,9.4208627949,9.1641184022,9.1641184022,1203100,0.0,1.0
ETR,2000-04-13 00:00:00+00:00,23.56,23.63,22.25,22.31,845400,9.7562869207,9.7852741909,9.2138108653,9.2386570968,845400,0.0,1.0
ETR,2000-04-14 00:00:00+00:00,22.94,24.06,22.69,23.31,618800,9.4995425281,9.9633388503,9.3960165633,9.652760956,618800,0.0,1.0
ETR,2000-04-17 00:00:00+00:00,23.19,23.25,21.94,22.75,930200,9.6030684929,9.6279147244,9.085438669,9.4208627949,930200,0.0,1.0
ETR,2000-04-18 00:00:00+00:00,23.0,23.56,22.94,23.31,584100,9.5243887596,9.7562869207,9.4995425281,9.652760956,584100,0.0,1.0
ETR,2000-04-19 00:00:00+00:00,22.75,23.06,22.06,23.0,314100,9.4208627949,9.5492349912,9.1351311321,9.5243887596,314100,0.0,1.0
ETR,2000-04-20 00:00:00+00:00,23.31,23.44,22.63,22.69,500800,9.652760956,9.7065944576,9.3711703318,9.3960165633,500800,0.0,1.0
ETR,2000-04-24 00:00:00+00:00,24.81,24.88,24.06,24.38,716600,10.2739167446,10.3029040148,9.9633388503,10.0958520852,716600,0.0,1.0
ETR,2000-04-25 00:00:00+00:00,25.38,25.81,25.0,25.0,1046200,10.5099559443,10.6880206037,10.3525964779,10.3525964779,1046200,0.0,1.0
ETR,2000-04-26 00:00:00+00:00,27.13,27.44,25.31,25.5,869300,11.2346376978,11.3630098941,10.4809686742,10.5596484074,869300,0.0,1.0
ETR,2000-04-27 00:00:00+00:00,25.81,26.88,25.69,26.88,1331100,10.6880206037,11.131111733,10.6383281407,11.131111733,1331100,0.0,1.0
ETR,2000-04-28 00:00:00+00:00,25.44,25.81,24.88,25.81,856700,10.5348021759,10.6880206037,10.3029040148,10.6880206037,856700,0.0,1.0
ETR,2000-05-01 00:00:00+00:00,25.81,26.25,25.31,25.5,772800,10.6880206037,10.8702263018,10.4809686742,10.5596484074,772800,0.0,1.0
