symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETSY,2015-04-16 00:00:00+00:00,30.0,35.74,28.22,31.0,19763334,30.0,35.74,28.22,31.0,19763334,0.0,1.0
ETSY,2015-04-17 00:00:00+00:00,27.58,30.3,26.51,29.77,3965469,27.58,30.3,26.51,29.77,3965469,0.0,1.0
ETSY,2015-04-20 00:00:00+00:00,24.9,28.9,24.87,28.77,3076216,24.9,28.9,24.87,28.77,3076216,0.0,1.0
ETSY,2015-04-21 00:00:00+00:00,25.75,26.04,24.56,24.97,2185407,25.75,26.04,24.56,24.97,2185407,0.0,1.0
ETSY,2015-04-22 00:00:00+00:00,25.12,26.24,24.95,26.0,1442915,25.12,26.24,24.95,26.0,1442915,0.0,1.0
ETSY,2015-04-23 00:00:00+00:00,25.62,25.74,24.08,24.93,1299238,25.62,25.74,24.08,24.93,1299238,0.0,1.0
ETSY,2015-04-24 00:00:00+00:00,25.58,25.7,25.0,25.55,532833,25.58,25.7,25.0,25.55,532833,0.0,1.0
ETSY,2015-04-27 00:00:00+00:00,25.9,26.47,25.21,25.7,731504,25.9,26.47,25.21,25.7,731504,0.0,1.0
ETSY,2015-04-28 00:00:00+00:00,24.49,25.9,24.18,25.75,954977,24.49,25.9,24.18,25.75,954977,0.0,1.0
ETSY,2015-04-29 00:00:00+00:00,22.42,24.9686,22.32,24.49,1674691,22.42,24.9686,22.32,24.49,1674691,0.0,1.0
ETSY,2015-04-30 00:00:00+00:00,22.24,23.1799,21.82,22.66,1221650,22.24,23.1799,21.82,22.66,1221650,0.0,1.0
ETSY,2015-05-01 00:00:00+00:00,21.75,23.0,21.27,22.25,687379,21.75,23.0,21.27,22.25,687379,0.0,1.0
ETSY,2015-05-04 00:00:00+00:00,23.24,23.285,21.75,21.75,648635,23.24,23.285,21.75,21.75,648635,0.0,1.0
ETSY,2015-05-05 00:00:00+00:00,24.15,24.32,21.9,23.22,1065845,24.15,24.32,21.9,23.22,1065845,0.0,1.0
ETSY,2015-05-06 00:00:00+00:00,23.4,25.4196,23.032,24.15,1290653,23.4,25.4196,23.032,24.15,1290653,0.0,1.0
ETSY,2015-05-07 00:00:00+00:00,23.69,24.42,22.715,23.4,616890,23.69,24.42,22.715,23.4,616890,0.0,1.0
ETSY,2015-05-08 00:00:00+00:00,22.71,24.1,22.5,23.93,784007,22.71,24.1,22.5,23.93,784007,0.0,1.0
ETSY,2015-05-11 00:00:00+00:00,20.85,21.49,20.02,20.71,2115351,20.85,21.49,20.02,20.71,2115351,0.0,1.0
ETSY,2015-05-12 00:00:00+00:00,20.57,21.45,20.3601,21.23,1140278,20.57,21.45,20.3601,21.23,1140278,0.0,1.0
ETSY,2015-05-13 00:00:00+00:00,19.83,20.78,19.5,20.5,1536009,19.83,20.78,19.5,20.5,1536009,0.0,1.0
ETSY,2015-05-14 00:00:00+00:00,20.6,20.75,19.6153,19.83,1044166,20.6,20.75,19.6153,19.83,1044166,0.0,1.0
ETSY,2015-05-15 00:00:00+00:00,20.05,20.8199,19.51,20.56,1177791,20.05,20.8199,19.51,20.56,1177791,0.0,1.0
