symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EW,2000-03-27 00:00:00+00:00,16.5,16.62,15.25,15.25,918900,1.375,1.385,1.2708333333,1.2708333333,11026800,0.0,1.0
EW,2000-03-28 00:00:00+00:00,16.06,16.5,16.0,16.5,269400,1.3383333333,1.375,1.3333333333,1.375,3232800,0.0,1.0
EW,2000-03-29 00:00:00+00:00,16.0,16.12,15.81,16.0,109300,1.3333333333,1.3433333333,1.3175,1.3333333333,1311600,0.0,1.0
EW,2000-03-30 00:00:00+00:00,15.38,16.0,15.38,16.0,470900,1.2816666667,1.3333333333,1.2816666667,1.3333333333,5650800,0.0,1.0
EW,2000-03-31 00:00:00+00:00,13.56,14.94,13.56,14.94,1982900,1.13,1.245,1.13,1.245,23794800,0.0,1.0
EW,2000-04-03 00:00:00+00:00,13.75,14.81,13.75,14.0,2871700,1.1458333333,1.2341666667,1.1458333333,1.1666666667,34460400,0.0,1.0
EW,2000-04-04 00:00:00+00:00,14.0,14.31,12.38,14.13,3284200,1.1666666667,1.1925,1.0316666667,1.1775,39410400,0.0,1.0
EW,2000-04-05 00:00:00+00:00,13.94,14.25,13.81,13.88,1587400,1.1616666667,1.1875,1.1508333333,1.1566666667,19048800,0.0,1.0
EW,2000-04-06 00:00:00+00:00,14.31,14.38,13.88,14.0,1795300,1.1925,1.1983333333,1.1566666667,1.1666666667,21543600,0.0,1.0
EW,2000-04-07 00:00:00+00:00,14.44,15.25,14.38,14.38,3476200,1.2033333333,1.2708333333,1.1983333333,1.1983333333,41714400,0.0,1.0
EW,2000-04-10 00:00:00+00:00,14.56,15.0,14.5,14.75,1320200,1.2133333333,1.25,1.2083333333,1.2291666667,15842400,0.0,1.0
EW,2000-04-11 00:00:00+00:00,14.31,14.63,14.25,14.31,1647500,1.1925,1.2191666667,1.1875,1.1925,19770000,0.0,1.0
EW,2000-04-12 00:00:00+00:00,14.31,14.56,14.13,14.19,2136600,1.1925,1.2133333333,1.1775,1.1825,25639200,0.0,1.0
EW,2000-04-13 00:00:00+00:00,14.45,14.63,14.31,14.31,1718600,1.2041666667,1.2191666667,1.1925,1.1925,20623200,0.0,1.0
EW,2000-04-14 00:00:00+00:00,14.44,14.5,14.13,14.44,656500,1.2033333333,1.2083333333,1.1775,1.2033333333,7878000,0.0,1.0
EW,2000-04-17 00:00:00+00:00,14.25,14.44,14.06,14.31,748000,1.1875,1.2033333333,1.1716666667,1.1925,8976000,0.0,1.0
EW,2000-04-18 00:00:00+00:00,14.06,14.5,13.94,14.44,724000,1.1716666667,1.2083333333,1.1616666667,1.2033333333,8688000,0.0,1.0
EW,2000-04-19 00:00:00+00:00,14.38,14.63,14.25,14.25,1165600,1.1983333333,1.2191666667,1.1875,1.1875,13987200,0.0,1.0
EW,2000-04-20 00:00:00+00:00,14.63,14.75,14.25,14.31,1139700,1.2191666667,1.2291666667,1.1875,1.1925,13676400,0.0,1.0
EW,2000-04-24 00:00:00+00:00,14.25,14.63,14.13,14.38,953800,1.1875,1.2191666667,1.1775,1.1983333333,11445600,0.0,1.0
EW,2000-04-25 00:00:00+00:00,15.06,15.13,13.88,14.31,1158900,1.255,1.2608333333,1.1566666667,1.1925,13906800,0.0,1.0
EW,2000-04-26 00:00:00+00:00,15.31,16.5,15.0,15.13,1330300,1.2758333333,1.375,1.25,1.2608333333,15963600,0.0,1.0
EW,2000-04-27 00:00:00+00:00,14.81,15.06,14.56,15.06,1021300,1.2341666667,1.255,1.2133333333,1.255,12255600,0.0,1.0
EW,2000-04-28 00:00:00+00:00,15.0,15.0,14.5,14.75,884800,1.25,1.25,1.2083333333,1.2291666667,10617600,0.0,1.0
EW,2000-05-01 00:00:00+00:00,14.75,15.0,14.44,15.0,1077500,1.2291666667,1.25,1.2033333333,1.25,12930000,0.0,1.0
EW,2000-05-02 00:00:00+00:00,14.56,14.75,14.44,14.63,671100,1.2133333333,1.2291666667,1.2033333333,1.2191666667,8053200,0.0,1.0
EW,2000-05-03 00:00:00+00:00,14.25,14.56,14.06,14.19,1041100,1.1875,1.2133333333,1.1716666667,1.1825,12493200,0.0,1.0
EW,2000-05-04 00:00:00+00:00,14.75,14.75,14.25,14.38,902600,1.2291666667,1.2291666667,1.1875,1.1983333333,10831200,0.0,1.0
EW,2000-05-05 00:00:00+00:00,15.13,15.38,14.88,14.88,427700,1.2608333333,1.2816666667,1.24,1.24,5132400,0.0,1.0
EW,2000-05-08 00:00:00+00:00,15.25,15.63,15.19,15.38,358900,1.2708333333,1.3025,1.2658333333,1.2816666667,4306800,0.0,1.0
EW,2000-05-09 00:00:00+00:00,15.0,15.5,15.0,15.44,335900,1.25,1.2916666667,1.25,1.2866666667,4030800,0.0,1.0
EW,2000-05-10 00:00:00+00:00,15.19,15.38,14.88,15.0,193800,1.2658333333,1.2816666667,1.24,1.25,2325600,0.0,1.0
EW,2000-05-11 00:00:00+00:00,14.94,15.5,14.75,15.19,571800,1.245,1.2916666667,1.2291666667,1.2658333333,6861600,0.0,1.0
EW,2000-05-12 00:00:00+00:00,15.69,15.69,14.94,14.94,192100,1.3075,1.3075,1.245,1.245,2305200,0.0,1.0
EW,2000-05-15 00:00:00+00:00,16.38,16.88,15.5,15.5,332100,1.365,1.4066666667,1.2916666667,1.2916666667,3985200,0.0,1.0
EW,2000-05-16 00:00:00+00:00,16.5,16.94,16.31,16.5,315900,1.375,1.4116666667,1.3591666667,1.375,3790800,0.0,1.0
EW,2000-05-17 00:00:00+00:00,16.0,16.5,15.81,16.5,629300,1.3333333333,1.375,1.3175,1.375,7551600,0.0,1.0
EW,2000-05-18 00:00:00+00:00,15.56,16.13,15.44,16.0,519700,1.2966666667,1.3441666667,1.2866666667,1.3333333333,6236400,0.0,1.0
EW,2000-05-19 00:00:00+00:00,15.31,15.63,15.31,15.56,157600,1.2758333333,1.3025,1.2758333333,1.2966666667,1891200,0.0,1.0
EW,2000-05-22 00:00:00+00:00,15.56,15.69,15.31,15.44,157400,1.2966666667,1.3075,1.2758333333,1.2866666667,1888800,0.0,1.0
