symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EXPD,2000-01-03 00:00:00+00:00,43.19,44.0,42.56,43.88,261700,8.6379542041,8.7999533452,8.5119548721,8.7759534725,1046800,0.0,1.0
EXPD,2000-01-04 00:00:00+00:00,42.47,43.0,42.47,42.75,203400,8.4939549676,8.5999544056,8.4939549676,8.5499546707,813600,0.0,1.0
EXPD,2000-01-05 00:00:00+00:00,42.75,42.88,42.38,42.69,142100,8.5499546707,8.5759545328,8.475955063,8.5379547343,568400,0.0,1.0
EXPD,2000-01-06 00:00:00+00:00,42.81,43.25,42.31,42.38,122600,8.561954607,8.6499541405,8.4619551372,8.475955063,490400,0.0,1.0
EXPD,2000-01-07 00:00:00+00:00,42.47,43.25,41.88,42.38,201000,8.4939549676,8.6499541405,8.3759555932,8.475955063,804000,0.0,1.0
EXPD,2000-01-10 00:00:00+00:00,43.09,43.63,42.31,42.38,435000,8.6179543101,8.7259537376,8.4619551372,8.475955063,1740000,0.0,1.0
EXPD,2000-01-11 00:00:00+00:00,42.06,43.5,41.88,43.5,161900,8.4119554023,8.6999538754,8.3759555932,8.6999538754,647600,0.0,1.0
EXPD,2000-01-12 00:00:00+00:00,40.13,42.0,40.0,42.0,159100,8.0259574487,8.3999554659,7.9999575866,8.3999554659,636400,0.0,1.0
EXPD,2000-01-13 00:00:00+00:00,41.31,41.63,40.25,40.5,140400,8.2619561975,8.3259558582,8.0499573215,8.0999570564,561600,0.0,1.0
EXPD,2000-01-14 00:00:00+00:00,44.28,44.75,41.63,41.69,406300,8.8559530483,8.94995255,8.3259558582,8.3379557946,1625200,0.0,1.0
EXPD,2000-01-18 00:00:00+00:00,41.88,44.63,41.88,44.63,235600,8.3759555932,8.9259526772,8.3759555932,8.9259526772,942400,0.0,1.0
EXPD,2000-01-19 00:00:00+00:00,42.34,42.63,41.0,41.75,214400,8.4679551054,8.5259547979,8.1999565262,8.349955731,857600,0.0,1.0
EXPD,2000-01-20 00:00:00+00:00,42.41,42.88,42.0,42.44,270200,8.4819550312,8.5759545328,8.3999554659,8.4879549994,1080800,0.0,1.0
EXPD,2000-01-21 00:00:00+00:00,42.38,43.0,42.0,42.31,84800,8.475955063,8.5999544056,8.3999554659,8.4619551372,339200,0.0,1.0
EXPD,2000-01-24 00:00:00+00:00,42.0,43.0,40.88,42.5,361500,8.3999554659,8.5999544056,8.1759566535,8.4999549357,1446000,0.0,1.0
EXPD,2000-01-25 00:00:00+00:00,41.97,43.0,41.94,42.22,148900,8.3939554977,8.5999544056,8.3879555295,8.4439552326,595600,0.0,1.0
EXPD,2000-01-26 00:00:00+00:00,42.94,43.56,42.25,42.25,223800,8.5879544692,8.7119538118,8.4499552008,8.4499552008,895200,0.0,1.0
