symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EXR,2004-08-16 00:00:00+00:00,12.5,12.53,12.5,12.5,188800,5.8575354269,5.8715935119,5.8575354269,5.8575354269,188800,0.0,1.0
EXR,2004-08-17 00:00:00+00:00,12.51,12.54,12.5,12.5,153600,5.8622214552,5.8762795402,5.8575354269,5.8575354269,153600,0.0,1.0
EXR,2004-08-18 00:00:00+00:00,12.51,12.65,12.5,12.5,149800,5.8622214552,5.927825852,5.8575354269,5.8575354269,149800,0.0,1.0
EXR,2004-08-19 00:00:00+00:00,12.53,12.55,12.5,12.5,126900,5.8715935119,5.8809655686,5.8575354269,5.8575354269,126900,0.0,1.0
EXR,2004-08-20 00:00:00+00:00,12.55,12.59,12.5,12.53,144900,5.8809655686,5.8997096819,5.8575354269,5.8715935119,144900,0.0,1.0
EXR,2004-08-23 00:00:00+00:00,12.55,12.59,12.5,12.55,64400,5.8809655686,5.8997096819,5.8575354269,5.8809655686,64400,0.0,1.0
EXR,2004-08-24 00:00:00+00:00,12.98,12.99,12.55,12.55,382900,6.0824647873,6.0871508156,5.8809655686,5.8809655686,382900,0.0,1.0
EXR,2004-08-25 00:00:00+00:00,13.0,13.09,12.75,12.75,500200,6.0918368439,6.134011099,5.9746861354,5.9746861354,500200,0.0,1.0
EXR,2004-08-26 00:00:00+00:00,13.38,13.45,12.95,13.05,435200,6.2699059209,6.3027081193,6.0684067022,6.1152669857,435200,0.0,1.0
EXR,2004-08-27 00:00:00+00:00,13.45,13.63,13.21,13.4,694300,6.3027081193,6.3870566295,6.1902434391,6.2792779776,694300,0.0,1.0
EXR,2004-08-30 00:00:00+00:00,13.48,13.59,13.35,13.45,119100,6.3167662043,6.3683125161,6.2558478359,6.3027081193,119100,0.0,1.0
EXR,2004-08-31 00:00:00+00:00,13.8,13.8,13.0,13.54,261900,6.4667191113,6.4667191113,6.0918368439,6.3448823744,261900,0.0,1.0
EXR,2004-09-01 00:00:00+00:00,13.65,14.38,13.42,14.3,170900,6.3964286861,6.7385087551,6.2886500343,6.7010205283,170900,0.0,1.0
EXR,2004-09-02 00:00:00+00:00,13.79,13.88,13.1,13.65,149200,6.4620330829,6.504207338,6.1386971274,6.3964286861,149200,0.0,1.0
