symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
F,2000-01-03 00:00:00+00:00,52.38,53.19,52.13,52.75,2582177,21.1964360848,21.5242160242,21.0952694368,21.3461627238,2582177,0.0,1.0
F,2000-01-04 00:00:00+00:00,50.63,52.25,50.31,51.81,4660980,20.4882695489,21.1438294278,20.3587762395,20.9657761274,4660980,0.0,1.0
F,2000-01-05 00:00:00+00:00,50.81,51.5,50.75,51.0,3207002,20.5611095354,20.8403294839,20.5368295399,20.6379961879,3207002,0.0,1.0
F,2000-01-06 00:00:00+00:00,50.88,51.81,50.38,51.0,2892998,20.5894361969,20.9657761274,20.3871029009,20.6379961879,2892998,0.0,1.0
F,2000-01-07 00:00:00+00:00,54.63,55.0,52.13,52.5,5898154,22.1069359166,22.2566625556,21.0952694368,21.2449960758,5898154,0.0,1.0
F,2000-01-10 00:00:00+00:00,53.63,55.19,53.0,54.75,3154679,21.7022693247,22.3335492081,21.4473293717,22.1554959076,3154679,0.0,1.0
F,2000-01-11 00:00:00+00:00,52.19,53.5,51.75,52.5,2693253,21.1195494323,21.6496626677,20.9414961318,21.2449960758,2693253,0.0,1.0
F,2000-01-12 00:00:00+00:00,53.69,54.5,52.44,52.44,3131190,21.7265493202,22.0543292596,21.2207160803,21.2207160803,3131190,0.0,1.0
F,2000-01-13 00:00:00+00:00,53.06,54.38,52.88,54.38,2500700,21.4716093673,22.0057692686,21.3987693807,22.0057692686,2500700,0.0,1.0
F,2000-01-14 00:00:00+00:00,51.75,52.94,51.13,52.56,4756652,20.9414961318,21.4230493762,20.6906028449,21.2692760713,4756652,0.0,1.0
F,2000-01-18 00:00:00+00:00,54.25,55.0,53.13,53.75,4948822,21.9531626116,22.2566625556,21.4999360287,21.7508293157,4948822,0.0,1.0
F,2000-01-19 00:00:00+00:00,53.44,54.88,52.81,54.5,2874602,21.6253826722,22.2081025646,21.3704427193,22.0543292596,2874602,0.0,1.0
F,2000-01-20 00:00:00+00:00,52.22,53.69,51.5,53.5,4339465,21.1316894301,21.7265493202,20.8403294839,21.6496626677,4339465,0.0,1.0
F,2000-01-21 00:00:00+00:00,50.44,52.0,50.31,51.94,5732018,20.4113828964,21.0426627798,20.3587762395,21.0183827843,5732018,0.0,1.0
F,2000-01-24 00:00:00+00:00,51.13,51.94,50.38,51.81,5042648,20.6906028449,21.0183827843,20.3871029009,20.9657761274,5042648,0.0,1.0
F,2000-01-25 00:00:00+00:00,50.13,51.25,49.13,51.19,4154997,20.2859362529,20.7391628359,19.881269661,20.7148828404,4154997,0.0,1.0
F,2000-01-26 00:00:00+00:00,48.0,49.25,47.31,49.13,9246849,19.4239964121,19.929829652,19.1447764637,19.881269661,9246849,0.0,1.0
F,2000-01-27 00:00:00+00:00,49.94,50.0,48.69,49.31,6861680,20.2090496005,20.233329596,19.7032163606,19.9541096476,6861680,0.0,1.0
F,2000-01-28 00:00:00+00:00,49.0,49.88,48.81,49.13,3837810,20.0342336328,20.3940321143,19.9565498697,20.0873856812,3837810,0.508,1.0
