symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FANG,2012-10-12 00:00:00+00:00,17.5,18.28,17.495,17.82,6467100,15.3292015342,16.0124459455,15.3248217624,15.6095069337,6467100,0.0,1.0
FANG,2012-10-15 00:00:00+00:00,17.75,17.8325,17.5,17.55,633100,15.5481901276,15.6204563634,15.3292015342,15.3729992529,633100,0.0,1.0
FANG,2012-10-16 00:00:00+00:00,17.79,17.95,17.25,17.57,180300,15.5832283025,15.7233810023,15.1102129409,15.3905183404,180300,0.0,1.0
FANG,2012-10-17 00:00:00+00:00,17.7,18.07,17.5,17.7,121000,15.5043924089,15.8284955271,15.3292015342,15.5043924089,121000,0.0,1.0
FANG,2012-10-18 00:00:00+00:00,17.7,17.87,17.52,17.6,146100,15.5043924089,15.6533046524,15.3467206217,15.4167969716,146100,0.0,1.0
FANG,2012-10-19 00:00:00+00:00,17.41,17.8,17.41,17.72,298100,15.2503656406,15.5919878463,15.2503656406,15.5219114964,298100,0.0,1.0
FANG,2012-10-22 00:00:00+00:00,17.03,17.51,16.93,17.5,359800,14.9175029788,15.337961078,14.8299075414,15.3292015342,359800,0.0,1.0
FANG,2012-10-23 00:00:00+00:00,17.13,17.295,16.75,16.85,166100,15.0050984161,15.1496308877,14.6722357542,14.7598311915,166100,0.0,1.0
FANG,2012-10-24 00:00:00+00:00,17.39,17.47,16.92,16.92,158200,15.2328465532,15.302922903,14.8211479977,14.8211479977,158200,0.0,1.0
FANG,2012-10-25 00:00:00+00:00,17.03,17.98,16.245,17.98,206900,14.9175029788,15.7496596335,14.2298787956,15.7496596335,206900,0.0,1.0
FANG,2012-10-26 00:00:00+00:00,17.14,17.51,16.6,17.51,199500,15.0138579598,15.337961078,14.5408425982,15.337961078,199500,0.0,1.0
FANG,2012-10-31 00:00:00+00:00,17.03,17.03,16.5,16.5,36400,14.9175029788,14.9175029788,14.4532471609,14.4532471609,36400,0.0,1.0
FANG,2012-11-01 00:00:00+00:00,17.23,17.48,16.51,17.1,203000,15.0926938534,15.3116824468,14.4620067046,14.9788197849,203000,0.0,1.0
FANG,2012-11-02 00:00:00+00:00,17.0,17.23,16.56,16.99,72100,14.8912243476,15.0926938534,14.5058044233,14.8824648038,72100,0.0,1.0
FANG,2012-11-05 00:00:00+00:00,16.71,17.0,16.5,16.79,33300,14.6371975793,14.8912243476,14.4532471609,14.7072739291,33300,0.0,1.0
FANG,2012-11-06 00:00:00+00:00,17.01,17.48,16.09,16.52,370600,14.8999838913,15.3116824468,14.0941058678,14.4707662483,370600,0.0,1.0
FANG,2012-11-07 00:00:00+00:00,17.06,17.4,16.75,16.75,155800,14.94378161,15.2416060969,14.6722357542,14.6722357542,155800,0.0,1.0
FANG,2012-11-08 00:00:00+00:00,16.75,17.27,16.29,16.29,141600,14.6722357542,15.1277320284,14.2692967424,14.2692967424,141600,0.0,1.0
FANG,2012-11-09 00:00:00+00:00,16.55,16.94,16.33,16.33,209600,14.4970448795,14.8386670851,14.3043349174,14.3043349174,209600,0.0,1.0
FANG,2012-11-12 00:00:00+00:00,16.5,16.55,16.36,16.46,12800,14.4532471609,14.4970448795,14.3306135486,14.4182089859,12800,0.0,1.0
FANG,2012-11-13 00:00:00+00:00,16.04,16.76,15.97,16.52,47600,14.0503081491,14.6809952979,13.988991343,14.4707662483,47600,0.0,1.0
FANG,2012-11-14 00:00:00+00:00,16.05,16.47,15.65,15.97,123400,14.0590676928,14.4269685297,13.7086859435,13.988991343,123400,0.0,1.0
FANG,2012-11-15 00:00:00+00:00,16.7,17.26,15.71,16.38,367000,14.6284380355,15.1189724846,13.7612432059,14.3481326361,367000,0.0,1.0
FANG,2012-11-16 00:00:00+00:00,16.82,17.69,16.27,16.91,104600,14.7335525603,15.4956328652,14.251777655,14.8123884539,104600,0.0,1.0
FANG,2012-11-19 00:00:00+00:00,17.12,17.25,16.5,16.85,77200,14.9963388724,15.1102129409,14.4532471609,14.7598311915,77200,0.0,1.0
FANG,2012-11-20 00:00:00+00:00,17.13,17.29,16.83,17.14,251400,15.0050984161,15.1452511158,14.7423121041,15.0138579598,251400,0.0,1.0
FANG,2012-11-21 00:00:00+00:00,17.2,17.4799,16.85,17.12,33100,15.0664152222,15.3115948513,14.7598311915,14.9963388724,33100,0.0,1.0
FANG,2012-11-23 00:00:00+00:00,17.32,17.55,17.06,17.25,94000,15.171529747,15.3729992529,14.94378161,15.1102129409,94000,0.0,1.0
FANG,2012-11-26 00:00:00+00:00,17.26,17.42,17.06,17.3,77400,15.1189724846,15.2591251844,14.94378161,15.1540106596,77400,0.0,1.0
FANG,2012-11-27 00:00:00+00:00,17.23,17.3325,16.93,17.07,55800,15.0926938534,15.1824791767,14.8299075414,14.9525411537,55800,0.0,1.0
FANG,2012-11-28 00:00:00+00:00,17.25,17.4899,16.98,17.45,94000,15.1102129409,15.3203543951,14.8737052601,15.2854038156,94000,0.0,1.0
FANG,2012-11-29 00:00:00+00:00,18.16,18.3499,17.2,17.46,164400,15.9073314207,16.0736751562,15.0664152222,15.2941633593,164400,0.0,1.0
FANG,2012-11-30 00:00:00+00:00,18.0,18.48,17.77,18.44,44200,15.7671787209,16.1876368202,15.5657092151,16.1525986452,44200,0.0,1.0
FANG,2012-12-03 00:00:00+00:00,18.1,18.5,17.39,18.01,47600,15.8547741583,16.2051559076,15.2328465532,15.7759382647,47600,0.0,1.0
FANG,2012-12-04 00:00:00+00:00,17.83,18.23,17.411,18.23,30100,15.6182664775,15.9686482268,15.251241595,15.9686482268,30100,0.0,1.0
FANG,2012-12-05 00:00:00+00:00,17.98,18.1,17.58,17.58,33000,15.7496596335,15.8547741583,15.3992778841,15.3992778841,33000,0.0,1.0
FANG,2012-12-06 00:00:00+00:00,17.62,17.78,17.32,17.76,41900,15.4343160591,15.5744687588,15.171529747,15.5569496713,41900,0.0,1.0
FANG,2012-12-07 00:00:00+00:00,17.75,17.85,17.6,17.68,42500,15.5481901276,15.6357855649,15.4167969716,15.4868733215,42500,0.0,1.0
FANG,2012-12-10 00:00:00+00:00,17.62,17.92,17.36,17.89,72300,15.4343160591,15.6971023711,15.206567922,15.6708237399,72300,0.0,1.0
FANG,2012-12-11 00:00:00+00:00,17.54,17.84,17.2,17.41,72200,15.3642397092,15.6270260212,15.0664152222,15.2503656406,72200,0.0,1.0
FANG,2012-12-12 00:00:00+00:00,17.64,17.78,17.47,17.47,58000,15.4518351465,15.5744687588,15.302922903,15.302922903,58000,0.0,1.0
FANG,2012-12-13 00:00:00+00:00,17.88,17.98,17.29,17.41,135900,15.6620641961,15.7496596335,15.1452511158,15.2503656406,135900,0.0,1.0
FANG,2012-12-14 00:00:00+00:00,17.57,17.65,17.25,17.43,44700,15.3905183404,15.4605946903,15.1102129409,15.2678847281,44700,0.0,1.0
FANG,2012-12-17 00:00:00+00:00,17.98,18.5,17.5,17.66,107600,15.7496596335,16.2051559076,15.3292015342,15.469354234,107600,0.0,1.0
FANG,2012-12-18 00:00:00+00:00,18.8,19.25,17.7,17.93,142600,16.4679422196,16.8621216877,15.5043924089,15.7058619148,142600,0.0,1.0
FANG,2012-12-19 00:00:00+00:00,19.18,19.89,18.131,18.8,192600,16.8008048815,17.4227324866,15.8819287439,16.4679422196,192600,0.0,1.0
FANG,2012-12-20 00:00:00+00:00,19.02,19.02,18.44,18.95,200500,16.6606521818,16.6606521818,16.1525986452,16.5993353757,200500,0.0,1.0
FANG,2012-12-21 00:00:00+00:00,18.98,19.18,17.68,18.62,1936500,16.6256140069,16.8008048815,15.4868733215,16.3102704324,1936500,0.0,1.0
FANG,2012-12-24 00:00:00+00:00,18.64,19.45,18.01,19.05,159000,16.3277895199,17.0373125623,15.7759382647,16.686930813,159000,0.0,1.0
FANG,2012-12-26 00:00:00+00:00,18.65,19.0,18.27,18.75,81300,16.3365490636,16.6431330943,16.0036864018,16.424144501,81300,0.0,1.0
FANG,2012-12-27 00:00:00+00:00,18.54,19.4875,18.39,18.57,162100,16.2401940826,17.0701608513,16.1088009266,16.2664727138,162100,0.0,1.0
FANG,2012-12-28 00:00:00+00:00,18.78,18.92,18.31,18.41,66400,16.4504231322,16.5730567445,16.0387245767,16.126320014,66400,0.0,1.0
FANG,2012-12-31 00:00:00+00:00,19.12,19.22,18.57,18.74,125600,16.7482476191,16.8358430565,16.2664727138,16.4153849572,125600,0.0,1.0
FANG,2013-01-02 00:00:00+00:00,19.24,19.92,18.6,19.46,189700,16.8533621439,17.4490111178,16.292751345,17.0460721061,189700,0.0,1.0
FANG,2013-01-03 00:00:00+00:00,19.14,19.455,18.646,19.24,89100,16.7657667066,17.0416923342,16.3330452461,16.8533621439,89100,0.0,1.0
FANG,2013-01-04 00:00:00+00:00,20.05,20.49,18.97,19.25,173300,17.5628851864,17.9483051107,16.6168544631,16.8621216877,173300,0.0,1.0
FANG,2013-01-07 00:00:00+00:00,20.77,21.24,19.64,19.89,210300,18.1935723352,18.6052708907,17.2037438933,17.4227324866,210300,0.0,1.0
FANG,2013-01-08 00:00:00+00:00,20.6,21.1,20.38,20.69,229400,18.0446600917,18.4826372784,17.8519501296,18.1234959853,229400,0.0,1.0
FANG,2013-01-09 00:00:00+00:00,20.47,20.97,20.4,20.71,171800,17.9307860232,18.3687632099,17.8694692171,18.1410150728,171800,0.0,1.0
FANG,2013-01-10 00:00:00+00:00,21.63,21.99,20.34,20.54,235200,18.9468930963,19.2622366707,17.8169119547,17.9921028293,235200,0.0,1.0
FANG,2013-01-11 00:00:00+00:00,21.67,21.78,20.55,21.6,166300,18.9819312713,19.0782862523,18.0008623731,18.9206144651,166300,0.0,1.0
FANG,2013-01-14 00:00:00+00:00,21.8,22.47,21.68,21.68,130400,19.0958053398,19.68269477,18.990690815,18.990690815,130400,0.0,1.0
FANG,2013-01-15 00:00:00+00:00,21.72,22.903,21.17,21.67,59300,19.0257289899,20.0619830136,18.5439540846,18.9819312713,59300,0.0,1.0
FANG,2013-01-16 00:00:00+00:00,21.28,21.52,20.06,21.08,239500,18.6403090656,18.8505381153,17.5716447301,18.465118191,239500,0.0,1.0
FANG,2013-01-17 00:00:00+00:00,21.12,21.81,20.76,21.37,129800,18.5001563659,19.1045648835,18.1848127915,18.7191449592,129800,0.0,1.0
FANG,2013-01-18 00:00:00+00:00,20.54,21.79,20.31,21.17,119400,17.9921028293,19.0870457961,17.7906333235,18.5439540846,119400,0.0,1.0
FANG,2013-01-22 00:00:00+00:00,21.79,21.89,20.6,20.6,160100,19.0870457961,19.1746412334,18.0446600917,18.0446600917,160100,0.0,1.0
FANG,2013-01-23 00:00:00+00:00,21.43,21.74,20.95,21.74,42700,18.7717022216,19.0432480774,18.3512441224,19.0432480774,42700,0.0,1.0
FANG,2013-01-24 00:00:00+00:00,21.43,22.59,21.19,21.24,114500,18.7717022216,19.7878092948,18.561473172,18.6052708907,114500,0.0,1.0
FANG,2013-01-25 00:00:00+00:00,22.0,22.71,21.55,21.55,71200,19.2709962145,19.8929238196,18.8768167465,18.8768167465,71200,0.0,1.0
FANG,2013-01-28 00:00:00+00:00,21.64,22.25,21.34,22.2,91000,18.9556526401,19.4899848078,18.692866328,19.4461870892,91000,0.0,1.0
FANG,2013-01-29 00:00:00+00:00,22.13,22.16,21.63,21.68,113700,19.384870283,19.4111489142,18.9468930963,18.990690815,113700,0.0,1.0
FANG,2013-01-30 00:00:00+00:00,22.67,22.88,22.04,22.04,340500,19.8578856446,20.0418360631,19.3060343894,19.3060343894,340500,0.0,1.0
FANG,2013-01-31 00:00:00+00:00,22.42,22.5308,21.55,22.5308,260400,19.6388970513,19.7359527959,18.8768167465,19.7359527959,260400,0.0,1.0
FANG,2013-02-01 00:00:00+00:00,22.7,22.95,22.36,22.56,93600,19.8841642758,20.1031528692,19.5863397889,19.7615306636,93600,0.0,1.0
FANG,2013-02-04 00:00:00+00:00,22.54,22.71,21.845,22.65,80100,19.7440115761,19.8929238196,19.1352232866,19.8403665572,80100,0.0,1.0
FANG,2013-02-05 00:00:00+00:00,22.63,22.65,22.16,22.58,38700,19.8228474697,19.8403665572,19.4111489142,19.779049751,38700,0.0,1.0
FANG,2013-02-06 00:00:00+00:00,22.63,22.83,22.21,22.49,136100,19.8228474697,19.9980383444,19.4549466329,19.7002138574,136100,0.0,1.0
FANG,2013-02-07 00:00:00+00:00,22.42,22.69,22.0,22.06,61300,19.6388970513,19.8754047321,19.2709962145,19.3235534769,61300,0.0,1.0
FANG,2013-02-08 00:00:00+00:00,22.05,22.75,22.04,22.39,96400,19.3147939331,19.9279619945,19.3060343894,19.6126184201,96400,0.0,1.0
FANG,2013-02-11 00:00:00+00:00,21.56,22.13,21.3,22.13,59100,18.8855762902,19.384870283,18.6578281531,19.384870283,59100,0.0,1.0
FANG,2013-02-12 00:00:00+00:00,21.57,21.76,21.05,21.52,154700,18.8943358339,19.0607671649,18.4388395598,18.8505381153,154700,0.0,1.0
FANG,2013-02-13 00:00:00+00:00,21.56,22.01,21.23,21.55,321700,18.8855762902,19.2797557582,18.596511347,18.8768167465,321700,0.0,1.0
FANG,2013-02-14 00:00:00+00:00,22.0,22.93,21.55,21.55,379500,19.2709962145,20.0856337817,18.8768167465,18.8768167465,379500,0.0,1.0
FANG,2013-02-15 00:00:00+00:00,22.3,22.65,21.7,22.07,146500,19.5337825265,19.8403665572,19.0082099025,19.3323130206,146500,0.0,1.0
FANG,2013-02-19 00:00:00+00:00,22.82,22.82,22.23,22.318,102000,19.9892788007,19.9892788007,19.4724657204,19.5495497052,102000,0.0,1.0
FANG,2013-02-20 00:00:00+00:00,21.28,23.28,21.21,22.81,96200,18.6403090656,20.3922178124,18.5789922595,19.9805192569,96200,0.0,1.0
FANG,2013-02-21 00:00:00+00:00,20.73,21.29,20.55,21.29,76900,18.1585341603,18.6490686094,18.0008623731,18.6490686094,76900,0.0,1.0
FANG,2013-02-22 00:00:00+00:00,20.98,22.63,20.23,22.25,310600,18.3775227536,19.8228474697,17.7205569736,19.4899848078,310600,0.0,1.0
FANG,2013-02-25 00:00:00+00:00,19.74,21.08,19.57,21.0,167600,17.2913393306,18.465118191,17.1424270872,18.3950418411,167600,0.0,1.0
FANG,2013-02-26 00:00:00+00:00,20.05,20.52,19.7001,19.84,119300,17.5628851864,17.9745837419,17.2563887511,17.378934768,119300,0.0,1.0
FANG,2013-02-27 00:00:00+00:00,20.96,21.5,19.85,20.09,158500,18.3600036662,18.8330190278,17.3876943117,17.5979233613,158500,0.0,1.0
FANG,2013-02-28 00:00:00+00:00,22.71,23.31,20.2,20.98,205000,19.8929238196,20.4184964436,17.6942783424,18.3775227536,205000,0.0,1.0
FANG,2013-03-01 00:00:00+00:00,22.34,22.81,21.91,22.5,46000,19.5688207014,19.9805192569,19.1921603209,19.7089734012,46000,0.0,1.0
FANG,2013-03-04 00:00:00+00:00,22.39,22.87,21.83,22.37,39000,19.6126184201,20.0330765193,19.122083971,19.5950993326,39000,0.0,1.0
FANG,2013-03-05 00:00:00+00:00,23.7,23.88,22.39,22.41,108700,20.7601186492,20.9177904364,19.6126184201,19.6301375076,108700,0.0,1.0
FANG,2013-03-06 00:00:00+00:00,23.55,24.03,23.38,23.83,13800,20.6287254932,21.0491835925,20.4798132498,20.8739927178,13800,0.0,1.0
FANG,2013-03-07 00:00:00+00:00,24.51,24.885,22.53,23.5,129700,21.4696416917,21.7981245817,19.7352520324,20.5849277746,129700,0.0,1.0
FANG,2013-03-08 00:00:00+00:00,24.9,24.96,23.89,24.77,127200,21.8112638973,21.8638211597,20.9265499802,21.6973898288,127200,0.0,1.0
FANG,2013-03-11 00:00:00+00:00,24.49,24.99,24.08,24.92,218100,21.4521226042,21.8900997909,21.0929813111,21.8287829848,218100,0.0,1.0
FANG,2013-03-12 00:00:00+00:00,24.93,24.99,24.3,24.52,107300,21.8375425285,21.8900997909,21.2856912733,21.4784012354,107300,0.0,1.0
FANG,2013-03-13 00:00:00+00:00,25.75,26.39,24.67,24.87,308800,22.5558251147,23.1164359136,21.6097943914,21.7849852661,308800,0.0,1.0
FANG,2013-03-14 00:00:00+00:00,24.86,25.86,24.22,25.86,153000,21.7762257224,22.6521800957,21.2156149234,22.6521800957,153000,0.0,1.0
FANG,2013-03-15 00:00:00+00:00,24.15,24.96,23.5,24.92,186000,21.1542981173,21.8638211597,20.5849277746,21.8287829848,186000,0.0,1.0
FANG,2013-03-18 00:00:00+00:00,23.99,24.55,23.63,23.87,38800,21.0141454175,21.5046798666,20.6988018431,20.9090308927,38800,0.0,1.0
FANG,2013-03-19 00:00:00+00:00,23.76,25.14,23.57,24.23,87200,20.8126759116,22.0214929469,20.6462445807,21.2243744671,87200,0.0,1.0
FANG,2013-03-20 00:00:00+00:00,24.0,24.3,23.65,24.04,81000,21.0229049612,21.2856912733,20.7163209306,21.0579431362,81000,0.0,1.0
