symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FAST,2000-01-03 00:00:00+00:00,42.44,45.0,42.0,44.75,118100,1.7340639324,1.8386634532,1.7160858897,1.8284486563,1889600,0.0,1.0
FAST,2000-01-04 00:00:00+00:00,40.0,42.5,39.94,42.13,105700,1.634367514,1.7365154836,1.6319159627,1.7213975841,1691200,0.0,1.0
FAST,2000-01-05 00:00:00+00:00,41.56,41.94,39.75,39.94,242000,1.698107847,1.7136343384,1.624152717,1.6319159627,3872000,0.0,1.0
FAST,2000-01-06 00:00:00+00:00,41.69,42.38,41.25,41.88,89700,1.7034195415,1.7316123811,1.6854414988,1.7111827872,1435200,0.0,1.0
FAST,2000-01-07 00:00:00+00:00,41.63,42.25,41.5,41.69,299700,1.7009679902,1.7263006867,1.6956562958,1.7034195415,4795200,0.0,1.0
FAST,2000-01-10 00:00:00+00:00,40.56,41.75,40.5,41.75,161700,1.6572486592,1.7058710927,1.6547971079,1.7058710927,2587200,0.0,1.0
FAST,2000-01-11 00:00:00+00:00,40.88,41.25,40.5,40.5,296400,1.6703235993,1.6854414988,1.6547971079,1.6547971079,4742400,0.0,1.0
FAST,2000-01-12 00:00:00+00:00,40.09,41.0,39.88,40.63,242000,1.6380448409,1.6752267018,1.6294644115,1.6601088023,3872000,0.0,1.0
FAST,2000-01-13 00:00:00+00:00,46.25,48.69,40.06,40.06,759400,1.8897374381,1.9894338564,1.6368190653,1.6368190653,12150400,0.0,1.0
FAST,2000-01-14 00:00:00+00:00,44.94,46.5,44.88,46.25,315000,1.836211902,1.899952235,1.8337603507,1.8897374381,5040000,0.0,1.0
FAST,2000-01-18 00:00:00+00:00,44.44,45.5,44.38,44.88,172200,1.8157823081,1.8590930472,1.8133307568,1.8337603507,2755200,0.0,1.0
FAST,2000-01-19 00:00:00+00:00,47.88,49.94,45.38,45.56,476600,1.9563379143,2.0405078412,1.8541899446,1.8615445984,7625600,0.0,1.0
FAST,2000-01-20 00:00:00+00:00,48.81,50.38,48.25,48.94,597500,1.994336959,2.0584858839,1.9714558138,1.9996486534,9560000,0.0,1.0
FAST,2000-01-21 00:00:00+00:00,48.97,49.44,48.25,48.75,432800,2.000874429,2.0200782473,1.9714558138,1.9918854077,6924800,0.0,1.0
FAST,2000-01-24 00:00:00+00:00,46.06,49.0,45.5,48.88,160300,1.8819741924,2.0021002046,1.8590930472,1.9971971021,2564800,0.0,1.0
FAST,2000-01-25 00:00:00+00:00,47.06,47.63,45.88,46.25,177600,1.9228333802,1.9461231173,1.8746195386,1.8897374381,2841600,0.0,1.0
FAST,2000-01-26 00:00:00+00:00,49.13,49.25,47.06,47.13,176400,2.0074118991,2.0123150016,1.9228333802,1.9256935234,2822400,0.0,1.0
FAST,2000-01-27 00:00:00+00:00,49.25,50.13,47.5,48.75,227100,2.0123150016,2.0482710869,1.9408114229,1.9918854077,3633600,0.0,1.0
FAST,2000-01-28 00:00:00+00:00,46.91,49.25,46.75,49.25,246700,1.916704502,2.0123150016,1.910167032,2.0123150016,3947200,0.0,1.0
FAST,2000-01-31 00:00:00+00:00,43.75,47.5,43.44,47.5,372500,1.7875894684,1.9408114229,1.7749231202,1.9408114229,5960000,0.0,1.0
