symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FCX,2000-01-03 00:00:00+00:00,21.19,21.44,20.75,21.06,727500,6.4031030359,6.4786469604,6.2701457289,6.3638201952,1455000,0.0,1.0
FCX,2000-01-04 00:00:00+00:00,20.0,21.0,19.94,20.94,809100,6.0435139556,6.3456896534,6.0253834137,6.3275591115,1618200,0.0,1.0
FCX,2000-01-05 00:00:00+00:00,20.69,20.75,20.06,20.06,767800,6.252015187,6.2701457289,6.0616444974,6.0616444974,1535600,0.0,1.0
FCX,2000-01-06 00:00:00+00:00,20.13,20.94,19.81,20.75,1148300,6.0827967963,6.3275591115,5.986100573,6.2701457289,2296600,0.0,1.0
FCX,2000-01-07 00:00:00+00:00,19.63,20.5,19.31,19.88,1126500,5.9317089474,6.1946018045,5.8350127241,6.0072528718,2253000,0.0,1.0
FCX,2000-01-10 00:00:00+00:00,19.75,20.25,19.69,20.25,584600,5.9679700311,6.11905788,5.9498394893,6.11905788,1169200,0.0,1.0
FCX,2000-01-11 00:00:00+00:00,19.88,20.0,19.56,19.69,422700,6.0072528718,6.0435139556,5.9105566486,5.9498394893,845400,0.0,1.0
FCX,2000-01-12 00:00:00+00:00,19.56,19.81,19.13,19.75,892000,5.9105566486,5.986100573,5.7806210985,5.9679700311,1784000,0.0,1.0
FCX,2000-01-13 00:00:00+00:00,19.44,19.88,19.38,19.5,948800,5.8742955648,6.0072528718,5.856165023,5.8924261067,1897600,0.0,1.0
FCX,2000-01-14 00:00:00+00:00,19.0,19.44,18.75,19.31,993400,5.7413382578,5.8742955648,5.6657943334,5.8350127241,1986800,0.0,1.0
FCX,2000-01-18 00:00:00+00:00,19.5,19.5,18.69,19.13,678000,5.8924261067,5.8924261067,5.6476637915,5.7806210985,1356000,0.0,1.0
FCX,2000-01-19 00:00:00+00:00,20.0,20.0,19.38,19.5,543000,6.0435139556,6.0435139556,5.856165023,5.8924261067,1086000,0.0,1.0
FCX,2000-01-20 00:00:00+00:00,19.06,20.0,19.06,20.0,565200,5.7594687997,6.0435139556,5.7594687997,6.0435139556,1130400,0.0,1.0
FCX,2000-01-21 00:00:00+00:00,18.38,19.25,18.38,19.25,570500,5.5539893252,5.8168821822,5.5539893252,5.8168821822,1141000,0.0,1.0
FCX,2000-01-24 00:00:00+00:00,17.88,18.5,17.5,18.5,355700,5.4029014763,5.5902504089,5.2880747111,5.5902504089,711400,0.0,1.0
FCX,2000-01-25 00:00:00+00:00,17.63,17.81,17.0,17.75,296100,5.3273575518,5.3817491774,5.1369868622,5.3636186356,592200,0.0,1.0
FCX,2000-01-26 00:00:00+00:00,16.69,17.5,16.31,17.5,438700,5.0433123959,5.2880747111,4.9284856308,5.2880747111,877400,0.0,1.0
FCX,2000-01-27 00:00:00+00:00,17.81,17.81,16.75,16.81,528400,5.3817491774,5.3817491774,5.0614429378,5.0795734797,1056800,0.0,1.0
FCX,2000-01-28 00:00:00+00:00,17.44,18.25,17.13,17.5,885400,5.2699441693,5.5147064845,5.176269703,5.2880747111,1770800,0.0,1.0
FCX,2000-01-31 00:00:00+00:00,17.44,17.69,17.31,17.31,429700,5.2699441693,5.3454880937,5.2306613286,5.2306613286,859400,0.0,1.0
FCX,2000-02-01 00:00:00+00:00,17.44,17.81,17.19,17.19,367800,5.2699441693,5.3817491774,5.1944002448,5.1944002448,735600,0.0,1.0
FCX,2000-02-02 00:00:00+00:00,17.44,17.75,17.38,17.44,737600,5.2699441693,5.3636186356,5.2518136274,5.2699441693,1475200,0.0,1.0
FCX,2000-02-03 00:00:00+00:00,17.5,17.63,17.31,17.38,770500,5.2880747111,5.3273575518,5.2306613286,5.2518136274,1541000,0.0,1.0
FCX,2000-02-04 00:00:00+00:00,18.56,18.75,18.0,18.0,739700,5.6083809508,5.6657943334,5.43916256,5.43916256,1479400,0.0,1.0
FCX,2000-02-07 00:00:00+00:00,18.38,18.94,18.38,18.88,765400,5.5539893252,5.7232077159,5.5539893252,5.7050771741,1530800,0.0,1.0
FCX,2000-02-08 00:00:00+00:00,18.0,18.44,17.94,18.38,539900,5.43916256,5.572119867,5.4210320182,5.5539893252,1079800,0.0,1.0
FCX,2000-02-09 00:00:00+00:00,17.94,18.31,17.81,18.0,733300,5.4210320182,5.5328370263,5.3817491774,5.43916256,1466600,0.0,1.0
FCX,2000-02-10 00:00:00+00:00,17.81,18.06,17.75,18.0,784500,5.3817491774,5.4572931019,5.3636186356,5.43916256,1569000,0.0,1.0
FCX,2000-02-11 00:00:00+00:00,18.19,18.19,17.63,17.69,535700,5.4965759426,5.4965759426,5.3273575518,5.3454880937,1071400,0.0,1.0
FCX,2000-02-14 00:00:00+00:00,18.38,18.5,18.06,18.06,378900,5.5539893252,5.5902504089,5.4572931019,5.4572931019,757800,0.0,1.0
