symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FDS,2000-01-03 00:00:00+00:00,79.0,79.88,78.56,79.88,8700,21.1718219989,21.4076600161,21.0539029903,21.4076600161,26100,0.0,1.0
FDS,2000-01-04 00:00:00+00:00,73.0,78.62,73.0,78.62,29700,19.5638355179,21.0699828551,19.5638355179,21.0699828551,89100,0.0,1.0
FDS,2000-01-05 00:00:00+00:00,73.0,74.56,72.13,72.75,27900,19.5638355179,19.981912003,19.3306774782,19.4968360812,83700,0.0,1.0
FDS,2000-01-06 00:00:00+00:00,70.88,72.94,69.25,72.94,26500,18.9956802947,19.5477556531,18.5588439673,19.5477556531,79500,0.0,1.0
FDS,2000-01-07 00:00:00+00:00,70.5,71.0,70.0,70.37,22000,18.8938411509,19.0278400243,18.7598422775,18.8590014438,66000,0.0,1.0
FDS,2000-01-10 00:00:00+00:00,64.12,70.75,62.0,70.5,56700,17.1840155262,18.9608405876,16.6158603029,18.8938411509,170100,0.0,1.0
FDS,2000-01-11 00:00:00+00:00,67.06,68.38,63.0,63.0,32900,17.9719289018,18.3256859276,16.8838580497,16.8838580497,98700,0.0,1.0
FDS,2000-01-12 00:00:00+00:00,64.69,67.44,63.75,67.31,20700,17.3367742418,18.0737680456,17.0848563598,18.0389283385,62100,0.0,1.0
FDS,2000-01-13 00:00:00+00:00,66.13,66.13,64.0,65.62,119100,17.7226909973,17.7226909973,17.1518557965,17.5860121464,357300,0.0,1.0
FDS,2000-01-14 00:00:00+00:00,68.62,70.75,66.25,67.75,52800,18.3900053869,18.9608405876,17.7548507269,18.1568473471,158400,0.0,1.0
FDS,2000-01-18 00:00:00+00:00,70.63,72.0,69.38,69.5,47200,18.928680858,19.2958377711,18.5936836744,18.6258434041,141600,0.0,1.0
FDS,2000-01-19 00:00:00+00:00,73.94,73.94,71.25,71.25,64300,19.8157533999,19.8157533999,19.094839461,19.094839461,192900,0.0,1.0
FDS,2000-01-20 00:00:00+00:00,74.5,74.94,72.88,73.75,60800,19.9658321382,20.0837511468,19.5316757883,19.764833828,182400,0.0,1.0
FDS,2000-01-21 00:00:00+00:00,73.81,76.0,73.81,74.5,22200,19.7809136929,20.3678287584,19.7809136929,19.9658321382,66600,0.0,1.0
FDS,2000-01-24 00:00:00+00:00,73.88,74.06,73.69,74.0,24200,19.7996735351,19.8479131296,19.7487539632,19.8318332647,72600,0.0,1.0
FDS,2000-01-25 00:00:00+00:00,72.31,73.75,72.19,73.63,46000,19.3789170726,19.764833828,19.346757343,19.7326740984,138000,0.0,1.0
FDS,2000-01-26 00:00:00+00:00,70.63,72.31,70.25,72.13,12700,18.928680858,19.3789170726,18.8268417142,19.3306774782,38100,0.0,1.0
FDS,2000-01-27 00:00:00+00:00,70.5,71.75,70.12,70.12,20200,18.8938411509,19.2288383344,18.7920020071,18.7920020071,60600,0.0,1.0
FDS,2000-01-28 00:00:00+00:00,68.5,71.44,68.5,70.5,22500,18.3578456572,19.1457590329,18.3578456572,18.8938411509,67500,0.0,1.0
FDS,2000-01-31 00:00:00+00:00,67.0,69.06,66.44,68.62,20600,17.955849037,18.5079243955,17.8057702988,18.3900053869,61800,0.0,1.0
FDS,2000-02-01 00:00:00+00:00,67.25,67.25,66.19,66.5,19000,18.0228484737,18.0228484737,17.7387708621,17.8218501636,57000,0.0,1.0
FDS,2000-02-02 00:00:00+00:00,66.31,67.12,66.25,67.12,12700,17.7709305917,17.9880087666,17.7548507269,17.9880087666,38100,0.0,1.0
FDS,2000-02-03 00:00:00+00:00,67.25,67.25,65.25,66.56,24700,18.0228484737,18.0228484737,17.4868529801,17.8379300284,74100,0.0,1.0
FDS,2000-02-04 00:00:00+00:00,64.63,67.25,64.12,67.25,28000,17.320694377,18.0228484737,17.1840155262,18.0228484737,84000,0.0,1.0
FDS,2000-02-07 00:00:00+00:00,31.19,32.44,29.0,32.44,224733,16.7176994467,17.3876938137,15.5438693156,17.3876938137,337099,0.0,2.0
FDS,2000-02-08 00:00:00+00:00,30.25,32.0,30.25,31.31,61067,16.2138636827,17.1518557965,16.2138636827,16.7820189059,91600,0.0,1.0
FDS,2000-02-09 00:00:00+00:00,29.81,30.56,29.5,30.5,46267,15.9780256655,16.3800222857,15.8118670624,16.3478625561,69400,0.0,1.0
FDS,2000-02-10 00:00:00+00:00,29.81,30.63,29.62,29.75,143400,15.9780256655,16.4175419702,15.8761865217,15.9458659358,215100,0.0,1.0
FDS,2000-02-11 00:00:00+00:00,30.12,30.5,29.88,30.06,115600,16.1441842685,16.3478625561,16.01554535,16.1120245389,173400,0.0,1.0
FDS,2000-02-14 00:00:00+00:00,28.31,30.38,28.25,30.38,113800,15.174032425,16.2835430968,15.1418726954,16.2835430968,170700,0.0,1.0
FDS,2000-02-15 00:00:00+00:00,27.69,28.62,27.69,28.44,31000,14.8417152189,15.340191028,14.8417152189,15.2437118392,46500,0.0,1.0
FDS,2000-02-16 00:00:00+00:00,27.81,28.12,27.12,27.94,111000,14.9060346782,15.0721932812,14.5361977876,14.9757140924,166500,0.0,1.0
FDS,2000-02-17 00:00:00+00:00,27.87,28.0,26.88,27.94,86400,14.9381944078,15.007873822,14.4075588691,14.9757140924,129600,0.0,1.0
FDS,2000-02-18 00:00:00+00:00,28.5,29.88,28.0,28.0,115067,15.2758715688,16.01554535,15.007873822,15.007873822,172600,0.0,1.0
FDS,2000-02-22 00:00:00+00:00,28.5,29.44,28.25,28.75,58267,15.2758715688,15.7797073328,15.1418726954,15.4098704422,87400,0.0,1.0
FDS,2000-02-23 00:00:00+00:00,28.31,28.88,28.25,28.5,38467,15.174032425,15.4795498564,15.1418726954,15.2758715688,57700,0.0,1.0
FDS,2000-02-24 00:00:00+00:00,27.75,28.94,27.25,28.44,113400,14.8738749486,15.511709586,14.6058772017,15.2437118392,170100,0.0,1.0
FDS,2000-02-25 00:00:00+00:00,27.56,27.75,27.25,27.5,102067,14.7827557146,14.884668762,14.6164765321,14.750572647,153100,0.02,1.0
FDS,2000-02-28 00:00:00+00:00,29.19,29.37,27.12,27.81,57400,15.6570623843,15.753611587,14.5467465523,14.9168518296,86100,0.0,1.0
FDS,2000-02-29 00:00:00+00:00,30.12,30.25,29.44,29.44,67667,16.155899932,16.2256299118,15.7911584992,15.7911584992,101500,0.0,1.0
FDS,2000-03-01 00:00:00+00:00,31.19,31.19,30.38,30.38,50667,16.7298313041,16.7298313041,16.2953598915,16.2953598915,76000,0.0,1.0
FDS,2000-03-02 00:00:00+00:00,32.06,32.37,31.62,31.75,42867,17.1964857842,17.3627649667,16.9604766218,17.0302066016,64300,0.0,1.0
FDS,2000-03-03 00:00:00+00:00,32.0,33.12,32.0,32.06,38000,17.1643027166,17.7650533116,17.1643027166,17.1964857842,57000,0.0,1.0
FDS,2000-03-06 00:00:00+00:00,30.31,32.0,30.06,32.0,32800,16.2578129793,17.1643027166,16.1237168644,17.1643027166,49200,0.0,1.0
FDS,2000-03-07 00:00:00+00:00,29.19,30.06,28.62,30.06,48400,15.6570623843,16.1237168644,15.3513232421,16.1237168644,72600,0.0,1.0
FDS,2000-03-08 00:00:00+00:00,28.94,29.19,28.88,29.19,41200,15.5229662693,15.6570623843,15.4907832017,15.6570623843,61800,0.0,1.0
FDS,2000-03-09 00:00:00+00:00,29.37,29.37,28.75,29.13,45200,15.753611587,15.753611587,15.4210532219,15.6248793167,67800,0.0,1.0
FDS,2000-03-10 00:00:00+00:00,30.81,31.0,29.25,29.25,38200,16.5260052093,16.6279182567,15.6892454519,15.6892454519,57300,0.0,1.0
FDS,2000-03-13 00:00:00+00:00,33.12,33.12,30.63,30.69,72067,17.7650533116,17.7650533116,16.4294560065,16.4616390741,108100,0.0,1.0
FDS,2000-03-14 00:00:00+00:00,32.25,35.5,31.94,33.31,91867,17.2983988315,19.0416483262,17.132119649,17.866966359,137800,0.0,1.0
FDS,2000-03-15 00:00:00+00:00,30.94,32.13,30.87,32.13,18200,16.5957351891,17.2340326964,16.5581882769,17.2340326964,27300,0.0,1.0
FDS,2000-03-16 00:00:00+00:00,33.81,33.81,30.25,31.0,38600,18.135158589,18.135158589,16.2256299118,16.6279182567,57900,0.0,1.0
FDS,2000-03-17 00:00:00+00:00,33.0,33.0,32.25,32.75,56467,17.7006871765,17.7006871765,17.2983988315,17.5665910615,84700,0.0,1.0
FDS,2000-03-20 00:00:00+00:00,31.12,33.38,31.0,33.12,106800,16.6922843919,17.9045132712,16.6279182567,17.7650533116,160200,0.0,1.0
FDS,2000-03-21 00:00:00+00:00,29.0,31.0,27.75,31.0,195800,15.5551493369,16.6279182567,14.884668762,16.6279182567,293700,0.0,1.0
FDS,2000-03-22 00:00:00+00:00,27.0,29.0,27.0,29.0,168200,14.4823804171,15.5551493369,14.4823804171,15.5551493369,252300,0.0,1.0
FDS,2000-03-23 00:00:00+00:00,26.88,26.94,25.06,26.94,194467,14.4180142819,14.4501973495,13.4417945649,14.4501973495,291700,0.0,1.0
FDS,2000-03-24 00:00:00+00:00,27.12,28.0,27.12,27.12,120267,14.5467465523,15.018764877,14.5467465523,14.5467465523,180400,0.0,1.0
FDS,2000-03-27 00:00:00+00:00,26.13,27.12,26.13,27.12,251467,14.015725937,14.5467465523,14.015725937,14.5467465523,377200,0.0,1.0
FDS,2000-03-28 00:00:00+00:00,26.13,26.5,23.88,26.25,531667,14.015725937,14.2141881872,12.8088609022,14.0800920722,797500,0.0,1.0
FDS,2000-03-29 00:00:00+00:00,25.88,26.25,24.81,26.19,27667,13.881629822,14.0800920722,13.3076984499,14.0479090046,41500,0.0,1.0
