symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FDX,2000-01-03 00:00:00+00:00,42.69,42.81,41.69,42.38,1734000,36.4497289878,36.5521878184,35.5959053994,36.1850436754,1734000,0.0,1.0
FDX,2000-01-04 00:00:00+00:00,41.5,43.19,41.0,42.5,1571900,35.4336789176,36.876640782,35.0067671234,36.287502506,1571900,0.0,1.0
FDX,2000-01-05 00:00:00+00:00,43.25,43.25,41.38,41.88,2239400,36.9278701973,36.9278701973,35.331220087,35.7581318812,2239400,0.0,1.0
FDX,2000-01-06 00:00:00+00:00,47.25,47.31,42.44,42.5,4630500,40.3431645508,40.3943939661,36.2362730907,36.287502506,4630500,0.0,1.0
FDX,2000-01-07 00:00:00+00:00,47.5,47.5,44.25,47.25,3532800,40.5566204479,40.5566204479,37.7816937856,40.3431645508,3532800,0.0,1.0
FDX,2000-01-10 00:00:00+00:00,46.5,47.44,45.75,47.44,1437300,39.7027968595,40.5053910326,39.0624291682,40.5053910326,1437300,0.0,1.0
FDX,2000-01-11 00:00:00+00:00,45.63,46.56,45.5,45.94,1055100,38.9599703376,39.7540262748,38.8489732711,39.22465565,1055100,0.0,1.0
FDX,2000-01-12 00:00:00+00:00,45.25,45.44,44.13,44.88,1050900,38.635517374,38.7977438558,37.679234955,38.3196026463,1050900,0.0,1.0
FDX,2000-01-13 00:00:00+00:00,47.0,47.88,45.75,46.63,1900200,40.1297086537,40.8810734115,39.0624291682,39.813793926,1900200,0.0,1.0
FDX,2000-01-14 00:00:00+00:00,46.56,47.94,45.69,47.19,1291100,39.7540262748,40.9323028268,39.0111997529,40.2919351355,1291100,0.0,1.0
FDX,2000-01-18 00:00:00+00:00,44.19,46.38,43.13,46.0,2412200,37.7304643703,39.6003380289,36.8254113667,39.2758850653,2412200,0.0,1.0
FDX,2000-01-19 00:00:00+00:00,44.25,45.88,43.81,43.94,1876500,37.7816937856,39.1734262347,37.4060114068,37.5170084732,1876500,0.0,1.0
FDX,2000-01-20 00:00:00+00:00,42.5,43.63,41.81,42.88,2111300,36.287502506,37.2523231609,35.69836423,36.6119554696,2111300,0.0,1.0
FDX,2000-01-21 00:00:00+00:00,41.75,42.31,41.0,42.31,2363300,35.6471348147,36.1252760242,35.0067671234,36.1252760242,2363300,0.0,1.0
FDX,2000-01-24 00:00:00+00:00,41.0,41.75,40.25,41.69,1742000,35.0067671234,35.6471348147,34.3663994321,35.5959053994,1742000,0.0,1.0
FDX,2000-01-25 00:00:00+00:00,40.25,41.31,40.25,40.88,1686500,34.3663994321,35.2714524358,34.3663994321,34.9043082928,1686500,0.0,1.0
FDX,2000-01-26 00:00:00+00:00,42.38,42.63,40.06,40.31,2031900,36.1850436754,36.3984995725,34.2041729503,34.4176288474,2031900,0.0,1.0
FDX,2000-01-27 00:00:00+00:00,40.75,42.31,40.13,41.38,1519900,34.7933112263,36.1252760242,34.2639406015,35.331220087,1519900,0.0,1.0
FDX,2000-01-28 00:00:00+00:00,38.69,40.25,38.25,40.06,1970600,33.0344346343,34.3663994321,32.6587522554,34.2041729503,1970600,0.0,1.0
FDX,2000-01-31 00:00:00+00:00,39.56,39.56,38.06,38.44,1489600,33.7772611562,33.7772611562,32.4965257736,32.8209787372,1489600,0.0,1.0
FDX,2000-02-01 00:00:00+00:00,38.94,39.44,37.94,39.06,1677800,33.2478905314,33.6748023256,32.394066943,33.350349362,1677800,0.0,1.0
FDX,2000-02-02 00:00:00+00:00,38.56,39.13,38.0,39.0,1539000,32.9234375678,33.4101170132,32.4452963583,33.2991199467,1539000,0.0,1.0
FDX,2000-02-03 00:00:00+00:00,39.5,40.19,38.25,38.94,1491500,33.7260317409,34.3151700168,32.6587522554,33.2478905314,1491500,0.0,1.0
FDX,2000-02-04 00:00:00+00:00,39.19,39.63,38.94,39.63,911100,33.4613464285,33.8370288073,33.2478905314,33.8370288073,911100,0.0,1.0
FDX,2000-02-07 00:00:00+00:00,39.19,39.94,38.75,39.25,1038600,33.4613464285,34.1017141197,33.0856640496,33.5125758438,1038600,0.0,1.0
FDX,2000-02-08 00:00:00+00:00,39.69,39.94,39.19,39.19,1054400,33.8882582227,34.1017141197,33.4613464285,33.4613464285,1054400,0.0,1.0
FDX,2000-02-09 00:00:00+00:00,39.06,39.5,38.63,39.0,1242900,33.350349362,33.7260317409,32.983205219,33.2991199467,1242900,0.0,1.0
FDX,2000-02-10 00:00:00+00:00,38.69,39.0,37.63,38.88,1463200,33.0344346343,33.2991199467,32.1293816306,33.1966611161,1463200,0.0,1.0
FDX,2000-02-11 00:00:00+00:00,37.13,38.69,36.94,38.69,1496000,31.7024698364,33.0344346343,31.5402433546,33.0344346343,1496000,0.0,1.0
FDX,2000-02-14 00:00:00+00:00,36.31,37.81,36.0,36.56,1834400,31.0023344939,32.2830698765,30.7376491815,31.215790391,1834400,0.0,1.0
FDX,2000-02-15 00:00:00+00:00,35.94,36.56,35.06,36.5,2040700,30.6864197662,31.215790391,29.9350550085,31.1645609757,2040700,0.0,1.0
FDX,2000-02-16 00:00:00+00:00,36.44,37.56,35.38,36.0,1787800,31.1133315604,32.0696139794,30.2082785567,30.7376491815,1787800,0.0,1.0
FDX,2000-02-17 00:00:00+00:00,35.63,37.38,35.38,36.06,1452200,30.4217344538,31.9159257335,30.2082785567,30.7888785968,1452200,0.0,1.0
FDX,2000-02-18 00:00:00+00:00,36.81,37.44,35.38,36.31,1602000,31.4292462881,31.9671551488,30.2082785567,31.0023344939,1602000,0.0,1.0
FDX,2000-02-22 00:00:00+00:00,36.0,37.0,35.69,35.69,1669000,30.7376491815,31.5914727699,30.4729638691,30.4729638691,1669000,0.0,1.0
FDX,2000-02-23 00:00:00+00:00,35.38,36.19,35.13,36.06,945600,30.2082785567,30.8998756633,29.9948226597,30.7888785968,945600,0.0,1.0
FDX,2000-02-24 00:00:00+00:00,34.13,35.75,34.0,35.13,1451700,29.1409990713,30.5241932844,29.0300020048,29.9948226597,1451700,0.0,1.0
FDX,2000-02-25 00:00:00+00:00,33.56,34.94,33.25,34.75,1386500,28.6543196259,29.8325961779,28.3896343135,29.6703696961,1386500,0.0,1.0
FDX,2000-02-28 00:00:00+00:00,34.75,35.19,33.19,33.31,1390700,29.6703696961,30.046052075,28.3384048982,28.4408637288,1390700,0.0,1.0
FDX,2000-02-29 00:00:00+00:00,34.94,35.44,34.19,34.5,2101100,29.8325961779,30.2595079721,29.1922284866,29.456913799,2101100,0.0,1.0
FDX,2000-03-01 00:00:00+00:00,34.44,35.69,34.19,35.38,1121500,29.4056843837,30.4729638691,29.1922284866,30.2082785567,1121500,0.0,1.0
FDX,2000-03-02 00:00:00+00:00,33.88,34.25,33.38,34.25,1307900,28.9275431742,29.2434579019,28.50063138,29.2434579019,1307900,0.0,1.0
FDX,2000-03-03 00:00:00+00:00,34.75,35.69,33.75,34.13,1691000,29.6703696961,30.4729638691,28.8165461077,29.1409990713,1691000,0.0,1.0
FDX,2000-03-06 00:00:00+00:00,32.75,34.56,32.25,34.06,1336900,27.9627225193,29.5081432143,27.5358107251,29.0812314201,1336900,0.0,1.0
FDX,2000-03-07 00:00:00+00:00,31.06,33.13,30.56,32.5,2191400,26.519760655,28.2871754829,26.0928488608,27.7492666222,2191400,0.0,1.0
FDX,2000-03-08 00:00:00+00:00,33.06,34.25,31.81,32.5,1946000,28.2274078317,29.2434579019,27.1601283462,27.7492666222,1946000,0.0,1.0
FDX,2000-03-09 00:00:00+00:00,33.38,34.25,32.38,33.31,1306300,28.50063138,29.2434579019,27.6468077916,28.4408637288,1306300,0.0,1.0
FDX,2000-03-10 00:00:00+00:00,33.56,33.88,32.69,33.38,1155700,28.6543196259,28.9275431742,27.911493104,28.50063138,1155700,0.0,1.0
FDX,2000-03-13 00:00:00+00:00,32.81,33.69,32.69,33.0,1148000,28.0139519346,28.7653166924,27.911493104,28.1761784164,1148000,0.0,1.0
FDX,2000-03-14 00:00:00+00:00,32.5,33.38,32.0,33.0,767900,27.7492666222,28.50063138,27.322354828,28.1761784164,767900,0.0,1.0
FDX,2000-03-15 00:00:00+00:00,33.81,34.69,32.06,32.06,1697700,28.867775523,29.6191402808,27.3735842433,27.3735842433,1697700,0.0,1.0
FDX,2000-03-16 00:00:00+00:00,35.5,35.94,34.19,34.63,2261200,30.3107373874,30.6864197662,29.1922284866,29.5679108655,2261200,0.0,1.0
FDX,2000-03-17 00:00:00+00:00,34.19,36.0,34.19,35.31,2056400,29.1922284866,30.7376491815,29.1922284866,30.1485109056,2056400,0.0,1.0
FDX,2000-03-20 00:00:00+00:00,35.44,36.25,35.13,35.63,1455600,30.2595079721,30.9511050786,29.9948226597,30.4217344538,1455600,0.0,1.0
FDX,2000-03-21 00:00:00+00:00,36.63,37.44,35.06,35.06,2092000,31.2755580422,31.9671551488,29.9350550085,29.9350550085,2092000,0.0,1.0
FDX,2000-03-22 00:00:00+00:00,37.25,38.5,36.69,37.13,2207400,31.804928667,32.8722081525,31.3267874575,31.7024698364,2207400,0.0,1.0
FDX,2000-03-23 00:00:00+00:00,39.75,40.25,37.5,38.38,4524200,33.939487638,34.3663994321,32.0183845641,32.7697493219,4524200,0.0,1.0
FDX,2000-03-24 00:00:00+00:00,39.62,40.81,39.25,40.12,1836100,33.8284905715,34.8445406416,33.5125758438,34.2554023657,1836100,0.0,1.0
FDX,2000-03-27 00:00:00+00:00,38.79,39.75,38.5,39.63,991100,33.1198169931,33.939487638,32.8722081525,33.8370288073,991100,0.0,1.0
FDX,2000-03-28 00:00:00+00:00,38.38,39.81,38.06,38.25,1256600,32.7697493219,33.9907170533,32.4965257736,32.6587522554,1256600,0.0,1.0
FDX,2000-03-29 00:00:00+00:00,38.06,39.44,37.56,39.0,1411800,32.4965257736,33.6748023256,32.0696139794,33.2991199467,1411800,0.0,1.0
FDX,2000-03-30 00:00:00+00:00,38.63,39.19,37.75,37.81,1530400,32.983205219,33.4613464285,32.2318404612,32.2830698765,1530400,0.0,1.0
FDX,2000-03-31 00:00:00+00:00,38.81,39.5,38.56,39.5,1351400,33.1368934649,33.7260317409,32.9234375678,33.7260317409,1351400,0.0,1.0
FDX,2000-04-03 00:00:00+00:00,39.19,39.63,38.69,39.0,1009500,33.4613464285,33.8370288073,33.0344346343,33.2991199467,1009500,0.0,1.0
FDX,2000-04-04 00:00:00+00:00,38.5,39.94,36.56,39.19,1714700,32.8722081525,34.1017141197,31.215790391,33.4613464285,1714700,0.0,1.0
FDX,2000-04-05 00:00:00+00:00,39.38,39.69,37.81,37.81,1198400,33.6235729103,33.8882582227,32.2830698765,32.2830698765,1198400,0.0,1.0
FDX,2000-04-06 00:00:00+00:00,38.94,39.81,38.25,39.5,1193500,33.2478905314,33.9907170533,32.6587522554,33.7260317409,1193500,0.0,1.0
