symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FE,2000-01-03 00:00:00+00:00,22.06,22.5,21.88,22.44,532500,7.7155003322,7.869390638,7.6525452071,7.8484055963,532500,0.0,1.0
FE,2000-01-04 00:00:00+00:00,22.06,22.38,21.88,22.0,887800,7.7155003322,7.8274205546,7.6525452071,7.6945152905,887800,0.0,1.0
FE,2000-01-05 00:00:00+00:00,22.94,23.0,22.13,22.13,532000,8.0232809438,8.0442659855,7.7399828809,7.7399828809,532000,0.0,1.0
FE,2000-01-06 00:00:00+00:00,22.94,23.06,22.81,22.88,359000,8.0232809438,8.0652510272,7.9778133535,8.0022959021,359000,0.0,1.0
FE,2000-01-07 00:00:00+00:00,23.06,23.19,22.88,22.94,378100,8.0652510272,8.1107186176,8.0022959021,8.0232809438,378100,0.0,1.0
FE,2000-01-10 00:00:00+00:00,23.13,23.38,22.94,23.06,407000,8.0897335759,8.1771712496,8.0232809438,8.0652510272,407000,0.0,1.0
FE,2000-01-11 00:00:00+00:00,23.38,23.38,23.0,23.0,479900,8.1771712496,8.1771712496,8.0442659855,8.0442659855,479900,0.0,1.0
FE,2000-01-12 00:00:00+00:00,23.44,23.5,23.13,23.13,935600,8.1981562913,8.219141333,8.0897335759,8.0897335759,935600,0.0,1.0
FE,2000-01-13 00:00:00+00:00,23.38,23.56,23.38,23.56,581400,8.1771712496,8.2401263747,8.1771712496,8.2401263747,581400,0.0,1.0
FE,2000-01-14 00:00:00+00:00,23.25,23.56,23.19,23.56,835800,8.1317036593,8.2401263747,8.1107186176,8.2401263747,835800,0.0,1.0
FE,2000-01-18 00:00:00+00:00,22.88,23.25,22.81,23.13,561300,8.0022959021,8.1317036593,7.9778133535,8.0897335759,561300,0.0,1.0
FE,2000-01-19 00:00:00+00:00,22.81,23.0,22.5,22.81,638200,7.9778133535,8.0442659855,7.869390638,7.9778133535,638200,0.0,1.0
FE,2000-01-20 00:00:00+00:00,22.75,22.88,22.56,22.75,410400,7.9568283118,8.0022959021,7.8903756797,7.9568283118,410400,0.0,1.0
FE,2000-01-21 00:00:00+00:00,23.0,23.0,22.56,22.75,819800,8.0442659855,8.0442659855,7.8903756797,7.9568283118,819800,0.0,1.0
FE,2000-01-24 00:00:00+00:00,23.13,23.38,22.94,23.0,556700,8.0897335759,8.1771712496,8.0232809438,8.0442659855,556700,0.0,1.0
FE,2000-01-25 00:00:00+00:00,22.81,23.31,22.69,23.06,673400,7.9778133535,8.152688701,7.9358432701,8.0652510272,673400,0.0,1.0
FE,2000-01-26 00:00:00+00:00,23.13,23.31,22.81,22.81,1349700,8.0897335759,8.152688701,7.9778133535,7.9778133535,1349700,0.0,1.0
FE,2000-01-27 00:00:00+00:00,23.13,23.25,23.0,23.13,808900,8.0897335759,8.1317036593,8.0442659855,8.0897335759,808900,0.0,1.0
FE,2000-01-28 00:00:00+00:00,22.69,23.19,22.5,23.13,909000,7.9358432701,8.1107186176,7.869390638,8.0897335759,909000,0.0,1.0
FE,2000-01-31 00:00:00+00:00,22.75,23.06,22.69,22.75,523000,7.9568283118,8.0652510272,7.9358432701,7.9568283118,523000,0.0,1.0
FE,2000-02-01 00:00:00+00:00,22.94,23.13,22.75,22.81,289500,8.0232809438,8.0897335759,7.9568283118,7.9778133535,289500,0.0,1.0
FE,2000-02-02 00:00:00+00:00,22.88,23.13,22.81,22.88,3666600,8.0022959021,8.0897335759,7.9778133535,8.0022959021,3666600,0.0,1.0
FE,2000-02-03 00:00:00+00:00,22.88,23.13,22.69,22.75,618100,8.1334524128,8.2223231778,8.0659106314,8.087239615,618100,0.375,1.0
FE,2000-02-04 00:00:00+00:00,22.31,22.94,22.19,22.94,688000,7.9308270686,8.1547813964,7.8881691014,8.1547813964,688000,0.0,1.0
FE,2000-02-07 00:00:00+00:00,22.0,22.25,22.0,22.13,311400,7.82062732,7.909498085,7.82062732,7.8668401178,311400,0.0,1.0
FE,2000-02-08 00:00:00+00:00,22.13,22.31,22.0,22.0,202500,7.8668401178,7.9308270686,7.82062732,7.82062732,202500,0.0,1.0
FE,2000-02-09 00:00:00+00:00,22.31,22.38,22.13,22.13,523800,7.9308270686,7.9557108828,7.8668401178,7.8668401178,523800,0.0,1.0
FE,2000-02-10 00:00:00+00:00,22.0,22.38,21.88,22.31,439900,7.82062732,7.9557108828,7.7779693528,7.9308270686,439900,0.0,1.0
FE,2000-02-11 00:00:00+00:00,21.69,22.19,21.56,22.0,940600,7.7104275714,7.8881691014,7.6642147736,7.82062732,940600,0.0,1.0
FE,2000-02-14 00:00:00+00:00,21.63,21.75,21.5,21.69,625700,7.6890985878,7.731756555,7.64288579,7.7104275714,625700,0.0,1.0
FE,2000-02-15 00:00:00+00:00,21.63,21.94,21.56,21.63,392500,7.6890985878,7.7992983364,7.6642147736,7.6890985878,392500,0.0,1.0
FE,2000-02-16 00:00:00+00:00,21.69,21.88,21.44,21.63,460400,7.7104275714,7.7779693528,7.6215568064,7.6890985878,460400,0.0,1.0
FE,2000-02-17 00:00:00+00:00,21.0,21.63,21.0,21.56,910200,7.46514426,7.6890985878,7.46514426,7.6642147736,910200,0.0,1.0
FE,2000-02-18 00:00:00+00:00,20.44,20.94,20.44,20.88,1194200,7.2660737464,7.4438152764,7.2660737464,7.4224862928,1194200,0.0,1.0
FE,2000-02-22 00:00:00+00:00,20.06,20.5,19.88,20.44,714900,7.1309901836,7.28740273,7.0670032328,7.2660737464,714900,0.0,1.0
FE,2000-02-23 00:00:00+00:00,20.13,20.31,20.0,20.0,503600,7.1558739978,7.2198609486,7.1096612,7.1096612,503600,0.0,1.0
FE,2000-02-24 00:00:00+00:00,19.56,20.13,19.38,20.13,398500,6.9532486536,7.1558739978,6.8892617028,7.1558739978,398500,0.0,1.0
FE,2000-02-25 00:00:00+00:00,19.0,19.5,18.88,19.25,1887500,6.75417814,6.93191967,6.7115201728,6.843048905,1887500,0.0,1.0
FE,2000-02-28 00:00:00+00:00,19.19,19.31,18.94,19.0,877100,6.8217199214,6.8643778886,6.7328491564,6.75417814,877100,0.0,1.0
FE,2000-02-29 00:00:00+00:00,18.5,19.31,18.5,19.13,822800,6.57643661,6.8643778886,6.57643661,6.8003909378,822800,0.0,1.0
FE,2000-03-01 00:00:00+00:00,19.0,19.75,18.88,19.75,880200,6.75417814,7.020790435,6.7115201728,7.020790435,880200,0.0,1.0
