symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FFIV,2000-01-03 00:00:00+00:00,119.5,123.0,114.5,121.3,396500,59.75,61.5,57.25,60.65,793000,0.0,1.0
FFIV,2000-01-04 00:00:00+00:00,117.9,130.0,116.0,117.0,575900,58.95,65.0,58.0,58.5,1151800,0.0,1.0
FFIV,2000-01-05 00:00:00+00:00,110.8,120.2,108.2,120.2,808400,55.4,60.1,54.1,60.1,1616800,0.0,1.0
FFIV,2000-01-06 00:00:00+00:00,102.1,111.1,101.9,111.0,489200,51.05,55.55,50.95,55.5,978400,0.0,1.0
FFIV,2000-01-07 00:00:00+00:00,98.63,107.9,94.5,100.0,662100,49.315,53.95,47.25,50.0,1324200,0.0,1.0
FFIV,2000-01-10 00:00:00+00:00,102.1,105.0,98.5,105.0,598100,51.05,52.5,49.25,52.5,1196200,0.0,1.0
FFIV,2000-01-11 00:00:00+00:00,100.5,108.5,99.06,103.6,674200,50.25,54.25,49.53,51.8,1348400,0.0,1.0
FFIV,2000-01-12 00:00:00+00:00,94.75,102.9,93.5,102.4,509800,47.375,51.45,46.75,51.2,1019600,0.0,1.0
FFIV,2000-01-13 00:00:00+00:00,92.94,99.0,89.25,97.0,778300,46.47,49.5,44.625,48.5,1556600,0.0,1.0
FFIV,2000-01-14 00:00:00+00:00,98.0,105.0,91.56,96.38,950800,49.0,52.5,45.78,48.19,1901600,0.0,1.0
FFIV,2000-01-18 00:00:00+00:00,112.9,114.0,99.94,101.1,876300,56.45,57.0,49.97,50.55,1752600,0.0,1.0
FFIV,2000-01-19 00:00:00+00:00,110.6,119.5,108.0,114.9,536500,55.3,59.75,54.0,57.45,1073000,0.0,1.0
FFIV,2000-01-20 00:00:00+00:00,119.5,120.0,111.1,114.0,460500,59.75,60.0,55.55,57.0,921000,0.0,1.0
FFIV,2000-01-21 00:00:00+00:00,129.8,135.0,117.8,121.9,1073000,64.9,67.5,58.9,60.95,2146000,0.0,1.0
FFIV,2000-01-24 00:00:00+00:00,130.0,142.1,128.0,134.0,1057400,65.0,71.05,64.0,67.0,2114800,0.0,1.0
FFIV,2000-01-25 00:00:00+00:00,133.5,136.0,124.9,133.0,1062900,66.75,68.0,62.45,66.5,2125800,0.0,1.0
FFIV,2000-01-26 00:00:00+00:00,114.5,129.6,114.0,129.0,2301500,57.25,64.8,57.0,64.5,4603000,0.0,1.0
FFIV,2000-01-27 00:00:00+00:00,107.5,120.0,103.8,117.2,1150500,53.75,60.0,51.9,58.6,2301000,0.0,1.0
FFIV,2000-01-28 00:00:00+00:00,98.5,111.0,97.63,102.3,988500,49.25,55.5,48.815,51.15,1977000,0.0,1.0
FFIV,2000-01-31 00:00:00+00:00,94.0,99.75,85.75,97.94,1448200,47.0,49.875,42.875,48.97,2896400,0.0,1.0
FFIV,2000-02-01 00:00:00+00:00,96.25,98.5,90.5,95.94,857000,48.125,49.25,45.25,47.97,1714000,0.0,1.0
FFIV,2000-02-02 00:00:00+00:00,101.8,103.8,96.13,96.44,1148600,50.9,51.9,48.065,48.22,2297200,0.0,1.0
FFIV,2000-02-03 00:00:00+00:00,96.44,106.5,93.75,104.5,1242700,48.22,53.25,46.875,52.25,2485400,0.0,1.0
FFIV,2000-02-04 00:00:00+00:00,94.25,98.25,92.5,98.25,667100,47.125,49.125,46.25,49.125,1334200,0.0,1.0
FFIV,2000-02-07 00:00:00+00:00,96.0,97.0,91.75,93.44,486300,48.0,48.5,45.875,46.72,972600,0.0,1.0
FFIV,2000-02-08 00:00:00+00:00,95.5,101.5,95.13,98.0,688800,47.75,50.75,47.565,49.0,1377600,0.0,1.0
FFIV,2000-02-09 00:00:00+00:00,92.13,98.31,90.88,98.31,1068800,46.065,49.155,45.44,49.155,2137600,0.0,1.0
FFIV,2000-02-10 00:00:00+00:00,89.5,94.31,89.19,94.31,1032300,44.75,47.155,44.595,47.155,2064600,0.0,1.0
FFIV,2000-02-11 00:00:00+00:00,98.38,105.0,89.0,91.25,2231500,49.19,52.5,44.5,45.625,4463000,0.0,1.0
FFIV,2000-02-14 00:00:00+00:00,102.0,106.8,99.75,100.8,1016100,51.0,53.4,49.875,50.4,2032200,0.0,1.0
FFIV,2000-02-15 00:00:00+00:00,99.94,103.0,95.0,101.5,801000,49.97,51.5,47.5,50.75,1602000,0.0,1.0
FFIV,2000-02-16 00:00:00+00:00,96.13,101.5,95.0,99.94,585000,48.065,50.75,47.5,49.97,1170000,0.0,1.0
FFIV,2000-02-17 00:00:00+00:00,103.5,106.0,96.13,97.13,1031400,51.75,53.0,48.065,48.565,2062800,0.0,1.0
FFIV,2000-02-18 00:00:00+00:00,97.0,102.0,96.88,101.9,379200,48.5,51.0,48.44,50.95,758400,0.0,1.0
FFIV,2000-02-22 00:00:00+00:00,94.0,96.94,90.63,96.75,608700,47.0,48.47,45.315,48.375,1217400,0.0,1.0
FFIV,2000-02-23 00:00:00+00:00,92.56,97.0,92.0,95.06,634900,46.28,48.5,46.0,47.53,1269800,0.0,1.0
FFIV,2000-02-24 00:00:00+00:00,92.56,95.5,91.25,92.63,437700,46.28,47.75,45.625,46.315,875400,0.0,1.0
FFIV,2000-02-25 00:00:00+00:00,95.19,99.0,93.0,93.0,1567300,47.595,49.5,46.5,46.5,3134600,0.0,1.0
FFIV,2000-02-28 00:00:00+00:00,93.5,96.75,92.0,96.0,620100,46.75,48.375,46.0,48.0,1240200,0.0,1.0
FFIV,2000-02-29 00:00:00+00:00,90.0,95.0,89.0,93.44,1236900,45.0,47.5,44.5,46.72,2473800,0.0,1.0
FFIV,2000-03-01 00:00:00+00:00,91.88,92.5,86.94,91.56,1272200,45.94,46.25,43.47,45.78,2544400,0.0,1.0
FFIV,2000-03-02 00:00:00+00:00,90.25,94.75,88.38,94.75,571100,45.125,47.375,44.19,47.375,1142200,0.0,1.0
FFIV,2000-03-03 00:00:00+00:00,96.69,104.3,90.0,92.0,2232800,48.345,52.15,45.0,46.0,4465600,0.0,1.0
FFIV,2000-03-06 00:00:00+00:00,107.5,109.6,96.98,97.0,1412000,53.75,54.8,48.49,48.5,2824000,0.0,1.0
FFIV,2000-03-07 00:00:00+00:00,107.3,119.0,104.3,112.1,1382400,53.65,59.5,52.15,56.05,2764800,0.0,1.0
FFIV,2000-03-08 00:00:00+00:00,99.0,108.2,98.0,107.3,1188900,49.5,54.1,49.0,53.65,2377800,0.0,1.0
FFIV,2000-03-09 00:00:00+00:00,109.0,114.7,97.06,98.25,1168900,54.5,57.35,48.53,49.125,2337800,0.0,1.0
FFIV,2000-03-10 00:00:00+00:00,115.8,118.9,112.0,113.6,1191700,57.9,59.45,56.0,56.8,2383400,0.0,1.0
FFIV,2000-03-13 00:00:00+00:00,109.7,117.0,107.5,111.6,963000,54.85,58.5,53.75,55.8,1926000,0.0,1.0
FFIV,2000-03-14 00:00:00+00:00,100.0,116.2,100.0,112.3,1091400,50.0,58.1,50.0,56.15,2182800,0.0,1.0
FFIV,2000-03-15 00:00:00+00:00,92.75,104.8,92.0,104.8,1200900,46.375,52.4,46.0,52.4,2401800,0.0,1.0
FFIV,2000-03-16 00:00:00+00:00,93.06,96.75,86.0,95.94,1245700,46.53,48.375,43.0,47.97,2491400,0.0,1.0
FFIV,2000-03-17 00:00:00+00:00,95.25,98.5,92.5,94.5,429900,47.625,49.25,46.25,47.25,859800,0.0,1.0
FFIV,2000-03-20 00:00:00+00:00,90.06,97.5,88.75,95.38,749800,45.03,48.75,44.375,47.69,1499600,0.0,1.0
FFIV,2000-03-21 00:00:00+00:00,88.75,93.0,85.0,89.06,1137200,44.375,46.5,42.5,44.53,2274400,0.0,1.0
FFIV,2000-03-22 00:00:00+00:00,89.88,94.0,88.69,91.25,1027700,44.94,47.0,44.345,45.625,2055400,0.0,1.0
FFIV,2000-03-23 00:00:00+00:00,87.44,92.25,87.0,89.94,939800,43.72,46.125,43.5,44.97,1879600,0.0,1.0
FFIV,2000-03-24 00:00:00+00:00,83.31,90.0,81.56,87.56,1319900,41.655,45.0,40.78,43.78,2639800,0.0,1.0
FFIV,2000-03-27 00:00:00+00:00,86.69,88.94,83.5,84.5,671500,43.345,44.47,41.75,42.25,1343000,0.0,1.0
FFIV,2000-03-28 00:00:00+00:00,84.0,87.5,82.56,87.5,460400,42.0,43.75,41.28,43.75,920800,0.0,1.0
FFIV,2000-03-29 00:00:00+00:00,77.5,85.38,74.5,84.13,1519100,38.75,42.69,37.25,42.065,3038200,0.0,1.0
FFIV,2000-03-30 00:00:00+00:00,71.06,81.63,65.0,76.13,1015600,35.53,40.815,32.5,38.065,2031200,0.0,1.0
FFIV,2000-03-31 00:00:00+00:00,67.75,73.88,62.13,72.5,1609000,33.875,36.94,31.065,36.25,3218000,0.0,1.0
FFIV,2000-04-03 00:00:00+00:00,58.38,67.5,56.81,67.5,1095400,29.19,33.75,28.405,33.75,2190800,0.0,1.0
FFIV,2000-04-04 00:00:00+00:00,67.0,67.0,41.63,60.81,1968400,33.5,33.5,20.815,30.405,3936800,0.0,1.0
FFIV,2000-04-05 00:00:00+00:00,64.13,72.0,59.63,61.38,1400400,32.065,36.0,29.815,30.69,2800800,0.0,1.0
FFIV,2000-04-06 00:00:00+00:00,68.94,72.0,65.0,68.25,663600,34.47,36.0,32.5,34.125,1327200,0.0,1.0
FFIV,2000-04-07 00:00:00+00:00,73.13,76.0,70.25,71.5,696900,36.565,38.0,35.125,35.75,1393800,0.0,1.0
FFIV,2000-04-10 00:00:00+00:00,66.25,76.5,65.06,76.25,711700,33.125,38.25,32.53,38.125,1423400,0.0,1.0
FFIV,2000-04-11 00:00:00+00:00,65.0,66.5,60.0,63.0,961200,32.5,33.25,30.0,31.5,1922400,0.0,1.0
FFIV,2000-04-12 00:00:00+00:00,56.63,65.25,56.0,63.13,666300,28.315,32.625,28.0,31.565,1332600,0.0,1.0
FFIV,2000-04-13 00:00:00+00:00,56.44,61.75,52.0,57.0,793200,28.22,30.875,26.0,28.5,1586400,0.0,1.0
FFIV,2000-04-14 00:00:00+00:00,44.25,54.75,43.13,51.63,1117100,22.125,27.375,21.565,25.815,2234200,0.0,1.0
FFIV,2000-04-17 00:00:00+00:00,48.81,50.0,37.0,37.25,1165100,24.405,25.0,18.5,18.625,2330200,0.0,1.0
FFIV,2000-04-18 00:00:00+00:00,56.75,59.25,49.13,49.88,704500,28.375,29.625,24.565,24.94,1409000,0.0,1.0
FFIV,2000-04-19 00:00:00+00:00,55.0,59.69,52.44,57.56,671800,27.5,29.845,26.22,28.78,1343600,0.0,1.0
FFIV,2000-04-20 00:00:00+00:00,52.75,55.88,50.25,55.13,598100,26.375,27.94,25.125,27.565,1196200,0.0,1.0
FFIV,2000-04-24 00:00:00+00:00,52.13,54.13,45.25,47.13,1092900,26.065,27.065,22.625,23.565,2185800,0.0,1.0
FFIV,2000-04-25 00:00:00+00:00,58.7,59.25,55.0,55.5,1469500,29.35,29.625,27.5,27.75,2939000,0.0,1.0
FFIV,2000-04-26 00:00:00+00:00,44.13,49.0,40.06,46.0,7665300,22.065,24.5,20.03,23.0,15330600,0.0,1.0
FFIV,2000-04-27 00:00:00+00:00,45.0,47.0,40.5,41.5,1600800,22.5,23.5,20.25,20.75,3201600,0.0,1.0
FFIV,2000-04-28 00:00:00+00:00,46.69,48.25,45.5,47.0,900400,23.345,24.125,22.75,23.5,1800800,0.0,1.0
FFIV,2000-05-01 00:00:00+00:00,43.5,48.25,43.0,47.69,981100,21.75,24.125,21.5,23.845,1962200,0.0,1.0
FFIV,2000-05-02 00:00:00+00:00,41.38,45.88,41.25,43.19,1084100,20.69,22.94,20.625,21.595,2168200,0.0,1.0
FFIV,2000-05-03 00:00:00+00:00,40.69,42.38,39.0,41.13,810200,20.345,21.19,19.5,20.565,1620400,0.0,1.0
FFIV,2000-05-04 00:00:00+00:00,39.38,42.25,39.0,41.94,707700,19.69,21.125,19.5,20.97,1415400,0.0,1.0
FFIV,2000-05-05 00:00:00+00:00,33.94,37.13,33.31,36.5,4606500,16.97,18.565,16.655,18.25,9213000,0.0,1.0
FFIV,2000-05-08 00:00:00+00:00,33.75,35.75,33.13,35.06,2334200,16.875,17.875,16.565,17.53,4668400,0.0,1.0
FFIV,2000-05-09 00:00:00+00:00,31.75,34.75,31.0,34.63,1265300,15.875,17.375,15.5,17.315,2530600,0.0,1.0
FFIV,2000-05-10 00:00:00+00:00,29.25,31.31,29.13,31.31,1212600,14.625,15.655,14.565,15.655,2425200,0.0,1.0
FFIV,2000-05-11 00:00:00+00:00,29.81,32.44,28.38,30.0,1658200,14.905,16.22,14.19,15.0,3316400,0.0,1.0
FFIV,2000-05-12 00:00:00+00:00,31.88,34.25,30.75,31.0,1419200,15.94,17.125,15.375,15.5,2838400,0.0,1.0
FFIV,2000-05-15 00:00:00+00:00,33.06,33.5,30.19,32.5,695600,16.53,16.75,15.095,16.25,1391200,0.0,1.0
FFIV,2000-05-16 00:00:00+00:00,38.0,38.0,33.0,34.69,2080400,19.0,19.0,16.5,17.345,4160800,0.0,1.0
FFIV,2000-05-17 00:00:00+00:00,40.63,43.75,36.06,36.13,4208800,20.315,21.875,18.03,18.065,8417600,0.0,1.0
FFIV,2000-05-18 00:00:00+00:00,36.5,42.13,36.0,42.13,1329700,18.25,21.065,18.0,21.065,2659400,0.0,1.0
FFIV,2000-05-19 00:00:00+00:00,34.38,36.25,33.5,34.5,1199100,17.19,18.125,16.75,17.25,2398200,0.0,1.0
FFIV,2000-05-22 00:00:00+00:00,34.0,34.5,30.25,34.31,1193800,17.0,17.25,15.125,17.155,2387600,0.0,1.0
FFIV,2000-05-23 00:00:00+00:00,32.19,39.0,31.75,33.75,1565200,16.095,19.5,15.875,16.875,3130400,0.0,1.0
FFIV,2000-05-24 00:00:00+00:00,32.94,33.88,29.81,31.63,885200,16.47,16.94,14.905,15.815,1770400,0.0,1.0
