symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FITB,2000-01-03 00:00:00+00:00,69.87,72.75,68.69,72.75,980800,24.9271840151,25.9546677702,24.5062010877,25.9546677702,1471200,0.0,1.0
FITB,2000-01-04 00:00:00+00:00,66.94,68.5,65.88,68.31,1047400,23.8818620005,24.4384157011,23.5036908962,24.3706303145,1571100,0.0,1.0
FITB,2000-01-05 00:00:00+00:00,66.44,67.44,65.5,67.13,745667,23.7034794041,24.0602445968,23.368120123,23.9496473871,1118500,0.0,1.0
FITB,2000-01-06 00:00:00+00:00,68.25,68.31,65.0,66.0,1189667,24.3492244029,24.3706303145,23.1897375266,23.5465027193,1784500,0.0,1.0
FITB,2000-01-07 00:00:00+00:00,67.81,69.0,66.81,68.0,565800,24.1922477181,24.6167982975,23.8354825254,24.2600331048,848700,0.0,1.0
FITB,2000-01-10 00:00:00+00:00,66.03,68.0,65.31,67.63,616867,23.5572056751,24.2600331048,23.3003347364,24.1280299835,925300,0.0,1.0
FITB,2000-01-11 00:00:00+00:00,64.06,66.0,63.63,65.75,561600,22.8543782455,23.5465027193,22.7009692126,23.4573114212,842400,0.0,1.0
FITB,2000-01-12 00:00:00+00:00,63.69,64.38,63.25,64.0,928867,22.7223751242,22.9685431071,22.5653984394,22.8329723339,1393300,0.0,1.0
FITB,2000-01-13 00:00:00+00:00,65.5,65.88,63.88,64.0,1129267,23.368120123,23.5036908962,22.7901605108,22.8329723339,1693900,0.0,1.0
FITB,2000-01-14 00:00:00+00:00,66.38,67.06,65.63,65.94,1210267,23.6820734926,23.9246738236,23.414499598,23.5250968078,1815400,0.0,1.0
FITB,2000-01-18 00:00:00+00:00,65.0,66.38,64.44,66.38,943067,23.1897375266,23.6820734926,22.9899490187,23.6820734926,1414600,0.0,1.0
FITB,2000-01-19 00:00:00+00:00,61.81,65.75,60.69,65.25,1169200,22.0516565618,23.4573114212,21.652079546,23.2789288248,1753800,0.0,1.0
FITB,2000-01-20 00:00:00+00:00,60.0,62.06,59.69,62.06,1289267,21.405911563,22.14084786,21.2953143533,22.14084786,1933900,0.0,1.0
FITB,2000-01-21 00:00:00+00:00,60.13,61.13,59.63,61.0,1259000,21.4522910381,21.8090562308,21.2739084417,21.7626767557,1888500,0.0,1.0
FITB,2000-01-24 00:00:00+00:00,57.72,60.63,57.56,60.06,551067,20.5924869236,21.6306736344,20.5354044928,21.4273174746,826600,0.0,1.0
FITB,2000-01-25 00:00:00+00:00,60.56,61.38,58.06,58.25,849867,21.605700071,21.898247529,20.7137870892,20.7815724758,1274800,0.0,1.0
FITB,2000-01-26 00:00:00+00:00,63.19,63.44,60.5,61.06,914867,22.5439925278,22.633183826,21.5842941594,21.7840826673,1372300,0.0,1.0
FITB,2000-01-27 00:00:00+00:00,63.94,64.69,63.13,63.19,688067,22.8115664223,23.0791403169,22.5225866162,22.5439925278,1032100,0.0,1.0
FITB,2000-01-28 00:00:00+00:00,62.94,63.88,61.88,63.88,742667,22.4548012296,22.7901605108,22.0766301253,22.7901605108,1114000,0.0,1.0
FITB,2000-01-31 00:00:00+00:00,66.38,66.38,62.25,62.63,897867,23.6820734926,23.6820734926,22.2086332466,22.3442040199,1346800,0.0,1.0
FITB,2000-02-01 00:00:00+00:00,64.44,66.0,63.38,66.0,653400,22.9899490187,23.5465027193,22.6117779144,23.5465027193,980100,0.0,1.0
FITB,2000-02-02 00:00:00+00:00,62.5,65.25,62.44,65.25,640000,22.2978245448,23.2789288248,22.2764186333,23.2789288248,960000,0.0,1.0
FITB,2000-02-03 00:00:00+00:00,65.44,65.63,62.44,62.5,937200,23.3467142114,23.414499598,22.2764186333,22.2978245448,1405800,0.0,1.0
FITB,2000-02-04 00:00:00+00:00,62.25,65.38,62.06,65.38,729600,22.2086332466,23.3253082998,22.14084786,23.3253082998,1094400,0.0,1.0
FITB,2000-02-07 00:00:00+00:00,61.88,62.63,60.5,62.63,865867,22.0766301253,22.3442040199,21.5842941594,22.3442040199,1298800,0.0,1.0
FITB,2000-02-08 00:00:00+00:00,61.94,62.5,61.31,61.63,822067,22.0980360369,22.2978245448,21.8732739655,21.9874388272,1233100,0.0,1.0
FITB,2000-02-09 00:00:00+00:00,60.56,62.06,60.0,61.75,519000,21.605700071,22.14084786,21.405911563,22.0302506503,778500,0.0,1.0
FITB,2000-02-10 00:00:00+00:00,60.25,61.94,60.19,60.81,539000,21.4951028612,22.0980360369,21.4736969496,21.6948913691,808500,0.0,1.0
FITB,2000-02-11 00:00:00+00:00,60.03,61.56,59.88,60.63,686467,21.4166145188,21.9624652637,21.3630997399,21.6306736344,1029700,0.0,1.0
FITB,2000-02-14 00:00:00+00:00,58.0,60.13,57.38,59.94,792467,20.6923811776,21.4522910381,20.4711867581,21.3845056515,1188700,0.0,1.0
