symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FMC,2000-01-03 00:00:00+00:00,55.0,57.62,54.88,57.5,148500,8.546214204,8.9533247716,8.5275679185,8.934678486,781288,0.0,1.0
FMC,2000-01-04 00:00:00+00:00,54.31,54.94,54.13,54.81,75300,8.4389980622,8.5368910613,8.4110286339,8.5166909186,396168,0.0,1.0
FMC,2000-01-05 00:00:00+00:00,55.75,55.88,54.31,54.31,144200,8.6627534886,8.6829536313,8.4389980622,8.4389980622,758664,0.0,1.0
FMC,2000-01-06 00:00:00+00:00,55.25,55.75,54.81,54.88,221700,8.5850606322,8.6627534886,8.5166909186,8.5275679185,1166407,0.0,1.0
FMC,2000-01-07 00:00:00+00:00,55.19,56.5,54.88,55.25,300100,8.5757374895,8.7792927732,8.5275679185,8.5850606322,1578885,0.0,1.0
FMC,2000-01-10 00:00:00+00:00,57.25,57.75,55.94,56.25,186000,8.8958320578,8.9735249142,8.6922767741,8.740446345,978583,0.0,1.0
FMC,2000-01-11 00:00:00+00:00,57.81,59.0,56.13,57.13,246800,8.982848057,9.1677570552,8.7218000595,8.8771857723,1298464,0.0,1.0
FMC,2000-01-12 00:00:00+00:00,59.0,59.75,57.88,57.88,467000,9.1677570552,9.2842963398,8.9937250569,8.9937250569,2456980,0.0,1.0
FMC,2000-01-13 00:00:00+00:00,59.5,60.5,59.13,59.13,343400,9.2454499116,9.4008356244,9.1879571979,9.1879571979,1806695,0.0,1.0
FMC,2000-01-14 00:00:00+00:00,59.63,60.0,59.0,59.75,271600,9.2656500543,9.323142768,9.1677570552,9.2842963398,1428941,0.0,1.0
FMC,2000-01-18 00:00:00+00:00,58.69,59.88,58.5,59.81,177100,9.1195874843,9.3044964825,9.0900641988,9.2936194826,931758,0.0,1.0
FMC,2000-01-19 00:00:00+00:00,57.0,59.0,56.88,58.63,294400,8.8569856296,9.1677570552,8.8383393441,9.1102643415,1548897,0.0,1.0
FMC,2000-01-20 00:00:00+00:00,55.56,57.13,55.31,57.13,175200,8.6332302032,8.8771857723,8.594383775,8.8771857723,921762,0.0,1.0
FMC,2000-01-21 00:00:00+00:00,55.19,55.88,54.63,55.69,196800,8.5757374895,8.6829536313,8.4887214903,8.6534303459,1035404,0.0,1.0
FMC,2000-01-24 00:00:00+00:00,54.75,57.0,54.0,56.13,317900,8.5073677758,8.8569856296,8.3908284912,8.7218000595,1672535,0.0,1.0
FMC,2000-01-25 00:00:00+00:00,53.25,55.75,52.75,54.63,174800,8.2742892066,8.6627534886,8.1965963502,8.4887214903,919657,0.0,1.0
FMC,2000-01-26 00:00:00+00:00,54.75,55.0,53.0,53.25,203000,8.5073677758,8.546214204,8.2354427784,8.2742892066,1068023,0.0,1.0
FMC,2000-01-27 00:00:00+00:00,55.25,56.13,54.5,54.63,99600,8.5850606322,8.7218000595,8.4685213476,8.4887214903,524015,0.0,1.0
FMC,2000-01-28 00:00:00+00:00,53.63,55.25,53.44,55.25,80900,8.3333357775,8.5850606322,8.3038124921,8.5850606322,425631,0.0,1.0
FMC,2000-01-31 00:00:00+00:00,53.75,54.5,53.63,53.88,114300,8.351982063,8.4685213476,8.3333357775,8.3721822057,601355,0.0,1.0
FMC,2000-02-01 00:00:00+00:00,53.94,54.38,53.56,53.75,166900,8.3815053485,8.4498750621,8.3224587776,8.351982063,878094,0.0,1.0
FMC,2000-02-02 00:00:00+00:00,53.56,54.0,53.56,53.75,121100,8.3224587776,8.3908284912,8.3224587776,8.351982063,637131,0.0,1.0
