symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FOXA,2019-03-12 00:00:00+00:00,38.0,38.0,38.0,38.0,10000,36.0009561069,36.0009561069,36.0009561069,36.0009561069,10000,0.0,1.0
FOXA,2019-03-13 00:00:00+00:00,39.75,39.9,38.7,39.0,20477364,37.658894875,37.8010039123,36.6641316142,36.9483496887,20477364,0.0,1.0
FOXA,2019-03-14 00:00:00+00:00,40.65,41.4,39.75,39.75,6248563,38.5115490986,39.2220942849,37.658894875,37.658894875,6248563,0.0,1.0
FOXA,2019-03-15 00:00:00+00:00,41.7,41.87,41.24,41.38,7107258,39.5063123594,39.6673692683,39.0705113118,39.2031464133,7107258,0.0,1.0
FOXA,2019-03-18 00:00:00+00:00,41.7,41.95,41.05,41.95,4020942,39.5063123594,39.7431607549,38.8905065313,39.7431607549,4020942,0.0,1.0
FOXA,2019-03-19 00:00:00+00:00,40.34,41.7,39.84,41.55,10118472,38.2178570882,39.5063123594,37.7441602974,39.3642033222,10118472,0.0,1.0
FOXA,2019-03-20 00:00:00+00:00,38.62,40.81,38.24,40.49,15683238,36.5883401276,38.6631320717,36.2283305665,38.3599661255,15683238,0.0,1.0
FOXA,2019-03-21 00:00:00+00:00,40.02,40.07,38.75,39.0,12751732,37.9146911421,37.9620608212,36.7115012932,36.9483496887,12751732,0.0,1.0
FOXA,2019-03-22 00:00:00+00:00,38.72,39.99,37.69,39.93,10897994,36.6830794858,37.8862693346,35.7072640966,37.8294257197,10897994,0.0,1.0
FOXA,2019-03-25 00:00:00+00:00,37.44,38.96,37.39,38.89,9338926,35.4704157011,36.9104539454,35.4230460221,36.8441363947,9338926,0.0,1.0
FOXA,2019-03-26 00:00:00+00:00,37.54,38.28,37.51,37.65,6287100,35.5651550593,36.2662263098,35.5367332519,35.6693683533,6287100,0.0,1.0
FOXA,2019-03-27 00:00:00+00:00,36.92,37.91,36.76,37.52,5578118,34.9777710386,35.9156906846,34.8261880655,35.5462071877,5578118,0.0,1.0
FOXA,2019-03-28 00:00:00+00:00,36.4,37.15,36.34,36.85,5326238,34.4851263761,35.1956715624,34.4282827612,34.9114534879,5326238,0.0,1.0
FOXA,2019-03-29 00:00:00+00:00,36.71,36.91,36.15,36.55,5895347,34.7788183865,34.9682971028,34.2482779807,34.6272354134,5895347,0.0,1.0
FOXA,2019-04-01 00:00:00+00:00,36.85,37.15,36.71,36.91,5311201,34.9114534879,35.1956715624,34.7788183865,34.9682971028,5311201,0.0,1.0
FOXA,2019-04-02 00:00:00+00:00,36.28,37.18,35.9,36.96,6704831,34.3714391463,35.2240933699,34.0114295852,35.0156667819,6704831,0.0,1.0
FOXA,2019-04-03 00:00:00+00:00,36.08,36.56,35.9,36.37,8393708,34.1819604299,34.6367093492,34.0114295852,34.4567045687,8393708,0.0,1.0
FOXA,2019-04-04 00:00:00+00:00,36.76,36.8,36.01,36.2,4908406,34.8261880655,34.8640838088,34.1156428792,34.2956476598,4908406,0.0,1.0
FOXA,2019-04-05 00:00:00+00:00,37.68,37.85,36.69,36.79,7344894,35.6977901608,35.8588470697,34.7598705148,34.854609873,7344894,0.0,1.0
FOXA,2019-04-08 00:00:00+00:00,37.47,37.68,37.265,37.6,3393260,35.4988375086,35.6977901608,35.3046218243,35.6219986742,3393260,0.0,1.0
FOXA,2019-04-09 00:00:00+00:00,37.31,37.65,37.17,37.42,5725894,35.3472545355,35.6693683533,35.2146194341,35.4514678295,5725894,0.0,1.0
FOXA,2019-04-10 00:00:00+00:00,36.48,37.53,36.36,37.33,4828362,34.5609178626,35.5556811235,34.4472306328,35.3662024071,4828362,0.0,1.0
FOXA,2019-04-11 00:00:00+00:00,37.09,37.16,35.99,36.57,4791432,35.1388279475,35.2051454982,34.0966950076,34.646183285,4791432,0.0,1.0
FOXA,2019-04-12 00:00:00+00:00,37.53,37.62,36.47,37.15,6368477,35.5556811235,35.6409465459,34.5514439268,35.1956715624,6368477,0.0,1.0
FOXA,2019-04-15 00:00:00+00:00,37.53,37.57,36.99,37.46,3927062,35.5556811235,35.5935768668,35.0440885893,35.4893635728,3927062,0.0,1.0
FOXA,2019-04-16 00:00:00+00:00,37.75,37.85,37.47,37.67,5721982,35.7641077115,35.8588470697,35.4988375086,35.6883162249,5721982,0.0,1.0
