symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FRC,2010-12-09 00:00:00+00:00,27.92,28.11,26.99,27.25,10609700,25.515860985,25.6895004401,24.6659415467,24.9035534327,10609700,0.0,1.0
FRC,2010-12-10 00:00:00+00:00,27.41,27.72,27.06,27.4,1206800,25.0497761317,25.3330826111,24.7299139775,25.040637213,1206800,0.0,1.0
FRC,2010-12-13 00:00:00+00:00,27.4,27.72,27.0,27.5,473200,25.040637213,25.3330826111,24.6750804654,25.1320263999,473200,0.0,1.0
FRC,2010-12-14 00:00:00+00:00,27.31,27.97,27.02,27.7,358200,24.9583869448,25.5615555784,24.6933583028,25.3148047738,358200,0.0,1.0
FRC,2010-12-15 00:00:00+00:00,27.45,27.7,27.19,27.2,242200,25.0863318065,25.3148047738,24.8487199205,24.8578588392,242200,0.0,1.0
FRC,2010-12-16 00:00:00+00:00,27.65,27.65,27.205,27.6,260000,25.2691101803,25.2691101803,24.8624282986,25.2234155868,260000,0.0,1.0
FRC,2010-12-17 00:00:00+00:00,28.06,28.06,27.5,27.55,69800,25.6438058466,25.6438058466,25.1320263999,25.1777209934,69800,0.0,1.0
FRC,2010-12-20 00:00:00+00:00,28.14,28.42,27.84,28.1,65900,25.7169171962,25.9728069195,25.4427496354,25.6803615214,65900,0.0,1.0
FRC,2010-12-21 00:00:00+00:00,28.91,29.04,28.01,28.17,210200,26.4206139354,26.5394198783,25.5981112532,25.7443339522,210200,0.0,1.0
FRC,2010-12-22 00:00:00+00:00,29.45,30.5204,28.96,29.0,103000,26.9141155447,27.8923454013,26.4663085288,26.5028642036,103000,0.0,1.0
FRC,2010-12-23 00:00:00+00:00,29.1,29.68,28.89,29.68,66100,26.5942533905,27.1243106746,26.402336098,27.1243106746,66100,0.0,1.0
FRC,2010-12-27 00:00:00+00:00,28.98,29.3599,28.87,29.15,29800,26.4845863662,26.8317738873,26.3840582606,26.6399479839,29800,0.0,1.0
FRC,2010-12-28 00:00:00+00:00,29.05,29.125,28.81,28.99,90200,26.548558797,26.6171006872,26.3292247484,26.4937252849,90200,0.0,1.0
FRC,2010-12-29 00:00:00+00:00,29.08,29.25,28.84,29.25,85300,26.5759755531,26.7313371708,26.3566415045,26.7313371708,85300,0.0,1.0
FRC,2010-12-30 00:00:00+00:00,28.96,29.95,28.61,29.23,149800,26.4663085288,27.3710614792,26.1464463746,26.7130593335,149800,0.0,1.0
FRC,2010-12-31 00:00:00+00:00,29.12,29.12,28.83,29.0,68800,26.6125312279,26.6125312279,26.3475025858,26.5028642036,68800,0.0,1.0
FRC,2011-01-03 00:00:00+00:00,28.98,29.51,28.735,29.5,230900,26.4845863662,26.9689490568,26.2606828583,26.9598101381,230900,0.0,1.0
FRC,2011-01-04 00:00:00+00:00,28.53,29.23,28.5,29.23,56500,26.0733350251,26.7130593335,26.045918269,26.7130593335,56500,0.0,1.0
FRC,2011-01-05 00:00:00+00:00,28.41,28.9,28.3,28.68,178700,25.9636680008,26.4114750167,25.8631398952,26.2104188055,178700,0.0,1.0
FRC,2011-01-06 00:00:00+00:00,29.0,29.21,28.53,28.61,218600,26.5028642036,26.6947814961,26.0733350251,26.1464463746,218600,0.0,1.0
FRC,2011-01-07 00:00:00+00:00,30.54,31.2,30.1501,31.04,2144000,27.910257682,28.5134263156,27.5539312422,28.3672036165,2144000,0.0,1.0
FRC,2011-01-10 00:00:00+00:00,30.9299,31.33,30.82,30.89,621700,28.2665841217,28.6322322585,28.1661474053,28.2301198361,621700,0.0,1.0
FRC,2011-01-11 00:00:00+00:00,30.58,31.24,30.41,31.2,330800,27.9468133567,28.5499819903,27.791451739,28.5134263156,330800,0.0,1.0
FRC,2011-01-12 00:00:00+00:00,30.3,30.9,30.21,30.78,216500,27.6909236334,28.2392587548,27.6086733652,28.1295917306,216500,0.0,1.0
FRC,2011-01-13 00:00:00+00:00,30.51,30.76,30.3,30.38,132800,27.8828409259,28.1113138932,27.6909236334,27.7640349829,132800,0.0,1.0
FRC,2011-01-14 00:00:00+00:00,31.35,31.35,30.59,30.67,269100,28.6505100959,28.6505100959,27.9559522754,28.029063625,269100,0.0,1.0
FRC,2011-01-18 00:00:00+00:00,30.89,31.47,30.3,31.15,49400,28.2301198361,28.7601771202,27.6909236334,28.4677317221,49400,0.0,1.0
FRC,2011-01-19 00:00:00+00:00,30.52,30.83,30.41,30.67,300200,27.8919798446,28.175286324,27.791451739,28.029063625,300200,0.0,1.0
FRC,2011-01-20 00:00:00+00:00,30.6,31.09,29.98,30.3,155300,27.9650911941,28.41289821,27.3984782353,27.6909236334,155300,0.0,1.0
FRC,2011-01-21 00:00:00+00:00,30.22,30.71,29.99,30.71,152300,27.6178122839,28.0656192997,27.407617154,28.0656192997,152300,0.0,1.0
FRC,2011-01-24 00:00:00+00:00,30.3,30.44,29.8,30.18,85000,27.6909236334,27.8188684951,27.2339776988,27.5812566091,85000,0.0,1.0
FRC,2011-01-25 00:00:00+00:00,30.32,30.32,30.0,30.21,54100,27.7092014708,27.7092014708,27.4167560727,27.6086733652,54100,0.0,1.0
