symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FTNT,2009-11-18 00:00:00+00:00,16.62,17.5,16.33,17.0,13670400,1.662,1.75,1.633,1.7,136704000,0.0,1.0
FTNT,2009-11-19 00:00:00+00:00,16.89,17.12,16.06,16.57,2217300,1.689,1.712,1.606,1.657,22173000,0.0,1.0
FTNT,2009-11-20 00:00:00+00:00,16.94,16.96,16.06,16.88,1139000,1.694,1.696,1.606,1.688,11390000,0.0,1.0
FTNT,2009-11-23 00:00:00+00:00,16.9,17.17,16.6,17.06,1185800,1.69,1.717,1.66,1.706,11858000,0.0,1.0
FTNT,2009-11-24 00:00:00+00:00,17.01,17.05,16.73,16.8,467700,1.701,1.705,1.673,1.68,4677000,0.0,1.0
FTNT,2009-11-25 00:00:00+00:00,17.2,17.28,16.95,17.15,428000,1.72,1.728,1.695,1.715,4280000,0.0,1.0
FTNT,2009-11-27 00:00:00+00:00,16.89,17.68,16.7,16.77,174000,1.689,1.768,1.67,1.677,1740000,0.0,1.0
FTNT,2009-11-30 00:00:00+00:00,16.99,17.32,16.81,17.05,433800,1.699,1.732,1.681,1.705,4338000,0.0,1.0
FTNT,2009-12-01 00:00:00+00:00,16.82,17.24,16.628,17.0,412500,1.682,1.724,1.6628,1.7,4125000,0.0,1.0
FTNT,2009-12-02 00:00:00+00:00,16.62,16.9,16.15,16.9,960200,1.662,1.69,1.615,1.69,9602000,0.0,1.0
FTNT,2009-12-03 00:00:00+00:00,16.68,16.86,16.52,16.62,569900,1.668,1.686,1.652,1.662,5699000,0.0,1.0
FTNT,2009-12-04 00:00:00+00:00,17.28,17.3,16.36,16.85,812700,1.728,1.73,1.636,1.685,8127000,0.0,1.0
FTNT,2009-12-07 00:00:00+00:00,16.92,17.61,16.84,17.12,523200,1.692,1.761,1.684,1.712,5232000,0.0,1.0
FTNT,2009-12-08 00:00:00+00:00,16.55,16.95,16.45,16.95,208000,1.655,1.695,1.645,1.695,2080000,0.0,1.0
FTNT,2009-12-09 00:00:00+00:00,16.99,17.25,16.5,16.5,405500,1.699,1.725,1.65,1.65,4055000,0.0,1.0
FTNT,2009-12-10 00:00:00+00:00,16.92,17.18,16.77,17.18,76300,1.692,1.718,1.677,1.718,763000,0.0,1.0
FTNT,2009-12-11 00:00:00+00:00,16.94,16.97,16.66,16.83,131200,1.694,1.697,1.666,1.683,1312000,0.0,1.0
FTNT,2009-12-14 00:00:00+00:00,17.0,17.21,16.81,16.9,78700,1.7,1.721,1.681,1.69,787000,0.0,1.0
FTNT,2009-12-15 00:00:00+00:00,17.0,17.24,16.85,17.1,244500,1.7,1.724,1.685,1.71,2445000,0.0,1.0
FTNT,2009-12-16 00:00:00+00:00,18.25,18.34,17.0,17.0,782300,1.825,1.834,1.7,1.7,7823000,0.0,1.0
