symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GD,2000-01-03 00:00:00+00:00,49.06,52.12,49.0,52.12,962800,15.2091001316,16.1577313262,15.19049952,16.1577313262,1925600,0.0,1.0
GD,2000-01-04 00:00:00+00:00,51.13,51.81,50.38,51.0,1324800,15.8508212338,16.0616281659,15.6183135881,15.8105199086,2649600,0.0,1.0
GD,2000-01-05 00:00:00+00:00,55.0,55.25,51.88,52.0,1737400,17.0505606857,17.1280632343,16.0833288795,16.1205301028,3474800,0.0,1.0
GD,2000-01-06 00:00:00+00:00,54.81,55.56,54.0,54.63,1448500,16.9916587488,17.2241663945,16.7405504914,16.9358569138,2897000,0.0,1.0
GD,2000-01-07 00:00:00+00:00,56.25,57.56,55.19,55.25,1136700,17.4380734286,17.8441867831,17.1094626226,17.1280632343,2273400,0.0,1.0
GD,2000-01-10 00:00:00+00:00,55.75,57.25,55.25,56.63,1218800,17.2830683314,17.7480836228,17.1280632343,17.5558773024,2437600,0.0,1.0
GD,2000-01-11 00:00:00+00:00,55.0,55.56,54.63,55.5,399200,17.0505606857,17.2241663945,16.9358569138,17.2055657828,798400,0.0,1.0
GD,2000-01-12 00:00:00+00:00,53.0,54.56,52.75,54.38,1352400,16.5049427438,16.9907486057,16.4270892403,16.9346940831,2704800,0.24,1.0
GD,2000-01-13 00:00:00+00:00,53.0,54.38,52.13,54.0,616500,16.5049427438,16.9346940831,16.2340125516,16.8163567578,1233000,0.0,1.0
GD,2000-01-14 00:00:00+00:00,53.38,54.38,52.06,53.5,635100,16.6232800691,16.9346940831,16.2122135706,16.6606497508,1270200,0.0,1.0
GD,2000-01-18 00:00:00+00:00,51.81,53.19,51.5,51.63,923000,16.1343600671,16.5641114064,16.0378217227,16.0783055445,1846000,0.0,1.0
GD,2000-01-19 00:00:00+00:00,50.75,51.63,50.13,51.25,674400,15.8042612122,16.0783055445,15.6111845235,15.9599682192,1348800,0.0,1.0
GD,2000-01-20 00:00:00+00:00,49.32,50.56,48.69,50.5,913600,15.3589391721,15.7450925495,15.1627483433,15.7264077087,1827200,0.0,1.0
