symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GE,2000-01-03 00:00:00+00:00,150.0,153.69,149.19,153.0,7356600,165.530801392,169.6028591062,164.6369350645,168.8414174198,3673255,0.0,1.0
GE,2000-01-04 00:00:00+00:00,144.0,148.0,144.0,147.25,7373800,158.9095693363,163.3237240401,158.9095693363,162.4960700331,3681843,0.0,1.0
GE,2000-01-05 00:00:00+00:00,143.75,147.0,142.56,143.75,9097600,158.6336846673,162.2201853641,157.3204736429,158.6336846673,4542561,0.0,1.0
GE,2000-01-06 00:00:00+00:00,145.67,146.94,142.63,143.13,6624400,160.7524789251,162.1539730436,157.3977213503,157.9494906882,3307657,0.0,1.0
GE,2000-01-07 00:00:00+00:00,151.31,151.88,147.0,148.0,6713800,166.9764370575,167.6054541028,162.2201853641,163.3237240401,3352296,0.0,1.0
GE,2000-01-10 00:00:00+00:00,151.25,154.06,151.13,152.69,5075500,166.9102247369,170.0111684163,166.7778000958,168.4993204303,2534269,0.0,1.0
GE,2000-01-11 00:00:00+00:00,151.5,152.69,150.63,151.0,5041000,167.1861094059,168.4993204303,166.2260307578,166.6343400679,2517043,0.0,1.0
GE,2000-01-12 00:00:00+00:00,152.0,153.25,150.56,151.06,6114100,167.7378787439,169.1173020888,166.1487830505,166.7005523885,3052857,0.0,1.0
GE,2000-01-13 00:00:00+00:00,153.75,154.94,153.0,153.13,4984500,169.6690714268,170.9822824512,168.8414174198,168.9848774477,2488831,0.0,1.0
GE,2000-01-14 00:00:00+00:00,151.0,154.63,149.56,153.38,6160100,166.6343400679,170.6401854616,165.0452443746,169.2607621167,3075825,0.0,1.0
GE,2000-01-18 00:00:00+00:00,148.0,149.63,146.75,149.63,6098900,163.3237240401,165.1224920819,161.9443006952,165.1224920819,3045267,0.0,1.0
GE,2000-01-19 00:00:00+00:00,148.72,150.94,146.25,146.5,4949900,164.1182718868,166.5681277474,161.3925313572,161.6684160262,2471555,0.0,1.0
GE,2000-01-20 00:00:00+00:00,145.94,149.75,142.63,149.06,10253000,161.0504343676,165.254916723,157.3977213503,164.4934750366,5119469,0.0,1.0
GE,2000-01-21 00:00:00+00:00,144.13,148.25,143.94,147.94,8001800,159.0530293642,163.5996087091,158.8433570158,163.2575117195,3995412,0.0,1.0
GE,2000-01-24 00:00:00+00:00,138.13,145.94,136.44,145.31,9038700,152.4317973085,161.0504343676,150.5668169462,160.3552050018,4513151,0.0,1.0
GE,2000-01-25 00:00:00+00:00,138.5,140.38,137.0,138.06,8462500,152.8401066186,154.9147593294,151.1847986047,152.3545496012,4225446,0.0,1.0
GE,2000-01-26 00:00:00+00:00,141.44,142.19,138.88,140.5,5285600,156.0845103259,156.9121643328,153.2594513155,155.0471839705,2639175,0.0,1.0
GE,2000-01-27 00:00:00+00:00,141.75,141.75,137.06,141.56,6414500,156.4266073154,156.4266073154,151.2510109252,156.216934967,3202851,0.0,1.0
GE,2000-01-28 00:00:00+00:00,134.0,140.5,133.63,140.31,9948900,147.8741825768,155.0471839705,147.4658732667,154.8375116221,4967627,0.0,1.0
GE,2000-01-31 00:00:00+00:00,134.0,135.94,133.06,134.0,7260900,147.8741825768,150.0150476082,146.8368562215,147.8741825768,3625470,0.0,1.0
GE,2000-02-01 00:00:00+00:00,136.0,137.0,134.0,134.25,9113000,150.0812599287,151.1847986047,147.8741825768,148.1500672458,4550250,0.0,1.0
GE,2000-02-02 00:00:00+00:00,134.06,137.63,134.06,137.13,7273400,147.9403948974,151.8800279705,147.9403948974,151.3282586326,3631712,0.0,1.0
GE,2000-02-03 00:00:00+00:00,139.25,139.81,135.25,135.94,6744000,153.6677606256,154.2857422841,149.2536059218,150.0150476082,3367375,0.0,1.0
GE,2000-02-04 00:00:00+00:00,141.56,143.13,140.5,141.0,6055700,156.216934967,157.9494906882,155.0471839705,155.5989533085,3023697,0.0,1.0
GE,2000-02-07 00:00:00+00:00,136.5,141.75,135.88,141.69,6095000,150.6330292667,156.4266073154,149.9488352876,156.3603949949,3043320,0.0,1.0
GE,2000-02-08 00:00:00+00:00,137.06,138.44,136.5,136.56,6231700,151.2510109252,152.773894298,150.6330292667,150.6992415873,3111576,0.0,1.0
GE,2000-02-09 00:00:00+00:00,134.06,137.69,134.06,137.0,5341300,147.9403948974,151.9462402911,147.9403948974,151.1847986047,2666987,0.0,1.0
GE,2000-02-10 00:00:00+00:00,135.44,136.94,133.13,134.56,6389200,149.4632782702,151.1185862841,146.9141039288,148.4921642354,3190218,0.0,1.0
GE,2000-02-11 00:00:00+00:00,133.75,137.31,133.56,135.06,6850800,147.5982979079,151.5268955942,147.3886255594,149.0439335733,3420702,0.0,1.0
GE,2000-02-14 00:00:00+00:00,134.38,135.94,133.56,133.75,4847300,148.2935272737,150.0150476082,147.3886255594,147.5982979079,2420326,0.0,1.0
GE,2000-02-15 00:00:00+00:00,137.5,139.0,133.94,134.0,6274500,151.7365679427,153.3918759566,147.8079702563,147.8741825768,3132947,0.0,1.0
GE,2000-02-16 00:00:00+00:00,135.66,136.94,134.38,136.63,4843600,149.7060567789,151.1185862841,148.2935272737,150.7764892946,2418478,0.0,1.0
GE,2000-02-17 00:00:00+00:00,131.0,135.63,130.0,134.88,9639700,144.563566549,149.6729506186,143.4600278731,148.8452966117,4813239,0.0,1.0
GE,2000-02-18 00:00:00+00:00,125.12,131.94,124.94,131.0,11775800,138.0747591344,145.6008929044,137.8761221728,144.563566549,5879824,0.0,1.0
GE,2000-02-22 00:00:00+00:00,129.63,130.0,125.06,126.25,9077000,143.051718563,143.4600278731,138.0085468139,139.3217578383,4532275,0.0,1.0
