symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GEN,2000-01-03 00:00:00+00:00,56.88,59.81,55.62,59.75,1456700,2.7746021578,2.9175273393,2.7131394518,2.9146005438,11653600,0.0,1.0
GEN,2000-01-04 00:00:00+00:00,54.25,58.75,54.06,56.69,1068000,2.646310954,2.8658206184,2.6370427682,2.765333972,8544000,0.0,1.0
GEN,2000-01-05 00:00:00+00:00,50.88,54.25,48.25,53.5,1621700,2.4819226053,2.646310954,2.3536314015,2.6097260099,12973600,0.0,1.0
GEN,2000-01-06 00:00:00+00:00,48.06,51.0,47.13,50.25,1455300,2.3443632156,2.4877761964,2.298997885,2.4511912523,11642400,0.0,1.0
GEN,2000-01-07 00:00:00+00:00,51.88,52.88,47.88,48.0,2022200,2.5307025307,2.5794824562,2.3355828291,2.3414364201,16177600,0.0,1.0
GEN,2000-01-10 00:00:00+00:00,56.75,57.0,53.0,53.5,969600,2.7682607675,2.7804557489,2.5853360472,2.6097260099,7756800,0.0,1.0
GEN,2000-01-11 00:00:00+00:00,52.13,56.75,51.13,56.75,790600,2.5428975121,2.7682607675,2.4941175867,2.7682607675,6324800,0.0,1.0
GEN,2000-01-12 00:00:00+00:00,53.38,53.38,51.13,52.75,808800,2.6038724189,2.6038724189,2.4941175867,2.5731410659,6470400,0.0,1.0
GEN,2000-01-13 00:00:00+00:00,54.69,55.88,53.0,53.72,500100,2.6677741212,2.7258222324,2.5853360472,2.6204575935,4000800,0.0,1.0
GEN,2000-01-14 00:00:00+00:00,52.88,56.75,52.88,55.13,554300,2.5794824562,2.7682607675,2.5794824562,2.6892372884,4434400,0.0,1.0
GEN,2000-01-18 00:00:00+00:00,54.75,56.75,53.69,53.97,629300,2.6707009167,2.7682607675,2.6189941958,2.6326525749,5034400,0.0,1.0
GEN,2000-01-19 00:00:00+00:00,56.5,57.63,55.0,55.5,844200,2.7560657862,2.8111871019,2.6828958981,2.7072858608,6753600,0.0,1.0
GEN,2000-01-20 00:00:00+00:00,60.44,61.25,58.25,59.13,2437900,2.9482586923,2.9877704319,2.8414306557,2.88435699,19503200,0.0,1.0
GEN,2000-01-21 00:00:00+00:00,58.28,60.88,57.38,60.5,1056600,2.8428940534,2.9697218595,2.7989921206,2.9511854879,8452800,0.0,1.0
GEN,2000-01-24 00:00:00+00:00,58.44,61.69,58.0,58.0,1250200,2.8506988415,3.0092335991,2.8292356743,2.8292356743,10001600,0.0,1.0
GEN,2000-01-25 00:00:00+00:00,58.0,59.13,56.0,59.0,720300,2.8292356743,2.88435699,2.7316758235,2.8780155997,5762400,0.0,1.0
GEN,2000-01-26 00:00:00+00:00,57.81,60.75,57.38,58.0,992900,2.8199674885,2.9633804692,2.7989921206,2.8292356743,7943200,0.0,1.0
GEN,2000-01-27 00:00:00+00:00,53.13,59.0,51.0,59.0,1050100,2.5916774375,2.8780155997,2.4877761964,2.8780155997,8400800,0.0,1.0
GEN,2000-01-28 00:00:00+00:00,50.06,53.94,49.63,52.63,1357500,2.4419230665,2.6311891771,2.4209476986,2.5672874748,10860000,0.0,1.0
GEN,2000-01-31 00:00:00+00:00,50.06,51.25,46.5,50.25,1322400,2.4419230665,2.4999711777,2.268266532,2.4511912523,10579200,0.0,1.0
GEN,2000-02-01 00:00:00+00:00,50.81,51.0,48.25,50.88,653300,2.4785080105,2.4877761964,2.3536314015,2.4819226053,5226400,0.0,1.0
GEN,2000-02-02 00:00:00+00:00,53.63,55.0,51.0,52.0,966400,2.6160674002,2.6828958981,2.4877761964,2.5365561218,7731200,0.0,1.0
GEN,2000-02-03 00:00:00+00:00,57.81,58.91,54.75,56.38,1097200,2.8199674885,2.8736254064,2.6707009167,2.7502121951,8777600,0.0,1.0
GEN,2000-02-04 00:00:00+00:00,58.63,59.0,57.0,57.88,893900,2.8599670273,2.8780155997,2.7804557489,2.8233820833,7151200,0.0,1.0
GEN,2000-02-07 00:00:00+00:00,63.44,65.0,58.5,59.75,2504700,3.0945984686,3.1706951522,2.853625637,2.9146005438,20037600,0.0,1.0
GEN,2000-02-08 00:00:00+00:00,61.06,65.25,60.75,64.5,1722300,2.9785022461,3.1828901336,2.9633804692,3.1463051895,13778400,0.0,1.0
GEN,2000-02-09 00:00:00+00:00,62.88,63.75,61.0,62.25,721100,3.0672817104,3.1097202455,2.9755754506,3.0365503573,5768800,0.0,1.0
GEN,2000-02-10 00:00:00+00:00,69.13,69.38,62.88,62.88,1769600,3.3721562442,3.3843512256,3.0672817104,3.0672817104,14156800,0.0,1.0
GEN,2000-02-11 00:00:00+00:00,65.75,69.0,64.38,68.88,1270800,3.2072800963,3.3658148539,3.1404515985,3.3599612629,10166400,0.0,1.0
GEN,2000-02-14 00:00:00+00:00,64.0,66.88,63.19,66.5,532400,3.1219152268,3.262401412,3.0824034872,3.2438650404,4259200,0.0,1.0
GEN,2000-02-15 00:00:00+00:00,64.0,64.38,61.88,64.25,461700,3.1219152268,3.1404515985,3.0185017849,3.1341102082,3693600,0.0,1.0
GEN,2000-02-16 00:00:00+00:00,66.44,67.56,63.88,63.94,582700,3.2409382448,3.2955717613,3.1160616358,3.1189884313,4661600,0.0,1.0
GEN,2000-02-17 00:00:00+00:00,63.91,66.75,63.75,66.75,770400,3.1175250335,3.2560600217,3.1097202455,3.2560600217,6163200,0.0,1.0
GEN,2000-02-18 00:00:00+00:00,64.0,65.63,62.88,64.5,452500,3.1219152268,3.2014265053,3.0672817104,3.1463051895,3620000,0.0,1.0
GEN,2000-02-22 00:00:00+00:00,64.31,66.13,61.13,65.19,759000,3.1370370037,3.225816468,2.9819168409,3.1799633381,6072000,0.0,1.0
GEN,2000-02-23 00:00:00+00:00,67.5,68.5,63.5,64.25,968600,3.2926449658,3.3414248912,3.0975252641,3.1341102082,7748800,0.0,1.0
GEN,2000-02-24 00:00:00+00:00,66.38,69.0,65.88,68.0,976900,3.2380114493,3.3658148539,3.2136214866,3.3170349285,7815200,0.0,1.0
GEN,2000-02-25 00:00:00+00:00,71.75,72.0,67.19,67.63,1297800,3.4999596488,3.5121546302,3.2775231889,3.2989863561,10382400,0.0,1.0
