symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GILD,2000-01-03 00:00:00+00:00,56.31,57.63,56.25,57.5,1689700,1.3578060143,1.3896352442,1.3563592311,1.3865005473,54070400,0.0,1.0
GILD,2000-01-04 00:00:00+00:00,53.75,55.0,53.25,54.5,1217500,1.2960765986,1.3262179149,1.2840200721,1.3141613884,38960000,0.0,1.0
GILD,2000-01-05 00:00:00+00:00,53.63,53.88,52.63,53.75,751200,1.2931830322,1.2992112955,1.2690699792,1.2960765986,24038400,0.0,1.0
GILD,2000-01-06 00:00:00+00:00,56.94,57.25,53.0,53.0,1117500,1.3729972377,1.3804722841,1.2779918089,1.2779918089,35760000,0.0,1.0
GILD,2000-01-07 00:00:00+00:00,65.63,67.25,57.44,57.5,2118100,1.5825396682,1.6216028141,1.3850537642,1.3865005473,67779200,0.0,1.0
GILD,2000-01-10 00:00:00+00:00,74.19,78.44,65.63,65.88,1913100,1.7889474019,1.8914278771,1.5825396682,1.5885679315,61219200,0.0,1.0
GILD,2000-01-11 00:00:00+00:00,67.41,74.38,66.25,74.31,1453200,1.6254609026,1.7935288819,1.5974897611,1.7918409682,46502400,0.0,1.0
GILD,2000-01-12 00:00:00+00:00,66.81,69.0,65.13,68.38,685100,1.6109930708,1.6638006568,1.5704831417,1.648850564,21923200,0.0,1.0
GILD,2000-01-13 00:00:00+00:00,70.5,70.63,67.0,69.0,744100,1.6999702363,1.7031049332,1.6155745508,1.6638006568,23811200,0.0,1.0
GILD,2000-01-14 00:00:00+00:00,68.88,72.3,68.0,70.97,1215900,1.6609070905,1.7433737317,1.6396876038,1.7113033712,38908800,0.0,1.0
GILD,2000-01-18 00:00:00+00:00,68.44,68.81,62.88,68.75,1208500,1.6502973471,1.6592191767,1.5162287725,1.6577723936,38672000,0.0,1.0
GILD,2000-01-19 00:00:00+00:00,62.88,67.88,59.88,67.88,2552700,1.5162287725,1.6367940375,1.4438896135,1.6367940375,81686400,0.0,1.0
GILD,2000-01-20 00:00:00+00:00,62.56,65.5,58.75,65.44,1239100,1.5085125955,1.5794049713,1.4166418636,1.5779581881,39651200,0.0,1.0
GILD,2000-01-21 00:00:00+00:00,62.38,64.69,62.0,62.69,783800,1.504172246,1.5598733984,1.4950092858,1.5116472924,25081600,0.0,1.0
GILD,2000-01-24 00:00:00+00:00,55.44,64.06,55.38,64.06,1595700,1.3368276582,1.544682175,1.335380875,1.544682175,51062400,0.0,1.0
GILD,2000-01-25 00:00:00+00:00,56.63,56.94,52.5,56.0,1202700,1.3655221912,1.3729972377,1.2659352824,1.3503309679,38486400,0.0,1.0
GILD,2000-01-26 00:00:00+00:00,53.97,56.81,52.25,56.81,910200,1.3013814703,1.3698625408,1.2599070191,1.3698625408,29126400,0.0,1.0
GILD,2000-01-27 00:00:00+00:00,49.63,55.06,49.5,54.69,728800,1.1967308203,1.327664698,1.1935961234,1.3187428684,23321600,0.0,1.0
GILD,2000-01-28 00:00:00+00:00,48.97,51.13,46.19,50.0,1404300,1.1808162053,1.2329003998,1.1137819179,1.2056526499,44937600,0.0,1.0
GILD,2000-01-31 00:00:00+00:00,46.81,52.25,44.88,49.19,746700,1.1287320108,1.2599070191,1.0821938185,1.1861210769,23894400,0.0,1.0
GILD,2000-02-01 00:00:00+00:00,46.19,48.75,45.88,46.38,971600,1.1137819179,1.1755113336,1.1063068715,1.118363398,31091200,0.0,1.0
GILD,2000-02-02 00:00:00+00:00,45.94,49.0,45.63,46.63,1279800,1.1077536547,1.1815395969,1.1002786083,1.1243916613,40953600,0.0,1.0
GILD,2000-02-03 00:00:00+00:00,45.0,47.13,44.75,47.0,1249200,1.0850873849,1.1364481878,1.0790591216,1.1333134909,39974400,0.0,1.0
GILD,2000-02-04 00:00:00+00:00,46.75,47.0,45.13,46.0,1072300,1.1272852276,1.1333134909,1.0882220818,1.1092004379,34313600,0.0,1.0
GILD,2000-02-07 00:00:00+00:00,54.31,55.94,46.5,47.5,1724200,1.3095799083,1.3488841847,1.1212569644,1.1453700174,55174400,0.0,1.0
GILD,2000-02-08 00:00:00+00:00,59.31,59.75,53.5,55.44,1335600,1.4301451733,1.4407549166,1.2900483354,1.3368276582,42739200,0.0,1.0
GILD,2000-02-09 00:00:00+00:00,54.94,61.0,54.25,60.44,1154500,1.3247711317,1.4708962328,1.3081331251,1.4573929232,36944000,0.0,1.0
GILD,2000-02-10 00:00:00+00:00,55.36,58.63,53.5,56.16,996100,1.3348986139,1.4137482972,1.2900483354,1.3541890563,31875200,0.0,1.0
GILD,2000-02-11 00:00:00+00:00,55.94,56.63,53.38,55.44,1113700,1.3488841847,1.3655221912,1.287154769,1.3368276582,35638400,0.0,1.0
GILD,2000-02-14 00:00:00+00:00,60.06,60.5,56.13,56.16,1066000,1.448229963,1.4588397063,1.3534656647,1.3541890563,34112000,0.0,1.0
GILD,2000-02-15 00:00:00+00:00,63.5,64.0,59.5,60.5,1638000,1.5311788653,1.5432353918,1.4347266533,1.4588397063,52416000,0.0,1.0
GILD,2000-02-16 00:00:00+00:00,63.81,68.0,63.75,64.0,2033600,1.5386539118,1.6396876038,1.5372071286,1.5432353918,65075200,0.0,1.0
GILD,2000-02-17 00:00:00+00:00,74.5,75.88,67.13,67.13,2272600,1.7964224483,1.8296984614,1.6187092477,1.6187092477,72723200,0.0,1.0
GILD,2000-02-18 00:00:00+00:00,77.06,80.5,70.69,73.0,2366100,1.858151864,1.9411007663,1.7045517164,1.7602528688,75715200,0.0,1.0
GILD,2000-02-22 00:00:00+00:00,74.91,76.5,68.25,75.63,1382800,1.8063088,1.8446485543,1.6457158671,1.8236701982,44249600,0.0,1.0
GILD,2000-02-23 00:00:00+00:00,75.75,77.25,74.0,76.44,791300,1.8265637645,1.862733344,1.7843659218,1.8432017711,25321600,0.0,1.0
GILD,2000-02-24 00:00:00+00:00,73.38,77.88,72.25,76.63,705700,1.7694158289,1.8779245674,1.7421680791,1.8477832512,22582400,0.0,1.0
GILD,2000-02-25 00:00:00+00:00,72.34,76.5,67.0,76.0,1120700,1.7443382538,1.8446485543,1.6155745508,1.8325920278,35862400,0.0,1.0
GILD,2000-02-28 00:00:00+00:00,70.94,73.25,68.88,70.69,893300,1.7105799796,1.7662811321,1.6609070905,1.7045517164,28585600,0.0,1.0
GILD,2000-02-29 00:00:00+00:00,76.5,76.75,71.0,71.13,742700,1.8446485543,1.8506768175,1.7120267628,1.7151614597,23766400,0.0,1.0
GILD,2000-03-01 00:00:00+00:00,79.97,81.31,75.81,75.81,1151100,1.9283208482,1.9606323392,1.8280105477,1.8280105477,36835200,0.0,1.0
GILD,2000-03-02 00:00:00+00:00,78.0,82.0,76.63,80.75,520400,1.8808181338,1.9772703458,1.8477832512,1.9471290295,16652800,0.0,1.0
GILD,2000-03-03 00:00:00+00:00,79.88,82.88,78.0,79.0,526300,1.9261506734,1.9984898324,1.8808181338,1.9049311868,16841600,0.0,1.0
GILD,2000-03-06 00:00:00+00:00,82.38,84.5,78.88,80.25,692600,1.9864333059,2.0375529783,1.9020376204,1.935072503,22163200,0.0,1.0
GILD,2000-03-07 00:00:00+00:00,76.69,85.0,73.25,83.63,600700,1.8492300344,2.0496095048,1.7662811321,2.0165746222,19222400,0.0,1.0
GILD,2000-03-08 00:00:00+00:00,73.94,81.0,71.5,80.75,499800,1.7829191386,1.9531572928,1.7240832893,1.9471290295,15993600,0.0,1.0
GILD,2000-03-09 00:00:00+00:00,71.63,76.0,71.0,75.0,447000,1.7272179862,1.8325920278,1.7120267628,1.8084789748,14304000,0.0,1.0
GILD,2000-03-10 00:00:00+00:00,71.69,74.13,69.38,73.0,571800,1.7286647694,1.7875006187,1.672963617,1.7602528688,18297600,0.0,1.0
GILD,2000-03-13 00:00:00+00:00,67.75,70.88,66.69,68.81,569600,1.6336593406,1.7091331965,1.6080995044,1.6592191767,18227200,0.0,1.0
GILD,2000-03-14 00:00:00+00:00,67.88,73.75,64.0,68.94,1349500,1.6367940375,1.7783376586,1.5432353918,1.6623538736,43184000,0.0,1.0
GILD,2000-03-15 00:00:00+00:00,63.94,70.13,63.88,68.63,727400,1.5417886086,1.6910484067,1.5403418255,1.6548788272,23276800,0.0,1.0
GILD,2000-03-16 00:00:00+00:00,66.13,70.19,64.5,70.0,553000,1.5945961947,1.6924951899,1.5552919183,1.6879137098,17696000,0.0,1.0
GILD,2000-03-17 00:00:00+00:00,63.75,69.75,62.0,64.75,590000,1.5372071286,1.6818854466,1.4950092858,1.5613201816,18880000,0.0,1.0
GILD,2000-03-20 00:00:00+00:00,57.44,69.0,55.5,63.63,915600,1.3850537642,1.6638006568,1.3382744414,1.5343135622,29299200,0.0,1.0
GILD,2000-03-21 00:00:00+00:00,56.94,61.13,53.25,57.38,1507300,1.3729972377,1.4740309297,1.2840200721,1.383606981,48233600,0.0,1.0
GILD,2000-03-22 00:00:00+00:00,64.06,64.5,59.25,59.56,534000,1.544682175,1.5552919183,1.4286983901,1.4361734365,17088000,0.0,1.0
GILD,2000-03-23 00:00:00+00:00,69.63,71.63,66.44,67.5,1371200,1.6789918802,1.7272179862,1.6020712411,1.6276310773,43878400,0.0,1.0
GILD,2000-03-24 00:00:00+00:00,70.38,72.75,69.38,69.87,577100,1.69707667,1.7542246056,1.672963617,1.6847790129,18467200,0.0,1.0
GILD,2000-03-27 00:00:00+00:00,69.81,72.13,67.75,71.94,558400,1.6833322297,1.7392745127,1.6336593406,1.7346930326,17868800,0.0,1.0
GILD,2000-03-28 00:00:00+00:00,70.44,74.75,69.63,71.63,436700,1.6985234531,1.8024507116,1.6789918802,1.7272179862,13974400,0.0,1.0
GILD,2000-03-29 00:00:00+00:00,66.63,75.0,65.0,72.0,682600,1.6066527212,1.8084789748,1.5673484448,1.7361398158,21843200,0.0,1.0
GILD,2000-03-30 00:00:00+00:00,59.0,64.81,59.0,64.81,930700,1.4226701268,1.5627669648,1.4226701268,1.5627669648,29782400,0.0,1.0
GILD,2000-03-31 00:00:00+00:00,63.38,64.25,61.0,61.63,1007300,1.528285299,1.5492636551,1.4708962328,1.4860874562,32233600,0.0,1.0
GILD,2000-04-03 00:00:00+00:00,60.06,63.5,60.0,61.5,613600,1.448229963,1.5311788653,1.4467831798,1.4829527593,19635200,0.0,1.0
GILD,2000-04-04 00:00:00+00:00,59.25,61.44,54.88,60.75,732500,1.4286983901,1.4815059762,1.3233243485,1.4648679696,23440000,0.0,1.0
GILD,2000-04-05 00:00:00+00:00,62.25,65.0,57.38,59.13,1123200,1.5010375491,1.5673484448,1.383606981,1.4258048237,35942400,0.0,1.0
