symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GIS,2000-01-03 00:00:00+00:00,34.44,35.5,34.06,35.38,1039100,8.5500442987,8.8131989723,8.4557058309,8.7834078771,2078200,0.0,1.0
GIS,2000-01-04 00:00:00+00:00,33.81,34.44,33.56,34.06,773400,8.3936410494,8.5500442987,8.3315762679,8.4557058309,1546800,0.0,1.0
GIS,2000-01-05 00:00:00+00:00,34.0,34.19,33.19,33.19,1009400,8.4408102833,8.4879795172,8.2397203912,8.2397203912,2018800,0.0,1.0
GIS,2000-01-06 00:00:00+00:00,33.56,34.0,32.94,33.56,1646300,8.3998475275,8.5099766369,8.2446656006,8.3998475275,3292600,0.275,1.0
GIS,2000-01-07 00:00:00+00:00,33.63,34.56,33.5,34.44,2264500,8.4173680676,8.650140958,8.3848299217,8.6201057463,4529000,0.0,1.0
GIS,2000-01-10 00:00:00+00:00,32.94,33.81,32.88,33.63,733100,8.2446656006,8.4624208851,8.2296479948,8.4173680676,1466200,0.0,1.0
GIS,2000-01-11 00:00:00+00:00,33.38,33.56,32.94,33.0,926200,8.35479471,8.3998475275,8.2446656006,8.2596832064,1852400,0.0,1.0
GIS,2000-01-12 00:00:00+00:00,33.31,33.94,33.19,33.25,1093400,8.3372741699,8.4949590311,8.3072389582,8.3222565641,2186800,0.0,1.0
GIS,2000-01-13 00:00:00+00:00,33.44,33.88,32.88,33.0,688800,8.3698123158,8.4799414253,8.2296479948,8.2596832064,1377600,0.0,1.0
GIS,2000-01-14 00:00:00+00:00,32.69,33.38,32.44,32.94,757500,8.182092243,8.35479471,8.1195188853,8.2446656006,1515000,0.0,1.0
GIS,2000-01-18 00:00:00+00:00,33.0,33.25,31.81,32.0,941600,8.2596832064,8.3222565641,7.9618340241,8.0093897759,1883200,0.0,1.0
GIS,2000-01-19 00:00:00+00:00,32.69,33.31,32.31,32.88,1287700,8.182092243,8.3372741699,8.0869807394,8.2296479948,2575400,0.0,1.0
GIS,2000-01-20 00:00:00+00:00,32.13,32.69,31.81,32.38,968300,8.0419279219,8.182092243,7.9618340241,8.1045012795,1936600,0.0,1.0
GIS,2000-01-21 00:00:00+00:00,31.5,32.25,31.31,32.13,1143600,7.8842430607,8.0719631336,7.8366873089,8.0419279219,2287200,0.0,1.0
GIS,2000-01-24 00:00:00+00:00,31.19,32.0,31.0,31.5,981400,7.8066520972,8.0093897759,7.7590963454,7.8842430607,1962800,0.0,1.0
GIS,2000-01-25 00:00:00+00:00,30.19,31.31,30.19,30.75,578600,7.5563586667,7.8366873089,7.5563586667,7.6965229878,1157200,0.0,1.0
GIS,2000-01-26 00:00:00+00:00,31.0,31.56,30.56,31.44,693800,7.7590963454,7.8992606665,7.648967236,7.8692254548,1387600,0.0,1.0
