symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GL,2000-01-03 00:00:00+00:00,28.31,28.94,28.0,28.81,241067,10.0799489771,10.3042643376,9.9695715775,10.257977041,542400,0.0,1.0
GL,2000-01-04 00:00:00+00:00,27.75,28.06,27.63,27.88,286889,9.8805575456,9.9909349452,9.8378308102,9.9268448422,645499,0.0,1.0
GL,2000-01-05 00:00:00+00:00,27.75,28.13,27.75,28.13,177867,9.9126025971,10.0483427407,9.9126025971,10.0483427407,400200,0.09,1.0
GL,2000-01-06 00:00:00+00:00,27.69,28.13,27.0,27.5,145422,9.8911699428,10.0483427407,9.6446944188,9.823299871,327199,0.0,1.0
GL,2000-01-07 00:00:00+00:00,28.25,28.56,27.75,27.75,165600,10.0912080493,10.2019434296,9.9126025971,9.9126025971,372599,0.0,1.0
GL,2000-01-10 00:00:00+00:00,27.88,28.56,27.69,28.5,192222,9.9590400146,10.2019434296,9.8911699428,10.1805107754,432499,0.0,1.0
GL,2000-01-11 00:00:00+00:00,27.81,28.0,27.31,27.63,468222,9.9340352513,10.0019053232,9.7554297991,9.8697372885,1053498,0.0,1.0
GL,2000-01-12 00:00:00+00:00,27.69,28.0,27.38,27.88,264489,9.8911699428,10.0019053232,9.7804345624,9.9590400146,595099,0.0,1.0
GL,2000-01-13 00:00:00+00:00,27.94,28.25,27.44,27.63,313422,9.9804726689,10.0912080493,9.8018672167,9.8697372885,705198,0.0,1.0
GL,2000-01-14 00:00:00+00:00,27.38,28.25,27.19,28.0,604489,9.7804345624,10.0912080493,9.7125644906,10.0019053232,1360098,0.0,1.0
GL,2000-01-18 00:00:00+00:00,25.75,27.25,25.75,27.25,877689,9.1981807883,9.7339971449,9.1981807883,9.7339971449,1974798,0.0,1.0
GL,2000-01-19 00:00:00+00:00,24.38,26.0,24.38,25.94,759689,8.7088018492,9.2874835144,8.7088018492,9.2660508601,1709298,0.0,1.0
GL,2000-01-20 00:00:00+00:00,23.63,24.69,23.38,24.63,734622,8.4408936709,8.8195372296,8.3515909448,8.7981045753,1652897,0.0,1.0
GL,2000-01-21 00:00:00+00:00,23.31,23.88,23.06,23.88,679067,8.3265861815,8.530196397,8.2372834554,8.530196397,1527899,0.0,1.0
GL,2000-01-24 00:00:00+00:00,23.5,23.75,23.13,23.56,424222,8.3944562534,8.4837589795,8.2622882187,8.4158889076,954498,0.0,1.0
GL,2000-01-25 00:00:00+00:00,23.31,24.0,23.06,23.81,438489,8.3265861815,8.5730617056,8.2372834554,8.5051916337,986599,0.0,1.0
GL,2000-01-26 00:00:00+00:00,23.69,24.25,22.63,23.56,779422,8.4623263252,8.6623644317,8.0836827665,8.4158889076,1753697,0.0,1.0
GL,2000-01-27 00:00:00+00:00,23.88,24.31,23.88,24.0,406000,8.530196397,8.6837970859,8.530196397,8.5730617056,913499,0.0,1.0
GL,2000-01-28 00:00:00+00:00,23.0,23.88,23.0,23.88,345689,8.2158508012,8.530196397,8.2158508012,8.530196397,777799,0.0,1.0
GL,2000-01-31 00:00:00+00:00,25.19,25.19,23.38,23.75,445022,8.9981426818,8.9981426818,8.3515909448,8.4837589795,1001298,0.0,1.0
GL,2000-02-01 00:00:00+00:00,22.5,25.0,22.0,25.0,834800,8.037245349,8.93027261,7.8586398968,8.93027261,1878298,0.0,1.0
GL,2000-02-02 00:00:00+00:00,23.19,23.56,22.38,22.75,665867,8.283720873,8.4158889076,7.9943800404,8.1265480751,1498199,0.0,1.0
GL,2000-02-03 00:00:00+00:00,23.25,23.63,22.81,23.63,292800,8.3051535273,8.4408936709,8.1479807293,8.4408936709,658799,0.0,1.0
GL,2000-02-04 00:00:00+00:00,23.06,23.44,22.5,23.19,746267,8.2372834554,8.3730235991,8.037245349,8.283720873,1679099,0.0,1.0
GL,2000-02-07 00:00:00+00:00,23.06,23.5,22.94,23.06,544222,8.2372834554,8.3944562534,8.1944181469,8.2372834554,1224498,0.0,1.0
GL,2000-02-08 00:00:00+00:00,22.25,23.25,22.13,22.94,512000,7.9479426229,8.3051535273,7.9050773143,8.1944181469,1151998,0.0,1.0
GL,2000-02-09 00:00:00+00:00,21.44,22.25,21.44,22.0,1167600,7.6586017903,7.9479426229,7.6586017903,7.8586398968,2627097,0.0,1.0
GL,2000-02-10 00:00:00+00:00,20.94,21.38,20.56,21.31,415289,7.4799963381,7.637169136,7.3442561944,7.6121643727,934399,0.0,1.0
GL,2000-02-11 00:00:00+00:00,21.0,21.44,20.81,20.94,527067,7.5014289924,7.6586017903,7.4335589205,7.4799963381,1185899,0.0,1.0
GL,2000-02-14 00:00:00+00:00,20.5,21.06,20.31,21.06,369822,7.3228235402,7.5228616466,7.2549534683,7.5228616466,832098,0.0,1.0
GL,2000-02-15 00:00:00+00:00,20.88,21.13,20.56,20.75,321600,7.4585636838,7.5478664099,7.3442561944,7.4121262663,723599,0.0,1.0
GL,2000-02-16 00:00:00+00:00,20.75,21.19,20.69,20.88,507067,7.4121262663,7.5692990642,7.390693612,7.4585636838,1140899,0.0,1.0
GL,2000-02-17 00:00:00+00:00,20.25,21.13,20.0,20.75,515022,7.2335208141,7.5478664099,7.144218088,7.4121262663,1158798,0.0,1.0
GL,2000-02-18 00:00:00+00:00,19.88,20.94,19.75,19.75,446400,7.1013527794,7.4799963381,7.0549153619,7.0549153619,1004398,0.0,1.0
GL,2000-02-22 00:00:00+00:00,20.13,20.31,19.69,20.13,236800,7.1906555055,7.2549534683,7.0334827076,7.1906555055,532799,0.0,1.0
GL,2000-02-23 00:00:00+00:00,19.63,20.13,19.38,19.38,384800,7.0120500533,7.1906555055,6.9227473272,6.9227473272,865799,0.0,1.0
GL,2000-02-24 00:00:00+00:00,19.44,19.75,19.31,19.56,362400,6.9441799815,7.0549153619,6.8977425639,6.98704529,815399,0.0,1.0
GL,2000-02-25 00:00:00+00:00,19.38,20.19,19.25,19.5,476222,6.9227473272,7.2120881598,6.8763099097,6.9656126358,1071498,0.0,1.0
GL,2000-02-28 00:00:00+00:00,19.31,19.88,19.31,19.44,535600,6.8977425639,7.1013527794,6.8977425639,6.9441799815,1205098,0.0,1.0
GL,2000-02-29 00:00:00+00:00,19.81,20.0,19.44,19.56,618667,7.0763480161,7.144218088,6.9441799815,6.98704529,1391999,0.0,1.0
GL,2000-03-01 00:00:00+00:00,20.25,20.38,19.56,19.75,384000,7.2335208141,7.2799582316,6.98704529,7.0549153619,863999,0.0,1.0
GL,2000-03-02 00:00:00+00:00,19.69,20.44,19.5,20.0,609067,7.0334827076,7.3013908859,6.9656126358,7.144218088,1370399,0.0,1.0
GL,2000-03-03 00:00:00+00:00,20.06,20.25,19.63,19.75,329822,7.1656507422,7.2335208141,7.0120500533,7.0549153619,742098,0.0,1.0
GL,2000-03-06 00:00:00+00:00,19.63,20.25,19.63,20.25,250000,7.0120500533,7.2335208141,7.0120500533,7.2335208141,562499,0.0,1.0
GL,2000-03-07 00:00:00+00:00,19.0,19.69,19.0,19.63,554000,6.7870071836,7.0334827076,6.7870071836,7.0120500533,1246498,0.0,1.0
GL,2000-03-08 00:00:00+00:00,19.19,19.44,18.88,18.94,364089,6.8548772554,6.9441799815,6.744141875,6.7655745293,819199,0.0,1.0
GL,2000-03-09 00:00:00+00:00,19.38,19.81,19.0,19.19,319689,6.9227473272,7.0763480161,6.7870071836,6.8548772554,719299,0.0,1.0
GL,2000-03-10 00:00:00+00:00,19.13,19.5,19.13,19.5,210089,6.8334446011,6.9656126358,6.8334446011,6.9656126358,472699,0.0,1.0
GL,2000-03-13 00:00:00+00:00,19.06,19.25,18.75,19.25,241067,6.8084398378,6.8763099097,6.6977044575,6.8763099097,542400,0.0,1.0
GL,2000-03-14 00:00:00+00:00,19.06,19.44,19.0,19.06,454267,6.8084398378,6.9441799815,6.7870071836,6.8084398378,1022099,0.0,1.0
GL,2000-03-15 00:00:00+00:00,20.0,21.19,19.13,19.13,1107200,7.144218088,7.5692990642,6.8334446011,6.8334446011,2491197,0.0,1.0
GL,2000-03-16 00:00:00+00:00,22.63,23.5,20.19,20.19,776222,8.0836827665,8.3944562534,7.2120881598,7.2120881598,1746497,0.0,1.0
GL,2000-03-17 00:00:00+00:00,22.44,22.75,22.0,22.19,559289,8.0158126947,8.1265480751,7.8586398968,7.9265099686,1258398,0.0,1.0
GL,2000-03-20 00:00:00+00:00,22.56,22.63,21.88,22.31,268222,8.0586780032,8.0836827665,7.8157745882,7.9693752771,603498,0.0,1.0
