symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GM,2010-11-18 00:00:00+00:00,34.19,35.99,33.89,35.0,457044300,26.3114812309,27.6967010676,26.0806112582,26.9348301574,457044300,0.0,1.0
GM,2010-11-19 00:00:00+00:00,34.26,34.5,33.11,34.15,107842000,26.3653508912,26.5500468695,25.4803493289,26.2806985679,107842000,0.0,1.0
GM,2010-11-22 00:00:00+00:00,34.08,34.48,33.81,34.2,36650600,26.2268289076,26.534655538,26.0190459321,26.3191768967,36650600,0.0,1.0
GM,2010-11-23 00:00:00+00:00,33.25,33.99,33.19,33.95,31170200,25.5880886496,26.1575679157,25.541914655,26.1267852527,31170200,0.0,1.0
GM,2010-11-24 00:00:00+00:00,33.48,33.8,33.22,33.73,26138000,25.765088962,26.0113502663,25.5650016523,25.957480606,26138000,0.0,1.0
GM,2010-11-26 00:00:00+00:00,33.8,33.81,33.21,33.41,12301200,26.0113502663,26.0190459321,25.5573059865,25.7112193017,12301200,0.0,1.0
GM,2010-11-29 00:00:00+00:00,33.8,33.81,33.07,33.8,27776900,26.0113502663,26.0190459321,25.4495666659,26.0113502663,27776900,0.0,1.0
GM,2010-11-30 00:00:00+00:00,34.2,34.25,33.36,33.53,57476900,26.3191768967,26.3576552255,25.6727409729,25.8035672908,57476900,0.0,1.0
GM,2010-12-01 00:00:00+00:00,34.78,34.95,34.42,34.65,34633200,26.7655255107,26.8963518286,26.4884815434,26.6654818559,34633200,0.0,1.0
GM,2010-12-02 00:00:00+00:00,34.68,34.98,34.51,34.92,23196100,26.6885688531,26.9194388259,26.5577425352,26.8732648314,23196100,0.0,1.0
GM,2010-12-03 00:00:00+00:00,34.55,34.6,33.97,34.55,19395200,26.5885251983,26.6270035271,26.1421765842,26.5885251983,19395200,0.0,1.0
GM,2010-12-06 00:00:00+00:00,34.48,34.78,34.41,34.48,11676500,26.534655538,26.7655255107,26.4807858776,26.534655538,11676500,0.0,1.0
GM,2010-12-07 00:00:00+00:00,34.68,34.89,34.46,34.75,20823000,26.6885688531,26.8501778341,26.5192642064,26.7424385135,20823000,0.0,1.0
GM,2010-12-08 00:00:00+00:00,34.45,34.73,34.33,34.61,12603900,26.5115685407,26.7270471819,26.4192205516,26.6346991928,12603900,0.0,1.0
GM,2010-12-09 00:00:00+00:00,33.74,34.43,33.62,34.36,18402200,25.9651762718,26.4961772092,25.8728282827,26.4423075488,18402200,0.0,1.0
GM,2010-12-10 00:00:00+00:00,33.81,33.99,33.53,33.85,11741700,26.0190459321,26.1575679157,25.8035672908,26.0498285951,11741700,0.0,1.0
GM,2010-12-13 00:00:00+00:00,33.8,34.05,33.7,33.96,11029300,26.0113502663,26.2037419103,25.9343936087,26.1344809185,11029300,0.0,1.0
GM,2010-12-14 00:00:00+00:00,33.89,33.92,33.45,33.73,15165600,26.0806112582,26.1036982554,25.7420019647,25.957480606,15165600,0.0,1.0
GM,2010-12-15 00:00:00+00:00,33.61,34.01,33.61,33.81,10182700,25.8651326169,26.1729592473,25.8651326169,26.0190459321,10182700,0.0,1.0
GM,2010-12-16 00:00:00+00:00,33.61,33.86,33.56,33.57,9885700,25.8651326169,26.0575242609,25.8266542881,25.8343499539,9885700,0.0,1.0
GM,2010-12-17 00:00:00+00:00,34.0,34.0,33.19,33.53,35681600,26.1652635815,26.1652635815,25.541914655,25.8035672908,35681600,0.0,1.0
GM,2010-12-20 00:00:00+00:00,33.76,34.05,33.74,33.91,12476400,25.9805676033,26.2037419103,25.9651762718,26.0960025897,12476400,0.0,1.0
GM,2010-12-21 00:00:00+00:00,33.85,33.94,33.72,33.86,9012400,26.0498285951,26.119089587,25.9497849402,26.0575242609,9012400,0.0,1.0
GM,2010-12-22 00:00:00+00:00,34.92,34.95,33.53,33.72,20935100,26.8732648314,26.8963518286,25.8035672908,25.9497849402,20935100,0.0,1.0
GM,2010-12-23 00:00:00+00:00,34.81,35.52,34.62,34.67,20529200,26.788612508,27.3350047769,26.6423948586,26.6808731874,20529200,0.0,1.0
GM,2010-12-27 00:00:00+00:00,34.6,34.89,34.19,34.41,7368300,26.6270035271,26.8501778341,26.3114812309,26.4807858776,7368300,0.0,1.0
GM,2010-12-28 00:00:00+00:00,35.32,35.67,35.07,35.38,23489000,27.1810914617,27.4504397633,26.9886998178,27.2272654563,23489000,0.0,1.0
GM,2010-12-29 00:00:00+00:00,36.02,36.3,35.25,35.47,20960800,27.7197880649,27.9352667061,27.1272218014,27.2965264481,20960800,0.0,1.0
GM,2010-12-30 00:00:00+00:00,36.82,36.98,36.02,36.1,16980800,28.3354413256,28.4585719778,27.7197880649,27.781353391,16980800,0.0,1.0
GM,2010-12-31 00:00:00+00:00,36.86,36.96,36.57,36.84,6163900,28.3662239887,28.4431806463,28.1430496816,28.3508326571,6163900,0.0,1.0
GM,2011-01-03 00:00:00+00:00,37.06,38.0,37.03,37.32,24874900,28.5201373038,29.2435298852,28.4970503066,28.7202246136,24874900,0.0,1.0
GM,2011-01-04 00:00:00+00:00,37.9,37.99,36.68,37.1,32363400,29.1665732276,29.2358342195,28.227702005,28.5509199669,32363400,0.0,1.0
GM,2011-01-05 00:00:00+00:00,38.07,38.3,37.47,37.47,22503900,29.2973995455,29.474399858,28.8356596,28.8356596,22503900,0.0,1.0
GM,2011-01-06 00:00:00+00:00,38.9,39.48,38.07,38.24,38556900,29.9361398035,30.3824884176,29.2973995455,29.4282258634,38556900,0.0,1.0
