symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2014-03-27 00:00:00+00:00,558.46,568.0,552.92,568.0,13100,27.923,28.4,27.646,28.4,262000,0.0,1.0
GOOG,2014-03-28 00:00:00+00:00,559.99,566.43,558.67,561.2,41100,27.9995,28.3215,27.9335,28.06,822000,0.0,1.0
GOOG,2014-03-31 00:00:00+00:00,556.97,567.0,556.93,566.89,10800,27.8485,28.35,27.8465,28.3445,216000,0.0,1.0
GOOG,2014-04-01 00:00:00+00:00,567.16,568.45,558.71,558.71,7900,28.358,28.4225,27.9355,27.9355,158000,0.0,1.0
GOOG,2014-04-02 00:00:00+00:00,567.0,604.83,562.19,565.106,146700,28.35,30.2415,28.1095,28.2553,2934000,0.0,1.0
GOOG,2014-04-03 00:00:00+00:00,569.74,587.28,564.13,569.85,5085200,28.487,29.364,28.2065,28.4925,101704000,0.0,1.0
GOOG,2014-04-04 00:00:00+00:00,543.14,577.77,543.0,574.65,6351900,27.157,28.8885,27.15,28.7325,127038000,0.0,1.0
GOOG,2014-04-07 00:00:00+00:00,538.15,548.48,527.15,540.74,4389600,26.9075,27.424,26.3575,27.037,87792000,0.0,1.0
GOOG,2014-04-08 00:00:00+00:00,554.9,555.0,541.61,542.6,3142600,27.745,27.75,27.0805,27.13,62852000,0.0,1.0
GOOG,2014-04-09 00:00:00+00:00,564.14,565.37,552.95,559.62,3321700,28.207,28.2685,27.6475,27.981,66434000,0.0,1.0
GOOG,2014-04-10 00:00:00+00:00,540.95,565.0,539.9,565.0,4025800,27.0475,28.25,26.995,28.25,80516000,0.0,1.0
GOOG,2014-04-11 00:00:00+00:00,530.6,540.0,526.53,532.55,3914100,26.53,27.0,26.3265,26.6275,78282000,0.0,1.0
GOOG,2014-04-14 00:00:00+00:00,532.52,544.1,529.561,538.25,2568000,26.626,27.205,26.47805,26.9125,51360000,0.0,1.0
GOOG,2014-04-15 00:00:00+00:00,536.44,538.45,518.4601,536.82,3844500,26.822,26.9225,25.923005,26.841,76890000,0.0,1.0
GOOG,2014-04-16 00:00:00+00:00,556.54,557.0,540.0,543.0,4879900,27.827,27.85,27.0,27.15,97598000,0.0,1.0
GOOG,2014-04-17 00:00:00+00:00,536.1,549.5,531.15,548.81,6790900,26.805,27.475,26.5575,27.4405,135818000,0.0,1.0
GOOG,2014-04-21 00:00:00+00:00,528.62,536.7,525.6,536.1,2559700,26.431,26.835,26.28,26.805,51194000,0.0,1.0
GOOG,2014-04-22 00:00:00+00:00,534.81,537.23,527.51,528.64,2358900,26.7405,26.8615,26.3755,26.432,47178000,0.0,1.0
GOOG,2014-04-23 00:00:00+00:00,526.94,533.87,526.25,533.79,2046700,26.347,26.6935,26.3125,26.6895,40934000,0.0,1.0
GOOG,2014-04-24 00:00:00+00:00,525.16,531.65,522.12,530.07,1878000,26.258,26.5825,26.106,26.5035,37560000,0.0,1.0
GOOG,2014-04-25 00:00:00+00:00,516.18,524.7,515.42,522.51,2094600,25.809,26.235,25.771,26.1255,41892000,0.0,1.0
GOOG,2014-04-28 00:00:00+00:00,517.15,518.6,502.8,517.18,3326400,25.8575,25.93,25.14,25.859,66528000,0.0,1.0
GOOG,2014-04-29 00:00:00+00:00,527.7,529.46,516.32,516.9,2691700,26.385,26.473,25.816,25.845,53834000,0.0,1.0
GOOG,2014-04-30 00:00:00+00:00,526.66,528.0,522.52,527.6,1746400,26.333,26.4,26.126,26.38,34928000,0.0,1.0
GOOG,2014-05-01 00:00:00+00:00,531.35,532.93,523.88,527.11,1900300,26.5675,26.6465,26.194,26.3555,38006000,0.0,1.0
GOOG,2014-05-02 00:00:00+00:00,527.93,533.9999,525.61,533.76,1683900,26.3965,26.699995,26.2805,26.688,33678000,0.0,1.0
GOOG,2014-05-05 00:00:00+00:00,527.81,528.9,521.32,524.82,1021300,26.3905,26.445,26.066,26.241,20426000,0.0,1.0
GOOG,2014-05-06 00:00:00+00:00,515.14,526.81,515.06,525.23,1684400,25.757,26.3405,25.753,26.2615,33688000,0.0,1.0
GOOG,2014-05-07 00:00:00+00:00,509.96,516.68,503.3,515.79,3215500,25.498,25.834,25.165,25.7895,64310000,0.0,1.0
GOOG,2014-05-08 00:00:00+00:00,511.0,517.23,506.45,508.46,2015800,25.55,25.8615,25.3225,25.423,40316000,0.0,1.0
GOOG,2014-05-09 00:00:00+00:00,518.73,519.9,504.2,510.75,2432800,25.9365,25.995,25.21,25.5375,48656000,0.0,1.0
GOOG,2014-05-12 00:00:00+00:00,529.92,530.19,519.01,523.51,1907300,26.496,26.5095,25.9505,26.1755,38146000,0.0,1.0
GOOG,2014-05-13 00:00:00+00:00,533.09,536.07,529.51,530.89,1648900,26.6545,26.8035,26.4755,26.5445,32978000,0.0,1.0
GOOG,2014-05-14 00:00:00+00:00,526.65,533.0,525.29,533.0,1188500,26.3325,26.65,26.2645,26.65,23770000,0.0,1.0
GOOG,2014-05-15 00:00:00+00:00,519.98,525.87,517.42,525.7,1699700,25.999,26.2935,25.871,26.285,33994000,0.0,1.0
GOOG,2014-05-16 00:00:00+00:00,520.63,521.8,515.44,521.39,1481200,26.0315,26.09,25.772,26.0695,29624000,0.0,1.0
GOOG,2014-05-19 00:00:00+00:00,528.86,529.78,517.583,519.7,1274300,26.443,26.489,25.87915,25.985,25486000,0.0,1.0
GOOG,2014-05-20 00:00:00+00:00,529.77,536.23,526.3,529.74,1779900,26.4885,26.8115,26.315,26.487,35598000,0.0,1.0
GOOG,2014-05-21 00:00:00+00:00,538.94,539.1828,531.91,532.9,1193000,26.947,26.95914,26.5955,26.645,23860000,0.0,1.0
