symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GPN,2001-01-16 00:00:00+00:00,15.0,15.0,15.0,15.0,800,3.5400691165,3.5400691165,3.5400691165,3.5400691165,3200,0.0,1.0
GPN,2001-01-17 00:00:00+00:00,15.0,15.0,15.0,15.0,30700,3.5400691165,3.5400691165,3.5400691165,3.5400691165,122800,0.0,1.0
GPN,2001-01-18 00:00:00+00:00,16.32,16.32,15.32,15.32,41800,3.8515951987,3.8515951987,3.6155905909,3.6155905909,167200,0.0,1.0
GPN,2001-01-19 00:00:00+00:00,17.08,17.08,16.48,16.48,14900,4.0309587006,4.0309587006,3.8893559359,3.8893559359,59600,0.0,1.0
GPN,2001-01-22 00:00:00+00:00,18.16,18.32,17.0,17.0,36700,4.285843677,4.3236044142,4.012078332,4.012078332,146800,0.0,1.0
GPN,2001-01-23 00:00:00+00:00,18.48,19.08,18.0,18.0,19000,4.3613651515,4.5029679161,4.2480829398,4.2480829398,76000,0.0,1.0
GPN,2001-01-24 00:00:00+00:00,18.16,18.32,18.16,18.32,140000,4.285843677,4.3236044142,4.285843677,4.3236044142,560000,0.0,1.0
GPN,2001-01-25 00:00:00+00:00,18.48,18.48,18.32,18.4,35800,4.3613651515,4.3613651515,4.3236044142,4.3424847829,143200,0.0,1.0
GPN,2001-01-26 00:00:00+00:00,18.32,18.36,18.32,18.32,20500,4.3236044142,4.3330445985,4.3236044142,4.3236044142,82000,0.0,1.0
GPN,2001-01-29 00:00:00+00:00,18.7,18.75,18.4,18.52,65500,4.4132861652,4.4250863956,4.3424847829,4.3708053358,262000,0.0,1.0
GPN,2001-01-30 00:00:00+00:00,18.6,18.7,18.35,18.7,84800,4.3896857044,4.4132861652,4.3306845525,4.4132861652,339200,0.0,1.0
GPN,2001-01-31 00:00:00+00:00,18.75,19.05,18.7,18.7,81500,4.4250863956,4.4958877779,4.4132861652,4.4132861652,326000,0.0,1.0
GPN,2001-02-01 00:00:00+00:00,20.9,21.2,18.76,19.0,639200,4.9324963023,5.0032976846,4.4274464417,4.4840875475,2556800,0.0,1.0
GPN,2001-02-02 00:00:00+00:00,20.83,21.0,20.6,20.75,198900,4.9159759797,4.956096763,4.8616949199,4.8970956111,795600,0.0,1.0
GPN,2001-02-05 00:00:00+00:00,19.97,21.45,19.92,20.85,161200,4.713012017,5.0622988365,4.7012117867,4.9206960719,644800,0.0,1.0
GPN,2001-02-06 00:00:00+00:00,19.75,20.02,19.75,19.9,334700,4.6610910033,4.7248122474,4.6610910033,4.6964916945,1338800,0.0,1.0
GPN,2001-02-07 00:00:00+00:00,20.0,20.0,19.65,19.7,337600,4.7200921553,4.7200921553,4.6374905426,4.6492907729,1350400,0.0,1.0
GPN,2001-02-08 00:00:00+00:00,19.5,20.16,19.5,20.0,144700,4.6020898514,4.7578528925,4.6020898514,4.7200921553,578800,0.0,1.0
GPN,2001-02-09 00:00:00+00:00,19.75,19.75,19.5,19.5,110400,4.6610910033,4.6610910033,4.6020898514,4.6020898514,441600,0.0,1.0
GPN,2001-02-12 00:00:00+00:00,19.3,19.75,19.3,19.75,81800,4.5548889298,4.6610910033,4.5548889298,4.6610910033,327200,0.0,1.0
GPN,2001-02-13 00:00:00+00:00,19.25,19.54,19.25,19.3,162200,4.5430886995,4.6115300357,4.5430886995,4.5548889298,648800,0.0,1.0
GPN,2001-02-14 00:00:00+00:00,19.08,19.25,19.07,19.25,33900,4.5029679161,4.5430886995,4.5006078701,4.5430886995,135600,0.0,1.0
GPN,2001-02-15 00:00:00+00:00,18.3,19.15,18.3,19.1,113600,4.3188843221,4.5194882387,4.3188843221,4.5076880083,454400,0.0,1.0
GPN,2001-02-16 00:00:00+00:00,18.07,18.1,17.4,18.1,106800,4.2646032623,4.2716834005,4.1064801751,4.2716834005,427200,0.0,1.0
GPN,2001-02-20 00:00:00+00:00,18.09,18.15,17.81,18.07,250100,4.2693233544,4.2834836309,4.2032420643,4.2646032623,1000400,0.0,1.0
GPN,2001-02-21 00:00:00+00:00,18.08,18.09,17.9,18.09,110900,4.2669633084,4.2693233544,4.224482479,4.2693233544,443600,0.0,1.0
GPN,2001-02-22 00:00:00+00:00,18.03,18.14,17.9,18.08,155900,4.255163078,4.2811235848,4.224482479,4.2669633084,623600,0.0,1.0
GPN,2001-02-23 00:00:00+00:00,18.45,18.7,18.0,18.1,305700,4.3542850132,4.4132861652,4.2480829398,4.2716834005,1222800,0.0,1.0
GPN,2001-02-26 00:00:00+00:00,19.0,19.12,18.5,18.5,295600,4.4840875475,4.5124081004,4.3660852436,4.3660852436,1182400,0.0,1.0
GPN,2001-02-27 00:00:00+00:00,18.9,19.0,18.9,19.0,172500,4.4604870867,4.4840875475,4.4604870867,4.4840875475,690000,0.0,1.0
GPN,2001-02-28 00:00:00+00:00,19.0,19.0,18.85,18.9,81500,4.4840875475,4.4840875475,4.4486868563,4.4604870867,326000,0.0,1.0
GPN,2001-03-01 00:00:00+00:00,18.7,18.9,18.7,18.9,38800,4.4132861652,4.4604870867,4.4132861652,4.4604870867,155200,0.0,1.0
GPN,2001-03-02 00:00:00+00:00,18.76,18.81,18.7,18.75,209200,4.4274464417,4.439246672,4.4132861652,4.4250863956,836800,0.0,1.0
GPN,2001-03-05 00:00:00+00:00,19.01,19.05,18.75,18.75,100700,4.4864475936,4.4958877779,4.4250863956,4.4250863956,402800,0.0,1.0
GPN,2001-03-06 00:00:00+00:00,18.8,19.1,18.8,19.01,152500,4.436886626,4.5076880083,4.436886626,4.4864475936,610000,0.0,1.0
GPN,2001-03-07 00:00:00+00:00,18.99,18.99,18.8,18.8,22400,4.4817275014,4.4817275014,4.436886626,4.436886626,89600,0.0,1.0
GPN,2001-03-08 00:00:00+00:00,18.8,18.98,18.8,18.98,52900,4.436886626,4.4793674554,4.436886626,4.4793674554,211600,0.0,1.0
GPN,2001-03-09 00:00:00+00:00,18.78,18.81,18.7,18.8,67400,4.4321665338,4.439246672,4.4132861652,4.436886626,269600,0.0,1.0
GPN,2001-03-12 00:00:00+00:00,18.7,18.9,18.65,18.78,26600,4.4132861652,4.4604870867,4.4014859348,4.4321665338,106400,0.0,1.0
GPN,2001-03-13 00:00:00+00:00,18.45,18.85,18.45,18.85,167900,4.3542850132,4.4486868563,4.3542850132,4.4486868563,671600,0.0,1.0
GPN,2001-03-14 00:00:00+00:00,17.9,18.55,17.87,18.45,113900,4.224482479,4.377885474,4.2174023407,4.3542850132,455600,0.0,1.0
GPN,2001-03-15 00:00:00+00:00,17.43,17.8,17.15,17.8,290100,4.1135603133,4.2008820182,4.0474790232,4.2008820182,1160400,0.0,1.0
GPN,2001-03-16 00:00:00+00:00,17.35,17.8,17.35,17.55,100700,4.0946799447,4.2008820182,4.0946799447,4.1418808663,402800,0.0,1.0
GPN,2001-03-19 00:00:00+00:00,17.2,17.75,17.15,17.15,293400,4.0592792535,4.1890817878,4.0474790232,4.0474790232,1173600,0.0,1.0
GPN,2001-03-20 00:00:00+00:00,17.1,17.56,17.0,17.3,55500,4.0356787928,4.1442409123,4.012078332,4.0828797143,222000,0.0,1.0
GPN,2001-03-21 00:00:00+00:00,16.65,17.2,16.25,17.1,33800,3.9294767193,4.0592792535,3.8350748762,4.0356787928,135200,0.0,1.0
GPN,2001-03-22 00:00:00+00:00,17.85,17.85,17.0,17.25,531400,4.2126822486,4.2126822486,4.012078332,4.0710794839,2125600,0.0,1.0
GPN,2001-03-23 00:00:00+00:00,18.3,18.3,17.9,17.9,189400,4.3188843221,4.3188843221,4.224482479,4.224482479,757600,0.0,1.0
GPN,2001-03-26 00:00:00+00:00,18.5,18.5,18.28,18.45,51900,4.3660852436,4.3660852436,4.3141642299,4.3542850132,207600,0.0,1.0
GPN,2001-03-27 00:00:00+00:00,18.35,18.45,18.13,18.4,108800,4.3306845525,4.3542850132,4.2787635388,4.3424847829,435200,0.0,1.0
GPN,2001-03-28 00:00:00+00:00,17.85,18.4,17.85,18.3,105200,4.2126822486,4.3424847829,4.2126822486,4.3188843221,420800,0.0,1.0
GPN,2001-03-29 00:00:00+00:00,17.3,17.8,17.3,17.8,133800,4.0828797143,4.2008820182,4.0828797143,4.2008820182,535200,0.0,1.0
GPN,2001-03-30 00:00:00+00:00,18.5,18.5,17.3,17.3,327200,4.3660852436,4.3660852436,4.0828797143,4.0828797143,1308800,0.0,1.0
GPN,2001-04-02 00:00:00+00:00,17.8,18.4,17.7,18.4,171400,4.2008820182,4.3424847829,4.1772815574,4.3424847829,685600,0.0,1.0
GPN,2001-04-03 00:00:00+00:00,18.0,18.0,17.45,17.8,48200,4.2480829398,4.2480829398,4.1182804055,4.2008820182,192800,0.0,1.0
GPN,2001-04-04 00:00:00+00:00,17.99,18.0,17.75,17.85,151500,4.2457228937,4.2480829398,4.1890817878,4.2126822486,606000,0.0,1.0
GPN,2001-04-05 00:00:00+00:00,18.12,18.12,17.93,18.0,157300,4.2764034927,4.2764034927,4.2315626172,4.2480829398,629200,0.0,1.0
GPN,2001-04-06 00:00:00+00:00,18.85,18.94,18.0,18.07,119000,4.4486868563,4.469927271,4.2480829398,4.2646032623,476000,0.0,1.0
GPN,2001-04-09 00:00:00+00:00,18.61,18.96,18.45,18.86,28400,4.3920457505,4.4746473632,4.3542850132,4.4510469024,113600,0.0,1.0
GPN,2001-04-10 00:00:00+00:00,19.05,19.1,18.71,18.71,238600,4.4958877779,4.5076880083,4.4156462113,4.4156462113,954400,0.0,1.0
GPN,2001-04-11 00:00:00+00:00,20.9,20.9,19.5,19.5,392500,4.9324963023,4.9324963023,4.6020898514,4.6020898514,1570000,0.0,1.0
GPN,2001-04-12 00:00:00+00:00,22.35,22.35,20.67,20.67,172300,5.2747029835,5.2747029835,4.8782152425,4.8782152425,689200,0.0,1.0
GPN,2001-04-16 00:00:00+00:00,21.5,22.3,21.46,22.3,92000,5.0740990669,5.2629027531,5.0646588826,5.2629027531,368000,0.0,1.0
GPN,2001-04-17 00:00:00+00:00,21.5,21.75,21.06,21.4,145300,5.0740990669,5.1331002189,4.9702570395,5.0504986061,581200,0.0,1.0
GPN,2001-04-18 00:00:00+00:00,21.28,21.41,21.0,21.0,71300,5.0221780532,5.0528586522,4.956096763,4.956096763,285200,0.0,1.0
GPN,2001-04-19 00:00:00+00:00,21.24,21.28,20.66,21.18,30400,5.0127378689,5.0221780532,4.8758551964,4.9985775924,121600,0.0,1.0
GPN,2001-04-20 00:00:00+00:00,21.0,21.8,20.95,21.4,284900,4.956096763,5.1449004493,4.9442965327,5.0504986061,1139600,0.0,1.0
GPN,2001-04-23 00:00:00+00:00,20.9,21.1,20.85,21.1,236600,4.9324963023,4.9796972238,4.9206960719,4.9796972238,946400,0.0,1.0
GPN,2001-04-24 00:00:00+00:00,20.9,20.93,20.75,20.88,156500,4.9324963023,4.9395764405,4.8970956111,4.9277762101,626000,0.0,1.0
GPN,2001-04-25 00:00:00+00:00,21.05,21.15,20.9,20.9,81500,4.9678969934,4.9914974542,4.9324963023,4.9324963023,326000,0.0,1.0
GPN,2001-04-26 00:00:00+00:00,20.98,21.15,20.91,21.06,117300,4.9513766709,4.9914974542,4.9348563483,4.9702570395,469200,0.0,1.0
GPN,2001-04-27 00:00:00+00:00,21.0,21.01,20.92,20.99,137300,4.956096763,4.9584568091,4.9372163944,4.953736717,549200,0.0,1.0
GPN,2001-04-30 00:00:00+00:00,21.15,21.6,20.75,20.8,236700,4.9914974542,5.0976995277,4.8970956111,4.9088958415,946800,0.0,1.0
GPN,2001-05-01 00:00:00+00:00,23.86,24.38,21.15,21.15,222300,5.6310699412,5.7537923373,4.9914974542,4.9914974542,889200,0.0,1.0
GPN,2001-05-02 00:00:00+00:00,24.46,24.95,23.2,24.0,136900,5.7726727059,5.8883149637,5.4753069001,5.6641105863,547600,0.0,1.0
GPN,2001-05-03 00:00:00+00:00,24.0,24.4,23.8,24.3,72300,5.6641105863,5.7585124294,5.6169096648,5.7349119687,289200,0.0,1.0
GPN,2001-05-04 00:00:00+00:00,23.98,24.2,23.8,23.85,130400,5.6593904942,5.7113115079,5.6169096648,5.6287098952,521600,0.0,1.0
GPN,2001-05-07 00:00:00+00:00,24.39,24.5,24.1,24.1,44000,5.7561523834,5.7821128902,5.6877110471,5.6877110471,176000,0.0,1.0
GPN,2001-05-08 00:00:00+00:00,25.17,25.17,24.5,24.5,230000,5.9402359774,5.9402359774,5.7821128902,5.7821128902,920000,0.0,1.0
GPN,2001-05-09 00:00:00+00:00,24.25,25.1,24.25,25.1,53300,5.7231117383,5.9237156549,5.7231117383,5.9237156549,213200,0.0,1.0
GPN,2001-05-10 00:00:00+00:00,23.69,24.15,23.69,24.05,40400,5.5909491579,5.6995112775,5.5909491579,5.6759108167,161600,0.0,1.0
GPN,2001-05-11 00:00:00+00:00,23.01,23.79,23.0,23.79,17900,5.4304660246,5.6145496187,5.4281059786,5.6145496187,71600,0.0,1.0
GPN,2001-05-14 00:00:00+00:00,24.07,24.1,22.53,23.15,34100,5.6806309089,5.6877110471,5.3171838129,5.4635066697,136400,0.0,1.0
GPN,2001-05-15 00:00:00+00:00,24.7,24.99,24.15,24.15,61200,5.8387539961,5.9073061685,5.7087412553,5.7087412553,244800,0.04,1.0
GPN,2001-05-16 00:00:00+00:00,25.05,25.2,24.5,24.65,77400,5.9214893766,5.9569473968,5.7914766358,5.826934656,309600,0.0,1.0
GPN,2001-05-17 00:00:00+00:00,26.1,26.2,25.12,25.12,69700,6.1696955181,6.1933341983,5.9380364527,5.9380364527,278800,0.0,1.0
GPN,2001-05-18 00:00:00+00:00,26.0,26.2,25.97,26.0,29900,6.146056838,6.1933341983,6.1389652339,6.146056838,119600,0.0,1.0
GPN,2001-05-21 00:00:00+00:00,26.3,26.3,25.7,25.9,28400,6.2169728784,6.2169728784,6.0751407975,6.1224181578,113600,0.0,1.0
GPN,2001-05-22 00:00:00+00:00,26.5,27.7,26.23,26.5,151700,6.2642502387,6.5479144005,6.2004258023,6.2642502387,606800,0.0,1.0
GPN,2001-05-23 00:00:00+00:00,25.9,26.5,25.85,26.45,80800,6.1224181578,6.2642502387,6.1105988178,6.2524308986,323200,0.0,1.0
GPN,2001-05-24 00:00:00+00:00,25.1,25.9,24.65,25.9,93800,5.9333087167,6.1224181578,5.826934656,6.1224181578,375200,0.0,1.0
