symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GRMN,2000-12-08 00:00:00+00:00,20.0,22.88,15.13,15.81,8574900,5.1622564734,5.9056214055,3.9052470221,4.0807637422,17149800,0.0,1.0
GRMN,2000-12-11 00:00:00+00:00,21.19,22.75,19.88,22.69,1459600,5.4694107335,5.8720667385,5.1312829345,5.856579969,2919200,0.0,1.0
GRMN,2000-12-12 00:00:00+00:00,19.88,21.25,19.38,21.22,538700,5.1312829345,5.4848975029,5.0022265227,5.4771541182,1077400,0.0,1.0
GRMN,2000-12-13 00:00:00+00:00,19.88,20.88,19.75,20.75,211200,5.1312829345,5.3893957582,5.0977282674,5.3558410911,422400,0.0,1.0
GRMN,2000-12-14 00:00:00+00:00,20.13,20.25,19.88,19.98,132700,5.1958111404,5.2267846793,5.1312829345,5.1570942169,265400,0.0,1.0
GRMN,2000-12-15 00:00:00+00:00,20.13,20.25,18.0,20.25,475100,5.1958111404,5.2267846793,4.646030826,5.2267846793,950200,0.0,1.0
GRMN,2000-12-18 00:00:00+00:00,20.06,20.5,19.44,20.5,241800,5.1777432428,5.2913128852,5.0177132921,5.2913128852,483600,0.0,1.0
GRMN,2000-12-19 00:00:00+00:00,19.63,20.06,19.25,20.05,228700,5.0667547286,5.1777432428,4.9686718556,5.1751621145,457400,0.0,1.0
GRMN,2000-12-20 00:00:00+00:00,18.25,19.63,18.0,19.38,614400,4.7105590319,5.0667547286,4.646030826,5.0022265227,1228800,0.0,1.0
GRMN,2000-12-21 00:00:00+00:00,18.19,18.5,17.75,18.06,508700,4.6950722625,4.7750872379,4.5815026201,4.6615175954,1017400,0.0,1.0
GRMN,2000-12-22 00:00:00+00:00,19.25,19.38,18.5,18.63,208000,4.9686718556,5.0022265227,4.7750872379,4.8086419049,416000,0.0,1.0
GRMN,2000-12-26 00:00:00+00:00,19.0,19.38,18.88,19.31,377000,4.9041436497,5.0022265227,4.8731701109,4.984158625,754000,0.0,1.0
GRMN,2000-12-27 00:00:00+00:00,18.56,19.13,18.25,18.91,180700,4.7905740073,4.9376983168,4.7105590319,4.8809134956,361400,0.0,1.0
GRMN,2000-12-28 00:00:00+00:00,18.63,19.38,18.31,18.63,524300,4.8086419049,5.0022265227,4.7260458014,4.8086419049,1048600,0.0,1.0
GRMN,2000-12-29 00:00:00+00:00,19.75,20.13,18.75,19.0,116400,5.0977282674,5.1958111404,4.8396154438,4.9041436497,232800,0.0,1.0
GRMN,2001-01-02 00:00:00+00:00,19.25,20.25,18.69,20.17,165200,4.9686718556,5.2267846793,4.8241286744,5.2061356534,330400,0.0,1.0
GRMN,2001-01-03 00:00:00+00:00,17.63,19.38,17.5,18.78,272700,4.5505290813,5.0022265227,4.5169744142,4.8473588285,545400,0.0,1.0
