symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HAL,2000-01-03 00:00:00+00:00,38.31,40.44,37.81,40.44,1745400,13.5035108653,14.2542933802,13.3272708384,14.2542933802,3490800,0.0,1.0
HAL,2000-01-04 00:00:00+00:00,38.5,39.0,37.56,37.56,2484100,13.5704820756,13.7467221025,13.2391508249,13.2391508249,4968200,0.0,1.0
HAL,2000-01-05 00:00:00+00:00,37.25,37.94,36.56,37.5,3762300,13.1298820082,13.3730932454,12.886670771,13.2180020217,7524600,0.0,1.0
HAL,2000-01-06 00:00:00+00:00,38.31,38.5,36.81,36.81,4434300,13.5035108653,13.5704820756,12.9747907845,12.9747907845,8868600,0.0,1.0
HAL,2000-01-07 00:00:00+00:00,40.69,40.88,38.56,39.25,4368700,14.3424133936,14.4093846039,13.5916308788,13.834842116,8737400,0.0,1.0
HAL,2000-01-10 00:00:00+00:00,39.06,41.31,38.31,41.31,2720000,13.7678709058,14.5609510271,13.5035108653,14.5609510271,5440000,0.0,1.0
HAL,2000-01-11 00:00:00+00:00,40.5,40.5,38.75,39.44,2876000,14.2754421834,14.2754421834,13.658602089,13.9018133262,5752000,0.0,1.0
HAL,2000-01-12 00:00:00+00:00,37.75,40.5,37.69,40.0,2920300,13.3061220351,14.2754421834,13.2849732319,14.0992021564,5840600,0.0,1.0
HAL,2000-01-13 00:00:00+00:00,38.25,39.25,38.0,38.31,3852600,13.4823620621,13.834842116,13.3942420486,13.5035108653,7705200,0.0,1.0
HAL,2000-01-14 00:00:00+00:00,38.56,39.19,37.44,38.5,3541500,13.5916308788,13.8136933128,13.1968532184,13.5704820756,7083000,0.0,1.0
HAL,2000-01-18 00:00:00+00:00,41.69,42.25,38.25,38.31,6354200,14.6948934475,14.8922822777,13.4823620621,13.5035108653,12708400,0.0,1.0
HAL,2000-01-19 00:00:00+00:00,42.19,42.5,41.06,41.69,3856000,14.8711334745,14.9804022912,14.4728310136,14.6948934475,7712000,0.0,1.0
HAL,2000-01-20 00:00:00+00:00,40.81,42.19,40.81,42.19,4899000,14.3847110001,14.8711334745,14.3847110001,14.8711334745,9798000,0.0,1.0
HAL,2000-01-21 00:00:00+00:00,42.38,43.5,41.31,41.5,3227800,14.9381046847,15.3328823451,14.5609510271,14.6279222373,6455600,0.0,1.0
HAL,2000-01-24 00:00:00+00:00,39.88,43.5,39.31,42.38,3026100,14.05690455,15.3328823451,13.8559909192,14.9381046847,6052200,0.0,1.0
HAL,2000-01-25 00:00:00+00:00,40.0,41.44,39.13,39.94,2874000,14.0992021564,14.6067734341,13.7925445095,14.0780533532,5748000,0.0,1.0
HAL,2000-01-26 00:00:00+00:00,38.69,41.88,38.44,41.0,4111500,13.6374532858,14.7618646578,13.5493332723,14.4516822103,8223000,0.0,1.0
HAL,2000-01-27 00:00:00+00:00,37.5,39.94,36.63,39.0,3352000,13.2180020217,14.0780533532,12.9113443748,13.7467221025,6704000,0.0,1.0
HAL,2000-01-28 00:00:00+00:00,35.81,37.63,35.25,36.75,3666700,12.6223107305,13.2638244287,12.4249219004,12.9536419812,7333400,0.0,1.0
HAL,2000-01-31 00:00:00+00:00,36.13,36.5,35.5,35.88,2984700,12.7351043478,12.8655219677,12.5130419138,12.6469843343,5969400,0.0,1.0
HAL,2000-02-01 00:00:00+00:00,36.38,36.88,35.56,36.31,2995600,12.8232243613,12.9994643882,12.5341907171,12.7985507575,5991200,0.0,1.0
HAL,2000-02-02 00:00:00+00:00,37.13,37.38,36.63,37.25,3056700,13.0875844017,13.1757044152,12.9113443748,13.1298820082,6113400,0.0,1.0
HAL,2000-02-03 00:00:00+00:00,37.38,37.56,36.56,37.38,2135900,13.1757044152,13.2391508249,12.886670771,13.1757044152,4271800,0.0,1.0
HAL,2000-02-04 00:00:00+00:00,36.81,37.31,36.31,36.88,2342100,12.9747907845,13.1510308114,12.7985507575,12.9994643882,4684200,0.0,1.0
HAL,2000-02-07 00:00:00+00:00,37.38,38.25,36.56,36.81,1941700,13.1757044152,13.4823620621,12.886670771,12.9747907845,3883400,0.0,1.0
HAL,2000-02-08 00:00:00+00:00,36.88,38.38,36.44,38.38,2279800,12.9994643882,13.5281844691,12.8443731645,13.5281844691,4559600,0.0,1.0
HAL,2000-02-09 00:00:00+00:00,35.5,37.38,34.63,36.63,3264400,12.5130419138,13.1757044152,12.2063842669,12.9113443748,6528800,0.0,1.0
HAL,2000-02-10 00:00:00+00:00,35.44,36.0,34.94,35.06,3803200,12.4918931106,12.6892819408,12.3156530836,12.3579506901,7606400,0.0,1.0
HAL,2000-02-11 00:00:00+00:00,34.25,35.94,34.0,35.88,3103600,12.0724418464,12.6681331376,11.984321833,12.6469843343,6207200,0.0,1.0
HAL,2000-02-14 00:00:00+00:00,35.94,36.25,33.69,34.75,3095600,12.6681331376,12.7774019543,11.8750530163,12.2486818734,6191200,0.0,1.0
HAL,2000-02-15 00:00:00+00:00,38.5,38.56,35.94,36.0,3989300,13.5704820756,13.5916308788,12.6681331376,12.6892819408,7978600,0.0,1.0
HAL,2000-02-16 00:00:00+00:00,39.13,39.75,38.63,39.0,3824200,13.7925445095,14.011082143,13.6163044826,13.7467221025,7648400,0.0,1.0
HAL,2000-02-17 00:00:00+00:00,38.5,39.38,37.19,38.5,2701500,13.5704820756,13.880664523,13.1087332049,13.5704820756,5403000,0.0,1.0
HAL,2000-02-18 00:00:00+00:00,36.69,38.38,36.56,38.0,1796900,12.932493178,13.5281844691,12.886670771,13.3942420486,3593800,0.0,1.0
HAL,2000-02-22 00:00:00+00:00,35.5,36.75,35.25,36.63,1893100,12.5130419138,12.9536419812,12.4249219004,12.9113443748,3786200,0.0,1.0
HAL,2000-02-23 00:00:00+00:00,34.31,35.69,34.31,35.25,1844400,12.0935906497,12.5800131241,12.0935906497,12.4249219004,3688800,0.0,1.0
HAL,2000-02-24 00:00:00+00:00,35.44,36.56,34.38,34.5,3161600,12.4918931106,12.886670771,12.1182642535,12.1605618599,6323200,0.0,1.0
HAL,2000-02-25 00:00:00+00:00,33.69,35.56,33.44,35.44,3724000,11.8750530163,12.5341907171,11.7869330028,12.4918931106,7448000,0.0,1.0
HAL,2000-02-28 00:00:00+00:00,35.0,35.31,33.5,33.81,2634700,12.3368018869,12.4460707036,11.808081806,11.9173506227,5269400,0.0,1.0
HAL,2000-02-29 00:00:00+00:00,38.19,38.44,35.13,35.38,3912100,13.5052732656,13.5936817054,12.4231539623,12.5115624021,7824200,0.125,1.0
HAL,2000-03-01 00:00:00+00:00,40.94,41.19,37.56,38.19,4952600,14.4777661035,14.5661745433,13.2824839973,13.5052732656,9905200,0.0,1.0
HAL,2000-03-02 00:00:00+00:00,42.19,42.69,40.44,40.81,4768100,14.9198083026,15.0966251822,14.3009492239,14.4317937148,9536200,0.0,1.0
HAL,2000-03-03 00:00:00+00:00,40.88,42.19,39.25,42.19,3875700,14.456548078,14.9198083026,13.8801250504,14.9198083026,7751400,0.0,1.0
HAL,2000-03-06 00:00:00+00:00,41.25,42.13,41.19,42.0,2872700,14.5873925689,14.898590277,14.5661745433,14.8526178883,5745400,0.0,1.0
HAL,2000-03-07 00:00:00+00:00,44.5,45.5,41.31,41.31,6486600,15.7367022864,16.0903360457,14.6086105944,14.6086105944,12973200,0.0,1.0
HAL,2000-03-08 00:00:00+00:00,39.88,42.5,39.75,42.5,5965000,14.1029143187,15.0294347679,14.05694193,15.0294347679,11930000,0.0,1.0
HAL,2000-03-09 00:00:00+00:00,40.13,40.94,38.88,40.88,3038500,14.1913227585,14.4777661035,13.7492805595,14.456548078,6077000,0.0,1.0
HAL,2000-03-10 00:00:00+00:00,39.56,41.81,39.31,39.5,2182400,13.9897515158,14.7854274741,13.901343076,13.9685334902,4364800,0.0,1.0
HAL,2000-03-13 00:00:00+00:00,38.88,41.44,38.25,38.38,2587400,13.7492805595,14.6545829831,13.5264912911,13.5724636799,5174800,0.0,1.0
HAL,2000-03-14 00:00:00+00:00,38.15,39.19,37.06,38.56,2922400,13.4911279152,13.8589070248,13.1056671176,13.6361177565,5844800,0.0,1.0
HAL,2000-03-15 00:00:00+00:00,37.88,39.13,37.0,38.44,1718300,13.3956468002,13.8376889993,13.0844490921,13.5936817054,3436600,0.0,1.0
HAL,2000-03-16 00:00:00+00:00,39.38,40.0,36.75,37.13,3028400,13.9260974391,14.1453503698,12.9960406523,13.1304214808,6056800,0.0,1.0
HAL,2000-03-17 00:00:00+00:00,38.38,39.0,37.81,38.56,3231500,13.5724636799,13.7917166106,13.3708924371,13.6361177565,6463000,0.0,1.0
HAL,2000-03-20 00:00:00+00:00,36.19,37.56,35.88,37.5,3868100,12.7980057471,13.2824839973,12.6883792817,13.2612659717,7736200,0.0,1.0
HAL,2000-03-21 00:00:00+00:00,37.5,37.81,36.56,36.88,5147100,13.2612659717,13.3708924371,12.928850238,13.042013041,10294200,0.0,1.0
HAL,2000-03-22 00:00:00+00:00,38.69,39.5,37.75,38.25,6013500,13.6820901452,13.9685334902,13.3496744115,13.5264912911,12027000,0.0,1.0
HAL,2000-03-23 00:00:00+00:00,37.88,38.75,37.25,38.38,4305600,13.3956468002,13.7033081708,13.1728575319,13.5724636799,8611200,0.0,1.0
HAL,2000-03-24 00:00:00+00:00,39.0,40.12,38.25,38.94,3593600,13.7917166106,14.1877864209,13.5264912911,13.770498585,7187200,0.0,1.0
HAL,2000-03-27 00:00:00+00:00,38.13,39.75,37.25,38.0,3490300,13.48405524,14.05694193,13.1728575319,13.4380828513,6980600,0.0,1.0
HAL,2000-03-28 00:00:00+00:00,37.69,39.38,37.0,37.56,5176000,13.328456386,13.9260974391,13.0844490921,13.2824839973,10352000,0.0,1.0
HAL,2000-03-29 00:00:00+00:00,40.25,40.44,36.75,37.25,4944700,14.2337588096,14.3009492239,12.9960406523,13.1728575319,9889400,0.0,1.0
HAL,2000-03-30 00:00:00+00:00,40.56,41.69,39.56,40.13,4372300,14.343385275,14.742991423,13.9897515158,14.1913227585,8744600,0.0,1.0
HAL,2000-03-31 00:00:00+00:00,41.13,41.44,39.63,40.81,2498800,14.5449565178,14.6545829831,14.0145058789,14.4317937148,4997600,0.0,1.0
HAL,2000-04-03 00:00:00+00:00,42.5,42.63,40.63,41.0,2452600,15.0294347679,15.0754071566,14.3681396382,14.4989841291,4905200,0.0,1.0
HAL,2000-04-04 00:00:00+00:00,40.0,43.25,39.13,42.5,4173800,14.1453503698,15.2946600874,13.8376889993,15.0294347679,8347600,0.0,1.0
HAL,2000-04-05 00:00:00+00:00,38.0,40.25,37.75,40.19,2707500,13.4380828513,14.2337588096,13.3496744115,14.2125407841,5415000,0.0,1.0
HAL,2000-04-06 00:00:00+00:00,39.19,39.75,38.13,38.25,3241300,13.8589070248,14.05694193,13.48405524,13.5264912911,6482600,0.0,1.0
HAL,2000-04-07 00:00:00+00:00,39.63,41.31,39.31,40.19,4632400,14.0145058789,14.6086105944,13.901343076,14.2125407841,9264800,0.0,1.0
HAL,2000-04-10 00:00:00+00:00,38.31,39.63,38.19,39.63,3265200,13.5477093167,14.0145058789,13.5052732656,14.0145058789,6530400,0.0,1.0
HAL,2000-04-11 00:00:00+00:00,40.19,40.38,38.31,39.0,2446100,14.2125407841,14.2797311983,13.5477093167,13.7917166106,4892200,0.0,1.0
HAL,2000-04-12 00:00:00+00:00,40.81,41.25,39.88,40.63,2172000,14.4317937148,14.5873925689,14.1029143187,14.3681396382,4344000,0.0,1.0
HAL,2000-04-13 00:00:00+00:00,39.31,41.44,39.25,40.56,2217800,13.901343076,14.6545829831,13.8801250504,14.343385275,4435600,0.0,1.0
HAL,2000-04-14 00:00:00+00:00,38.88,41.0,38.38,39.56,2603200,13.7492805595,14.4989841291,13.5724636799,13.9897515158,5206400,0.0,1.0
HAL,2000-04-17 00:00:00+00:00,38.44,38.88,37.5,38.44,2843800,13.5936817054,13.7492805595,13.2612659717,13.5936817054,5687600,0.0,1.0
HAL,2000-04-18 00:00:00+00:00,41.69,42.0,38.38,39.0,3619400,14.742991423,14.8526178883,13.5724636799,13.7917166106,7238800,0.0,1.0
HAL,2000-04-19 00:00:00+00:00,41.44,42.5,40.06,41.44,2602000,14.6545829831,15.0294347679,14.1665683954,14.6545829831,5204000,0.0,1.0
HAL,2000-04-20 00:00:00+00:00,42.25,42.5,41.13,41.56,2501500,14.9410263281,15.0294347679,14.5449565178,14.6970190343,5003000,0.0,1.0
HAL,2000-04-24 00:00:00+00:00,41.63,43.38,40.44,42.88,2149100,14.7217733974,15.3406324761,14.3009492239,15.1638155965,4298200,0.0,1.0
HAL,2000-04-25 00:00:00+00:00,41.44,43.0,40.19,43.0,2976700,14.6545829831,15.2062516476,14.2125407841,15.2062516476,5953400,0.0,1.0
HAL,2000-04-26 00:00:00+00:00,43.63,43.63,40.44,41.75,4061900,15.4290409159,15.4290409159,14.3009492239,14.7642094485,8123800,0.0,1.0
HAL,2000-04-27 00:00:00+00:00,45.5,46.44,42.5,43.13,6211200,16.0903360457,16.4227517794,15.0294347679,15.2522240363,12422400,0.0,1.0
HAL,2000-04-28 00:00:00+00:00,44.19,45.44,44.19,45.06,2726800,15.6270758211,16.0691180201,15.6270758211,15.9347371916,5453600,0.0,1.0
HAL,2000-05-01 00:00:00+00:00,44.25,45.06,43.06,44.06,2564600,15.6482938466,15.9347371916,15.2274696731,15.5811034324,5129200,0.0,1.0
