symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HAS,2000-01-03 00:00:00+00:00,18.37,18.86,18.3,18.74,919500,10.5177364451,10.7982857569,10.477657972,10.729579803,919500,0.0,1.0
HAS,2000-01-04 00:00:00+00:00,17.18,18.49,17.12,18.3,1595100,9.8364024021,10.586442399,9.8020494251,10.477657972,1595100,0.0,1.0
HAS,2000-01-05 00:00:00+00:00,16.37,17.12,16.31,17.12,1963700,9.3726372132,9.8020494251,9.3382842362,9.8020494251,1963700,0.0,1.0
HAS,2000-01-06 00:00:00+00:00,15.94,16.37,15.75,16.37,3379300,9.1264408783,9.3726372132,9.0176564513,9.3726372132,3379300,0.0,1.0
HAS,2000-01-07 00:00:00+00:00,16.5,16.69,15.81,15.94,2481600,9.4470686632,9.5558530903,9.0520094282,9.1264408783,2481600,0.0,1.0
HAS,2000-01-10 00:00:00+00:00,17.25,17.37,16.5,16.5,1366800,9.8764808752,9.9451868291,9.4470686632,9.4470686632,1366800,0.0,1.0
HAS,2000-01-11 00:00:00+00:00,16.81,17.37,16.81,17.18,1607900,9.6245590442,9.9451868291,9.6245590442,9.8364024021,1607900,0.0,1.0
HAS,2000-01-12 00:00:00+00:00,17.06,17.31,16.87,16.93,751200,9.7676964482,9.9108338522,9.6589120211,9.6932649981,751200,0.0,1.0
HAS,2000-01-13 00:00:00+00:00,16.93,17.31,16.93,17.0,717900,9.6932649981,9.9108338522,9.6932649981,9.7333434712,717900,0.0,1.0
HAS,2000-01-14 00:00:00+00:00,16.44,17.06,16.44,17.0,834200,9.4127156863,9.7676964482,9.4127156863,9.7333434712,834200,0.0,1.0
HAS,2000-01-18 00:00:00+00:00,16.31,16.69,16.25,16.25,585800,9.3382842362,9.5558530903,9.3039312592,9.3039312592,585800,0.0,1.0
HAS,2000-01-19 00:00:00+00:00,15.94,16.44,15.81,16.31,1707900,9.1264408783,9.4127156863,9.0520094282,9.3382842362,1707900,0.0,1.0
HAS,2000-01-20 00:00:00+00:00,15.44,16.0,15.32,16.0,1500700,8.8401660703,9.1607938553,8.7714601164,9.1607938553,1500700,0.0,1.0
HAS,2000-01-21 00:00:00+00:00,15.44,16.06,15.38,15.56,1731700,8.8401660703,9.1951468322,8.8058130934,8.9088720242,1731700,0.0,1.0
