symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HBAN,2000-01-03 00:00:00+00:00,22.44,24.0,21.5,23.69,1184000,10.1440876639,10.8492916191,9.7191570755,10.7091549357,1184000,0.0,1.0
HBAN,2000-01-04 00:00:00+00:00,21.75,22.5,21.56,22.25,1327800,9.8321705298,10.1712108929,9.7462803045,10.0581974385,1327800,0.0,1.0
HBAN,2000-01-05 00:00:00+00:00,21.5,21.75,21.25,21.63,838200,9.7191570755,9.8321705298,9.6061436211,9.7779240717,838200,0.0,1.0
HBAN,2000-01-06 00:00:00+00:00,21.94,22.25,21.31,21.5,401900,9.9180607551,10.0581974385,9.6332668501,9.7191570755,401900,0.0,1.0
HBAN,2000-01-07 00:00:00+00:00,22.13,22.25,21.94,22.13,449500,10.0039509805,10.0581974385,9.9180607551,10.0039509805,449500,0.0,1.0
HBAN,2000-01-10 00:00:00+00:00,21.19,22.25,21.13,22.25,489000,9.579020392,10.0581974385,9.551897163,10.0581974385,489000,0.0,1.0
HBAN,2000-01-11 00:00:00+00:00,21.31,21.38,20.69,21.19,405300,9.6332668501,9.6649106174,9.3529934833,9.579020392,405300,0.0,1.0
HBAN,2000-01-12 00:00:00+00:00,21.31,21.88,21.06,21.06,455400,9.6332668501,9.8909375261,9.5202533958,9.5202533958,455400,0.0,1.0
HBAN,2000-01-13 00:00:00+00:00,21.56,22.23,21.25,22.0,1044100,9.7462803045,10.0491563622,9.6061436211,9.9451839842,1044100,0.0,1.0
HBAN,2000-01-14 00:00:00+00:00,21.94,22.13,21.56,21.75,800200,9.9180607551,10.0039509805,9.7462803045,9.8321705298,800200,0.0,1.0
HBAN,2000-01-18 00:00:00+00:00,21.19,22.0,20.94,21.94,892100,9.579020392,9.9451839842,9.4660069377,9.9180607551,892100,0.0,1.0
HBAN,2000-01-19 00:00:00+00:00,21.25,21.69,21.06,21.06,1050900,9.6061436211,9.8050473008,9.5202533958,9.5202533958,1050900,0.0,1.0
HBAN,2000-01-20 00:00:00+00:00,20.88,21.38,20.81,21.31,886200,9.4388837086,9.6649106174,9.4072399414,9.6332668501,886200,0.0,1.0
HBAN,2000-01-21 00:00:00+00:00,20.5,21.25,20.38,20.94,818200,9.267103258,9.6061436211,9.2128567999,9.4660069377,818200,0.0,1.0
HBAN,2000-01-24 00:00:00+00:00,20.16,20.94,20.0,20.5,453700,9.1134049601,9.4660069377,9.0410763493,9.267103258,453700,0.0,1.0
HBAN,2000-01-25 00:00:00+00:00,20.5,20.69,19.88,20.13,878200,9.267103258,9.3529934833,8.9868298912,9.0998433455,878200,0.0,1.0
HBAN,2000-01-26 00:00:00+00:00,20.75,20.75,20.5,20.5,1316400,9.3801167124,9.3801167124,9.267103258,9.267103258,1316400,0.0,1.0
HBAN,2000-01-27 00:00:00+00:00,20.56,21.31,20.31,20.81,720900,9.294226487,9.6332668501,9.1812130327,9.4072399414,720900,0.0,1.0
HBAN,2000-01-28 00:00:00+00:00,19.69,21.0,19.63,20.56,733400,8.9009396658,9.4931301667,8.8738164368,9.294226487,733400,0.0,1.0
HBAN,2000-01-31 00:00:00+00:00,21.56,22.0,19.75,19.88,1338900,9.7462803045,9.9451839842,8.9280628949,8.9868298912,1338900,0.0,1.0
HBAN,2000-02-01 00:00:00+00:00,21.25,21.31,20.69,21.19,475800,9.6061436211,9.6332668501,9.3529934833,9.579020392,475800,0.0,1.0
HBAN,2000-02-02 00:00:00+00:00,21.13,21.63,20.75,21.31,1185900,9.551897163,9.7779240717,9.3801167124,9.6332668501,1185900,0.0,1.0
HBAN,2000-02-03 00:00:00+00:00,21.94,22.0,20.88,21.13,1627100,9.9180607551,9.9451839842,9.4388837086,9.551897163,1627100,0.0,1.0
HBAN,2000-02-04 00:00:00+00:00,21.25,21.94,20.75,21.91,946000,9.6061436211,9.9180607551,9.3801167124,9.9044991406,946000,0.0,1.0
HBAN,2000-02-07 00:00:00+00:00,20.88,20.94,20.25,20.94,536200,9.4388837086,9.4660069377,9.1540898036,9.4660069377,536200,0.0,1.0
HBAN,2000-02-08 00:00:00+00:00,20.44,21.06,20.25,20.88,574600,9.2399800289,9.5202533958,9.1540898036,9.4388837086,574600,0.0,1.0
HBAN,2000-02-09 00:00:00+00:00,20.75,21.0,20.63,20.69,1131100,9.3801167124,9.4931301667,9.3258702543,9.3529934833,1131100,0.0,1.0
HBAN,2000-02-10 00:00:00+00:00,21.44,21.5,20.75,20.88,1503800,9.6920338464,9.7191570755,9.3801167124,9.4388837086,1503800,0.0,1.0
HBAN,2000-02-11 00:00:00+00:00,21.38,21.44,21.13,21.19,2200300,9.6649106174,9.6920338464,9.551897163,9.579020392,2200300,0.0,1.0
HBAN,2000-02-14 00:00:00+00:00,21.11,21.5,21.0,21.31,1235800,9.5428560866,9.7191570755,9.4931301667,9.6332668501,1235800,0.0,1.0
HBAN,2000-02-15 00:00:00+00:00,21.56,22.0,21.06,21.19,470200,9.7462803045,9.9451839842,9.5202533958,9.579020392,470200,0.0,1.0
HBAN,2000-02-16 00:00:00+00:00,21.19,21.63,20.94,21.63,374000,9.579020392,9.7779240717,9.4660069377,9.7779240717,374000,0.0,1.0
HBAN,2000-02-17 00:00:00+00:00,21.13,21.75,21.13,21.63,852200,9.551897163,9.8321705298,9.551897163,9.7779240717,852200,0.0,1.0
HBAN,2000-02-18 00:00:00+00:00,20.63,21.09,20.63,20.75,1771800,9.3258702543,9.5338150103,9.3258702543,9.3801167124,1771800,0.0,1.0
HBAN,2000-02-22 00:00:00+00:00,20.91,21.5,20.5,20.5,791100,9.4524453231,9.7191570755,9.267103258,9.267103258,791100,0.0,1.0
HBAN,2000-02-23 00:00:00+00:00,20.81,21.25,20.5,20.88,808900,9.4072399414,9.6061436211,9.267103258,9.4388837086,808900,0.0,1.0
HBAN,2000-02-24 00:00:00+00:00,21.0,21.06,20.38,20.81,1901900,9.4931301667,9.5202533958,9.2128567999,9.4072399414,1901900,0.0,1.0
HBAN,2000-02-25 00:00:00+00:00,20.75,21.19,20.63,20.88,2401300,9.3801167124,9.579020392,9.3258702543,9.4388837086,2401300,0.0,1.0
HBAN,2000-02-28 00:00:00+00:00,21.25,21.75,20.69,20.81,614400,9.6061436211,9.8321705298,9.3529934833,9.4072399414,614400,0.0,1.0
HBAN,2000-02-29 00:00:00+00:00,20.88,21.25,20.0,21.25,664500,9.4388837086,9.6061436211,9.0410763493,9.6061436211,664500,0.0,1.0
HBAN,2000-03-01 00:00:00+00:00,20.19,20.88,19.94,20.81,474700,9.1269665746,9.4388837086,9.0139531202,9.4072399414,474700,0.0,1.0
HBAN,2000-03-02 00:00:00+00:00,19.88,20.69,19.75,20.69,502200,8.9868298912,9.3529934833,8.9280628949,9.3529934833,502200,0.0,1.0
HBAN,2000-03-03 00:00:00+00:00,19.78,20.06,19.25,19.94,506100,8.9416245094,9.0681995783,8.7020359862,9.0139531202,506100,0.0,1.0
HBAN,2000-03-06 00:00:00+00:00,19.56,19.81,19.19,19.75,520900,8.8421726696,8.9551861239,8.6749127571,8.9280628949,520900,0.0,1.0
HBAN,2000-03-07 00:00:00+00:00,18.5,19.69,18.19,19.53,562900,8.3629956231,8.9009396658,8.2228589396,8.828611055,562900,0.0,1.0
HBAN,2000-03-08 00:00:00+00:00,17.81,18.63,17.75,18.63,625100,8.051078489,8.4217626193,8.02395526,8.4217626193,625100,0.0,1.0
HBAN,2000-03-09 00:00:00+00:00,18.63,18.88,17.75,18.06,601900,8.4217626193,8.5347760737,8.02395526,8.1640919434,601900,0.0,1.0
HBAN,2000-03-10 00:00:00+00:00,18.56,18.69,18.13,18.56,413100,8.3901188521,8.4488858484,8.1957357106,8.3901188521,413100,0.0,1.0
HBAN,2000-03-13 00:00:00+00:00,18.56,18.63,17.75,18.22,515300,8.3901188521,8.4217626193,8.02395526,8.2364205542,515300,0.0,1.0
HBAN,2000-03-14 00:00:00+00:00,18.06,18.5,17.88,18.47,519600,8.2545027069,8.4556090851,8.1722319158,8.4418972866,519600,0.2,1.0
HBAN,2000-03-15 00:00:00+00:00,19.63,19.88,17.94,18.25,1106700,8.9720868292,9.0863518169,8.1996555128,8.3413440975,1106700,0.0,1.0
HBAN,2000-03-16 00:00:00+00:00,21.67,22.0,19.63,19.88,1272400,9.9044891283,10.055318912,8.9720868292,9.0863518169,1272400,0.0,1.0
HBAN,2000-03-17 00:00:00+00:00,21.38,22.13,21.0,21.75,1043500,9.7719417427,10.1147367056,9.5982589615,9.9410539244,1043500,0.0,1.0
HBAN,2000-03-20 00:00:00+00:00,20.31,21.44,19.94,21.41,525000,9.2828875956,9.7993653397,9.1137754139,9.7856535412,525000,0.0,1.0
HBAN,2000-03-21 00:00:00+00:00,21.13,21.44,20.13,20.19,540700,9.657676755,9.7993653397,9.2006168045,9.2280404015,540700,0.0,1.0
