symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HCA,2011-03-10 00:00:00+00:00,31.02,31.5,30.7,31.2,64599900,23.5793313978,23.9441953266,23.3360887786,23.7161553711,64599900,0.0,1.0
HCA,2011-03-11 00:00:00+00:00,31.12,31.29,30.5,30.5,9531600,23.6553447163,23.7845673577,23.1840621416,23.1840621416,9531600,0.0,1.0
HCA,2011-03-14 00:00:00+00:00,30.91,31.05,30.57,30.96,8663800,23.4957167475,23.6021353933,23.2372714646,23.5337234067,8663800,0.0,1.0
HCA,2011-03-15 00:00:00+00:00,31.34,31.5,30.36,30.39,7121200,23.822574017,23.9441953266,23.0776434957,23.1004474913,7121200,0.0,1.0
HCA,2011-03-16 00:00:00+00:00,31.25,31.95,31.12,31.25,6157900,23.7541620303,24.2862552598,23.6553447163,23.7541620303,6157900,0.0,1.0
HCA,2011-03-17 00:00:00+00:00,31.91,31.93,31.4,31.54,3332400,24.2558499324,24.2710525961,23.8681820081,23.974600654,3332400,0.0,1.0
HCA,2011-03-18 00:00:00+00:00,33.06,33.08,31.9,32.11,5463200,25.1300030951,25.1452057588,24.2482486006,24.4078765694,5463200,0.0,1.0
HCA,2011-03-21 00:00:00+00:00,32.25,33.39,32.0,33.39,3823500,24.5142952153,25.3808470462,24.3242619191,25.3808470462,3823500,0.0,1.0
HCA,2011-03-22 00:00:00+00:00,31.87,32.39,31.3904,32.37,3943900,24.225444605,24.6207138612,23.8608847295,24.6055111975,3943900,0.0,1.0
HCA,2011-03-23 00:00:00+00:00,32.68,32.68,31.5,31.7,4216300,24.8411524848,24.8411524848,23.9441953266,24.0962219636,4216300,0.0,1.0
HCA,2011-03-24 00:00:00+00:00,32.69,32.95,32.5,32.53,2125600,24.8487538167,25.0463884448,24.7043285116,24.7271325071,2125600,0.0,1.0
HCA,2011-03-25 00:00:00+00:00,32.95,33.1,32.58,32.71,3026600,25.0463884448,25.1604084225,24.7651391664,24.8639564804,3026600,0.0,1.0
HCA,2011-03-28 00:00:00+00:00,33.04,33.11,32.75,32.87,2098300,25.1148004314,25.1680097544,24.8943618078,24.98557779,2098300,0.0,1.0
HCA,2011-03-29 00:00:00+00:00,33.89,34.01,33.05,33.44,5137300,25.7609136387,25.8521296209,25.1224017633,25.4188537054,5137300,0.0,1.0
HCA,2011-03-30 00:00:00+00:00,34.24,34.57,33.93,34.57,3049500,26.0269602534,26.2778042044,25.7913189661,26.2778042044,3049500,0.0,1.0
HCA,2011-03-31 00:00:00+00:00,33.87,34.11,33.665,34.0,1960600,25.745710975,25.9281429394,25.589883672,25.844528289,1960600,0.0,1.0
HCA,2011-04-01 00:00:00+00:00,33.74,34.1,33.66,33.89,1822100,25.6468936609,25.9205416075,25.5860830061,25.7609136387,1822100,0.0,1.0
HCA,2011-04-04 00:00:00+00:00,33.67,33.87,33.31,33.87,2648000,25.593684338,25.745710975,25.3200363914,25.745710975,2648000,0.0,1.0
HCA,2011-04-05 00:00:00+00:00,34.02,34.05,33.25,33.7,3607100,25.8597309527,25.8825349483,25.2744284003,25.6164883335,3607100,0.0,1.0
HCA,2011-04-06 00:00:00+00:00,33.3,34.2,33.24,33.75,2718500,25.3124350595,25.996554926,25.2668270684,25.6544949928,2718500,0.0,1.0
HCA,2011-04-07 00:00:00+00:00,33.66,33.85,32.85,33.28,1946900,25.5860830061,25.7305083113,24.9703751263,25.2972323958,1946900,0.0,1.0
HCA,2011-04-08 00:00:00+00:00,33.17,33.99,32.99,33.52,2339800,25.2136177455,25.8369269572,25.0767937722,25.4796643602,2339800,0.0,1.0
HCA,2011-04-11 00:00:00+00:00,32.12,33.34,30.79,33.34,15028000,24.4154779013,25.3428403869,23.4045007653,25.3428403869,15028000,0.0,1.0
HCA,2011-04-12 00:00:00+00:00,31.53,32.59,31.33,32.11,3848800,23.9669993221,24.7727404982,23.8149726851,24.4078765694,3848800,0.0,1.0
HCA,2011-04-13 00:00:00+00:00,32.06,32.45,31.7,32.0,3969800,24.3698699102,24.6663218523,24.0962219636,24.3242619191,3969800,0.0,1.0
HCA,2011-04-14 00:00:00+00:00,32.14,32.5,31.79,31.89,1565900,24.430680565,24.7043285116,24.1646339502,24.2406472687,1565900,0.0,1.0
HCA,2011-04-15 00:00:00+00:00,31.98,32.38,31.89,32.3,3072800,24.3090592554,24.6131125294,24.2406472687,24.5523018746,3072800,0.0,1.0
HCA,2011-04-18 00:00:00+00:00,32.08,32.54,30.75,31.82,2911100,24.3850725739,24.734733839,23.3740954379,24.1874379458,2911100,0.0,1.0
HCA,2011-04-19 00:00:00+00:00,31.74,33.1,31.66,33.08,3838100,24.126627291,25.1604084225,24.0658166362,25.1452057588,3838100,0.0,1.0
HCA,2011-04-20 00:00:00+00:00,31.65,32.1897,31.15,32.0,3866100,24.0582153043,24.4684591843,23.6781487118,24.3242619191,3866100,0.0,1.0
HCA,2011-04-21 00:00:00+00:00,31.4,31.98,31.27,31.81,1462000,23.8681820081,24.3090592554,23.769364694,24.1798366139,1462000,0.0,1.0
HCA,2011-04-25 00:00:00+00:00,31.4,31.5999,31.1,31.56,732700,23.8681820081,24.0201326318,23.6401420526,23.9898033177,732700,0.0,1.0
HCA,2011-04-26 00:00:00+00:00,32.0,32.07,31.16,31.35,1800000,24.3242619191,24.377471242,23.6857500437,23.8301753488,1800000,0.0,1.0
HCA,2011-04-27 00:00:00+00:00,32.65,33.0,32.2503,32.26,3354500,24.8183484893,25.084395104,24.5145232553,24.5218965472,3354500,0.0,1.0
HCA,2011-04-28 00:00:00+00:00,32.57,32.99,32.25,32.51,1600000,24.7575378345,25.0767937722,24.5142952153,24.7119298434,1600000,0.0,1.0
HCA,2011-04-29 00:00:00+00:00,32.8,32.86,32.03,32.5,1233900,24.932368467,24.9779764581,24.3470659146,24.7043285116,1233900,0.0,1.0
HCA,2011-05-02 00:00:00+00:00,33.44,33.79,32.8,32.8,2786200,25.4188537054,25.6849003202,24.932368467,24.932368467,2786200,0.0,1.0
HCA,2011-05-03 00:00:00+00:00,32.61,33.882,31.94,33.59,3429400,24.7879431619,25.7548325732,24.278653928,25.5328736832,3429400,0.0,1.0
HCA,2011-05-04 00:00:00+00:00,33.55,33.96,32.79,33.1,4518300,25.5024683558,25.8141229616,24.9247671352,25.1604084225,4518300,0.0,1.0
HCA,2011-05-05 00:00:00+00:00,34.34,34.74,33.15,33.45,2613000,26.1029735719,26.4070268459,25.1984150818,25.4264550373,2613000,0.0,1.0
HCA,2011-05-06 00:00:00+00:00,34.25,34.5,33.89,34.06,1601300,26.0345615853,26.2245948815,25.7609136387,25.8901362801,1601300,0.0,1.0
HCA,2011-05-09 00:00:00+00:00,34.49,34.75,34.14,34.35,1996100,26.2169935496,26.4146281777,25.9509469349,26.1105749038,1996100,0.0,1.0
HCA,2011-05-10 00:00:00+00:00,34.59,34.86,34.0,34.03,1475100,26.2930068681,26.4982428281,25.844528289,25.8673322846,1475100,0.0,1.0
HCA,2011-05-11 00:00:00+00:00,34.54,34.79,34.06,34.2,1431700,26.2550002089,26.4450335051,25.8901362801,25.996554926,1431700,0.0,1.0
HCA,2011-05-12 00:00:00+00:00,34.51,34.59,34.12,34.3,814000,26.2321962133,26.2930068681,25.9357442712,26.0725682445,814000,0.0,1.0
HCA,2011-05-13 00:00:00+00:00,34.6,34.769,34.232,34.43,1694000,26.3006082,26.4290707083,26.0208791879,26.1713855585,1694000,0.0,1.0
HCA,2011-05-16 00:00:00+00:00,34.25,34.6,34.05,34.3,1719900,26.0345615853,26.3006082,25.8825349483,26.0725682445,1719900,0.0,1.0
HCA,2011-05-17 00:00:00+00:00,34.54,34.95,34.0,34.21,3131000,26.2550002089,26.5666548147,25.844528289,26.0041562579,3131000,0.0,1.0
