symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HES,2000-01-03 00:00:00+00:00,54.5,56.75,54.13,56.62,311200,13.3874467353,13.9401394905,13.2965594823,13.9082061313,933600,0.0,1.0
HES,2000-01-04 00:00:00+00:00,53.44,54.63,53.0,54.5,395000,13.1270670374,13.4193800945,13.0189848986,13.3874467353,1185000,0.0,1.0
HES,2000-01-05 00:00:00+00:00,53.0,53.5,52.63,53.13,801000,13.0189848986,13.1418055108,12.9280976455,13.0509182578,2403000,0.0,1.0
HES,2000-01-06 00:00:00+00:00,54.13,54.69,53.25,53.5,1506500,13.2965594823,13.434118568,13.0803952047,13.1418055108,4519500,0.0,1.0
HES,2000-01-07 00:00:00+00:00,56.44,56.44,54.75,54.75,600200,13.8639907109,13.8639907109,13.4488570415,13.4488570415,1800600,0.0,1.0
HES,2000-01-10 00:00:00+00:00,55.75,56.25,55.38,56.25,267200,13.694498266,13.8173188782,13.6036110129,13.8173188782,801600,0.0,1.0
HES,2000-01-11 00:00:00+00:00,55.31,56.0,54.81,55.56,344500,13.5864161272,13.7559085721,13.4635955149,13.6478264333,1033500,0.0,1.0
HES,2000-01-12 00:00:00+00:00,54.94,56.44,54.88,55.5,569000,13.4955288741,13.8639907109,13.4807904006,13.6330879598,1707000,0.0,1.0
HES,2000-01-13 00:00:00+00:00,56.81,57.5,55.5,55.5,584700,13.9548779639,14.1243704088,13.6330879598,13.6330879598,1754100,0.0,1.0
HES,2000-01-14 00:00:00+00:00,57.06,57.31,56.25,56.88,662600,14.0162882701,14.0776985762,13.8173188782,13.9720728496,1987800,0.0,1.0
HES,2000-01-18 00:00:00+00:00,57.75,58.38,57.06,57.19,439800,14.185780715,14.3405346864,14.0162882701,14.0482216292,1319400,0.0,1.0
HES,2000-01-19 00:00:00+00:00,58.19,58.25,57.44,58.13,712700,14.2938628537,14.3086013272,14.1096319354,14.2791243803,2138100,0.0,1.0
HES,2000-01-20 00:00:00+00:00,57.44,58.25,56.63,58.0,391500,14.1096319354,14.3086013272,13.9106625435,14.2471910211,1174500,0.0,1.0
HES,2000-01-21 00:00:00+00:00,58.56,59.0,57.94,58.0,1001600,14.3847501068,14.4928322456,14.2324525476,14.2471910211,3004800,0.0,1.0
HES,2000-01-24 00:00:00+00:00,56.94,59.75,56.69,59.63,833000,13.9868113231,14.677063164,13.925401017,14.647586217,2499000,0.0,1.0
HES,2000-01-25 00:00:00+00:00,55.94,56.88,55.0,55.88,721900,13.7411700986,13.9720728496,13.5102673476,13.7264316251,2165700,0.0,1.0
HES,2000-01-26 00:00:00+00:00,54.31,56.75,54.19,55.94,515000,13.3407749027,13.9401394905,13.3112979557,13.7411700986,1545000,0.0,1.0
HES,2000-01-27 00:00:00+00:00,53.63,55.25,53.0,54.56,417400,13.17373887,13.5716776537,13.0189848986,13.4021852088,1252200,0.0,1.0
HES,2000-01-28 00:00:00+00:00,52.75,53.75,52.56,53.31,322100,12.9575745925,13.203215817,12.9109027598,13.0951336782,966300,0.0,1.0
HES,2000-01-31 00:00:00+00:00,53.19,53.44,52.56,52.88,236100,13.0656567312,13.1270670374,12.9109027598,12.9895079516,708300,0.0,1.0
HES,2000-02-01 00:00:00+00:00,52.81,53.56,52.44,53.38,204800,12.9723130659,13.1565439843,12.8814258129,13.1123285639,614400,0.0,1.0
HES,2000-02-02 00:00:00+00:00,53.0,53.69,52.56,53.06,450000,13.0189848986,13.1884773435,12.9109027598,13.033723372,1350000,0.0,1.0
HES,2000-02-03 00:00:00+00:00,51.94,53.13,51.5,53.13,526700,12.7586052006,13.0509182578,12.6505230618,13.0509182578,1580100,0.0,1.0
HES,2000-02-04 00:00:00+00:00,52.0,52.38,51.5,52.38,458800,12.7733436741,12.8666873394,12.6505230618,12.8666873394,1376400,0.0,1.0
HES,2000-02-07 00:00:00+00:00,52.25,52.63,51.81,52.0,744500,12.8347539802,12.9280976455,12.7266718414,12.7733436741,2233500,0.0,1.0
HES,2000-02-08 00:00:00+00:00,51.31,52.56,51.13,52.38,486900,12.6038512292,12.9109027598,12.5596358088,12.8666873394,1460700,0.0,1.0
HES,2000-02-09 00:00:00+00:00,49.88,51.75,49.56,51.5,448900,12.2525842781,12.711933368,12.1739790863,12.6505230618,1346700,0.0,1.0
HES,2000-02-10 00:00:00+00:00,50.25,50.56,49.0,49.88,858200,12.3434715312,12.4196203108,12.0364200006,12.2525842781,2574600,0.0,1.0
HES,2000-02-11 00:00:00+00:00,48.25,50.06,47.81,50.0,627800,11.8521890822,12.2967996985,11.7441069434,12.2820612251,1883400,0.0,1.0
HES,2000-02-14 00:00:00+00:00,48.88,49.0,48.25,48.5,515300,12.0069430536,12.0364200006,11.8521890822,11.9135993883,1545900,0.0,1.0
HES,2000-02-15 00:00:00+00:00,50.44,51.0,50.0,50.0,565200,12.3901433639,12.5277024496,12.2820612251,12.2820612251,1695600,0.0,1.0
HES,2000-02-16 00:00:00+00:00,51.13,51.31,50.75,51.0,540900,12.5596358088,12.6038512292,12.4662921434,12.5277024496,1622700,0.0,1.0
HES,2000-02-17 00:00:00+00:00,51.5,51.94,51.19,51.63,614500,12.6505230618,12.7586052006,12.5743742822,12.682456421,1843500,0.0,1.0
HES,2000-02-18 00:00:00+00:00,51.25,51.75,50.88,51.75,724800,12.5891127557,12.711933368,12.4982255026,12.711933368,2174400,0.0,1.0
HES,2000-02-22 00:00:00+00:00,51.0,51.31,50.75,51.25,654300,12.5277024496,12.6038512292,12.4662921434,12.5891127557,1962900,0.0,1.0
HES,2000-02-23 00:00:00+00:00,50.25,51.06,50.06,51.0,495700,12.3434715312,12.542440923,12.2967996985,12.5277024496,1487100,0.0,1.0
HES,2000-02-24 00:00:00+00:00,49.69,50.38,49.38,50.31,556900,12.2059124455,12.3754048904,12.1297636659,12.3582100047,1670700,0.0,1.0
HES,2000-02-25 00:00:00+00:00,48.75,50.13,48.5,49.69,689900,11.9750096944,12.3139945843,11.9135993883,12.2059124455,2069700,0.0,1.0
HES,2000-02-28 00:00:00+00:00,49.88,50.0,48.75,48.75,359300,12.2525842781,12.2820612251,11.9750096944,11.9750096944,1077900,0.0,1.0
HES,2000-02-29 00:00:00+00:00,50.56,51.13,49.94,50.13,383400,12.4196203108,12.5596358088,12.2673227516,12.3139945843,1150200,0.0,1.0
HES,2000-03-01 00:00:00+00:00,51.94,52.5,51.06,51.38,748800,12.7586052006,12.8961642863,12.542440923,12.6210461149,2246400,0.0,1.0
HES,2000-03-02 00:00:00+00:00,53.31,54.31,52.31,52.63,618100,13.0951336782,13.3407749027,12.8494924537,12.9280976455,1854300,0.0,1.0
HES,2000-03-03 00:00:00+00:00,53.81,54.5,53.75,54.5,663400,13.2179542904,13.3874467353,13.203215817,13.3874467353,1990200,0.0,1.0
HES,2000-03-06 00:00:00+00:00,54.0,54.19,53.75,53.81,440500,13.2646261231,13.3112979557,13.203215817,13.2179542904,1321500,0.0,1.0
HES,2000-03-07 00:00:00+00:00,57.75,58.44,53.94,54.0,911000,14.185780715,14.3552731599,13.2498876496,13.2646261231,2733000,0.0,1.0
