symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HOLX,2000-01-03 00:00:00+00:00,6.0,6.0,5.78,5.81,44500,1.5,1.5,1.445,1.4525,178000,0.0,1.0
HOLX,2000-01-04 00:00:00+00:00,5.688,6.0,5.625,5.938,44300,1.422,1.5,1.40625,1.4845,177200,0.0,1.0
HOLX,2000-01-05 00:00:00+00:00,5.938,5.938,5.625,5.781,58400,1.4845,1.4845,1.40625,1.44525,233600,0.0,1.0
HOLX,2000-01-06 00:00:00+00:00,5.938,6.125,5.75,6.0,77200,1.4845,1.53125,1.4375,1.5,308800,0.0,1.0
HOLX,2000-01-07 00:00:00+00:00,6.188,6.938,5.875,5.875,263500,1.547,1.7345,1.46875,1.46875,1054000,0.0,1.0
HOLX,2000-01-10 00:00:00+00:00,6.75,7.0,6.375,6.438,340400,1.6875,1.75,1.59375,1.6095,1361600,0.0,1.0
HOLX,2000-01-11 00:00:00+00:00,6.125,6.813,5.875,6.75,167300,1.53125,1.70325,1.46875,1.6875,669200,0.0,1.0
HOLX,2000-01-12 00:00:00+00:00,6.063,6.438,5.75,6.25,201200,1.51575,1.6095,1.4375,1.5625,804800,0.0,1.0
HOLX,2000-01-13 00:00:00+00:00,6.125,6.25,6.0,6.125,113200,1.53125,1.5625,1.5,1.53125,452800,0.0,1.0
HOLX,2000-01-14 00:00:00+00:00,6.375,6.5,6.094,6.125,158400,1.59375,1.625,1.5235,1.53125,633600,0.0,1.0
HOLX,2000-01-18 00:00:00+00:00,6.688,6.875,6.313,6.313,124900,1.672,1.71875,1.57825,1.57825,499600,0.0,1.0
HOLX,2000-01-19 00:00:00+00:00,6.75,7.063,6.625,6.75,211700,1.6875,1.76575,1.65625,1.6875,846800,0.0,1.0
HOLX,2000-01-20 00:00:00+00:00,6.813,7.125,6.75,7.0,162100,1.70325,1.78125,1.6875,1.75,648400,0.0,1.0
HOLX,2000-01-21 00:00:00+00:00,7.625,8.0,6.875,6.938,373700,1.90625,2.0,1.71875,1.7345,1494800,0.0,1.0
HOLX,2000-01-24 00:00:00+00:00,8.031,8.5,7.625,7.719,474700,2.00775,2.125,1.90625,1.92975,1898800,0.0,1.0
HOLX,2000-01-25 00:00:00+00:00,8.813,8.875,7.5,8.0,356900,2.20325,2.21875,1.875,2.0,1427600,0.0,1.0
HOLX,2000-01-26 00:00:00+00:00,8.75,9.188,8.563,9.188,268400,2.1875,2.297,2.14075,2.297,1073600,0.0,1.0
HOLX,2000-01-27 00:00:00+00:00,7.438,8.688,7.313,8.563,329900,1.8595,2.172,1.82825,2.14075,1319600,0.0,1.0
HOLX,2000-01-28 00:00:00+00:00,7.0,7.625,6.375,7.063,201200,1.75,1.90625,1.59375,1.76575,804800,0.0,1.0
HOLX,2000-01-31 00:00:00+00:00,6.875,7.313,6.688,6.969,78900,1.71875,1.82825,1.672,1.74225,315600,0.0,1.0
HOLX,2000-02-01 00:00:00+00:00,7.25,7.438,6.75,6.75,68100,1.8125,1.8595,1.6875,1.6875,272400,0.0,1.0
HOLX,2000-02-02 00:00:00+00:00,7.75,7.75,6.81,7.12,108100,1.9375,1.9375,1.7025,1.78,432400,0.0,1.0
HOLX,2000-02-03 00:00:00+00:00,7.75,8.0,7.5,7.625,82600,1.9375,2.0,1.875,1.90625,330400,0.0,1.0
HOLX,2000-02-04 00:00:00+00:00,7.25,8.031,7.188,7.75,178400,1.8125,2.00775,1.797,1.9375,713600,0.0,1.0
HOLX,2000-02-07 00:00:00+00:00,7.0,7.625,6.875,7.25,96600,1.75,1.90625,1.71875,1.8125,386400,0.0,1.0
HOLX,2000-02-08 00:00:00+00:00,6.938,7.25,6.875,7.031,109900,1.7345,1.8125,1.71875,1.75775,439600,0.0,1.0
HOLX,2000-02-09 00:00:00+00:00,6.688,7.125,6.5,7.0,110100,1.672,1.78125,1.625,1.75,440400,0.0,1.0
HOLX,2000-02-10 00:00:00+00:00,6.563,6.938,6.5,6.938,92500,1.64075,1.7345,1.625,1.7345,370000,0.0,1.0
HOLX,2000-02-11 00:00:00+00:00,6.313,6.688,6.125,6.5,202900,1.57825,1.672,1.53125,1.625,811600,0.0,1.0
HOLX,2000-02-14 00:00:00+00:00,6.75,6.75,6.25,6.25,78300,1.6875,1.6875,1.5625,1.5625,313200,0.0,1.0
HOLX,2000-02-15 00:00:00+00:00,7.0,7.25,6.5,7.156,100600,1.75,1.8125,1.625,1.789,402400,0.0,1.0
HOLX,2000-02-16 00:00:00+00:00,6.875,7.063,6.5,7.0,54900,1.71875,1.76575,1.625,1.75,219600,0.0,1.0
